station_id,channel,observable_value,epoch_utc,t_days,beta_dyn_template,beta_lt_template,scale_by_row,fit_scaled,value_scaled,residual_norm
34,doppler,0.029963970184326102,2011-01-05 18:40:00+00:00,2.111111111111111,0.06883952487679759,0.0,0.6354647372245787,-80.94647392193164,0.047152844885138885,80.99362676681677
34,range,940125.7172462658,2011-01-05 19:00:00+00:00,2.125,0.0,1.2963368537293833,215738.32965895667,2.435527191853921,4.357712969839132,1.9221857779852107
34,doppler,0.045523166656494043,2011-01-05 20:00:00+00:00,2.1666666666666665,0.06491769123509744,0.0,0.6354647372245787,-82.46344094218219,0.07163759684812497,82.53507853903031
34,range,106389.6117651659,2011-01-05 20:00:00+00:00,2.1666666666666665,0.0,1.2958825122420787,215738.32965895667,2.4355130382067482,0.49314190915146444,-1.9423711290552839
34,range,473420.7632893248,2011-01-05 21:00:00+00:00,2.2083333333333335,0.0,1.2954194198022062,215738.32965895667,2.435498681709108,2.1944211955182813,-0.24107748619082692
34,doppler,0.04006862640380855,2011-01-05 21:20:00+00:00,2.2222222222222223,0.06099828454336412,0.0,0.6354647372245787,-83.97944116900995,0.06305405171467122,84.04249522072462
34,doppler,0.0656270980834961,2011-01-05 22:40:00+00:00,2.2777777777777777,0.05708136651424675,0.0,0.6354647372245787,-85.49445001872577,0.1032741775257671,85.59772419625153
45,doppler,-3782.9921875,2011-01-07 17:20:00+00:00,4.055555555555555,-0.06657907390421253,0.0,0.6354647372245787,-458.41980886186843,-5953.1111104959045,-5494.691301634036
45,doppler,-0.0122671127319335,2011-01-07 18:40:00+00:00,4.111111111111111,-0.07037955235219018,0.0,0.6354647372245787,-459.88843314546807,-0.019304159638362742,459.8691289858297
45,range,532058.6003422526,2011-01-07 19:00:00+00:00,4.125,0.0,1.2647433298157713,215738.32965895667,2.5146519223630546,2.4662219327615134,-0.04842998960154121
45,doppler,0.0037159919738769,2011-01-07 20:00:00+00:00,4.166666666666667,-0.07417547354019172,0.0,0.6354647372245787,-461.35524201093756,0.005847676127721366,461.36108968706526
45,range,933072.8568694955,2011-01-07 20:00:00+00:00,4.166666666666667,0.0,1.2638749006478207,215738.32965895667,2.5146281700032027,4.325021234495118,1.8103930644919153
45,range,454119.6546494281,2011-01-07 21:00:00+00:00,4.208333333333333,0.0,1.2629980040121835,215738.32965895667,2.514604221364173,2.104955829440736,-0.40964839192343705
45,doppler,-0.0015082359313964501,2011-01-07 21:20:00+00:00,4.222222222222222,-0.07796677769989757,0.0,0.6354647372245787,-462.82021164912584,-0.0023734376481435292,462.8178382114777
34,doppler,-0.0785527229309082,2011-01-07 21:20:00+00:00,4.222222222222222,-0.07796677769989757,0.0,0.6354647372245787,-137.70552253663232,-0.12361460570415096,137.58190793092817
45,range,122754.64439153214,2011-01-07 22:00:00+00:00,4.25,0.0,1.262112647675355,215738.32965895667,2.5145800766259963,0.5689978437562999,-1.9455822328696963
45,doppler,-0.00597715377807615,2011-01-07 22:40:00+00:00,4.277777777777778,-0.08175340513568491,0.0,0.6354647372245787,-464.28331827984124,-0.009405956661232914,464.27391232318
45,range,341906.19072978577,2011-01-07 23:00:00+00:00,4.291666666666667,0.0,1.2612188394787551,215738.32965895667,2.5145557359704394,1.584818939083647,-0.9297367968867924
45,range,338185.5906807962,2011-01-08 00:00:00+00:00,4.333333333333333,0.0,1.2603165873386606,215738.32965895667,2.5145311995810045,1.5675730465485966,-0.9469581530324078
45,doppler,-0.005347728729248,2011-01-08 00:00:00+00:00,4.333333333333333,-0.08553529622556816,0.0,0.6354647372245787,-465.7445381522259,-0.008415461025586485,465.7361226912003
45,doppler,-0.0067720413208007,2011-01-08 01:20:00+00:00,4.388888888888889,-0.08931239142213737,0.0,0.6354647372245787,-467.20384754512986,-0.010656832588977162,467.1931907125409
25,doppler,-0.0002241134643554,2011-01-10 13:20:00+00:00,6.888888888888889,-0.25336864537787346,0.0,0.6354647372245787,-446.3880093468183,-0.0003526764763285305,446.387656670342
25,doppler,-0.0764446258544921,2011-01-10 14:40:00+00:00,6.944444444444445,-0.2568622447756689,0.0,0.6354647372245787,-447.73438609694557,-0.12029719570021698,447.61408890124534
25,range,244982.2352886136,2011-01-10 15:00:00+00:00,6.958333333333333,0.0,1.1868507032545008,215738.32965895667,2.520602679539241,1.135552665471575,-1.385050014067666
