source_file,parse_status,n_rows_raw,n_rows_valid,note
data/mercury/messenger/data-tnf/2012/120161355sc236dss15_tnf.dat,pass,28009,27998,tnf_decode_ok_dop=27975_rng=23
data/mercury/messenger/data-tnf/2012/120162120sc236dss34_tnf.dat,pass,9470,9460,tnf_decode_ok_dop=9448_rng=12
data/mercury/messenger/data-tnf/2012/120171250sc236dss54_tnf.dat,pass,5014,5014,tnf_decode_ok_dop=5014_rng=0
data/mercury/messenger/data-tnf/2012/120171400sc236dss25_tnf.dat,pass,26157,26148,tnf_decode_ok_dop=26122_rng=26
data/mercury/messenger/data-tnf/2012/120172110sc236dss45_tnf.dat,pass,8394,8384,tnf_decode_ok_dop=8376_rng=8
data/mercury/messenger/data-tnf/2012/120181200sc236dss54_tnf.dat,pass,10188,10188,tnf_decode_ok_dop=10188_rng=0
data/mercury/messenger/data-tnf/2012/120181400sc236dss15_tnf.dat,pass,27431,27421,tnf_decode_ok_dop=27386_rng=35
data/mercury/messenger/data-tnf/2012/120191230sc236dss65_tnf.dat,pass,6812,6807,tnf_decode_ok_dop=6807_rng=0
data/mercury/messenger/data-tnf/2012/120191405sc236dss26_tnf.dat,pass,25876,25871,tnf_decode_ok_dop=25837_rng=34
data/mercury/messenger/data-tnf/2013/130011430sc236dss25_tnf.dat,pass,21867,21852,tnf_decode_ok_dop=21830_rng=22
data/mercury/messenger/data-tnf/2013/130012205sc236dss45_tnf.dat,pass,7224,7224,tnf_decode_ok_dop=7224_rng=0
data/mercury/messenger/data-tnf/2013/130021430sc236dss26_tnf.dat,pass,22220,22215,tnf_decode_ok_dop=22192_rng=23
data/mercury/messenger/data-tnf/2013/130022145sc236dss45_tnf.dat,pass,24325,24320,tnf_decode_ok_dop=24298_rng=22
data/mercury/messenger/data-tnf/2013/130031530sc236dss25_tnf.dat,pass,23238,23233,tnf_decode_ok_dop=23203_rng=30
data/mercury/messenger/data-tnf/2013/130040730sc236dss65_tnf.dat,pass,18870,18865,tnf_decode_ok_dop=18841_rng=24
data/mercury/messenger/data-tnf/2013/130041440sc236dss26_tnf.dat,pass,21325,21320,tnf_decode_ok_dop=21297_rng=23
data/mercury/messenger/data-tnf/2013/130050735sc236dss55_tnf.dat,pass,21311,21304,tnf_decode_ok_dop=21278_rng=26
data/mercury/messenger/data-tnf/2013/130051440sc236dss25_tnf.dat,pass,21404,21399,tnf_decode_ok_dop=21377_rng=22
data/mercury/messenger/data-tnf/2013/130052125sc236dss34_tnf.dat,pass,8832,8832,tnf_decode_ok_dop=8832_rng=0
data/mercury/messenger/data-tnf/2013/130060830sc236dss65_tnf.dat,pass,12874,12865,tnf_decode_ok_dop=12854_rng=11
data/mercury/messenger/data-tnf/2013/130061445sc236dss26_tnf.dat,pass,22200,22195,tnf_decode_ok_dop=22171_rng=24
data/mercury/messenger/data-tnf/2013/130062145sc236dss34_tnf.dat,pass,7501,7501,tnf_decode_ok_dop=7501_rng=0
data/mercury/messenger/data-tnf/2013/130071450sc236dss25_tnf.dat,pass,23132,23127,tnf_decode_ok_dop=23104_rng=23
data/mercury/messenger/data-tnf/2013/130081500sc236dss25_tnf.dat,pass,39196,39170,tnf_decode_ok_dop=39150_rng=20
data/mercury/messenger/data-tnf/2013/130081645sc236dss26_tnf.dat,pass,15557,15552,tnf_decode_ok_dop=15552_rng=0
data/mercury/messenger/data-tnf/2013/130082150sc236dss34_tnf.dat,pass,26632,26627,tnf_decode_ok_dop=26588_rng=39
data/mercury/messenger/data-tnf/2013/130091450sc236dss26_tnf.dat,pass,21714,21699,tnf_decode_ok_dop=21699_rng=0
data/mercury/messenger/data-tnf/2013/130092300sc236dss34_tnf.dat,pass,18980,18975,tnf_decode_ok_dop=18975_rng=0
data/mercury/messenger/data-tnf/2013/130100805sc236dss55_tnf.dat,pass,17104,17099,tnf_decode_ok_dop=17092_rng=7
data/mercury/messenger/data-tnf/2013/130101455sc236dss26_tnf.dat,pass,20113,20108,tnf_decode_ok_dop=20097_rng=11
data/mercury/messenger/data-tnf/2013/130111010sc236dss65_tnf.dat,pass,13346,13341,tnf_decode_ok_dop=13340_rng=1
data/mercury/messenger/data-tnf/2013/130111500sc236dss15_tnf.dat,pass,21315,21305,tnf_decode_ok_dop=21305_rng=0
data/mercury/messenger/data-tnf/2013/130121510sc236dss26_tnf.dat,pass,20388,20383,tnf_decode_ok_dop=20383_rng=0
data/mercury/messenger/data-tnf/2013/130130830sc236dss55_tnf.dat,pass,16206,16201,tnf_decode_ok_dop=16201_rng=0
data/mercury/messenger/data-tnf/2013/130131505sc236dss15_tnf.dat,pass,25125,25120,tnf_decode_ok_dop=25120_rng=0
data/mercury/messenger/data-tnf/2013/130132150sc236dss45_tnf.dat,pass,7149,7149,tnf_decode_ok_dop=7149_rng=0
data/mercury/messenger/data-tnf/2013/130141505sc236dss25_tnf.dat,pass,21080,21070,tnf_decode_ok_dop=21062_rng=8
data/mercury/messenger/data-tnf/2013/130151600sc236dss25_tnf.dat,pass,21977,21972,tnf_decode_ok_dop=21972_rng=0
data/mercury/messenger/data-tnf/2013/130152205sc236dss34_tnf.dat,pass,25292,25287,tnf_decode_ok_dop=25276_rng=11
data/mercury/messenger/data-tnf/2013/130161510sc236dss15_tnf.dat,pass,21556,21541,tnf_decode_ok_dop=21521_rng=20
data/mercury/messenger/data-tnf/2013/130181540sc236dss26_tnf.dat,pass,19673,19668,tnf_decode_ok_dop=19654_rng=14
data/mercury/messenger/data-tnf/2013/130182200sc236dss34_tnf.dat,pass,23542,23537,tnf_decode_ok_dop=23537_rng=0
data/mercury/messenger/data-tnf/2013/130191515sc236dss15_tnf.dat,pass,27350,27345,tnf_decode_ok_dop=27345_rng=0
data/mercury/messenger/data-tnf/2013/130192210sc236dss34_tnf.dat,pass,8492,8492,tnf_decode_ok_dop=8492_rng=0
data/mercury/messenger/data-tnf/2013/130201515sc236dss14_tnf.dat,pass,20912,20907,tnf_decode_ok_dop=20907_rng=0
data/mercury/messenger/data-tnf/2013/130202145sc236dss34_tnf.dat,pass,7410,7410,tnf_decode_ok_dop=7410_rng=0
data/mercury/messenger/data-tnf/2013/130211515sc236dss26_tnf.dat,pass,25042,25033,tnf_decode_ok_dop=25029_rng=4
data/mercury/messenger/data-tnf/2013/130212200sc236dss45_tnf.dat,pass,7146,7146,tnf_decode_ok_dop=7146_rng=0
data/mercury/messenger/data-tnf/2013/130221610sc236dss15_tnf.dat,pass,20355,20350,tnf_decode_ok_dop=20350_rng=0
data/mercury/messenger/data-tnf/2014/140010020sc236dss45_tnf.dat,pass,21293,21288,tnf_decode_ok_dop=21288_rng=0
data/mercury/messenger/data-tnf/2014/140011745sc236dss26_tnf.dat,pass,17399,17394,tnf_decode_ok_dop=17394_rng=0
data/mercury/messenger/data-tnf/2014/140021750sc236dss26_tnf.dat,pass,17658,17653,tnf_decode_ok_dop=17653_rng=0
data/mercury/messenger/data-tnf/2014/140031835sc236dss25_tnf.dat,pass,14614,14609,tnf_decode_ok_dop=14609_rng=0
data/mercury/messenger/data-tnf/2014/140040305sc236dss45_tnf.dat,pass,16466,16461,tnf_decode_ok_dop=16456_rng=5
data/mercury/messenger/data-tnf/2014/140041845sc236dss26_tnf.dat,pass,14892,14887,tnf_decode_ok_dop=14887_rng=0
data/mercury/messenger/data-tnf/2014/140050255sc236dss43_tnf.dat,pass,11195,11190,tnf_decode_ok_dop=11190_rng=0
data/mercury/messenger/data-tnf/2014/140050915sc236dss55_tnf.dat,pass,20654,20649,tnf_decode_ok_dop=20649_rng=0
data/mercury/messenger/data-tnf/2014/140061630sc236dss25_tnf.dat,pass,22186,22181,tnf_decode_ok_dop=22181_rng=0
data/mercury/messenger/data-tnf/2014/140071920sc236dss15_tnf.dat,pass,13986,13981,tnf_decode_ok_dop=13965_rng=16
data/mercury/messenger/data-tnf/2014/140080120sc236dss45_tnf.dat,pass,22069,22064,tnf_decode_ok_dop=22040_rng=24
data/mercury/messenger/data-tnf/2014/140081730sc236dss26_tnf.dat,pass,21047,21037,tnf_decode_ok_dop=21014_rng=23
data/mercury/messenger/data-tnf/2014/140091815sc236dss25_tnf.dat,pass,16768,16763,tnf_decode_ok_dop=16741_rng=22
data/mercury/messenger/data-tnf/2014/140101700sc236dss25_tnf.dat,pass,22358,22353,tnf_decode_ok_dop=22330_rng=23
data/mercury/messenger/data-tnf/2014/140110130sc236dss34_tnf.dat,pass,20988,20983,tnf_decode_ok_dop=20959_rng=24
data/mercury/messenger/data-tnf/2014/140111620sc236dss26_tnf.dat,pass,25521,25516,tnf_decode_ok_dop=25491_rng=25
data/mercury/messenger/data-tnf/2014/140120330sc236dss34_tnf.dat,pass,13512,13507,tnf_decode_ok_dop=13491_rng=16
data/mercury/messenger/data-tnf/2014/140121610sc236dss26_tnf.dat,pass,26837,26832,tnf_decode_ok_dop=26807_rng=25
data/mercury/messenger/data-tnf/2014/140131800sc236dss24_tnf.dat,pass,19260,19255,tnf_decode_ok_dop=19231_rng=24
data/mercury/messenger/data-tnf/2014/140141855sc236dss15_tnf.dat,pass,14311,14306,tnf_decode_ok_dop=14289_rng=17
data/mercury/messenger/data-tnf/2014/140150315sc236dss45_tnf.dat,pass,11830,11825,tnf_decode_ok_dop=11813_rng=12
data/mercury/messenger/data-tnf/2014/140151845sc236dss26_tnf.dat,pass,14796,14791,tnf_decode_ok_dop=14773_rng=18
data/mercury/messenger/data-tnf/2014/140161555sc236dss25_tnf.dat,pass,27283,27277,tnf_decode_ok_dop=27252_rng=25
data/mercury/messenger/data-tnf/2014/140171125sc236dss65_tnf.dat,pass,16172,16167,tnf_decode_ok_dop=16149_rng=18
data/mercury/messenger/data-tnf/2014/140171710sc236dss25_tnf.dat,pass,24404,24394,tnf_decode_ok_dop=24369_rng=25
data/mercury/messenger/data-tnf/2014/140180315sc236dss43_tnf.dat,pass,11289,11254,tnf_decode_ok_dop=11245_rng=9
data/mercury/messenger/data-tnf/2014/140181550sc236dss26_tnf.dat,pass,27928,27923,tnf_decode_ok_dop=27898_rng=25
data/mercury/messenger/data-tnf/2014/140191810sc236dss26_tnf.dat,pass,20515,20510,tnf_decode_ok_dop=20485_rng=25
data/mercury/messenger/data-tnf/2014/140201915sc236dss25_tnf.dat,pass,17599,17594,tnf_decode_ok_dop=17575_rng=19
data/mercury/messenger/data-tnf/2014/140211555sc236dss25_tnf.dat,pass,28896,28886,tnf_decode_ok_dop=28861_rng=25
data/mercury/messenger/data-tnf/2014/140220310sc236dss45_tnf.dat,pass,15334,15329,tnf_decode_ok_dop=15309_rng=20
data/mercury/messenger/data-tnf/2014/140221630sc236dss26_tnf.dat,pass,26718,26713,tnf_decode_ok_dop=26688_rng=25
data/mercury/messenger/data-tnf/2014/140231800sc236dss25_tnf.dat,pass,22880,22870,tnf_decode_ok_dop=22845_rng=25
data/mercury/messenger/data-tnf/2014/140240730sc236dss65_tnf.dat,pass,15858,15855,tnf_decode_ok_dop=15847_rng=8
data/mercury/messenger/data-tnf/2014/140241130sc236dss65_tnf.dat,pass,16648,16640,tnf_decode_ok_dop=16632_rng=8
