product,year,filename,url,rel_path,status,bytes,note
data-odf,2015,mess_rs_15035_036_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15035_036_odf.xml,data-odf/2015/mess_rs_15035_036_odf.xml,skip,136098,exists
data-odf,2015,mess_rs_15036_037_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15036_037_odf.dat,data-odf/2015/mess_rs_15036_037_odf.dat,skip,120960,exists
data-odf,2015,mess_rs_15036_037_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15036_037_odf.xml,data-odf/2015/mess_rs_15036_037_odf.xml,skip,106224,exists
data-odf,2015,mess_rs_15037_040_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15037_040_odf.dat,data-odf/2015/mess_rs_15037_040_odf.dat,skip,774144,exists
data-odf,2015,mess_rs_15037_040_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15037_040_odf.xml,data-odf/2015/mess_rs_15037_040_odf.xml,skip,151039,exists
data-odf,2015,mess_rs_15041_041_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15041_041_odf.dat,data-odf/2015/mess_rs_15041_041_odf.dat,skip,177408,exists
data-odf,2015,mess_rs_15041_041_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15041_041_odf.xml,data-odf/2015/mess_rs_15041_041_odf.xml,skip,106218,exists
data-odf,2015,mess_rs_15042_042_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15042_042_odf.dat,data-odf/2015/mess_rs_15042_042_odf.dat,skip,24192,exists
data-odf,2015,mess_rs_15042_042_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15042_042_odf.xml,data-odf/2015/mess_rs_15042_042_odf.xml,skip,91272,exists
data-odf,2015,mess_rs_15043_043_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15043_043_odf.dat,data-odf/2015/mess_rs_15043_043_odf.dat,skip,120960,exists
data-odf,2015,mess_rs_15043_043_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15043_043_odf.xml,data-odf/2015/mess_rs_15043_043_odf.xml,skip,121157,exists
