station_id,observable_value,dtype_id,epoch_utc,t_days,beta_template,station_base,fit_value,residual
25,574245.953323425,37.0,2013-01-05 19:00:00+00:00,733.0833333333334,-0.4893535524721776,14,535490.7497286012,38755.20359482383
25,486741.9491489945,37.0,2013-01-05 20:00:00+00:00,733.125,-0.4919278594776806,14,535472.6982545087,-48730.74910551414
25,989091.756407508,37.0,2013-01-05 21:00:00+00:00,733.1666666666666,-0.4944977111769302,14,535454.6769668838,453637.0794406242
65,379439.2052619615,37.0,2013-01-06 10:00:00+00:00,733.7083333333334,-0.5274900490430049,14,529204.1048801793,-149764.89961821778
65,448262.2011077705,37.0,2013-01-06 11:00:00+00:00,733.75,-0.5299951549059588,14,529186.5222712877,-80924.32116351725
65,498553.687540769,37.0,2013-01-06 12:00:00+00:00,733.7916666666666,-0.5324954683083947,14,529168.972133218,-30615.284592448967
26,1009160.050875666,37.0,2013-01-06 17:00:00+00:00,734.0,-0.5449243748428366,14,499879.8924397363,509280.1584359297
26,484215.07952907146,37.0,2013-01-06 18:00:00+00:00,734.0416666666666,-0.547395469941481,14,499862.54026726907,-15647.46073819761
26,529539.7578430215,37.0,2013-01-06 19:00:00+00:00,734.0833333333334,-0.5498616184685986,14,499845.2216097869,29694.536233234627
26,544173.2225799785,37.0,2013-01-06 20:00:00+00:00,734.125,-0.5523227985819743,14,499827.93661527935,44345.28596469917
26,580644.918279853,37.0,2013-01-06 21:00:00+00:00,734.1666666666666,-0.5547789884834734,14,499810.68543143745,80834.2328484155
25,467016.758742141,37.0,2013-01-07 17:00:00+00:00,735.0,-0.6028216706453589,14,534693.9201622383,-67677.16142009728
25,499024.8312722555,37.0,2013-01-07 18:00:00+00:00,735.0416666666666,-0.605168110686059,14,534677.4125772541,-35652.5813049986
25,763741.5168207665,37.0,2013-01-07 19:00:00+00:00,735.0833333333334,-0.6075090924747291,14,534660.9419740933,229080.57484667317
25,678521.680358917,37.0,2013-01-07 20:00:00+00:00,735.125,-0.6098445952777654,14,534644.5084932344,143877.17186568258
25,717213.1212899645,37.0,2013-01-07 21:00:00+00:00,735.1666666666666,-0.6121745984101077,14,534628.1122748269,182585.00901513768
25,909098.356486405,37.0,2013-01-08 16:00:00+00:00,735.9583333333334,-0.6553725704367079,14,534323.8479432375,374774.5085431675
25,373022.934603846,37.0,2013-01-08 17:00:00+00:00,736.0,-0.6575883126280385,14,534308.2258880462,-161285.2912842002
25,393269.43205749197,37.0,2013-01-08 18:00:00+00:00,736.0416666666666,-0.6597981322923215,14,534292.6439603257,-141023.21190283378
25,414837.3335340955,37.0,2013-01-08 19:00:00+00:00,736.0833333333334,-0.6620020098576298,14,534277.1022926838,-119439.7687585883
25,410688.793668997,37.0,2013-01-08 20:00:00+00:00,736.125,-0.6641999258046591,14,534261.6010173713,-123572.80734837428
25,755087.684875706,37.0,2013-01-08 21:00:00+00:00,736.1666666666666,-0.6663918606669115,14,534246.1402662817,220841.5446094243
25,838526.377586994,37.0,2013-01-08 22:00:00+00:00,736.2083333333334,-0.6685777950308985,14,534230.7201709489,304295.6574160451
34,676555.754505258,37.0,2013-01-08 23:00:00+00:00,736.25,-0.6707577095362094,14,537174.5007831419,139381.25372211612
34,808901.5977518465,37.0,2013-01-09 00:00:00+00:00,736.2916666666666,-0.672931584875807,14,537159.1623924846,271742.43535936193
34,627130.2273508625,37.0,2013-01-09 01:00:00+00:00,736.3333333333334,-0.6750994017961162,14,537143.865050022,89986.36230084044
34,423933.29683621053,37.0,2013-01-09 02:00:00+00:00,736.375,-0.6772611410972196,14,537128.6088858413,-113195.3120496308
