T_K,alpha_1e-8_per_K,alpha_per_K,sigma_fit_1e-8_per_K,sigma_fit_per_K
150.0,49.33179954929422,4.933179954929422e-07,0.5,5e-09
151.0,51.289311277475726,5.128931127747573e-07,0.5,5e-09
152.0,53.24665471215816,5.324665471215816e-07,0.5,5e-09
153.0,55.203244713283254,5.520324471328326e-07,0.5,5e-09
154.0,57.15850861094442,5.715850861094442e-07,0.5,5e-09
155.0,59.11188704748257,5.911188704748257e-07,0.5,5e-09
156.0,61.06283486448858,6.106283486448858e-07,0.5,5e-09
157.0,63.01082203649547,6.301082203649547e-07,0.5,5e-09
158.0,64.95533465319981,6.495533465319982e-07,0.5,5e-09
159.0,66.89587595210833,6.689587595210833e-07,0.5,5e-09
160.0,68.83196740356846,6.883196740356846e-07,0.5,5e-09
161.0,70.76314985019738,7.076314985019738e-07,0.5,5e-09
162.0,72.68898470276429,7.268898470276429e-07,0.5,5e-09
163.0,74.60905519456449,7.460905519456449e-07,0.5,5e-09
164.0,76.52296769619488,7.652296769619488e-07,0.5,5e-09
165.0,78.4303530922744,7.843035309227441e-07,0.5,5e-09
166.0,80.33086822087914,8.033086822087914e-07,0.5,5e-09
167.0,82.22419737500137,8.222419737500137e-07,0.5,5e-09
168.0,84.11005386284715,8.411005386284716e-07,0.5,5e-09
169.0,85.98818161983992,8.598818161983993e-07,0.5,5e-09
170.0,87.85835685941744,8.785835685941744e-07,0.5,5e-09
171.0,89.72038974190255,8.972038974190255e-07,0.5,5e-09
172.0,91.57412603112664,9.157412603112664e-07,0.5,5e-09
173.0,93.41944869805428,9.341944869805428e-07,0.5,5e-09
174.0,95.25627942130959,9.525627942130958e-07,0.5,5e-09
175.0,97.08457992918034,9.708457992918034e-07,0.5,5e-09
176.0,98.90435312991718,9.890435312991718e-07,0.5,5e-09
177.0,100.71564399005533,1.0071564399005533e-06,0.5,5e-09
178.0,102.51854014485055,1.0251854014485055e-06,0.5,5e-09
179.0,104.31317225665215,1.0431317225665216e-06,0.5,5e-09
180.0,106.09971416450212,1.0609971416450213e-06,0.5,5e-09
181.0,107.87838287057245,1.0787838287057245e-06,0.5,5e-09
182.0,109.64943835696987,1.0964943835696988e-06,0.5,5e-09
183.0,111.41318308730922,1.1141318308730922e-06,0.5,5e-09
184.0,113.16996079560849,1.131699607956085e-06,0.5,5e-09
185.0,114.92015379677153,1.1492015379677154e-06,0.5,5e-09
186.0,116.66417760359774,1.1666417760359774e-06,0.5,5e-09
187.0,118.40247119292495,1.1840247119292495e-06,0.5,5e-09
188.0,120.1354809717221,1.201354809717221e-06,0.5,5e-09
189.0,121.86363653632174,1.2186363653632174e-06,0.5,5e-09
190.0,123.58731688045648,1.2358731688045648e-06,0.5,5e-09
191.0,125.30680692054233,1.2530680692054233e-06,0.5,5e-09
192.0,127.02224607687698,1.27022246076877e-06,0.5,5e-09
193.0,128.73357300378984,1.2873357300378985e-06,0.5,5e-09
194.0,130.44047302300353,1.3044047302300355e-06,0.5,5e-09
195.0,132.1423368325509,1.321423368325509e-06,0.5,5e-09
196.0,133.83824001134406,1.3383824001134407e-06,0.5,5e-09
197.0,135.5269521622708,1.355269521622708e-06,0.5,5e-09
198.0,137.20698192505446,1.3720698192505446e-06,0.5,5e-09
199.0,138.87665962715084,1.3887665962715085e-06,0.5,5e-09
200.0,140.53425357267417,1.4053425357267417e-06,0.5,5e-09
201.0,142.1781098594132,1.4217810985941321e-06,0.5,5e-09
202.0,143.8068003740621,1.4380680037406212e-06,0.5,5e-09
203.0,145.4192604402082,1.4541926044020821e-06,0.5,5e-09
204.0,147.014897362076,1.47014897362076e-06,0.5,5e-09
205.0,148.59365413668067,1.4859365413668067e-06,0.5,5e-09
206.0,150.1560185292327,1.5015601852923272e-06,0.5,5e-09
207.0,151.7029755123632,1.517029755123632e-06,0.5,5e-09
208.0,153.23590932033562,1.5323590932033562e-06,0.5,5e-09
209.0,154.7564685204667,1.5475646852046672e-06,0.5,5e-09
210.0,156.26641225659642,1.5626641225659643e-06,0.5,5e-09
211.0,157.76745740535785,1.5776745740535785e-06,0.5,5e-09
212.0,159.2611447135789,1.5926114471357888e-06,0.5,5e-09
213.0,160.74873761551171,1.6074873761551172e-06,0.5,5e-09
214.0,162.2311613993941,1.622311613993941e-06,0.5,5e-09
215.0,163.7089839478392,1.637089839478392e-06,0.5,5e-09
216.0,165.18243357833472,1.6518243357833472e-06,0.5,5e-09
217.0,166.65144540931266,1.6665144540931266e-06,0.5,5e-09
218.0,168.11572558622947,1.6811572558622947e-06,0.5,5e-09
219.0,169.5748225874366,1.6957482258743661e-06,0.5,5e-09
220.0,171.02819630382405,1.7102819630382404e-06,0.5,5e-09
221.0,172.47527805825632,1.7247527805825632e-06,0.5,5e-09
222.0,173.91551756778549,1.739155175677855e-06,0.5,5e-09
223.0,175.3484155119761,1.753484155119761e-06,0.5,5e-09
224.0,176.77354248515132,1.7677354248515133e-06,0.5,5e-09
225.0,178.19054650594055,1.7819054650594055e-06,0.5,5e-09
226.0,179.59915193420113,1.7959915193420115e-06,0.5,5e-09
227.0,180.99915272464804,1.8099915272464806e-06,0.5,5e-09
228.0,182.3904026109114,1.823904026109114e-06,0.5,5e-09
229.0,183.77280425365674,1.8377280425365675e-06,0.5,5e-09
230.0,185.14629876309638,1.8514629876309638e-06,0.5,5e-09
231.0,186.51085643326024,1.8651085643326024e-06,0.5,5e-09
232.0,187.86646906602422,1.8786646906602422e-06,0.5,5e-09
233.0,189.21314393805832,1.8921314393805832e-06,0.5,5e-09
234.0,190.55089926504044,1.9055089926504044e-06,0.5,5e-09
235.0,191.87976092011905,1.9187976092011905e-06,0.5,5e-09
236.0,193.19976013784583,1.9319976013784585e-06,0.5,5e-09
237.0,194.51093195280367,1.945109319528037e-06,0.5,5e-09
238.0,195.81331416185233,1.9581331416185236e-06,0.5,5e-09
239.0,197.10694664501014,1.9710694664501015e-06,0.5,5e-09
240.0,198.39187092339478,1.9839187092339477e-06,0.5,5e-09
241.0,199.66812986896076,1.9966812986896076e-06,0.5,5e-09
242.0,200.93576750878654,2.0093576750878653e-06,0.5,5e-09
243.0,202.19482888694844,2.0219482888694843e-06,0.5,5e-09
244.0,203.44535996095092,2.0344535996095093e-06,0.5,5e-09
245.0,204.68740751882626,2.0468740751882627e-06,0.5,5e-09
246.0,205.9210191087768,2.0592101910877678e-06,0.5,5e-09
247.0,207.14624297672322,2.0714624297672322e-06,0.5,5e-09
248.0,208.36312800916946,2.0836312800916945e-06,0.5,5e-09
249.0,209.57172367995594,2.0957172367995592e-06,0.5,5e-09
250.0,210.77208000010972,2.107720800001097e-06,0.5,5e-09
251.0,211.9642474703438,2.119642474703438e-06,0.5,5e-09
252.0,213.14827703593286,2.1314827703593285e-06,0.5,5e-09
253.0,214.32422004379038,2.1432422004379036e-06,0.5,5e-09
254.0,215.49212820161281,2.154921282016128e-06,0.5,5e-09
255.0,216.6520535389865,2.166520535389865e-06,0.5,5e-09
256.0,217.80404837036156,2.1780404837036156e-06,0.5,5e-09
257.0,218.9481652598093,2.189481652598093e-06,0.5,5e-09
258.0,220.08445698748176,2.2008445698748177e-06,0.5,5e-09
259.0,221.2129765176993,2.212129765176993e-06,0.5,5e-09
260.0,222.33377696859355,2.2233377696859354e-06,0.5,5e-09
261.0,223.446911583237,2.2344691158323702e-06,0.5,5e-09
262.0,224.55243370219443,2.2455243370219445e-06,0.5,5e-09
263.0,225.65039673743382,2.256503967374338e-06,0.5,5e-09
264.0,226.74085414753603,2.2674085414753604e-06,0.5,5e-09
265.0,227.82385941414725,2.2782385941414724e-06,0.5,5e-09
266.0,228.89946601961975,2.2889946601961975e-06,0.5,5e-09
267.0,229.96772742578705,2.2996772742578704e-06,0.5,5e-09
268.0,231.02869705382648,2.310286970538265e-06,0.5,5e-09
269.0,232.08242826515897,2.32082428265159e-06,0.5,5e-09
270.0,233.128974343342,2.33128974343342e-06,0.5,5e-09
271.0,234.16838847691133,2.3416838847691135e-06,0.5,5e-09
272.0,235.20072374313054,2.3520072374313054e-06,0.5,5e-09
273.0,236.22603309260796,2.36226033092608e-06,0.5,5e-09
274.0,237.24436933474325,2.3724436933474325e-06,0.5,5e-09
275.0,238.25578512396697,2.3825578512396696e-06,0.5,5e-09
276.0,239.2603329467382,2.392603329467382e-06,0.5,5e-09
277.0,240.25806510926708,2.402580651092671e-06,0.5,5e-09
278.0,241.2490337259306,2.4124903372593058e-06,0.5,5e-09
279.0,242.23329070835004,2.4223329070835006e-06,0.5,5e-09
280.0,243.21088775510202,2.4321088775510202e-06,0.5,5e-09
281.0,244.18187634203488,2.441818763420349e-06,0.5,5e-09
282.0,245.14630771316288,2.451463077131629e-06,0.5,5e-09
283.0,246.10423287211353,2.4610423287211355e-06,0.5,5e-09
284.0,247.05570257410363,2.4705570257410365e-06,0.5,5e-09
285.0,248.0007673184192,2.480007673184192e-06,0.5,5e-09
286.0,248.9394773413784,2.489394773413784e-06,0.5,5e-09
287.0,249.87188260975526,2.4987188260975526e-06,0.5,5e-09
288.0,250.79803281464336,2.5079803281464335e-06,0.5,5e-09
289.0,251.71797736574055,2.5171797736574056e-06,0.5,5e-09
290.0,252.63176538603471,2.5263176538603473e-06,0.5,5e-09
