phase,T_K,Cp_J_per_molK
solid,827.1767068273092,25.492427260072866
solid,832.7469879518072,25.520766581854577
solid,838.3172690763053,25.54897021114474
solid,843.8875502008032,25.577041798891948
solid,849.4578313253012,25.604984878161012
solid,855.0281124497992,25.632802868725804
solid,860.5983935742972,25.660499081454628
solid,866.1686746987951,25.688076722498852
solid,871.7389558232932,25.715538897294806
solid,877.3092369477912,25.74288861438829
solid,882.8795180722891,25.77012878909085
solid,888.4497991967871,25.797262246975976
solid,894.0200803212851,25.824291727223343
solid,899.5903614457832,25.85121988581857
solid,905.1606425702811,25.8780492986155
solid,910.7309236947791,25.90478246426787
solid,916.3012048192771,25.93142180703651
solid,921.871485943775,25.957969679478236
solid,927.4417670682731,25.98442836502202
solid,933.0120481927711,26.010800080437804
solid,938.5823293172691,26.037086978203085
solid,944.152610441767,26.063291148772002
solid,949.722891566265,26.089414622751637
solid,955.2931726907631,26.1154593729896
solid,960.8634538152611,26.1414273165773
solid,966.433734939759,26.16732031677252
solid,972.004016064257,26.193140184845134
solid,977.574297188755,26.218888681849403
solid,983.144578313253,26.24456752032617
solid,988.714859437751,26.270178365938182
solid,994.285140562249,26.295722839041332
solid,999.855421686747,26.32120251619494
solid,1005.425702811245,26.34661893161353
solid,1010.995983935743,26.371973578562805
solid,1016.566265060241,26.39726791070223
solid,1022.1365461847389,26.42250334337652
solid,1027.7068273092368,26.447681254858274
solid,1033.277108433735,26.472802987543844
solid,1038.8473895582329,26.497869849104422
solid,1044.4176706827309,26.522883113594325
solid,1049.987951807229,26.547844022518106
solid,1055.558232931727,26.572753785858538
solid,1061.128514056225,26.597613583066735
solid,1066.6987951807228,26.622424564016313
solid,1072.269076305221,26.647187849922858
solid,1077.8393574297188,26.67190453423028
solid,1083.4096385542168,26.69657568346529
solid,1088.9799196787149,26.721202338061417
solid,1094.5502008032129,26.745785513153706
solid,1100.120481927711,26.77032619934533
solid,1105.6907630522087,26.79482536344727
solid,1111.261044176707,26.819283949192027
solid,1116.8313253012047,26.843702877922567
solid,1122.4016064257028,26.86808304925735
solid,1127.9718875502008,26.892425341732398
solid,1133.5421686746988,26.916730613421407
solid,1139.1124497991968,26.940999702534615
solid,1144.6827309236946,26.96523342799734
solid,1150.2530120481929,26.989432590008988
solid,1155.8232931726907,27.0135979705832
solid,1161.3935742971887,27.037730334069927
solid,1166.9638554216867,27.061830427660116
solid,1172.5341365461848,27.085898981873644
solid,1178.1044176706828,27.10993671103112
solid,1183.6746987951806,27.133944313710213
solid,1189.2449799196788,27.157922473187043
solid,1194.8152610441766,27.18187185786319
solid,1200.3855421686746,27.20579312167889
solid,1205.9558232931727,27.229686904512864
solid,1211.5261044176707,27.253553832569356
solid,1217.0963855421687,27.277394518752736
solid,1222.6666666666665,27.30120956303027
solid,1228.2369477911648,27.324999552783318
solid,1233.8072289156626,27.34876506314751
solid,1239.3775100401606,27.372506657342218
solid,1244.9477911646586,27.39622488698973
solid,1250.5180722891566,27.419920292424546
solid,1256.0883534136547,27.443593402992985
solid,1261.6586345381525,27.467244737343687
solid,1267.2289156626507,27.490874803709087
solid,1272.7991967871485,27.51448410017835
solid,1278.3694779116465,27.53807311496197
solid,1283.9397590361446,27.56164232664835
solid,1289.5100401606426,27.585192204452667
solid,1295.0803212851406,27.608723208458215
solid,1300.6506024096384,27.632235789850586
solid,1306.2208835341366,27.65573039114482
solid,1311.7911646586344,27.679207446405854
solid,1317.3614457831327,27.702667381462454
solid,1322.9317269076305,27.726110614114823
solid,1328.5020080321285,27.749537554336186
solid,1334.0722891566265,27.77294860446845
solid,1339.6425702811246,27.79634415941219
solid,1345.2128514056226,27.819724606811146
solid,1350.7831325301204,27.843090327231405
solid,1356.3534136546184,27.86644169433546
solid,1361.9236947791164,27.889779075051248
solid,1367.4939759036145,27.91310282973641
solid,1373.0642570281125,27.936413312337915
solid,1378.6345381526105,27.95971087054714
solid,1384.2048192771085,27.98299584595062
solid,1389.7751004016063,28.00626857417653
solid,1395.3453815261043,28.02952938503716
solid,1400.9156626506024,28.052778602667363
solid,1406.4859437751004,28.07601654565921
solid,1412.0562248995984,28.099243527192893
solid,1417.6265060240964,28.122459855164117
solid,1423.1967871485945,28.145665832307873
solid,1428.7670682730923,28.168861756319032
solid,1434.3373493975903,28.19204791996944
solid,1439.9076305220883,28.215224611222062
solid,1445.4779116465863,28.23839211334188
solid,1451.0481927710844,28.261550705003955
solid,1456.6184738955824,28.284700660398492
solid,1462.1887550200804,28.307842249333184
solid,1467.7590361445782,28.330975737332796
solid,1473.3293172690762,28.354101385736158
solid,1478.8995983935743,28.377219451790573
solid,1484.4698795180723,28.400330188743748
solid,1490.0401606425703,28.423433845933356
solid,1495.6104417670683,28.446530668874242
solid,1501.1807228915663,28.469620899343386
solid,1506.7510040160641,28.49270477546263
solid,1512.3212851405622,28.51578253177934
solid,1517.8915662650602,28.538854399344945
solid,1523.4618473895582,28.561920605791496
solid,1529.0321285140562,28.584981375406265
solid,1534.6024096385543,28.608036929204477
solid,1540.1726907630523,28.631087485000158
solid,1545.74297188755,28.654133257475245
solid,1551.313253012048,28.677174458246935
solid,1556.8835341365461,28.700211295933357
solid,1562.4538152610442,28.723243976217617
solid,1568.0240963855422,28.74627270191022
solid,1573.5943775100402,28.76929767301002
solid,1579.1646586345382,28.79231908676357
solid,1584.7349397590363,28.815337137723102
solid,1590.305220883534,28.83835201780303
solid,1595.875502008032,28.861363916335115
solid,1601.44578313253,28.884373020122236
solid,1607.0160642570281,28.907379513490937
solid,1612.5863453815261,28.930383578342635
solid,1618.1566265060242,28.953385394203618
solid,1623.7269076305222,28.97638513827388
solid,1629.29718875502,28.999382985474696
solid,1634.867469879518,29.022379108495223
solid,1640.437751004016,29.045373677837787
solid,1646.008032128514,29.068366861862316
solid,1651.578313253012,29.091358826829534
solid,1657.14859437751,29.114349736943286
solid,1662.7188755020081,29.13733975439178
solid,1668.289156626506,29.16032903938792
solid,1673.859437751004,29.18331775020867
solid,1679.429718875502,29.206306043233518
solid,1685.0,29.229294072982047
liquid,1685.0,27.196039999915282
liquid,1692.3076947791164,27.19603999991531
liquid,1699.615389558233,27.19603999991533
liquid,1706.9230843373493,27.19603999991536
liquid,1714.2307791164658,27.19603999991539
liquid,1721.5384738955822,27.196039999915417
liquid,1728.846168674699,27.196039999915453
liquid,1736.1538634538153,27.196039999915488
liquid,1743.4615582329318,27.19603999991552
liquid,1750.7692530120482,27.196039999915563
liquid,1758.0769477911647,27.196039999915598
liquid,1765.3846425702811,27.19603999991564
liquid,1772.6923373493976,27.19603999991568
liquid,1780.000032128514,27.196039999915726
liquid,1787.3077269076305,27.196039999915772
liquid,1794.615421686747,27.19603999991582
liquid,1801.9231164658634,27.196039999915868
liquid,1809.23081124498,27.19603999991592
liquid,1816.5385060240965,27.19603999991597
liquid,1823.846200803213,27.196039999916024
liquid,1831.1538955823294,27.196039999916078
liquid,1838.4615903614458,27.196039999916135
liquid,1845.7692851405623,27.19603999991619
liquid,1853.0769799196787,27.196039999916252
liquid,1860.3846746987952,27.196039999916312
liquid,1867.6923694779116,27.196039999916376
liquid,1875.000064257028,27.196039999916444
liquid,1882.3077590361445,27.196039999916504
liquid,1889.615453815261,27.19603999991657
liquid,1896.9231485943776,27.19603999991664
liquid,1904.230843373494,27.19603999991671
liquid,1911.5385381526105,27.19603999991678
liquid,1918.846232931727,27.196039999916856
liquid,1926.1539277108434,27.196039999916927
liquid,1933.4616224899598,27.196039999917005
liquid,1940.7693172690763,27.196039999917076
liquid,1948.0770120481927,27.196039999917154
liquid,1955.3847068273092,27.196039999917232
liquid,1962.6924016064258,27.196039999917314
liquid,1970.0000963855423,27.196039999917396
