t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.077002048,2.80780608e-22,1.07735583e-22,0,
-0.076757908,3.11244934e-22,5.33755687e-23,0,
-0.076513767,3.40262369e-22,7.85864147e-24,0,
-0.076269627,3.59651685e-22,5.78747677e-23,0,
-0.076025486,3.64979287e-22,1.09447873e-22,0,
-0.075781345,3.56821577e-22,1.58581421e-22,0,
-0.075537205,3.35001968e-22,2.02370708e-22,0,
-0.075293064,3.03533062e-22,2.41887831e-22,0,
-0.075048923,2.67966077e-22,2.73596501e-22,0,
-0.074804783,2.36760053e-22,2.98603283e-22,0,
-0.074560642,2.11645433e-22,3.12963158e-22,0,
-0.074316502,1.90996411e-22,3.18037284e-22,0,
-0.074072361,1.72441441e-22,3.1082249e-22,0,
-0.07382822,1.61054553e-22,2.93513206e-22,0,
-0.07358408,1.62760372e-22,2.65252376e-22,0,
-0.073339939,1.83532735e-22,2.29710722e-22,0,
-0.073095798,2.21857755e-22,1.89737728e-22,0,
-0.072851658,2.71259261e-22,1.53797031e-22,0,
-0.072607517,3.19513963e-22,1.33928775e-22,0,
-0.072363377,3.58211168e-22,1.43530675e-22,0,
-0.072119236,3.8238186e-22,1.76419552e-22,0,
-0.071875095,3.9381646e-22,2.20236133e-22,1,1.788155533
-0.071630955,3.94341353e-22,2.627752e-22,1,1.500679488
-0.071386814,3.8862134e-22,2.99919728e-22,1,1.295751175
-0.071142673,3.81281378e-22,3.26632991e-22,1,1.167308228
-0.070898533,3.78774213e-22,3.42253897e-22,1,1.106705334
-0.070654392,3.80820624e-22,3.45292694e-22,1,1.102892215
-0.070410252,3.81945511e-22,3.36329677e-22,1,1.135628336
-0.070166111,3.74124411e-22,3.1639994e-22,1,1.182441472
-0.06992197,3.54863753e-22,2.86252158e-22,1,1.239689357
-0.06967783,3.25412826e-22,2.48714114e-22,1,1.308381019
-0.069433689,2.91232356e-22,2.05042154e-22,0,
-0.069189548,2.61842495e-22,1.61266435e-22,0,
-0.068945408,2.52424868e-22,1.24164196e-22,0,
-0.068701267,2.70859241e-22,1.10323338e-22,0,
-0.068457127,3.07180415e-22,1.27322469e-22,0,
-0.068212986,3.43472464e-22,1.63358517e-22,0,
-0.067968845,3.68490171e-22,2.0338267e-22,0,
-0.067724705,3.77122792e-22,2.3952174e-22,1,1.574482518
-0.067480564,3.67949021e-22,2.67152342e-22,1,1.377300378
-0.067236423,3.42213586e-22,2.84636843e-22,1,1.202281415
-0.066992283,3.05492703e-22,2.89968744e-22,1,1.053536662
-0.066748142,2.6931144e-22,2.84732919e-22,0,
-0.066504002,2.44870317e-22,2.68624709e-22,0,
-0.066259861,2.36281634e-22,2.46252641e-22,0,
-0.06601572,2.37027742e-22,2.1950861e-22,0,
-0.06577158,2.39094075e-22,1.96276587e-22,0,
-0.065527439,2.35372775e-22,1.81507904e-22,0,
-0.065283298,2.22725184e-22,1.84160892e-22,0,
-0.065039158,2.02185134e-22,2.03728105e-22,0,
-0.064795017,1.84083907e-22,2.376129e-22,0,
-0.064550877,1.80438224e-22,2.77102945e-22,0,
-0.064306736,1.94138281e-22,3.1822578e-22,0,
-0.064062595,2.14079882e-22,3.54221955e-22,0,
-0.063818455,2.30076024e-22,3.83666251e-22,1,0.599677513
-0.063574314,2.34775594e-22,4.01348351e-22,1,0.584967133
-0.063330173,2.25122311e-22,4.07797573e-22,1,0.552044265
-0.063086033,1.99255287e-22,3.99460625e-22,1,0.498810832
-0.062841892,1.62699035e-22,3.78827063e-22,0,
-0.062597752,1.27068134e-22,3.44670902e-22,0,
-0.062353611,1.12483846e-22,3.01567476e-22,0,
-0.06210947,1.25198871e-22,2.51536361e-22,0,
-0.06186533,1.50853787e-22,2.02627738e-22,0,
-0.061621189,1.7346744e-22,1.6359841e-22,0,
-0.061377048,1.85884054e-22,1.50704046e-22,0,
-0.061132908,1.83683127e-22,1.68168484e-22,0,
-0.060888767,1.69908069e-22,2.06847606e-22,0,
-0.060644627,1.52289087e-22,2.5059916e-22,0,
-0.060400486,1.44208865e-22,2.93967781e-22,0,
-0.060156345,1.50960226e-22,3.30443954e-22,0,
-0.059912205,1.68561002e-22,3.59876813e-22,0,
-0.059668064,1.87203346e-22,3.78370322e-22,0,
-0.059423923,2.00644682e-22,3.86276782e-22,0,
-0.059179783,2.02442376e-22,3.81080842e-22,0,
-0.058935642,1.90694405e-22,3.63630001e-22,0,
-0.058691502,1.66399839e-22,3.34081594e-22,0,
-0.058447361,1.36705893e-22,2.95201078e-22,0,
-0.05820322,1.11314363e-22,2.51803662e-22,0,
-0.05795908,1.0105464e-22,2.11987069e-22,0,
-0.057714939,1.0854706e-22,1.88969975e-22,0,
-0.057470798,1.2615486e-22,1.94628972e-22,0,
-0.057226658,1.42776123e-22,2.27235568e-22,0,
-0.056982517,1.51371024e-22,2.74875706e-22,0,
-0.056738377,1.48942072e-22,3.25579913e-22,0,
-0.056494236,1.37638265e-22,3.72777185e-22,0,
-0.056250095,1.23806439e-22,4.1187641e-22,0,
-0.056005955,1.14667083e-22,4.40311647e-22,0,
-0.055761814,1.1641307e-22,4.57239087e-22,0,
-0.055517673,1.29074625e-22,4.61173995e-22,0,
-0.055273533,1.48268117e-22,4.53564284e-22,0,
-0.055029392,1.65616469e-22,4.33248854e-22,0,
-0.054785252,1.74611469e-22,4.03617521e-22,0,
-0.054541111,1.6967519e-22,3.645529e-22,0,
-0.05429697,1.50662353e-22,3.2240873e-22,0,
-0.05405283,1.18115562e-22,2.80614174e-22,0,
-0.053808689,7.71871899e-23,2.50706888e-22,0,
-0.053564548,4.50572535e-23,2.39322068e-22,0,
-0.053320408,7.44875839e-23,2.52650337e-22,0,
-0.053076267,1.34279691e-22,2.81845362e-22,0,
-0.052832127,1.95713943e-22,3.19211134e-22,0,
-0.052587986,2.4864063e-22,3.53164604e-22,1,0.704036099
-0.052343845,2.90144385e-22,3.80456103e-22,1,0.762622503
-0.052099705,3.18224715e-22,3.94648524e-22,1,0.806349691
-0.051855564,3.34522963e-22,3.96825809e-22,1,0.842996992
-0.051611423,3.3988074e-22,3.83997195e-22,1,0.885112558
-0.051367283,3.38739793e-22,3.59740715e-22,1,0.94162206
-0.051123142,3.36481618e-22,3.23811611e-22,1,1.039127712
-0.050879002,3.37979662e-22,2.81479766e-22,1,1.200724539
-0.050634861,3.42149557e-22,2.35653715e-22,1,1.451916672
-0.05039072,3.42884516e-22,1.95163889e-22,0,
-0.05014658,3.34128114e-22,1.69622602e-22,0,
-0.049902439,3.11545738e-22,1.71824448e-22,0,
-0.049658298,2.74269843e-22,1.98684935e-22,0,
-0.049414158,2.21457494e-22,2.40283694e-22,0,
-0.049170017,1.57657536e-22,2.82685074e-22,0,
-0.048925877,9.44770844e-23,3.20585967e-22,0,
-0.048681736,7.48985673e-23,3.46861222e-22,0,
-0.048437595,1.17169674e-22,3.60063804e-22,0,
-0.048193455,1.68539117e-22,3.57127629e-22,0,
-0.047949314,2.08776123e-22,3.38545737e-22,0,
-0.047705173,2.33933692e-22,3.05295244e-22,0,
-0.047461033,2.43290096e-22,2.59947622e-22,0,
-0.047216892,2.41825045e-22,2.08716806e-22,0,
-0.046972752,2.37509034e-22,1.61065845e-22,0,
-0.046728611,2.40222634e-22,1.38117182e-22,0,
-0.04648447,2.49868296e-22,1.5675834e-22,0,
-0.04624033,2.60298379e-22,2.04212996e-22,0,
-0.045996189,2.61975236e-22,2.60706423e-22,0,
-0.045752048,2.50763784e-22,3.14457918e-22,0,
-0.045507908,2.23197762e-22,3.61142313e-22,1,0.61803271
-0.045263767,1.83148124e-22,3.98145258e-22,0,
-0.045019627,1.44206127e-22,4.24410977e-22,0,
-0.044775486,1.4235484e-22,4.40715208e-22,0,
-0.044531345,1.89521563e-22,4.4664165e-22,1,0.424325773
-0.044287205,2.56629002e-22,4.45318535e-22,1,0.576281878
-0.044043064,3.19534681e-22,4.36644538e-22,1,0.731795897
-0.043798923,3.68721163e-22,4.25541804e-22,1,0.866474597
-0.043554783,3.97182122e-22,4.11935253e-22,1,0.964185802
-0.043310642,4.03856109e-22,4.01350305e-22,1,1.006243434
-0.043066502,3.89947486e-22,3.92625342e-22,1,0.993179617
-0.042822361,3.6518355e-22,3.89918787e-22,1,0.936563105
-0.04257822,3.39948025e-22,3.89262845e-22,1,0.873312287
-0.04233408,3.24363231e-22,3.92115319e-22,1,0.827213872
-0.042089939,3.19240743e-22,3.92182832e-22,1,0.81400999
-0.041845798,3.21626431e-22,3.90466111e-22,1,0.823698709
-0.041601658,3.23600039e-22,3.81827511e-22,1,0.847503203
-0.041357517,3.1980522e-22,3.69928075e-22,1,0.864506484
-0.041113377,3.07528591e-22,3.53039529e-22,1,0.871088264
-0.040869236,2.94422841e-22,3.38025499e-22,1,0.871007783
-0.040625095,2.92438024e-22,3.25334836e-22,1,0.898883219
-0.040380955,3.10322784e-22,3.21380536e-22,1,0.965592964
-0.040136814,3.42059156e-22,3.2336631e-22,1,1.057807032
-0.039892673,3.76616995e-22,3.32862708e-22,1,1.131448451
