t_s,env_h1,env_v1,selected,ratio_h1_v1_selected
-0.077099562,3.69457699e-10,5.45487438e-09,1,0.067729827
-0.076855421,3.46228737e-10,5.45198605e-09,1,0.063505067
-0.07661128,3.1363458e-10,5.47860469e-09,1,0.057247164
-0.07636714,2.72647405e-10,5.48161819e-09,1,0.049738489
-0.076122999,2.26278397e-10,5.50420477e-09,1,0.041110098
-0.075878859,1.76600033e-10,5.50271665e-09,0,
-0.075634718,1.29989917e-10,5.50806494e-09,0,
-0.075390577,9.60884602e-11,5.49592885e-09,0,
-0.075146437,9.33848022e-11,5.47812692e-09,0,
-0.074902296,1.20327995e-10,5.45522264e-09,0,
-0.074658155,1.58150331e-10,5.41697728e-09,0,
-0.074414015,1.95248851e-10,5.38854781e-09,0,
-0.074169874,2.26987782e-10,5.33990839e-09,1,0.042507805
-0.073925734,2.50589868e-10,5.31469817e-09,1,0.047150348
-0.073681593,2.65408061e-10,5.27006978e-09,1,0.050361394
-0.073437452,2.70033333e-10,5.25787533e-09,1,0.051357881
-0.073193312,2.65517519e-10,5.23191372e-09,1,0.050749598
-0.072949171,2.51096537e-10,5.24049088e-09,1,0.047914698
-0.07270503,2.29095009e-10,5.24345611e-09,1,0.043691604
-0.07246089,1.99497895e-10,5.27510341e-09,0,
-0.072216749,1.65865699e-10,5.30895702e-09,0,
-0.071972609,1.29880619e-10,5.35832571e-09,0,
-0.071728468,9.86870188e-11,5.41547827e-09,0,
-0.071484327,8.15939636e-11,5.4704572e-09,0,
-0.071240187,9.01216973e-11,5.53618991e-09,0,
-0.070996046,1.15891176e-10,5.5819983e-09,0,
-0.070751905,1.47866542e-10,5.63953724e-09,0,
-0.070507765,1.77952713e-10,5.66407763e-09,0,
-0.070263624,2.04251201e-10,5.70007361e-09,0,
-0.070019484,2.23534063e-10,5.69815857e-09,1,0.039229176
-0.069775343,2.36246364e-10,5.70662852e-09,1,0.041398588
-0.069531202,2.40428923e-10,5.68164716e-09,1,0.042316764
-0.069287062,2.37369549e-10,5.66531414e-09,1,0.041898744
-0.069042921,2.26116964e-10,5.62798751e-09,1,0.040177233
-0.06879878,2.0827245e-10,5.59669664e-09,0,
