t_s,env_l1,env_v1,selected,ratio_l1_v1_selected
-0.048925877,1.69339796e-22,4.01063102e-21,0,
-0.048681736,1.62761872e-22,4.53880269e-21,0,
-0.048437595,1.56718263e-22,4.99853384e-21,0,
-0.048193455,1.50224182e-22,5.30670417e-21,0,
-0.047949314,1.41385887e-22,5.40603301e-21,0,
-0.047705173,1.2945896e-22,5.2651649e-21,0,
-0.047461033,1.15757151e-22,4.90996958e-21,0,
-0.047216892,1.05809511e-22,4.37609689e-21,0,
-0.046972752,1.07799082e-22,3.77694921e-21,0,
-0.046728611,1.258789e-22,3.2798368e-21,0,
-0.04648447,1.55053007e-22,3.08953022e-21,0,
-0.04624033,1.87999777e-22,3.32292177e-21,0,
-0.045996189,2.18893514e-22,3.84075502e-21,0,
-0.045752048,2.44329755e-22,4.42766904e-21,1,0.055182479
-0.045507908,2.62182597e-22,4.92662874e-21,1,0.053217446
-0.045263767,2.71824051e-22,5.21990943e-21,1,0.052074477
-0.045019627,2.7303555e-22,5.26954781e-21,1,0.051813848
-0.044775486,2.66347269e-22,5.04964593e-21,1,0.052745732
-0.044531345,2.52208159e-22,4.58143449e-21,1,0.055050042
-0.044287205,2.31529142e-22,3.92621002e-21,0,
-0.044043064,2.05199856e-22,3.16724341e-21,0,
-0.043798923,1.74591488e-22,2.48951863e-21,0,
-0.043554783,1.41402115e-22,2.15237451e-21,0,
-0.043310642,1.08371777e-22,2.34068205e-21,0,
-0.043066502,8.02614713e-23,2.88387783e-21,0,
-0.042822361,6.53531438e-23,3.48861495e-21,0,
-0.04257822,6.90772038e-23,4.00306455e-21,0,
-0.04233408,8.33674681e-23,4.36531275e-21,0,
-0.042089939,9.73489967e-23,4.544418e-21,0,
-0.041845798,1.05737422e-22,4.5738213e-21,0,
-0.041601658,1.06843909e-22,4.47649981e-21,0,
-0.041357517,1.02674628e-22,4.30771841e-21,0,
-0.041113377,9.93286154e-23,4.1199119e-21,0,
-0.040869236,1.06942069e-22,3.93328033e-21,0,
-0.040625095,1.31560255e-22,3.77791329e-21,0,
-0.040380955,1.70296804e-22,3.63423011e-21,0,
-0.040136814,2.16282067e-22,3.49472396e-21,0,
-0.039892673,2.63839272e-22,3.36896238e-21,0,
-0.039648533,3.08238481e-22,3.2645423e-21,0,
-0.039404392,3.46072865e-22,3.24124818e-21,1,0.10677148
-0.039160252,3.74491768e-22,3.33048692e-21,1,0.112443549
-0.038916111,3.91653146e-22,3.53152087e-21,1,0.110902118
-0.03867197,3.96411492e-22,3.8165208e-21,1,0.103867243
-0.03842783,3.88615812e-22,4.09457696e-21,1,0.094909881
-0.038183689,3.69115761e-22,4.30238149e-21,1,0.085793359
-0.037939548,3.39548736e-22,4.37418189e-21,1,0.077625655
-0.037695408,3.02478449e-22,4.2595365e-21,1,0.071012057
-0.037451267,2.60811683e-22,3.9607673e-21,0,
-0.037207127,2.18397273e-22,3.47254123e-21,0,
-0.036962986,1.79591069e-22,2.86339887e-21,0,
-0.036718845,1.50226025e-22,2.23991537e-21,0,
-0.036474705,1.35642687e-22,1.81447019e-21,0,
-0.036230564,1.37014118e-22,1.87198623e-21,0,
-0.035986423,1.48025147e-22,2.34595881e-21,0,
-0.035742283,1.60349736e-22,2.94789951e-21,0,
-0.035498142,1.67425672e-22,3.50184056e-21,0,
-0.035254002,1.65902559e-22,3.89301856e-21,0,
-0.035009861,1.54558959e-22,4.09761942e-21,0,
-0.03476572,1.35218593e-22,4.09706245e-21,0,
-0.03452158,1.13379419e-22,3.90530369e-21,0,
-0.034277439,1.02222924e-22,3.57647101e-21,0,
-0.034033298,1.16732865e-22,3.14911692e-21,0,
-0.033789158,1.54944383e-22,2.7237606e-21,0,
-0.033545017,2.03689203e-22,2.38334661e-21,0,
-0.033300877,2.5352178e-22,2.21144056e-21,0,
-0.033056736,2.98328303e-22,2.25444804e-21,0,
-0.032812595,3.3445169e-22,2.44147172e-21,0,
-0.032568455,3.59372207e-22,2.70327995e-21,0,
-0.032324314,3.7248574e-22,2.98418257e-21,1,0.124820024
-0.032080173,3.74031039e-22,3.23019038e-21,1,0.115792258
-0.031836033,3.65790612e-22,3.44429376e-21,1,0.10620192
-0.031591892,3.49624805e-22,3.5899913e-21,1,0.097388761
-0.031347752,3.28076299e-22,3.65436478e-21,1,0.08977656
-0.031103611,3.03234395e-22,3.62535358e-21,1,0.083642709
-0.03085947,2.77627016e-22,3.46360326e-21,0,
-0.03061533,2.53630004e-22,3.18554612e-21,0,
-0.030371189,2.34514475e-22,2.7739746e-21,0,
-0.030127048,2.23742137e-22,2.2708249e-21,0,
-0.029882908,2.24444691e-22,1.75822635e-21,0,
-0.029638767,2.36787177e-22,1.38862947e-21,0,
-0.029394627,2.57985828e-22,1.42742281e-21,0,
-0.029150486,2.83096589e-22,1.83660661e-21,0,
-0.028906345,3.07405201e-22,2.34868254e-21,0,
-0.028662205,3.26607034e-22,2.82119958e-21,0,
-0.028418064,3.37616036e-22,3.14058163e-21,0,
-0.028173923,3.38298848e-22,3.27574786e-21,1,0.103273775
-0.027929783,3.27879149e-22,3.20815741e-21,0,
-0.027685642,3.0695318e-22,2.92744747e-21,0,
-0.027441502,2.77487329e-22,2.49290362e-21,0,
-0.027197361,2.43426773e-22,1.93497221e-21,0,
-0.02695322,2.10785417e-22,1.39786005e-21,0,
-0.02670908,1.88441166e-22,1.12124617e-21,0,
-0.026464939,1.84785006e-22,1.30821245e-21,0,
-0.026220798,2.0170676e-22,1.7604518e-21,0,
-0.025976658,2.32595104e-22,2.20193774e-21,0,
-0.025732517,2.69091002e-22,2.50813209e-21,0,
-0.025488377,3.04547377e-22,2.65879207e-21,0,
-0.025244236,3.34367345e-22,2.60521532e-21,0,
-0.025000095,3.54823567e-22,2.39666205e-21,0,
-0.024755955,3.63400085e-22,2.0510501e-21,0,
-0.024511814,3.58017544e-22,1.63982526e-21,0,
-0.024267673,3.38369704e-22,1.29741511e-21,0,
-0.024023533,3.04999565e-22,1.14778013e-21,0,
-0.023779392,2.61108832e-22,1.27629708e-21,0,
-0.023535252,2.11761311e-22,1.54211764e-21,0,
-0.023291111,1.67846543e-22,1.77126273e-21,0,
-0.02304697,1.47569688e-22,1.93831163e-21,0,
-0.02280283,1.66730589e-22,2.00120567e-21,0,
-0.022558689,2.14846345e-22,2.00157881e-21,0,
-0.022314548,2.74446936e-22,2.01831649e-21,0,
-0.022070408,3.35076837e-22,2.07649832e-21,0,
-0.021826267,3.92132031e-22,2.24896007e-21,0,
-0.021582127,4.42458317e-22,2.47708241e-21,1,0.178620749
-0.021337986,4.84623458e-22,2.69383906e-21,1,0.179900672
-0.021093845,5.16589898e-22,2.85834492e-21,1,0.180730427
-0.020849705,5.37467325e-22,2.86363145e-21,1,0.187687324
-0.020605564,5.45300078e-22,2.731324e-21,1,0.199646793
-0.020361423,5.39504091e-22,2.40011601e-21,1,0.224782506
-0.020117283,5.18952772e-22,1.91243525e-21,0,
-0.019873142,4.84884982e-22,1.29774121e-21,0,
-0.019629002,4.39175289e-22,6.45502501e-22,0,
-0.019384861,3.86933556e-22,5.56857352e-22,0,
-0.01914072,3.34928658e-22,1.2095515e-21,0,
-0.01889658,2.93332015e-22,1.86945068e-21,0,
-0.018652439,2.71420615e-22,2.43666812e-21,0,
-0.018408298,2.72837556e-22,2.82684665e-21,0,
-0.018164158,2.89962194e-22,3.01162959e-21,0,
-0.017920017,3.11688788e-22,3.01254883e-21,0,
-0.017675877,3.27966041e-22,2.79236881e-21,0,
-0.017431736,3.33958919e-22,2.47780009e-21,0,
-0.017187595,3.27285706e-22,2.05577025e-21,0,
-0.016943455,3.09365635e-22,1.76441057e-21,0,
-0.016699314,2.8316157e-22,1.63700457e-21,0,
-0.016455173,2.54404735e-22,1.82365944e-21,0,
-0.016211033,2.30024192e-22,2.05913199e-21,0,
