t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.09829092,5.63484631e-23,2.91145441e-22,0,
-0.09804678,4.10553102e-23,2.72995224e-22,0,
-0.097802639,3.13904403e-23,2.36270166e-22,0,
-0.097558498,3.07831568e-23,1.97332841e-22,0,
-0.097314358,3.98994652e-23,1.70527259e-22,0,
-0.097070217,4.89338255e-23,1.60637732e-22,0,
-0.096826077,5.88030738e-23,1.6253963e-22,0,
-0.096581936,6.83427132e-23,1.56466088e-22,0,
-0.096337795,7.99714579e-23,1.35493874e-22,0,
-0.096093655,9.46365881e-23,1.0560734e-22,0,
-0.095849514,1.0935648e-22,9.98693469e-23,0,
-0.095605373,1.24978318e-22,1.50456796e-22,0,
-0.095361233,1.36173814e-22,2.28710261e-22,0,
-0.095117092,1.45023457e-22,3.09088095e-22,0,
-0.094872952,1.47759798e-22,3.75143133e-22,0,
-0.094628811,1.46996179e-22,4.19049973e-22,0,
-0.09438467,1.42869281e-22,4.30216451e-22,0,
-0.09414053,1.4172016e-22,4.10893677e-22,0,
-0.093896389,1.48315061e-22,3.5940658e-22,0,
-0.093652248,1.65650559e-22,2.86349413e-22,0,
-0.093408108,1.90313307e-22,1.99050902e-22,0,
-0.093163967,2.18652111e-22,1.11851743e-22,0,
-0.092919827,2.46715343e-22,5.09418448e-23,0,
-0.092675686,2.70663659e-22,6.90042629e-23,0,
-0.092431545,2.88436539e-22,9.86071224e-23,0,
-0.092187405,2.97530972e-22,1.04020415e-22,0,
-0.091943264,3.00764587e-22,7.95373683e-23,0,
-0.091699123,2.9741962e-22,3.75992104e-23,0,
-0.091454983,2.91213273e-22,5.91520996e-23,0,
-0.091210842,2.79623499e-22,1.3136917e-22,0,
-0.090966702,2.6644371e-22,2.02093264e-22,0,
-0.090722561,2.49472066e-22,2.58815752e-22,0,
-0.09047842,2.31954893e-22,2.87312703e-22,0,
-0.09023428,2.1031372e-22,2.85062027e-22,0,
-0.089990139,1.86892773e-22,2.46921255e-22,0,
-0.089745998,1.60144161e-22,1.78984818e-22,0,
-0.089501858,1.33109628e-22,8.8149623e-23,0,
-0.089257717,1.0504232e-22,3.32397938e-23,0,
-0.089013577,7.72122841e-23,1.31391764e-22,0,
