trial_id,status,reason,n_usable_events,n_pair_pruned_events,tensor_reject_events,watch_events,scalar_overlap_proxy,corr_use_min,response_floor_frac,min_ring_directions,geometry_relax_factor,geometry_delay_floor_ms,allow_pair_pruning,top_bottleneck_pair,top_bottleneck_share,returncode,trial_json
tmp_ng_breakthrough_0009,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.08,10,2,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0009.json
tmp_ng_breakthrough_0011,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.08,10,4,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0011.json
tmp_ng_breakthrough_0013,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.1,6,2,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0013.json
tmp_ng_breakthrough_0015,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.1,6,4,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0015.json
tmp_ng_breakthrough_0017,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.1,8,2,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0017.json
tmp_ng_breakthrough_0019,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.1,8,4,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0019.json
tmp_ng_breakthrough_0021,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.1,10,2,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0021.json
tmp_ng_breakthrough_0023,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.1,10,4,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0023.json
tmp_ng_breakthrough_0025,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.05,0.08,6,2,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0025.json
tmp_ng_breakthrough_0029,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.05,0.08,8,2,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0029.json
tmp_ng_breakthrough_0033,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.05,0.08,10,2,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0033.json
tmp_ng_breakthrough_0037,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.05,0.1,6,2,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0037.json
tmp_ng_breakthrough_0041,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.05,0.1,8,2,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0041.json
tmp_ng_breakthrough_0045,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.05,0.1,10,2,0.25,False,H1-V1,0.7504346,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0045.json
