candidate_id,gain,sat_mev,blend,sign_blend,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,delta_holdout_p95_abs_z_logft_vs_pre,logft_constraint_pass,delta_n_qbeta_gt3_holdout_vs_pre,delta_top_priority_q_gt3_vs_pre,qfail_constraint_pass,top_priority_constraint_pass,all_constraints_pass,holdout_max_abs_z_qbeta,train_p95_abs_z_qbeta,overfit_gap_qbeta,overfit_guard_pass,hard_fail_count,watch_fail_count,n_qbeta_gt3_holdout,n_logft_gt3_holdout,top_priority_class_after,top_priority_q_gt3_after,n_target_rows,n_changed_rows,mapping_delta_abs_median_mev,mapping_delta_abs_p95_mev,is_pareto_front,norm_holdout_p95_abs_z_qbeta,norm_holdout_p95_abs_z_logft,norm_overfit_gap_qbeta,norm_n_qbeta_gt3_holdout,score_weighted,rank_weighted,rank_constrained
lcand_0010,0.6,5.0,0.8,0.0,6984.195964853741,10.855564118191499,1.1918832479065156,False,-5,0,True,True,False,295642.34766076703,3877.957386795812,3106.2385780579293,False,3,3,1239,197,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.7412313388858514,3.9816432153397403,False,0.9566652339875128,0.16778770477570001,0.8967600655441507,0.14285714285714285,0.6673305369787781,45,
lcand_0011,0.6,5.0,0.8,0.1,6984.179149925999,10.687656433183818,1.0239755628988352,False,-4,0,True,True,False,299526.61612153356,3957.9295890636918,3026.249560862307,False,3,3,1240,218,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.8270946089613491,4.500037345510853,False,0.9566380871466308,0.1482027189907982,0.7789064314657448,0.2857142857142857,0.6450149554920865,37,
lcand_0012,0.6,8.0,0.4,0.0,6599.710918177756,10.844274879812474,1.180594009527491,False,-1,0,True,True,False,299508.4796385854,3885.7186670874744,2713.9922510902816,False,3,3,1243,56,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.3534181756805985,1.6532292707558511,False,0.33593378967068804,0.16647091231819305,0.3188350364868619,0.7142857142857143,0.3005927720589256,15,
lcand_0013,0.6,8.0,0.4,0.1,6824.653200038875,12.694454543188625,3.030773672903642,False,-3,0,True,True,False,304324.86249452364,3927.624056665227,2897.0291433736484,False,3,3,1241,164,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.4126417030977585,1.9738617963494478,False,0.6990915996160076,0.3822784401575463,0.5885165963097163,0.42857142857142855,0.5684066425649821,28,
lcand_0014,0.6,8.0,0.6,0.0,6498.568125367681,15.27014599317739,5.606465122892407,False,-1,0,True,True,False,298675.3243190938,3882.9734382811207,2615.5946870865605,False,3,3,1243,108,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.5301272635208976,2.4798439061337767,False,0.17264392337806372,0.6827106713089416,0.17385875213096724,0.7142857142857143,0.35298900305329034,17,
lcand_0015,0.6,8.0,0.6,0.1,6824.559938246998,10.475351692493412,0.8116708222084288,False,-4,0,True,True,False,303288.693051887,3928.3566971278415,2896.2032411191567,False,3,3,1240,197,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.5993226579317826,2.928368130047802,False,0.6989410332226671,0.12343919891547418,0.5872997344767056,0.2857142857142857,0.48330088580589786,21,
lcand_0016,0.6,8.0,0.8,0.0,6928.69483104749,14.576264403588315,4.912583533303332,False,-4,0,True,True,False,297613.22072289215,3896.2141577692446,3032.4806732782454,False,3,3,1240,183,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.7068363513611966,3.3064585415117023,False,0.8670614919262287,0.6017753581463219,0.7880871823777535,0.2857142857142857,0.7426134295719644,59,
lcand_0017,0.6,8.0,0.8,0.1,6952.392586216829,10.90243261364991,1.2387517433649275,False,-3,0,True,True,False,301967.78243509127,3947.71340504154,3004.6791811752887,False,3,3,1241,209,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.7848687105684586,3.8371382708801174,False,0.9053203056837549,0.17325451123706445,0.7471252229487174,0.42857142857142855,0.630224106947124,33,
lcand_0018,0.6,12.0,0.4,0.0,6472.006007352132,10.605103971120826,0.9414231008358431,False,0,0,True,True,False,300045.96476722026,3882.1951591169986,2589.810848235133,False,3,3,1244,55,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.3469297239809426,1.453359428139258,False,0.12976074229611975,0.13857368506100284,0.13586954791682895,0.8571428571428571,0.16999549199206337,5,
lcand_0019,0.6,12.0,0.4,0.1,6824.74353778357,13.309162472216718,3.645481601931735,False,-4,0,True,True,False,304992.7280740774,3927.036488185777,2897.707049597793,False,3,3,1240,161,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.4031818823128148,1.7334213290296858,False,0.6992374452847158,0.4539788274943793,0.5895154048321963,0.2857142857142857,0.5830392938785894,30,
lcand_0020,0.6,12.0,0.6,0.0,6548.885213278564,16.084733146402307,6.421052276117324,False,-1,0,True,True,False,299587.5916062946,3884.380416118354,2664.5047971602103,False,3,3,1243,94,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.5203945859714136,2.1800391422088863,False,0.2538782884665457,0.7777252492047888,0.2459215729712007,0.7142857142857143,0.4324614048799081,19,
