session,group_type,group_label,n_removed,beta_all,beta_all_sigma,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
17MAY01XA,source,0235+164,452,1.1866902903646863e+00,6.9614570068410556e-02,1.3422497051252413e+00,1.1449766385974276e-01,-1.5555941476055501e-01,1.3399963953365054e-01,1.1608942777901301e+00
17MAY01XA,source,0229+131,577,1.1866902903646863e+00,6.9614570068410556e-02,1.3220230993824726e+00,9.6032662625439455e-02,-1.3533280901778633e-01,1.1861054192921099e-01,1.1409846613680890e+00
17MAY01XA,source,0202+319,225,1.1866902903646863e+00,6.9614570068410556e-02,1.1440743079752729e+00,6.9515049121397249e-02,4.2615982389413443e-02,9.8379522361922017e-02,4.3317939919078158e-01
17MAY01XA,source,0552+398,104,1.1866902903646863e+00,6.9614570068410556e-02,1.1682150887552447e+00,6.6581040704762146e-02,1.8475201609441605e-02,9.6328725451647265e-02,1.9179327373863506e-01
17MAY01XA,source,0017+200,176,1.1866902903646863e+00,6.9614570068410556e-02,1.1794543661202372e+00,7.0108706636578089e-02,7.2359242444490768e-03,9.8799894291762336e-02,7.3238177999269266e-02
17MAY01XA,source,1751+288,149,1.1866902903646863e+00,6.9614570068410556e-02,1.1819569289102754e+00,7.0337754259896620e-02,4.7333614544109448e-03,9.8962558779243620e-02,4.7829820821121680e-02
17MAY01XA,source,0420-014,155,1.1866902903646863e+00,6.9614570068410556e-02,1.1828031187592680e+00,7.0727094522650552e-02,3.8871716054182937e-03,9.9239660748239103e-02,3.9169537421935081e-02
17MAY01XA,source,3C446,122,1.1866902903646863e+00,6.9614570068410556e-02,1.1838064728938915e+00,6.9828578932369378e-02,2.8838174707948028e-03,9.8601312372218364e-02,2.9247252408856773e-02
17MAY01XA,source,2227-088,118,1.1866902903646863e+00,6.9614570068410556e-02,1.1841850111575247e+00,6.8503716412111587e-02,2.5052792071615926e-03,9.7667535691654719e-02,2.5651094700197889e-02
17MAY01XA,source,2215+150,169,1.1866902903646863e+00,6.9614570068410556e-02,1.1842714529619798e+00,7.0572144919889654e-02,2.4188374027065418e-03,9.9129289336722021e-02,2.4400834696698404e-02
17MAY01XA,source,0716+714,127,1.1866902903646863e+00,6.9614570068410556e-02,1.1848847838414345e+00,7.0474349804926534e-02,1.8055065232518430e-03,9.9059690824455898e-02,1.8226450216278070e-02
17MAY01XA,source,1639-062,140,1.1866902903646863e+00,6.9614570068410556e-02,1.1850522554838556e+00,7.0471162918631078e-02,1.6380348808306966e-03,9.9057423593155725e-02,1.6536215272046254e-02
17MAY01XA,time_quartile,Q2,1000,1.1866902903646863e+00,6.9614570068410556e-02,1.2498630956740644e+00,8.1279195867836565e-02,-6.3172805309378077e-02,1.0701633542002727e-01,5.9030992849298947e-01
17MAY01XA,time_quartile,Q1,1008,1.1866902903646863e+00,6.9614570068410556e-02,1.2415167613225899e+00,6.0402554089125288e-02,-5.4826470957903606e-02,9.2166463023701559e-02,5.9486356706348176e-01
17MAY01XA,time_quartile,Q3,1006,1.1866902903646863e+00,6.9614570068410556e-02,1.1970290104997405e+00,1.0297446427254800e-01,-1.0338720135054214e-02,1.2429774196673046e-01,8.3177055121576346e-02
17MAY01XA,time_quartile,Q4,996,1.1866902903646863e+00,6.9614570068410556e-02,1.1934242940485840e+00,7.9083887881232717e-02,-6.7340036838976491e-03,1.0535867163276609e-01,6.3915039735594037e-02
18MAY01XA,baseline,BADARY-KUNMING,392,1.4021809170205990e+00,5.5657027442395014e-02,1.4768402782904126e+00,6.0465025679408591e-02,-7.4659361269813651e-02,8.2181044250697208e-02,9.0847423454564169e-01
18MAY01XA,baseline,BADARY-ISHIOKA,439,1.4021809170205990e+00,5.5657027442395014e-02,1.3665625792670684e+00,5.5533827620938100e-02,3.5618337753530627e-02,7.8623855883285063e-02,4.5302201670705472e-01
18MAY01XA,baseline,BADARY-KATH12M,331,1.4021809170205990e+00,5.5657027442395014e-02,1.4132958671883560e+00,5.7113695235372977e-02,-1.1114950167756987e-02,7.9747594867573143e-02,1.3937661927252096e-01
18MAY01XA,baseline,BADARY-SESHAN25,395,1.4021809170205990e+00,5.5657027442395014e-02,1.3918157274523599e+00,5.7060415369772556e-02,1.0365189568239064e-02,7.9709445524946965e-02,1.3003715557141884e-01
18MAY01XA,baseline,SESHAN25-YARRA12M,361,1.4021809170205990e+00,5.5657027442395014e-02,1.3987326579157187e+00,5.6405460955028963e-02,3.4482591048803357e-03,7.9241912705794837e-02,4.3515596571764348e-02
18MAY01XA,baseline,ISHIOKA-KUNMING,393,1.4021809170205990e+00,5.5657027442395014e-02,1.4042068945923580e+00,5.6285377919693798e-02,-2.0259775717590411e-03,7.9156480917776190e-02,2.5594588696578435e-02
18MAY01XA,baseline,KATH12M-SESHAN25,393,1.4021809170205990e+00,5.5657027442395014e-02,1.4041048565172196e+00,5.6762019955598729e-02,-1.9239394966206191e-03,7.9496110679474749e-02,2.4201680814019556e-02
18MAY01XA,baseline,HOBART26-KATH12M,332,1.4021809170205990e+00,5.5657027442395014e-02,1.4038747889653524e+00,5.6357392461777740e-02,-1.6938719447534556e-03,7.9207704100133808e-02,2.1385191806747420e-02
18MAY01XA,baseline,ISHIOKA-KATH12M,462,1.4021809170205990e+00,5.5657027442395014e-02,1.4034903634702600e+00,5.6670540813679428e-02,-1.3094464496610225e-03,7.9430818325373034e-02,1.6485370253862017e-02
18MAY01XA,baseline,KATH12M-YARRA12M,518,1.4021809170205990e+00,5.5657027442395014e-02,1.4009418242974347e+00,5.6535730693711185e-02,1.2390927231642479e-03,7.9334693223049327e-02,1.5618548113377602e-02
18MAY01XA,baseline,KUNMING-SESHAN25,398,1.4021809170205990e+00,5.5657027442395014e-02,1.4028243792258497e+00,5.6609602942444659e-02,-6.4346220525068887e-04,7.9387353205814526e-02,8.1053490167695887e-03
18MAY01XA,baseline,ISHIOKA-SESHAN25,451,1.4021809170205990e+00,5.5657027442395014e-02,1.4027421953700128e+00,5.6321919324677810e-02,-5.6127834941377408e-04,7.9182468388772950e-02,7.0884169290857330e-03
18MAY01XA,source,0229+131,2104,1.4021809170205990e+00,5.5657027442395014e-02,2.8856185048910836e+00,1.4061692070867873e-01,-1.4834375878704846e+00,1.5123102556457901e-01,9.8090823779874707e+00
18MAY01XA,source,0235+164,541,1.4021809170205990e+00,5.5657027442395014e-02,1.4786945873130477e+00,6.1259371846139811e-02,-7.6513670292448710e-02,8.2767235925256921e-02,9.2444394737966717e-01
18MAY01XA,source,OJ287,351,1.4021809170205990e+00,5.5657027442395014e-02,1.3412174132250381e+00,5.1860665260931971e-02,6.0963503795560925e-02,7.6073867425219988e-02,8.0137247991877858e-01
18MAY01XA,source,0727-115,312,1.4021809170205990e+00,5.5657027442395014e-02,1.4271490953075039e+00,5.3212463549777399e-02,-2.4968178286904896e-02,7.7001759595218988e-02,3.2425464584390046e-01
18MAY01XA,source,1156+295,344,1.4021809170205990e+00,5.5657027442395014e-02,1.3776764745225725e+00,5.4790880905467368e-02,2.4504442498026524e-02,7.8100866410819161e-02,3.1375378563831108e-01
18MAY01XA,source,1334-127,325,1.4021809170205990e+00,5.5657027442395014e-02,1.4182846774430489e+00,5.5180925756884922e-02,-1.6103760422449875e-02,7.8374991362745020e-02,2.0547065004341014e-01
18MAY01XA,source,0017+200,382,1.4021809170205990e+00,5.5657027442395014e-02,1.3898024472460264e+00,5.6375624742429450e-02,1.2378469774572576e-02,7.9220677659451608e-02,1.5625301550416279e-01
18MAY01XA,source,1546+027,317,1.4021809170205990e+00,5.5657027442395014e-02,1.3901315745517320e+00,5.5592799283179874e-02,1.2049342468867019e-02,7.8665519993599706e-02,1.5317184034183418e-01
18MAY01XA,source,CTA26,343,1.4021809170205990e+00,5.5657027442395014e-02,1.3910616950923431e+00,5.6267375724256219e-02,1.1119221928255874e-02,7.9143681204617525e-02,1.4049412105949829e-01
18MAY01XA,source,0748+126,409,1.4021809170205990e+00,5.5657027442395014e-02,1.3961165826080408e+00,5.6083132774545290e-02,6.0643344125581589e-03,7.9012799504452363e-02,7.6751291570379479e-02
18MAY01XA,source,1149-084,299,1.4021809170205990e+00,5.5657027442395014e-02,1.4080598674459943e+00,5.5939986127037107e-02,-5.8789504253953240e-03,7.8911258712661622e-02,7.4500781273838981e-02
18MAY01XA,source,0458-020,348,1.4021809170205990e+00,5.5657027442395014e-02,1.3963431808134243e+00,5.5642787046819658e-02,5.8377362071746486e-03,7.8700854214304644e-02,7.4176275028455585e-02
18MAY01XA,time_quartile,Q2,3127,1.4021809170205990e+00,5.5657027442395014e-02,1.6527802082732979e+00,8.5841636771156415e-02,-2.5059929125269886e-01,1.0230587132356904e-01,2.4495103556677909e+00
18MAY01XA,time_quartile,Q4,3102,1.4021809170205990e+00,5.5657027442395014e-02,1.3654288856991408e+00,5.2416586605154324e-02,3.6752031321458212e-02,7.6453928970715138e-02,4.8070820971850492e-01
18MAY01XA,time_quartile,Q1,3108,1.4021809170205990e+00,5.5657027442395014e-02,1.4326625664691635e+00,5.3172952144977116e-02,-3.0481649448564463e-02,7.6974460332863259e-02,3.9599692309308354e-01
18MAY01XA,time_quartile,Q3,3090,1.4021809170205990e+00,5.5657027442395014e-02,1.3957658257093248e+00,7.5857969523684912e-02,6.4150913112741570e-03,9.4085791934700860e-02,6.8183422590803885e-02
20MAY04XA,baseline,SVETLOE-ZELENCHK,288,8.0497082639269522e+00,2.7976357126395818e-01,7.3458549172124865e+00,2.7321301056690328e-01,7.0385334671446564e-01,3.9104092490351261e-01,1.7999480409579585e+00
20MAY04XA,baseline,BADARY-ZELENCHK,340,8.0497082639269522e+00,2.7976357126395818e-01,8.3963603662729209e+00,2.9061392680262282e-01,-3.4665210234596877e-01,4.0339076620319908e-01,8.5934565535233531e-01
20MAY04XA,baseline,NYALES20-WETTZELL,376,8.0497082639269522e+00,2.7976357126395818e-01,7.8142837318334859e+00,2.8069988998789752e-01,2.3542453209346625e-01,3.9630806709626992e-01,5.9404425909977165e-01
20MAY04XA,baseline,NYALES20-ZELENCHK,336,8.0497082639269522e+00,2.7976357126395818e-01,7.8507303647589666e+00,2.8151491333382578e-01,1.9897789916798558e-01,3.9688575463943682e-01,5.0134805001694560e-01
20MAY04XA,baseline,BADARY-WETTZELL,309,8.0497082639269522e+00,2.7976357126395818e-01,8.2090090382566050e+00,2.8612066210454629e-01,-1.5930077432965284e-01,4.0016582698864694e-01,3.9808690194370933e-01
20MAY04XA,baseline,ONSALA60-ZELENCHK,346,8.0497082639269522e+00,2.7976357126395818e-01,7.9257836066736207e+00,2.8209754077361748e-01,1.2392465725333146e-01,3.9729923019921221e-01,3.1191768781226598e-01
20MAY04XA,baseline,ONSALA60-WETTZELL,393,8.0497082639269522e+00,2.7976357126395818e-01,7.9565945118803532e+00,2.8178707613348403e-01,9.3113752046598997e-02,3.9707884869660548e-01,2.3449688229992846e-01
20MAY04XA,baseline,WETTZELL-ZELENCHK,359,8.0497082639269522e+00,2.7976357126395818e-01,7.9747026431522166e+00,2.8040802019000555e-01,7.5005620774735604e-02,3.9610139307157499e-01,1.8935964903607949e-01
20MAY04XA,baseline,BADARY-ONSALA60,295,8.0497082639269522e+00,2.7976357126395818e-01,8.1234441435500990e+00,2.8511134059898008e-01,-7.3735879623146872e-02,3.9944478009420958e-01,1.8459592739140607e-01
20MAY04XA,baseline,NYALES20-ONSALA60,360,8.0497082639269522e+00,2.7976357126395818e-01,8.0097706629975249e+00,2.8408856976780517e-01,3.9937600929427219e-02,3.9871540135675837e-01,1.0016568407823372e-01
20MAY04XA,baseline,BADARY-NYALES20,327,8.0497082639269522e+00,2.7976357126395818e-01,8.0120910015464801e+00,2.8359798484473014e-01,3.7617262380472027e-02,3.9836600358759983e-01,9.4428897149101410e-02
20MAY04XA,baseline,BADARY-ISHIOKA,295,8.0497082639269522e+00,2.7976357126395818e-01,8.0540444213757212e+00,2.8333065609479791e-01,-4.3361574487690291e-03,3.9817573568648357e-01,1.0890059489167972e-02
20MAY04XA,source,0059+581,1015,8.0497082639269522e+00,2.7976357126395818e-01,9.3376059464879226e+00,2.9992813093938819e-01,-1.2878976825609705e+00,4.1015184936210952e-01,3.1400508971591350e+00
20MAY04XA,source,0814+425,462,8.0497082639269522e+00,2.7976357126395818e-01,7.5782543246217573e+00,2.8353929929769545e-01,4.7145393930519486e-01,3.9832422729805417e-01,1.1835934321725801e+00
20MAY04XA,source,2000+472,348,8.0497082639269522e+00,2.7976357126395818e-01,7.6398406614308287e+00,2.7996901440571337e-01,4.0986760249612342e-01,3.9579073363795464e-01,1.0355664437334844e+00
20MAY04XA,source,0955+476,524,8.0497082639269522e+00,2.7976357126395818e-01,7.8251395965913861e+00,2.8182119518838300e-01,2.2456866733556602e-01,3.9710306201762341e-01,5.6551733999371601e-01
20MAY04XA,source,3C371,1024,8.0497082639269522e+00,2.7976357126395818e-01,7.8614424288468516e+00,2.9484063925803039e-01,1.8826583508010053e-01,4.0644637821543916e-01,4.6319968677469475e-01
20MAY04XA,source,NRAO512,379,8.0497082639269522e+00,2.7976357126395818e-01,7.9119337748048686e+00,2.8302996182927481e-01,1.3777448912208357e-01,3.9796182618367376e-01,3.4620026358632616e-01
20MAY04XA,source,2113+293,261,8.0497082639269522e+00,2.7976357126395818e-01,7.9324874139518338e+00,2.8401282378624537e-01,1.1722084997511839e-01,3.9866143515695202e-01,2.9403609087236854e-01
20MAY04XA,source,1418+546,372,8.0497082639269522e+00,2.7976357126395818e-01,7.9476892527416032e+00,2.8411896602091868e-01,1.0201901118534895e-01,3.9873705955072669e-01,2.5585535315001301e-01
20MAY04XA,source,0602+673,309,8.0497082639269522e+00,2.7976357126395818e-01,8.0784096464915578e+00,2.8434806057682738e-01,-2.8701382564605638e-02,3.9890033261476093e-01,7.1951262553405976e-02
20MAY04XA,source,1806+456,322,8.0497082639269522e+00,2.7976357126395818e-01,8.0372699626670201e+00,2.8399809106977270e-01,1.2438301259932061e-02,3.9865093946664509e-01,3.1200983187380064e-02
20MAY04XA,source,0529+483,551,8.0497082639269522e+00,2.7976357126395818e-01,8.0614160080473791e+00,2.8811294493202350e-01,-1.1707744120426966e-02,4.0159273504854021e-01,2.9153276687168807e-02
20MAY04XA,source,2229+695,277,8.0497082639269522e+00,2.7976357126395818e-01,8.0582313467894924e+00,2.8407098965683442e-01,-8.5230828625402211e-03,3.9870287554891942e-01,2.1377028823295931e-02
