obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
47,-1.1956054922763984e-10,8.8481449820789621e-06,8.8485246622697732e-06,-3.7968019081112327e-10,1.8053725907923625e-11,0
48,-6.0473475558883633e-11,2.7300139625835267e-06,2.7243394148620563e-06,5.6745477214703721e-09,8.1807188763392135e-12,0
49,-1.2905947591727266e-10,6.1103921404660755e-06,6.0908551138474570e-06,1.9537026618618482e-08,1.5139965864687199e-11,0
50,-1.8659770119467586e-10,8.8411151041110220e-06,8.8480439199058988e-06,-6.9288157948768002e-09,1.9118149427177532e-11,0
51,-5.7538225162624011e-11,2.7307532057176814e-06,2.7243686642524361e-06,6.3845414652453300e-09,2.4017177469814522e-11,0
53,-1.5743192576182007e-10,8.8439596999459469e-06,8.8481047791949020e-06,-4.1450792489550902e-09,6.7779078395404258e-11,0
54,-5.5874506102511492e-11,2.7305782452830864e-06,2.7244027009647957e-06,6.1755443182906844e-09,7.4783715448484344e-11,0
55,-7.0829529702499519e-11,6.1081141266767537e-06,6.0912238970118881e-06,1.6890229664865619e-08,3.1130036368919918e-11,0
56,-1.8231797036323447e-10,8.8344594270034840e-06,8.8476937164778745e-06,-1.3234289474390451e-08,2.5387718170795645e-11,0
57,-1.1148844057852136e-10,2.7263058252889084e-06,2.7240985758106934e-06,2.2072494782149938e-09,2.9553874036012721e-11,0
58,8.5973970364238590e-12,8.8673963026886585e-06,8.8488370682885131e-06,1.8559234400145408e-08,3.7936242446960448e-11,0
62,1.3251610431132279e-10,6.1507954479886329e-06,6.0925117300129415e-06,5.8283717975691376e-08,3.4019451472965449e-11,0
63,-9.5358193964630021e-12,8.8565583713376764e-06,8.8483679019175088e-06,8.1904694201675467e-09,2.7835846650249595e-11,0
64,-1.4205192382780386e-10,2.7057790914376129e-06,2.7239847167138236e-06,-1.8205625276210735e-08,2.6000703867989571e-11,0
65,7.4966819100169032e-11,6.1265635694900816e-06,6.0921472576256121e-06,3.4416311864469569e-08,1.0779348249968014e-11,0
66,-2.8201020602259746e-11,8.8526741247585677e-06,8.8481762724290880e-06,4.4978523294796806e-09,9.7308036585611564e-12,0
67,-1.0316783975734644e-10,2.7260746176035328e-06,2.7242449086611231e-06,1.8297089424096083e-09,1.0472489912319828e-11,0
70,-7.1438870172660041e-11,2.7305738683628192e-06,2.7244593011451226e-06,6.1145672176966158e-09,5.9045234550108964e-11,0
71,1.7379902372911965e-11,6.1205915623214016e-06,6.0917825469095455e-06,2.8809015411856038e-08,2.0389523691922487e-11,0
72,-6.7199388194674392e-11,8.8495772651523558e-06,8.8477447829098379e-06,1.8324822425178289e-09,2.2155379050295572e-11,0
73,-8.4579290570487144e-11,2.7289317125981510e-06,2.7243976418136251e-06,4.5340707845259874e-09,2.8585754267525325e-11,0
74,-1.6245049212379776e-10,6.0845263954167894e-06,6.0906436411358937e-06,-6.1172457191043070e-09,2.1733262132166958e-11,0
75,-2.0987416271413695e-10,8.8161648624067446e-06,8.8467677732890403e-06,-3.0602910882295714e-08,1.3905845288211732e-11,0
