session,source,n_points,max_abs_bendsun_ns,beta_source,beta_source_sigma,delta_beta_from_1,beta_all_session,beta_all_session_sigma,delta_beta_vs_session_all
18MAY01XA,0552+398,263,3.8915678326779855e+01,-6.8366813917294227e+00,2.0101641181793131e+00,-7.8366813917294227e+00,1.4021809170205990e+00,5.5657027442395014e-02,-8.2388623087500221e+00
20MAY04XA,0602+673,309,1.0106397771203248e+01,-3.7666151223418898e+00,1.1249301963654761e+00,-4.7666151223418893e+00,8.0497082639269522e+00,2.7976357126395818e-01,-1.1816323386268841e+01
22MAY09XA,0613+570,304,1.1981812554125794e+01,-5.9554428814844876e+01,4.4780296351689017e+00,-6.0554428814844876e+01,5.4609783256794806e+00,3.8943244120781795e-01,-6.5015407140524360e+01
20MAY04XA,0641+392,54,1.0106397771203248e+01,4.6109424865370313e-01,4.5617400742056421e-16,-5.3890575134629692e-01,8.0497082639269522e+00,2.7976357126395818e-01,-7.5886140152732491e+00
17MAY01XA,0642+449,46,2.9980768003362140e+01,1.0429149854333801e+02,1.6690710841172610e+01,1.0329149854333801e+02,1.1866902903646863e+00,6.9614570068410556e-02,1.0310480825297333e+02
18MAY01XA,0642+449,73,3.8915678326779855e+01,1.4069895972065574e+01,3.0047416558170241e+01,1.3069895972065574e+01,1.4021809170205990e+00,5.5657027442395014e-02,1.2667715055044974e+01
20MAY04XA,0656+082,40,1.0106397771203248e+01,9.7200168592520182e+00,0.0000000000000000e+00,8.7200168592520182e+00,8.0497082639269522e+00,2.7976357126395818e-01,1.6703085953250660e+00
17MAY01XA,0700-197,36,2.9980768003362140e+01,-5.7124787806300651e+02,3.7017280494244528e+02,-5.7224787806300651e+02,1.1866902903646863e+00,6.9614570068410556e-02,-5.7243456835337122e+02
18MAY01XA,0700-197,36,3.8915678326779855e+01,6.7087509321699795e-12,6.1659044694827865e-02,-9.9999999999329126e-01,1.4021809170205990e+00,5.5657027442395014e-02,-1.4021809170138901e+00
17MAY01XA,0716+714,127,2.9980768003362140e+01,3.9864425869576179e+00,2.0535093110506550e+00,2.9864425869576179e+00,1.1866902903646863e+00,6.9614570068410556e-02,2.7997522965929313e+00
18MAY01XA,0716+714,92,3.8915678326779855e+01,4.8446656936464505e+00,2.8988631329320995e+00,3.8446656936464505e+00,1.4021809170205990e+00,5.5657027442395014e-02,3.4424847766258515e+00
20MAY06XA,0716+714,26,1.1452581368343477e+01,-4.3524268042594521e+01,8.3774702911323544e+00,-4.4524268042594521e+01,9.2325738013260708e+00,1.2206749153850662e+00,-5.2756841843920590e+01
22MAY09XA,0718+793,135,1.1981812554125794e+01,-1.1418162640264827e+01,7.6499638466899322e-01,-1.2418162640264827e+01,5.4609783256794806e+00,3.8943244120781795e-01,-1.6879140965944309e+01
22MAY09XA,0723+219,31,1.1981812554125794e+01,5.5614866136053330e+01,8.0989196772913559e+00,5.4614866136053330e+01,5.4609783256794806e+00,3.8943244120781795e-01,5.0153887810373845e+01
17MAY01XA,0727-115,67,2.9980768003362140e+01,6.2210966858691293e+01,5.6495256263794271e+00,6.1210966858691293e+01,1.1866902903646863e+00,6.9614570068410556e-02,6.1024276568326606e+01
18MAY01XA,0727-115,312,3.8915678326779855e+01,2.1808175417217505e+01,1.3241436643687415e+01,2.0808175417217505e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.0405994500196908e+01
20MAY04XA,0727-115,122,1.0106397771203248e+01,5.2578924545303146e+01,2.0550687095619651e+01,5.1578924545303146e+01,8.0497082639269522e+00,2.7976357126395818e-01,4.4529216281376193e+01
22MAY09XA,0727-115,107,1.1981812554125794e+01,1.2661443794404468e+02,8.6978527864961313e-17,1.2561443794404468e+02,5.4609783256794806e+00,3.8943244120781795e-01,1.2115345961836520e+02
20MAY04XA,0729+259,22,1.0106397771203248e+01,-1.5595854544137057e-12,0.0000000000000000e+00,-1.0000000000015596e+00,8.0497082639269522e+00,2.7976357126395818e-01,-8.0497082639285118e+00
17MAY01XA,0748+126,47,2.9980768003362140e+01,7.4442172462366500e+01,1.1100698346683816e-16,7.3442172462366500e+01,1.1866902903646863e+00,6.9614570068410556e-02,7.3255482172001820e+01
18MAY01XA,0748+126,409,3.8915678326779855e+01,8.0939071956868798e+00,1.0740653366353283e+00,7.0939071956868798e+00,1.4021809170205990e+00,5.5657027442395014e-02,6.6917262786662803e+00
18MAY01XA,0800+618,32,3.8915678326779855e+01,6.0703217919061800e+01,1.0984651871928611e+01,5.9703217919061800e+01,1.4021809170205990e+00,5.5657027442395014e-02,5.9301037002041198e+01
20MAY04XA,0800+618,165,1.0106397771203248e+01,-7.9499723369087383e-01,3.0980154287228716e+00,-1.7949972336908737e+00,8.0497082639269522e+00,2.7976357126395818e-01,-8.8447054976178254e+00
22MAY09XA,0800+618,37,1.1981812554125794e+01,-3.7447498084041371e+00,2.1328809340062587e+00,-4.7447498084041371e+00,5.4609783256794806e+00,3.8943244120781795e-01,-9.2057281340836177e+00
