session,source,n_points,max_abs_bendsun_ns,beta_source,beta_source_sigma,delta_beta_from_1,beta_all_session,beta_all_session_sigma,delta_beta_vs_session_all
20MAY06XA,1741-038,23,1.1452581368343477e+01,-1.9191732157828285e+00,5.0593673936507813e+01,-2.9191732157828287e+00,9.2325738013260708e+00,1.2206749153850662e+00,-1.1151747017108899e+01
18MAY01XA,1749+096,252,3.8915678326779855e+01,6.0937650798459210e+01,4.6345121942112728e+00,5.9937650798459210e+01,1.4021809170205990e+00,5.5657027442395014e-02,5.9535469881438608e+01
17MAY01XA,1751+288,149,2.9980768003362140e+01,4.2459736390528093e+01,9.0542067593690145e+00,4.1459736390528093e+01,1.1866902903646863e+00,6.9614570068410556e-02,4.1273046100163405e+01
18MAY01XA,1751+288,107,3.8915678326779855e+01,7.2951415081265310e+01,3.3744093817928260e+01,7.1951415081265310e+01,1.4021809170205990e+00,5.5657027442395014e-02,7.1549234164244709e+01
18MAY01XA,1759-396,44,3.8915678326779855e+01,1.8074172458715387e+02,9.5130545122112271e-17,1.7974172458715387e+02,1.4021809170205990e+00,5.5657027442395014e-02,1.7933954367013328e+02
17MAY01XA,1803+784,66,2.9980768003362140e+01,1.9305821599903592e+00,1.7830746059877083e+00,9.3058215999035920e-01,1.1866902903646863e+00,6.9614570068410556e-02,7.4389186962567289e-01
18MAY01XA,1803+784,60,3.8915678326779855e+01,5.2941084452466391e+00,1.1331025249036188e+00,4.2941084452466391e+00,1.4021809170205990e+00,5.5657027442395014e-02,3.8919275282260402e+00
22MAY09XA,1803+784,501,1.1981812554125794e+01,1.5864150883757842e+01,4.8392563133525995e-01,1.4864150883757842e+01,5.4609783256794806e+00,3.8943244120781795e-01,1.0403172558078362e+01
20MAY04XA,1806+456,322,1.0106397771203248e+01,3.1575921931539476e+01,2.7595736849260297e+00,3.0575921931539476e+01,8.0497082639269522e+00,2.7976357126395818e-01,2.3526213667612524e+01
22MAY09XA,1846+322,25,1.1981812554125794e+01,4.0544644851614812e+01,1.7773926014475823e+01,3.9544644851614812e+01,5.4609783256794806e+00,3.8943244120781795e-01,3.5083666525935328e+01
18MAY01XA,1849+670,67,3.8915678326779855e+01,7.1979800476432469e+00,9.4189128969652263e+00,6.1979800476432469e+00,1.4021809170205990e+00,5.5657027442395014e-02,5.7957991306226475e+00
22MAY09XA,1908-201,24,1.1981812554125794e+01,1.2682766429823161e+02,3.4427315901248676e+01,1.2582766429823161e+02,5.4609783256794806e+00,3.8943244120781795e-01,1.2136668597255213e+02
18MAY01XA,1921-293,23,3.8915678326779855e+01,-1.4673160006478747e+03,2.2073302218576689e+01,-1.4683160006478747e+03,1.4021809170205990e+00,5.5657027442395014e-02,-1.4687181815648953e+03
18MAY01XA,1936-155,167,3.8915678326779855e+01,5.3267915963572129e+01,8.7231404038606417e+00,5.2267915963572129e+01,1.4021809170205990e+00,5.5657027442395014e-02,5.1865735046551528e+01
18MAY01XA,1954-388,45,3.8915678326779855e+01,6.4940592707224127e+01,9.0498576429428610e+01,6.3940592707224127e+01,1.4021809170205990e+00,5.5657027442395014e-02,6.3538411790203526e+01
20MAY04XA,1954-388,21,1.0106397771203248e+01,3.3396731740735383e+01,4.3464055889998832e+01,3.2396731740735383e+01,8.0497082639269522e+00,2.7976357126395818e-01,2.5347023476808431e+01
22MAY09XA,1954-388,52,1.1981812554125794e+01,7.9906913443129739e+01,2.3643990228045631e+01,7.8906913443129739e+01,5.4609783256794806e+00,3.8943244120781795e-01,7.4445935117450261e+01
18MAY01XA,1958-179,75,3.8915678326779855e+01,-3.1186748311839858e+02,3.9039721140830943e+02,-3.1286748311839858e+02,1.4021809170205990e+00,5.5657027442395014e-02,-3.1326966403541917e+02
18MAY01XA,2000+472,38,3.8915678326779855e+01,7.3379454422036190e+00,8.9704134981719860e-05,6.3379454422036190e+00,1.4021809170205990e+00,5.5657027442395014e-02,5.9357645251830196e+00
20MAY04XA,2000+472,348,1.0106397771203248e+01,3.7234665546344473e+01,2.9979101687226177e+00,3.6234665546344473e+01,8.0497082639269522e+00,2.7976357126395818e-01,2.9184957282417521e+01
20MAY04XA,2008-159,48,1.0106397771203248e+01,1.3174848007752149e+02,1.8187609146199783e+01,1.3074848007752149e+02,8.0497082639269522e+00,2.7976357126395818e-01,1.2369877181359453e+02
22MAY09XA,2008-159,92,1.1981812554125794e+01,2.7562545082959463e+01,2.1603848356442531e-16,2.6562545082959463e+01,5.4609783256794806e+00,3.8943244120781795e-01,2.2101566757279983e+01
20MAY04XA,2059+034,104,1.0106397771203248e+01,6.0869250534797343e+00,2.8530191410915840e+01,5.0869250534797343e+00,8.0497082639269522e+00,2.7976357126395818e-01,-1.9627832104472178e+00
22MAY09XA,2059+034,52,1.1981812554125794e+01,1.1515346214906671e+01,2.8793057663805438e+01,1.0515346214906671e+01,5.4609783256794806e+00,3.8943244120781795e-01,6.0543678892271906e+00
18MAY01XA,2101+600,40,3.8915678326779855e+01,-6.7511372412486426e-01,6.4165967846450185e+00,-1.6751137241248641e+00,1.4021809170205990e+00,5.5657027442395014e-02,-2.0772946411454631e+00
20MAY04XA,2113+293,261,1.0106397771203248e+01,2.8922634673468476e+01,2.7630667318351252e+00,2.7922634673468476e+01,8.0497082639269522e+00,2.7976357126395818e-01,2.0872926409541524e+01
18MAY01XA,2144+092,57,3.8915678326779855e+01,-3.6590536373407034e-12,1.5994620945110696e-02,-1.0000000000036591e+00,1.4021809170205990e+00,5.5657027442395014e-02,-1.4021809170242581e+00
22MAY09XA,2144+092,69,1.1981812554125794e+01,2.4414891389357169e+02,3.7646018673331426e+01,2.4314891389357169e+02,5.4609783256794806e+00,3.8943244120781795e-01,2.3868793556789220e+02
20MAY04XA,2204-540,25,1.0106397771203248e+01,6.5800295897539655e+01,1.1695451541684548e+01,6.4800295897539655e+01,8.0497082639269522e+00,2.7976357126395818e-01,5.7750587633612703e+01
18MAY01XA,2209+236,108,3.8915678326779855e+01,-4.9544121475390810e+00,9.2804968249540263e+00,-5.9544121475390810e+00,1.4021809170205990e+00,5.5657027442395014e-02,-6.3565930645596804e+00
17MAY01XA,2215+150,169,2.9980768003362140e+01,1.7494541325557147e+01,6.1286706956467896e+00,1.6494541325557147e+01,1.1866902903646863e+00,6.9614570068410556e-02,1.6307851035192460e+01
18MAY01XA,2215+150,71,3.8915678326779855e+01,3.5380164966867618e+01,2.3635426629130549e-03,3.4380164966867618e+01,1.4021809170205990e+00,5.5657027442395014e-02,3.3977984049847016e+01
17MAY01XA,2227-088,118,2.9980768003362140e+01,2.2140294547922107e+01,1.6256341881925056e+01,2.1140294547922107e+01,1.1866902903646863e+00,6.9614570068410556e-02,2.0953604257557419e+01
18MAY01XA,2227-088,241,3.8915678326779855e+01,-9.8308787337279455e+01,1.5358535891776981e+01,-9.9308787337279455e+01,1.4021809170205990e+00,5.5657027442395014e-02,-9.9710968254300056e+01
22MAY09XA,2227-088,153,1.1981812554125794e+01,-9.0679097092395253e+01,1.5504525576725639e+01,-9.1679097092395253e+01,5.4609783256794806e+00,3.8943244120781795e-01,-9.6140075418074730e+01
20MAY04XA,2229+695,277,1.0106397771203248e+01,1.3712046666233516e-01,5.1013860011405354e-01,-8.6287953333766487e-01,8.0497082639269522e+00,2.7976357126395818e-01,-7.9125877972646173e+00
22MAY09XA,2229+695,278,1.1981812554125794e+01,1.6266346918914167e+01,1.4317388231020924e+00,1.5266346918914167e+01,5.4609783256794806e+00,3.8943244120781795e-01,1.0805368593234686e+01
20MAY04XA,2255-282,20,1.0106397771203248e+01,1.6552781109493063e+02,1.4061819441810839e-17,1.6452781109493063e+02,8.0497082639269522e+00,2.7976357126395818e-01,1.5747810283100367e+02
22MAY09XA,2255-282,30,1.1981812554125794e+01,-3.0199957310830666e+02,9.4875633278831245e+01,-3.0299957310830666e+02,5.4609783256794806e+00,3.8943244120781795e-01,-3.0746055143398615e+02
18MAY01XA,2318+049,153,3.8915678326779855e+01,5.7678611580344374e+01,2.0942993454677662e+01,5.6678611580344374e+01,1.4021809170205990e+00,5.5657027442395014e-02,5.6276430663323772e+01
20MAY06XA,2318+049,29,1.1452581368343477e+01,5.5605220113579911e+01,1.9582263239985540e+01,5.4605220113579911e+01,9.2325738013260708e+00,1.2206749153850662e+00,4.6372646312253842e+01
18MAY01XA,2355-106,101,3.8915678326779855e+01,-8.6984386033506553e+01,2.7753177210741086e+01,-8.7984386033506553e+01,1.4021809170205990e+00,5.5657027442395014e-02,-8.8386566950527154e+01
18MAY01XA,3C274,235,3.8915678326779855e+01,8.5471229894015110e+01,0.0000000000000000e+00,8.4471229894015110e+01,1.4021809170205990e+00,5.5657027442395014e-02,8.4069048976994509e+01
20MAY04XA,3C274,65,1.0106397771203248e+01,6.1810241830921086e+01,2.7767809586105199e-16,6.0810241830921086e+01,8.0497082639269522e+00,2.7976357126395818e-01,5.3760533566994134e+01
18MAY01XA,3C371,29,3.8915678326779855e+01,1.0383095272460581e+01,4.9694885636385749e+01,9.3830952724605812e+00,1.4021809170205990e+00,5.5657027442395014e-02,8.9809143554399817e+00
20MAY04XA,3C371,1024,1.0106397771203248e+01,1.3772879339687409e+01,4.6178831616092963e-01,1.2772879339687409e+01,8.0497082639269522e+00,2.7976357126395818e-01,5.7231710757604564e+00
18MAY01XA,3C418,118,3.8915678326779855e+01,2.5162193699327080e+01,6.6593391538172533e+00,2.4162193699327080e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.3760012782306482e+01
20MAY06XA,3C418,29,1.1452581368343477e+01,5.2861241018443323e+01,8.4141626059917325e+00,5.1861241018443323e+01,9.2325738013260708e+00,1.2206749153850662e+00,4.3628667217117254e+01
22MAY09XA,3C418,463,1.1981812554125794e+01,7.0038154526925851e+01,3.3179763586335751e+00,6.9038154526925851e+01,5.4609783256794806e+00,3.8943244120781795e-01,6.4577176201246374e+01
17MAY01XA,3C446,122,2.9980768003362140e+01,5.2510735337406032e+01,9.5701362904855234e+00,5.1510735337406032e+01,1.1866902903646863e+00,6.9614570068410556e-02,5.1324045047041345e+01
18MAY01XA,3C446,194,3.8915678326779855e+01,-1.3525343080355416e+01,9.9975431858401365e+00,-1.4525343080355416e+01,1.4021809170205990e+00,5.5657027442395014e-02,-1.4927523997376015e+01
20MAY04XA,3C446,145,1.0106397771203248e+01,3.4268848424655033e+01,1.7225202656776407e+01,3.3268848424655033e+01,8.0497082639269522e+00,2.7976357126395818e-01,2.6219140160728081e+01
17MAY01XA,CTA26,33,2.9980768003362140e+01,-1.0389980991114442e+02,1.4532003347048434e+01,-1.0489980991114442e+02,1.1866902903646863e+00,6.9614570068410556e-02,-1.0508650020150910e+02
18MAY01XA,CTA26,343,3.8915678326779855e+01,1.3300218221309354e+01,3.1574540845323202e+00,1.2300218221309354e+01,1.4021809170205990e+00,5.5657027442395014e-02,1.1898037304288755e+01
20MAY04XA,CTA26,34,1.0106397771203248e+01,8.4168299066835973e-12,4.8823299635925299e-03,-9.9999999999158318e-01,8.0497082639269522e+00,2.7976357126395818e-01,-8.0497082639185358e+00
18MAY01XA,NRAO150,120,3.8915678326779855e+01,-2.2425997174940402e+01,2.5945481938698127e+00,-2.3425997174940402e+01,1.4021809170205990e+00,5.5657027442395014e-02,-2.3828178091961000e+01
20MAY04XA,NRAO150,35,1.0106397771203248e+01,-1.2017035724311778e+02,1.8194577196020617e+01,-1.2117035724311778e+02,8.0497082639269522e+00,2.7976357126395818e-01,-1.2822006550704472e+02
18MAY01XA,NRAO512,130,3.8915678326779855e+01,2.9779129328378044e+01,1.9164673405357531e+00,2.8779129328378044e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.8376948411357446e+01
20MAY04XA,NRAO512,379,1.0106397771203248e+01,4.0214551279950179e+01,1.4754022733166217e+00,3.9214551279950179e+01,8.0497082639269522e+00,2.7976357126395818e-01,3.2164843016023227e+01
17MAY01XA,OJ287,49,2.9980768003362140e+01,3.5244935154440462e+01,3.0984884902172436e+01,3.4244935154440462e+01,1.1866902903646863e+00,6.9614570068410556e-02,3.4058244864075775e+01
18MAY01XA,OJ287,351,3.8915678326779855e+01,5.9257612403926473e+01,5.9926586242058200e+00,5.8257612403926473e+01,1.4021809170205990e+00,5.5657027442395014e-02,5.7855431486905871e+01
20MAY04XA,OJ287,243,1.0106397771203248e+01,1.1623050498098650e+01,5.0525180873635724e+00,1.0623050498098650e+01,8.0497082639269522e+00,2.7976357126395818e-01,3.5733422341716974e+00
20MAY06XA,OJ287,45,1.1452581368343477e+01,5.2445951139718694e+01,8.0906306867890194e+00,5.1445951139718694e+01,9.2325738013260708e+00,1.2206749153850662e+00,4.3213377338392625e+01
22MAY09XA,OJ287,245,1.1981812554125794e+01,4.5234148633330511e+00,1.8782069175997712e-16,3.5234148633330511e+00,5.4609783256794806e+00,3.8943244120781795e-01,-9.3756346234642951e-01
