dataset_id,display_name,statistic,item_id,item_label,delta_stat,delta_over_sigma,source,method
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,coincidence_window,coincidence window,0.00012339088413475033,3.1334835552781444,direct,delta_window from sweep summary
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,offset,offset,1.1813454446911643e-05,0.3,proxy_default,fallback 0.3*sigma_stat
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,threshold,threshold,2.587968960939306e-06,0.06572088560300508,proxy_indicator,local window slope * median step
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,detector_efficiency_drift,detector efficiency drift,2.4255386418422943e-05,0.6159600443906725,proxy_indicator,sigma_stat * coefficient of variation of setting counts
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,dark_count,dark count,7.875636297941095e-06,0.19999999999999998,proxy_default,fallback 0.2*sigma_stat
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,accidental_correction,accidental correction,7.875636297941095e-06,0.19999999999999998,proxy_default,fallback 0.2*sigma_stat
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,event_ready_definition,event-ready definition,7.875636297941095e-06,0.19999999999999998,proxy_default,fallback 0.2*sigma_stat
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,trial_definition,trial definition,0.0,0.0,direct,difference between frozen statistic and trial-based statistic
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,setting_switch_timing,setting switch timing,9.47005734923545e-06,0.24048996147044474,proxy_indicator,scaled by delay z-signature
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,polarization_correction,polarization correction,5.315483501905933e-05,1.3498549960453468,proxy_indicator,sigma_stat * setting-count imbalance
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,transmission_loss,transmission loss,1.0958701401964505e-06,0.0278293740020204,proxy_indicator,sigma_stat * Alice/Bob click asymmetry
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,clock_sync,clock synchronization,6.066185398707491e-07,0.015404940424415882,proxy_indicator,sigma_stat * KS delay proxy
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,dead_time,dead time,4.322426346127994e-06,0.10976703805527419,proxy_indicator,sigma_stat * pair-density proxy
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,electronic_noise,electronic noise,1.9095964008505244e-05,0.48493768087024147,proxy_indicator,sigma_stat * relative bootstrap noise
kwiat2013_prl111_130406_05082013_15,Kwiat/Christensen 2013,CH_J,environmental_variation,environmental variation,3.380817624781613e-05,0.8585509784562932,proxy_indicator,sigma_stat * relative spread across sweep
