galaxy,radius_kpc,vobs_km_s,evobs_km_s,sigma_used_km_s,vbar_bestfit_baryon_km_s,vpred_baryon_km_s,vbar_bestfit_pmodel_km_s,vpred_pmodel_km_s,resid_baryon_km_s,resid_pmodel_km_s,pull_baryon_sigma,pull_pmodel_sigma,gbar_bestfit_pmodel_m_s2,gpred_pmodel_m_s2
D631-7,4.94,54.8,2.19,3.0,23.547165349570207,23.547165349570207,21.89003508448536,55.30059437814293,31.25283465042979,-0.5005943781429352,10.417611550143263,-0.16686479271431173,3.1435141611266247e-12,2.006236393010565e-11
D631-7,5.39,56.6,2.73,3.0,22.6888674023187,22.6888674023187,21.136888701982606,55.364591158458175,33.9111325976813,1.235408841541826,11.303710865893768,0.41180294718060867,2.6862276233698607e-12,1.8429980851588463e-11
D631-7,5.84,58.4,3.27,3.27,21.88069582988621,21.88069582988621,20.414794880184324,55.358939011831794,36.519304170113784,3.041060988168205,11.1679829266403,0.9299880697762094,2.3127391329950306e-12,1.7006389582660505e-11
D631-7,6.29,58.5,3.95,3.95,21.102319919857152,21.10231991985715,19.707306919008495,55.27212672097977,37.39768008014285,3.22787327902023,9.467767108896924,0.8171831086127164,2.0010289409757425e-12,1.5740233116698522e-11
D631-7,6.74,57.7,4.07,4.07,20.369746586543485,20.369746586543485,19.031826396854296,55.139983380771696,37.33025341345652,2.560016619228307,9.172052435738701,0.6289967123411073,1.7416083302579048e-12,1.461917348858075e-11
D631-7,7.19,57.3,3.94,3.94,19.66370555109082,19.66370555109082,18.372663279992913,54.94754881048887,37.636294448909176,2.352451189511129,9.55235899718507,0.5970688298251596,1.52147491279311e-12,1.360871789459157e-11
DDO064,0.1,6.29,4.62,4.62,2.2108830814857665,2.2108830814857665,1.83067310025575,5.929597994975186,4.0791169185142335,0.360402005024814,0.8829257399381457,0.07800909199671299,1.086103104258942e-12,1.1394622883775234e-11
DDO064,0.3,13.9,4.62,4.62,6.590116387439601,6.590116387439601,5.244348767959659,13.421487243631573,7.309883612560399,0.4785127563684277,1.5822258901645885,0.10357418969013586,2.9710593836256832e-12,1.9459401819497258e-11
DDO064,0.49,15.6,4.62,4.62,9.397231826447614,9.397231826447614,7.134732370593867,17.743517510170577,6.202768173552386,-2.143517510170577,1.3425905137559275,-0.4639648290412504,3.366733565434029e-12,2.0822497260203532e-11
DDO064,0.69,18.4,4.62,4.62,13.723720924005994,13.723720924005994,10.52777070418994,23.72414877417004,4.676279075994005,-5.324148774170041,1.0121816181805205,-1.15241315458226,5.205628828579536e-12,2.6435141639834913e-11
