galaxy,radius_kpc,vobs_km_s,evobs_km_s,sigma_used_km_s,vbar_bestfit_baryon_km_s,vpred_baryon_km_s,vbar_bestfit_pmodel_km_s,vpred_pmodel_km_s,resid_baryon_km_s,resid_pmodel_km_s,pull_baryon_sigma,pull_pmodel_sigma,gbar_bestfit_pmodel_m_s2,gpred_pmodel_m_s2
NGC2955,35.43,227.0,11.2,11.2,216.10101265287946,216.10101265287946,171.47921312392356,273.69221377643555,10.898987347120539,-46.69221377643555,0.9731238702786196,-4.168947658610318,2.689684042588374e-11,6.851776486170879e-11
NGC2976,0.11,6.8,3.62,3.62,11.663308964440578,11.663308964440578,8.867052272316881,14.570241265149345,-4.863308964440578,-7.7702412651493455,-1.3434555150388336,-2.1464754876103163,2.316409337939236e-11,6.254466288731662e-11
NGC2976,0.17,9.5,4.31,4.31,15.072743081469937,15.072743081469937,11.48173087996753,18.56822300619714,-5.5727430814699375,-9.06822300619714,-1.2929798332876887,-2.1039960571223064,2.5131317670568716e-11,6.572660804301615e-11
NGC2976,0.24,14.0,3.11,3.11,19.085844911871202,19.085844911871202,14.555319165171195,22.957780870938606,-5.085844911871202,-8.957780870938606,-1.6353199073540845,-2.880315392584761,2.8607616750419588e-11,7.117017367588145e-11
NGC2976,0.31,19.8,5.5,5.5,22.596740340146404,22.596740340146404,17.23321891000053,26.761968220269548,-2.7967403401464033,-6.961968220269547,-0.5084982436629825,-1.2658124036853722,3.104706640409622e-11,7.487276338022984e-11
NGC2976,0.38,26.1,3.9,3.9,25.681320565734147,25.681320565734147,19.58277472678476,30.114241972785216,0.4186794342658544,-4.014241972785214,0.10735370109380883,-1.0292928135346704,3.270501209747382e-11,7.734099046878183e-11
NGC2976,0.45,28.7,3.5,3.5,28.57103701303122,28.57103701303122,21.810896267691522,33.2507614780644,0.12896298696878006,-4.550761478064398,0.03684656770536573,-1.3002175651612566,3.425973233046148e-11,7.962329250202534e-11
NGC2976,0.52,28.7,2.7,3.0,31.52643230687544,31.526432306875442,24.071507929500378,36.34040674821978,-2.826432306875443,-7.640406748219778,-0.9421441022918143,-2.5468022494065927,3.611209673236043e-11,8.230489761841584e-11
NGC2976,0.59,31.7,2.5,3.0,34.50110717064018,34.50110717064018,26.34667030195656,39.3797177543557,-2.801107170640183,-7.679717754355703,-0.9337023902133943,-2.559905918118568,3.812842945928799e-11,8.518098177503948e-11
NGC2976,0.66,35.5,2.3,3.0,37.318211291539676,37.318211291539676,28.54373581015631,42.291179349598565,-1.8182112915396758,-6.791179349598565,-0.6060704305132253,-2.2637264498661884,4.0006185591281395e-11,8.782236166470622e-11
NGC2976,0.73,39.4,2.1,3.0,40.02582121581017,40.02582121581017,30.672008802815636,45.09198828131979,-0.6258212158101699,-5.691988281319794,-0.20860707193672332,-1.8973294271065981,4.1764860486928567e-11,9.026624272083357e-11
NGC2976,0.8,42.9,2.3,3.0,42.70637685404838,42.70637685404837,32.73833813741925,47.79506980557205,0.19362314595162644,-4.895069805572049,0.06454104865054215,-1.631689935190683,4.341829127048566e-11,9.253918456280457e-11
NGC2976,0.87,46.0,2.6,3.0,45.31589253231143,45.31589253231143,34.78608279182926,50.4460723852345,0.6841074676885697,-4.446072385234501,0.22803582256285657,-1.4820241284115003,4.5075572844028916e-11,9.479488839651232e-11
NGC2976,0.94,49.1,3.1,3.1,48.17679673867908,48.17679673867908,37.01335845340166,53.23332014509829,0.9232032613209213,-4.133320145098288,0.2978075036519101,-1.333329079063964,4.7232244879743886e-11,9.769868287767122e-11
NGC2976,1.01,49.2,3.2,3.2,51.647736097528984,51.647736097528984,39.69737527847401,56.414980554004295,-2.4477360975289812,-7.214980554004292,-0.7649175304778066,-2.2546814231263412,5.056519272138183e-11,1.0212144857146858e-10
NGC2976,1.08,51.4,3.2,3.2,55.27917179191453,55.27917179191453,42.54273608972511,59.71588970049269,-3.87917179191453,-8.31588970049269,-1.2122411849732906,-2.5987155314039656,5.430959129966448e-11,1.0700535537427213e-10
NGC2976,1.14,57.2,3.1,3.1,58.23536128504741,58.23536128504741,44.950913939540754,62.49471497132645,-1.0353612850474079,-5.294714971326449,-0.33398751130561544,-1.7079725713956289,5.744095554087807e-11,1.1102765998665176e-10
NGC2976,1.21,63.8,2.9,3.0,62.02551692650371,62.02551692650371,48.08371605855769,66.00858402816219,1.7744830734962846,-2.2085840281621927,0.5914943578320949,-0.7361946760540642,6.192416116768003e-11,1.166984043288351e-10
NGC2976,1.29,67.8,2.8,3.0,66.43639519119019,66.43639519119019,51.64974971865788,69.98037901526438,1.3636048088098107,-2.1803790152643785,0.4545349362699369,-0.7267930050881262,6.701872899904646e-11,1.2303036857819144e-10
NGC2976,1.35,69.8,3.3,3.3,69.61539151653173,69.61539151653173,54.300285229453436,72.91780781620736,0.18460848346826708,-3.1178078162073604,0.055941964687353664,-0.9447902473355638,7.078152380380063e-11,1.2763885321904848e-10
NGC2976,1.42,71.7,3.9,3.9,72.96277920967647,72.96277920967647,57.08413220852183,76.04660118003268,-1.2627792096764665,-4.346601180032678,-0.32378954094268375,-1.114513123085302,7.436899575451916e-11,1.319838301611198e-10
NGC2976,1.49,74.1,4.4,4.4,76.10229113502429,76.10229113502429,59.72175613626912,79.02562601145912,-2.0022911350242936,-4.92562601145913,-0.4550661670509758,-1.1194604571498021,7.757616850920342e-11,1.3583105568239232e-10
NGC2976,1.56,76.7,4.8,4.8,78.99074745816752,78.9907474581675,62.22244566070992,81.86524960516023,-2.290747458167502,-5.165249605160227,-0.4772390537848962,-1.076093667741714,8.043017444288368e-11,1.3922718330673915e-10
NGC2976,1.63,79.9,4.4,4.4,81.20561696089746,81.20561696089746,64.14816494647371,84.17277129786206,-1.3056169608974528,-4.27277129786205,-0.2967311274766938,-0.9710843858777386,8.181450834247993e-11,1.4086564966567638e-10
NGC2976,1.74,83.6,3.35,3.35,83.37036443485177,83.37036443485177,66.17949913681728,86.87848476543799,0.2296355651482287,-3.2784847654379945,0.06854792989499364,-0.978652168787461,8.15731359641587e-11,1.4058037005365516e-10
NGC2976,1.93,83.9,3.95,3.95,81.62218188703362,81.62218188703362,64.77672742582786,87.05100547175928,2.2778181129663864,-3.1510054717592766,0.5766628134092117,-0.7977229042428547,7.045797422474448e-11,1.272447079471278e-10
NGC2976,2.1,88.7,4.44,4.44,79.06843418204257,79.06843418204257,62.99279200035508,86.63734435688137,9.631565817957437,2.0626556431186316,2.1692715806210443,0.4645620817834755,6.123671365070617e-11,1.1583516545751966e-10
NGC2976,2.27,85.3,5.36,5.36,77.40329685484977,77.40329685484977,61.8138505838295,86.70033198773721,7.8967031451502265,-1.4003319877372178,1.473265512154893,-0.2612559678614212,5.455005510756676e-11,1.0731615856507624e-10
NGC2998,0.33,90.0,20.0,20.0,43.202522889294315,43.202522889294315,32.74477888152552,41.351421515824796,46.797477110705685,48.648578484175204,2.3398738555352843,2.43242892420876,1.052978828094536e-10,1.679254041548377e-10
NGC2998,0.99,125.0,15.0,15.0,90.39224815215073,90.39224815215073,68.51295765035982,82.1101886849597,34.60775184784927,42.889811315040305,2.3071834565232847,2.85932075433602,1.5365959788140707e-10,2.2070306295385892e-10
NGC2998,1.98,148.0,15.0,15.0,128.13240139012456,128.13240139012456,97.13175343830666,116.33402973699414,19.867598609875444,31.66597026300586,1.3245065739916961,2.111064684200391,1.5442112853999015e-10,2.2151228068271227e-10
NGC2998,2.64,180.0,17.0,17.0,149.98319480528474,149.98319480528474,113.70816542359654,135.7056927658381,30.01680519471526,44.29430723416189,1.7656944232185448,2.6055474843624644,1.5871896880139056e-10,2.2606933704796358e-10
NGC2998,3.63,201.0,15.0,15.0,190.79944217423693,190.79944217423693,144.6708149351485,169.18227812971645,10.20055782576307,31.81772187028355,0.6800371883842047,2.1211814580189032,1.8685498363565932e-10,2.5553627933659014e-10
NGC2998,7.59,206.0,10.0,10.0,215.48879371326944,215.48879371326944,163.69588160977048,204.24930003588386,-9.488793713269445,1.7506999641161372,-0.9488793713269444,0.17506999641161372,1.1441505806540196e-10,1.7812662225823556e-10
NGC2998,12.5,214.0,5.0,5.0,209.16696951000648,209.16696951000648,159.90881993811345,217.04815633853488,4.833030489993519,-3.0481563385348807,0.9666060979987037,-0.6096312677069762,6.629553482160277e-11,1.2213823622411763e-10
NGC2998,17.48,212.0,5.0,5.0,197.9860450031769,197.9860450031769,152.8751368143296,223.26619050225716,14.013954996823088,-11.26619050225716,2.8027909993646176,-2.253238100451432,4.332930708295007e-11,9.241744356939105e-11
NGC2998,22.46,213.0,2.0,3.0,178.3075904048955,178.3075904048955,139.4064325488605,220.72543512895845,34.69240959510449,-7.725435128958452,11.564136531701498,-2.5751450429861507,2.8041764008580957e-11,7.029824227579634e-11
NGC2998,27.44,214.0,2.0,3.0,168.18742769303535,168.18742769303537,133.04058175609424,223.096294886793,45.812572306964626,-9.096294886793004,15.270857435654875,-3.032098295597668,2.090420320009375e-11,5.878277214552838e-11
NGC2998,32.32,213.0,2.0,3.0,159.90570739032424,159.90570739032424,128.17050478171643,225.5156470207086,53.09429260967576,-12.515647020708599,17.69809753655859,-4.171882340236199,1.6472301854991177e-11,5.099545402485794e-11
NGC2998,37.3,213.0,3.0,3.0,150.66902089016173,150.66902089016173,122.05307409483792,225.7356736099734,62.33097910983827,-12.73567360997339,20.776993036612755,-4.245224536657797,1.2943092874312347e-11,4.427321061613164e-11
NGC2998,42.28,203.0,3.0,3.0,141.62605697399047,141.62605697399047,115.27608934206606,224.2815961717677,61.37394302600953,-21.28159617176769,20.457981008669844,-7.0938653905892295,1.01857484378833e-11,3.855686835285581e-11
NGC3109,0.26,6.1,1.6,3.0,2.874838430242645,2.874838430242645,2.2744968674412367,8.345397207674171,3.2251615697573546,-2.2453972076741717,1.0750538565857848,-0.7484657358913905,6.448323140821903e-13,8.681007495305106e-12
NGC3109,0.52,11.2,0.7,3.0,5.052219908119596,5.052219908119596,4.071334670596363,13.345183456463243,6.147780091880403,-2.1451834564632435,2.049260030626801,-0.7150611521544145,1.0330461376822317e-12,1.1099290237113447e-11
NGC3109,0.77,14.9,1.5,3.0,8.159712004721735,8.159712004721735,6.854261448179518,19.2773443351054,6.7402879952782655,-4.3773443351054,2.246762665092755,-1.4591147783684668,1.977334126226711e-12,1.5640590277660086e-11
NGC3109,1.03,19.1,2.2,3.0,10.58925936975764,10.58925936975764,9.089398990032288,23.98943377429508,8.510740630242362,-4.889433774295078,2.8369135434141204,-1.6298112580983595,2.5994565674914703e-12,1.8107238620159466e-11
NGC3109,1.29,24.3,0.9,3.0,13.182772318446522,13.182772318446522,11.339608723408404,28.468723263357013,11.117227681553478,-4.168723263357013,3.7057425605178262,-1.3895744211190042,3.2303968877384274e-12,2.0360841636219547e-11
NGC3109,1.55,29.8,1.9,3.0,15.17631364989535,15.176313649895352,13.2430032847538,32.298930721130766,14.623686350104649,-2.4989307211307654,4.87456211670155,-0.8329769070435885,3.66682961413463e-12,2.1811927551068342e-11
NGC3109,1.81,34.3,1.6,3.0,16.90802424885888,16.90802424885888,14.925811334731522,35.71352270171468,17.391975751141118,-1.4135227017146832,5.797325250380372,-0.4711742339048944,3.988841461551638e-12,2.2836853200929187e-11
NGC3109,2.06,38.2,3.5,3.5,18.315593738669786,18.315593738669786,16.240201168704775,38.513060174254896,19.884406261330216,-0.3130601742548933,5.6812589318086335,-0.08944576407282666,4.1492064426196084e-12,2.3334488788860496e-11
NGC3109,2.32,42.5,5.6,5.6,19.118282715767123,19.118282715767123,17.045301229371102,40.62505083602882,23.381717284232877,1.8749491639711806,4.175306657898728,0.3348123507091394,4.058549349581276e-12,2.3054160098296995e-11
NGC3109,2.58,42.3,3.0,3.0,19.63964678908457,19.63964678908457,17.615634135619413,42.37080066689486,22.660353210915428,-0.07080066689486131,7.553451070305143,-0.023600222298287104,3.897860680575808e-12,2.255085904539828e-11
NGC3109,2.84,47.3,4.4,4.4,20.091340024995844,20.09134002499584,18.11482553048745,43.970642748407116,27.208659975004156,3.3293572515928815,6.18378635795549,0.7566721026347457,3.7445482055580576e-12,2.20626026218448e-11
NGC3109,3.1,49.3,4.0,4.0,20.71220789775923,20.71220789775923,18.627146748764286,45.54291204473962,28.587792102240766,3.757087955260374,7.146948025560191,0.9392719888150936,3.627274585686993e-12,2.1683498458315076e-11
NGC3109,3.35,50.6,3.5,3.5,21.49010274521739,21.49010274521739,19.257776507167176,47.202617305550326,29.109897254782613,3.397382694449675,8.31711350136646,0.9706807698427643,3.587706705216798e-12,2.1554443180729224e-11
NGC3109,3.61,53.0,3.5,3.5,22.058122404230144,22.058122404230144,19.80996022207011,48.758089477195156,30.941877595769856,4.241910522804844,8.840536455934245,1.2119744350870982,3.5229741768480817e-12,2.1342024439434398e-11
NGC3109,3.87,54.7,3.3,3.3,21.74949714361231,21.749497143612313,19.641269459991634,49.309943181192494,32.950502856387686,5.390056818807508,9.985000865572026,1.6333505511537905,3.230558407508286e-12,2.0361393354153267e-11
NGC3109,4.13,55.2,3.1,3.1,21.40307604060687,21.40307604060687,19.439378179355426,49.772125878884395,33.79692395939313,5.427874121115607,10.902233535288108,1.7509271358437444,2.9652692953977245e-12,1.9438904438446583e-11
NGC3109,4.38,57.5,2.6,3.0,21.581674772825206,21.581674772825206,19.718466623954306,50.83936438818147,35.91832522717479,6.6606356118185275,11.97277507572493,2.220211870606176,2.8768791825239994e-12,1.9123860572474874e-11
NGC3109,4.64,59.1,2.4,3.0,21.902445160301166,21.902445160301166,20.044063061166018,51.976161318729005,37.19755483969884,7.123838681270996,12.39918494656628,2.3746128937569986,2.8060990391506815e-12,1.8868608677291323e-11
NGC3109,4.9,61.2,1.9,3.0,22.279562248841422,22.279562248841422,20.441791849052763,53.1938353577225,38.92043775115858,8.006164642277504,12.973479250386193,2.6687215474258346,2.76370254324178e-12,1.8714403293970717e-11
NGC3109,5.16,62.7,1.9,3.0,22.62192286256851,22.62192286256851,20.814402561687903,54.35834195239855,40.07807713743149,8.341658047601456,13.359359045810498,2.7805526825338185,2.720994429874914e-12,1.855804210913067e-11
NGC3109,5.42,64.4,2.9,3.0,23.10847472249088,23.10847472249088,21.355302947979922,55.74328033869909,41.29152527750912,8.656719661300919,13.763841759169708,2.8855732204336397,2.7268524677191123e-12,1.8579550918660882e-11
NGC3109,5.67,66.6,3.2,3.2,23.589550525603492,23.589550525603492,21.867301022302684,57.049575953034314,43.0104494743965,9.55042404696568,13.440765460748906,2.984507514676775,2.7331078072194726e-12,1.8602496745682764e-11
NGC3109,5.93,66.3,3.4,3.4,23.60533427003312,23.60533427003312,21.899631184109015,57.68899659994026,42.69466572996688,8.611003400059737,12.557254626460846,2.532648058841099,2.6210081002727996e-12,1.818782353478323e-11
NGC3109,6.19,66.2,3.2,3.2,23.239450294703616,23.239450294703616,21.70030068916097,57.978943922945206,42.96054970529639,8.221056077054797,13.425171782905121,2.569080024079624,2.4654165618355157e-12,1.7599462596282572e-11
NGC3109,6.45,67.3,3.0,3.0,22.944642860589482,22.944642860589482,21.511645125373374,58.261279244648925,44.355357139410515,9.038720755351072,14.785119046470172,3.012906918450357,2.32507512420626e-12,1.705492337640794e-11
NGC3198,0.32,24.4,35.9,35.9,61.35223627546105,61.35223627546105,46.50111327699585,53.38037388593693,-36.952236275461054,-28.980373885936935,-1.0293102026590824,-0.807252754482923,2.1899095487267467e-10,2.8857765443623583e-10
NGC3198,0.64,43.3,16.3,16.3,71.41601965945733,71.41601965945733,54.12882433602266,65.16958970267454,-28.116019659457336,-21.869589702674546,-1.7249091815617996,-1.3416926197959844,1.4836336320294864e-10,2.1505990731834714e-10
NGC3198,0.96,45.5,16.1,16.1,76.57395102774832,76.57395102774832,58.03820996550461,72.48035826058748,-31.073951027748322,-26.98035826058748,-1.9300590700464795,-1.6757986497259303,1.1371198488288383e-10,1.7734497376869638e-10
NGC3198,1.28,58.5,15.4,15.4,80.18138873828512,80.18138873828512,60.77284837820257,78.11723744004166,-21.681388738285122,-19.617237440041663,-1.4078823856029299,-1.2738465870156923,9.351013175136787e-11,1.5450169128438856e-10
NGC3198,1.61,68.8,7.61,7.61,81.65445729413672,81.65445729413672,61.88898961850968,81.97373064439336,-12.854457294136722,-13.173730644393359,-1.6891533895054824,-1.7311078376338185,7.709928737717057e-11,1.3526112010253336e-10
NGC3198,1.93,76.9,10.3,10.3,80.63632224996375,80.63632224996375,61.11723902468107,83.7215982980274,-3.7363222499637487,-6.821598298027396,-0.3627497330061892,-0.6622910968958636,6.27219568314829e-11,1.1769748076736807e-10
NGC3198,2.24,82.0,8.09,8.09,84.38971977675952,84.38971977675952,63.962802971727236,88.47579202800756,-2.38971977675952,-6.475792028007561,-0.29539181418535476,-0.8004687302852362,5.91910999626525e-11,1.132531667948438e-10
NGC3198,2.57,86.9,7.6,7.6,86.20667789678475,86.20667789678475,65.34214623043843,91.8558464313772,0.6933221032152517,-4.955846431377196,0.09122659252832259,-0.6520850567601575,5.3839760820669915e-11,1.0639713614210864e-10
NGC3198,2.89,97.6,3.03,3.03,86.28116176779261,86.28116176779261,65.40231430155968,93.80753973462798,11.318838232207383,3.7924602653720143,3.7355901756460015,1.2516370512778925,4.796647952035723e-11,9.867953719577562e-11
NGC3198,3.21,100.0,5.31,5.31,90.95931361878232,90.95931361878232,68.94541532255788,98.88075596085768,9.040686381217682,1.1192440391423162,1.7025774729223508,0.21078042168405203,4.799049246661748e-11,9.871155159401225e-11
NGC3198,3.54,107.0,7.51,7.51,98.1372059720471,98.1372059720471,74.38222795802771,105.67546503313608,8.862794027952901,1.3245349668639221,1.1801323605796141,0.17636950291130787,5.0650595750535765e-11,1.0223380573548149e-10
NGC3198,3.85,113.0,7.32,7.32,105.22435481389275,105.22435481389275,79.7537490404056,112.22249603163476,7.775645186107255,0.777503968365238,1.0622466101239418,0.10621638912093416,5.354155005250889e-11,1.0601042441275148e-10
NGC3198,4.17,117.0,5.21,5.21,112.00141469642244,112.00141469642244,84.89577642026721,118.53692170478057,4.998585303577556,-1.5369217047805677,0.9594213634505866,-0.29499456905577115,5.60125789309438e-11,1.0919950995891091e-10
NGC3198,4.5,119.0,5.67,5.67,116.87910589151508,116.87910589151508,88.60960080036473,123.52266432289571,2.1208941084849187,-4.522664322895707,0.37405539832185514,-0.7976480287294017,5.654555889727532e-11,1.0988293277551459e-10
NGC3198,4.82,127.0,5.39,5.39,121.68731534551986,121.68731534551986,92.28072472623954,128.36695261179477,5.312684654480137,-1.3669526117947726,0.9856557800519735,-0.25360901888585763,5.725644897431577e-11,1.1079212166708862e-10
NGC3198,5.15,132.0,4.34,4.34,125.60230411899295,125.60230411899295,95.27956129202106,132.58948674830432,6.397695881007053,-0.5894867483043242,1.4741234748864178,-0.1358264397014572,5.7127040181323326e-11,1.1062681389170499e-10
NGC3198,5.46,134.0,2.36,3.0,129.29212176308343,129.29212176308343,98.1064918850939,136.52283157422394,4.707878236916571,-2.522831574223943,1.569292745638857,-0.8409438580746477,5.712843208847913e-11,1.1062859239279267e-10
NGC3198,5.78,137.0,0.89,3.0,132.55392280125093,132.55392280125093,100.61362457440839,140.16636391481205,4.446077198749066,-3.1663639148120524,1.4820257329163553,-1.0554546382706842,5.67590614603879e-11,1.1015627233961994e-10
NGC3198,6.1,140.0,2.84,3.0,135.4936559917105,135.4936559917105,102.88086106754743,143.55271379825302,4.506344008289489,-3.5527137982530235,1.5021146694298295,-1.1842379327510077,5.623268240447835e-11,1.094819272538343e-10
NGC3198,6.43,142.0,0.88,3.0,137.93733812858648,137.93733812858648,104.77662072237297,146.60246264062644,4.062661871413525,-4.602462640626442,1.3542206238045083,-1.5341542135421473,5.5330839127240396e-11,1.0832308329390139e-10
NGC3198,6.74,144.0,1.23,3.0,138.485437342704,138.485437342704,105.24363826854332,148.22547470027072,5.514562657296011,-4.225474700270723,1.8381875524320037,-1.4084915667569078,5.3257559921388605e-11,1.0564167000025846e-10
NGC3198,7.06,146.0,1.57,3.0,137.25114019198526,137.25114019198526,104.36590460490436,148.6086470487823,8.748859808014743,-2.608647048782302,2.916286602671581,-0.8695490162607674,4.99990827646039e-11,1.0137547785941179e-10
NGC3198,8.04,147.0,3.0,3.0,132.56376109631165,132.56376109631165,101.04219809564712,148.94220084170195,14.436238903688349,-1.942200841701947,4.8120796345627825,-0.6474002805673157,4.115276088896118e-11,8.941882110155043e-11
NGC3198,9.04,148.0,3.0,3.0,128.37781566142957,128.37781566142957,98.17562790224463,149.43155956370472,19.622184338570435,-1.4315595637047238,6.5407281128568115,-0.47718652123490796,3.455320998534863e-11,8.005080109492611e-11
NGC3198,10.04,152.0,2.0,3.0,126.43486781738649,126.43486781738649,97.06663587453723,151.32773699613722,25.56513218261351,0.6722630038627813,8.521710727537837,0.2240876679542604,3.0412750442228345e-11,7.39184441265833e-11
NGC3198,11.04,155.0,2.0,3.0,125.76127371333352,125.76127371333352,96.94216010591056,153.97320064618313,29.238726286666477,1.0267993538168696,9.746242095555493,0.3422664512722899,2.7587082054410714e-11,6.959381694966941e-11
NGC3198,12.05,156.0,2.0,3.0,124.85756875736446,124.85756875736446,96.65098197121434,156.31352400246146,31.14243124263554,-0.31352400246146317,10.380810414211846,-0.10450800082048772,2.5123199641372047e-11,6.571363877267701e-11
NGC3198,14.05,157.0,2.0,3.0,119.59960173846731,119.5996017384673,93.39770326940594,157.81712744572775,37.4003982615327,-0.8171274457277491,12.4667994205109,-0.27237581524258303,2.0120812958100644e-11,5.744885785886187e-11
NGC3198,16.07,153.0,2.0,3.0,111.0676334311666,111.0676334311666,87.47223465763292,155.9836982591073,41.9323665688334,-2.983698259107314,13.977455522944467,-0.9945660863691046,1.5430287615141564e-11,4.906728225372332e-11
NGC3198,18.13,153.0,2.0,3.0,105.0416822028284,105.0416822028284,83.33829251910551,155.4856417076111,47.9583177971716,-2.4856417076111086,15.986105932390535,-0.8285472358703695,1.2414832000208797e-11,4.321477253839139e-11
NGC3198,20.05,154.0,2.0,3.0,101.59631538594299,101.59631538594299,81.26885811920823,156.542121119841,52.40368461405701,-2.542121119840999,17.46789487135234,-0.8473737066136664,1.0675381231091696e-11,3.960933089565253e-11
NGC3198,22.12,153.0,2.0,3.0,97.74807406798354,97.74807406798354,78.74892090689242,157.018425624864,55.25192593201646,-4.018425624863994,18.417308644005487,-1.339475208287998,9.08559878947102e-12,3.6121482734256425e-11
NGC3198,24.03,150.0,2.0,3.0,94.15147660021056,94.15147660021056,76.3859423323428,157.1256677514308,55.84852339978944,-7.125667751430797,18.61617446659648,-2.3752225838102654,7.869054719178691e-12,3.3295838526528234e-11
NGC3198,26.1,149.0,2.0,3.0,91.29530801744413,91.29530801744413,74.84050845631661,158.16253778738673,57.70469198255587,-9.162537787386725,19.234897327518624,-3.0541792624622417,6.954764140565629e-12,3.1061054602443636e-11
NGC3198,28.16,148.0,2.0,3.0,89.09277571161422,89.09277571161424,73.73824817555676,159.504131033547,58.90722428838576,-11.504131033546997,19.63574142946192,-3.8347103445156656,6.257522728638276e-12,2.927929903109821e-11
NGC3198,30.08,146.0,2.0,3.0,86.548427518933,86.54842751893301,71.9442308041444,159.65416889916582,59.45157248106699,-13.654168899165825,19.81719082702233,-4.551389633055275,5.5765239300709984e-12,2.746199916159301e-11
NGC3198,32.14,147.0,2.0,3.0,83.85688359341765,83.85688359341765,69.88976867897044,159.46001949768493,63.14311640658235,-12.460019497684925,21.047705468860784,-4.153339832561642,4.925278451553143e-12,2.5639361640205667e-11
NGC3198,34.06,148.0,2.0,3.0,82.06381976242636,82.06381976242636,68.72539031537035,160.06716424673587,65.93618023757364,-12.06716424673587,21.97872674585788,-4.02238808224529,4.494063878893738e-12,2.4378630965645333e-11
NGC3198,36.12,148.0,2.0,3.0,80.82692704785948,80.82692704785948,68.18731829306678,161.50643348723233,67.17307295214052,-13.506433487232329,22.39102431738017,-4.502144495744109,4.171660280342603e-12,2.3403529941495008e-11
NGC3198,38.19,149.0,2.0,3.0,79.71033128773207,79.71033128773207,67.67603470948929,162.88782437976425,69.28966871226793,-13.887824379764254,23.096556237422643,-4.629274793254751,3.886597843678569e-12,2.2515263903121624e-11
NGC3198,40.1,150.0,2.0,3.0,78.78021619670766,78.78021619670766,67.26538652234149,164.1599058794433,71.21978380329234,-14.1599058794433,23.73992793443078,-4.7199686264811005,3.6566918712947124e-12,2.177906700362111e-11
NGC3198,42.17,150.0,3.0,3.0,78.3381024789342,78.3381024789342,67.41078771235357,166.24960838882646,71.6618975210658,-16.24960838882646,23.8872991736886,-5.4165361296088195,3.49224462656792e-12,2.124061639695668e-11
NGC3198,44.08,149.0,3.0,3.0,76.54428186350694,76.54428186350694,65.87658404926593,165.857395594905,72.45571813649306,-16.857395594905,24.151906045497686,-5.619131864968334,3.1905827399271106e-12,2.022448874836689e-11
NGC3521,0.51,143.0,33.1,33.1,189.73627239934905,189.73627239934905,143.8287830164741,146.08545387185737,-46.73627239934905,-3.085453871857368,-1.4119719758111493,-0.09321612905913498,1.3145311751250602e-09,1.3561047184995552e-09
NGC3521,0.69,160.0,15.0,15.0,206.9196506472983,206.9196506472983,156.86537535096772,159.9415682131739,-46.91965064729831,0.05843178682610528,-3.1279767098198876,0.0038954524550736855,1.1557251125444274e-09,1.2014980322726677e-09
NGC3521,0.86,178.0,7.92,7.92,221.7516996237007,221.7516996237007,168.12241232506744,171.89525096612678,-43.75169962370069,6.104749033873219,-5.524204497942006,0.770801645691063,1.0651290492301373e-09,1.1134706150473123e-09
NGC3521,1.03,188.0,8.01,8.01,235.0444639509724,235.0444639509724,178.21404432311158,182.64281015821456,-47.044463950972414,5.357189841785441,-5.873216473279952,0.6688127143302673,9.993004480456487e-10,1.049584458427475e-09
NGC3521,1.2,187.0,8.03,8.03,237.6772300705307,237.6772300705307,180.22881471618237,185.69704544855998,-50.6772300705307,1.302954551440024,-6.310987555483275,0.16226084077708894,8.772364360866625e-10,9.312755404508287e-10
NGC3521,1.38,195.0,5.6,5.6,240.69646386268326,240.69646386268326,182.5303074998779,189.0694954569249,-45.69646386268326,5.930504543075102,-8.160082832622011,1.0590186684062683,7.824207134485293e-10,8.39485692734418e-10
NGC3521,1.55,199.0,7.52,7.52,244.2686126992168,244.2686126992168,185.24559414463812,192.73248227354154,-45.26861269921679,6.267517726458465,-6.01976232702351,0.8334465061779873,7.174861659879963e-10,7.766540054256763e-10
NGC3521,1.71,203.0,6.87,6.87,250.6700860693194,250.6700860693194,190.0989296392802,198.28110011916135,-47.67008606931941,4.718899880838649,-6.938877157106173,0.6868849899328455,6.848771668690148e-10,7.451024373387681e-10
NGC3521,1.89,206.0,9.22,9.22,255.10451449552983,255.10451449552983,193.46199305289915,202.53631750870716,-49.10451449552983,3.4636824912928432,-5.3258692511420636,0.37567055220095913,6.417693408382976e-10,7.03385594229715e-10
NGC3521,2.06,211.0,12.0,12.0,262.20595197287184,262.20595197287184,198.84148523384144,208.5539801610558,-51.205951972871844,2.44601983894421,-4.267162664405987,0.20383498657868415,6.220083735260755e-10,6.842569221665524e-10
NGC3521,2.23,219.0,13.3,13.3,266.9048742529817,266.9048742529817,202.4011064693076,212.85604125718027,-47.9048742529817,6.143958742819734,-3.60187024458509,0.4619517851744161,5.953472561856148e-10,6.584405261832933e-10
NGC3521,2.41,216.0,9.9,9.9,268.588118810196,268.588118810196,203.68023469644763,215.09105909274066,-52.58811881019602,0.9089409072593355,-5.311931192949093,0.09181221285447833,5.578663753495053e-10,6.221242471689979e-10
NGC3521,2.58,214.0,10.5,10.5,266.3970727128959,266.3970727128959,202.03049113933267,214.56815230317005,-52.39707271289592,-0.5681523031700522,-4.9901974012281824,-0.054109743159052585,5.127003194605707e-10,5.783094267999474e-10
