galaxy,n_points,chi2_baryon,chi2_dof_baryon,chi2_pmodel,chi2_dof_pmodel,delta_chi2_baryon_minus_pmodel,rms_resid_baryon_km_s,rms_resid_pmodel_km_s
UGC04483,8,46.35201115002408,5.79400139375301,21.047744163477326,2.6309680204346657,25.304266986546757,7.221219602240129,4.8660777001515285
UGC04499,9,494.8414130218041,54.9823792246449,59.99783317103595,6.666425907892883,434.84357985076815,22.2619278804259,8.271710257525974
UGC05005,11,122.29854683461772,11.118049712237974,23.679275747503024,2.152661431591184,98.6192710871147,34.22959843584429,14.220954881045087
UGC05253,73,18779.760058316475,257.2569871002257,389.6882414300801,5.338195088083289,18390.071816886393,64.9262138586677,15.636762915035
UGC05414,6,116.56231107397616,19.427051845662692,40.26820669156848,6.71136778192808,76.29410438240768,13.222838825719847,7.7718923073697255
UGC05716,12,1642.0790759042845,136.8399229920237,30.298116807066112,2.5248430672555093,1611.7809590972183,35.26462384407037,4.908837609469155
UGC05721,23,1489.514666702751,64.76150724794569,299.7623550040637,13.0331458697419,1189.7523116986872,37.65586574874949,17.2528268400537
UGC05750,11,92.75980229548823,8.432709299589838,31.988683526474603,2.9080621387704184,60.771118769013626,21.498349597599944,14.614578284064356
UGC05764,10,880.1840356252018,88.01840356252018,89.58869965099544,8.958869965099543,790.5953359742064,28.145437144636457,8.979411433156178
UGC05829,11,194.80647421207402,17.70967947382491,24.845738396497765,2.258703490590706,169.96073581557624,21.293932219672893,7.604665718602508
UGC05918,8,182.1486755941993,22.76858444927491,8.018542986889264,1.002317873361158,174.13013260731003,18.75256009084109,3.934551984950224
UGC05986,15,2011.5515232968453,134.10343488645634,321.9967304466683,21.466448696444555,1689.554792850177,40.519558111166276,15.531312819854492
UGC05999,5,288.1748670634397,57.63497341268794,24.212103737918213,4.842420747583643,263.9627633255215,37.958850553160836,11.002750505650443
UGC06399,9,381.3386224533076,42.37095805036751,8.169185790075366,0.907687310008374,373.16943666323226,29.806974185495406,4.393792683949132
UGC06446,17,1256.1122937937685,73.88895845845697,89.52994137314282,5.266467139596636,1166.5823524206257,38.1823086544214,9.532468212478037
UGC06614,13,276.7029839711677,21.284844920859054,140.18425514317906,10.783404241783005,136.51872882798867,55.39236441863157,31.984817068093
UGC06628,7,5.216356261146545,0.7451937515923636,111.11257008872153,15.87322429838879,-105.89621382757498,7.1390448754214555,32.94868498312603
UGC06667,9,1737.0064306747925,193.0007145194214,251.29234054425973,27.921371171584415,1485.7140901305327,45.670097985377865,17.493287981992612
UGC06786,45,7382.268583780691,164.05041297290424,2514.241139469013,55.87202532153362,4868.027444311678,52.86198626584135,29.833846016228993
UGC06787,71,21293.36065795981,299.906488140279,4957.692713901891,69.82665794228015,16335.667944057917,76.7714000296165,30.63841778507429
UGC06818,8,113.72516924675544,14.21564615584443,66.20043873581686,8.275054841977108,47.52473051093858,20.78757952997829,13.513278643445869
UGC06917,11,665.5205003396928,60.501863667244805,16.878457138044244,1.5344051943676584,648.6420432016486,32.2464785559439,4.840583706804211
UGC06923,6,67.33806528163103,11.223010880271838,12.620944261078828,2.1034907101798046,54.717121020552206,16.02802668389325,8.85658595112645
UGC06930,10,287.48042923786585,28.748042923786585,21.18043081490326,2.118043081490326,266.2999984229626,33.01019411109405,9.643548760280432
UGC06973,9,3430.4865566023036,381.1651729558115,994.118299178453,110.45758879760588,2436.3682574238505,87.32569008635546,47.24355845414433
UGC06983,17,1179.5393749961247,69.3846691174191,65.18040788740966,3.8341416404358624,1114.358967108715,43.72385471497246,9.264021524974408
UGC07089,12,89.2995057933369,7.4416254827780755,114.63122534291988,9.552602111909989,-25.33171954958297,15.976658360145624,14.56199283526372
UGC07125,13,320.82242802035046,24.678648309257728,1158.3907041417865,89.10697724167588,-837.568276121436,15.36619950299489,29.3681628127272
UGC07151,11,321.365715152134,29.215065013830362,29.77301384435747,2.706637622214316,291.5927013077765,16.76454288176321,5.173346310230727
UGC07232,4,33.672493072832715,8.418123268208179,6.760567648554446,1.6901419121386114,26.91192542427827,9.574620743966157,4.290180115471783
UGC07261,7,119.29438823848234,17.042055462640334,4.060233006474689,0.5800332866392414,115.23415523200765,23.365625863198286,4.310651268365382
UGC07323,10,90.47269810917476,9.047269810917475,56.32345336538083,5.632345336538083,34.14924474379393,11.640449099202742,9.184501775861182
UGC07399,10,2095.3471249174468,209.53471249174467,651.4787824509892,65.14787824509892,1443.8683424664575,51.8039521297828,27.922200830650254
UGC07524,31,1967.4558387733825,63.46631737978653,126.59549642626266,4.0837256911697635,1840.86034234712,27.572929998526945,6.674622723270003
UGC07559,7,33.781085870528365,4.825869410075481,67.80486794300293,9.686409706143277,-34.02378207247457,7.095619280117592,10.052728178122702
UGC07577,9,2.4344615908722584,0.2704957323191398,152.0183199427299,16.8909244380811,-149.58385835185766,1.6486917736501883,13.028246642807819
UGC07603,12,925.1741740327498,77.09784783606248,71.21400973788273,5.934500811490228,853.960164294867,26.341614045547065,7.308249263908015
UGC07608,8,171.23058420822778,21.403823026028473,12.367450113705637,1.5459312642132046,158.86313409452214,30.950793911226786,8.318043895908017
UGC07690,7,73.5476841313099,10.506812018758556,12.458153731589903,1.779736247369986,61.08953039971999,13.970525786156395,5.749831171849273
UGC07866,7,26.13139093120465,3.73305584731495,25.120058203147547,3.5885797433067923,1.011332728057102,7.863694857074975,7.7100236439263075
UGC08286,17,2646.092129325799,155.65247819563524,252.14373058215392,14.831984151891406,2393.948398743645,37.52523986807165,11.627538971792934
UGC08490,30,3343.6194804503616,111.45398268167872,198.05415301882655,6.601805100627552,3145.565327431535,38.95598251349856,9.481077915018671
UGC08550,11,793.8351158869337,72.16682871699398,16.307590938709716,1.4825082671554286,777.527524948224,25.48531848835611,3.652748883293082
UGC08699,41,2300.218559089733,56.10289168511544,165.57612867578254,4.038442162823965,2134.6424304139505,47.1198724809204,14.325854456285182
UGC08837,8,57.26557216770328,7.15819652096291,185.4443292295863,23.180541153698286,-128.178757061883,8.35639245863266,14.658184740860138
UGC09037,22,705.142001593014,32.05190916331882,1024.5393745202794,46.56997156910361,-319.39737292726534,30.046423053312154,37.42015662885131
UGC09133,68,21928.51272364006,322.4781282888244,1195.022373309259,17.573858431018515,20733.4903503308,72.06703996106002,20.595698117249906
UGC09992,5,6.522029313615672,1.3044058627231343,34.09397648798412,6.818795297596824,-27.57194717436845,6.464319334303747,14.77985786926562
UGC10310,7,150.29405452668385,21.470579218097694,14.632004510394456,2.0902863586277793,135.66205001628938,23.44619632410524,7.315658262368617
UGC11455,36,1171.1606904433463,32.53224140120406,291.31247526957173,8.092013201932549,879.8482151737746,35.70715012728731,16.831739283770325
UGC11557,12,64.56714863771782,5.380595719809818,248.90021028444423,20.741684190370353,-184.3330616467264,18.895143221625702,34.563430081870344
UGC11820,10,797.8287292328113,79.78287292328113,64.14154819692189,6.414154819692189,733.6871810358894,27.713150840847224,8.123000650225093
UGC11914,65,2468.314473958947,37.97406883013765,1966.9942085538773,30.261449362367344,501.3202654050697,37.90206289944681,28.832056224334515
UGC12506,31,1186.378485068536,38.27027371188826,243.3188059383872,7.848993739947974,943.0596791301489,82.74072225044036,38.60294817339373
UGC12632,15,1244.7111708939194,82.98074472626129,78.57849109536872,5.2385660730245815,1166.1326797985507,29.19514626399564,6.9260532175802245
UGC12732,16,2039.037359451341,127.43983496570881,47.08590667529032,2.942869167205645,1991.9514527760507,39.16248054953246,5.963102263338069
UGCA281,7,39.43492730140031,5.6335610430571865,5.798434157288726,0.8283477367555323,33.63649314411158,7.120537155827128,2.730408326752574
UGCA442,8,604.918028280037,75.61475353500462,8.655423933192763,1.0819279916490954,596.2626043468442,26.270468338936684,3.120486263914507
UGCA444,36,414.50444248797845,11.514012291332735,51.91910319478443,1.442197310966234,362.585339293194,14.109805549249954,4.2563470989356995
