galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
UGC02455,6.92,2.52,39.1,3.64,19.59,75.05,0.0,1.966085629164857e-11,3.660640250721268e-12,4.115300172738579e-11
UGC02455,6.92,3.02,43.8,3.64,23.74,73.51,0.0,2.058688947033658e-11,3.4217478389052583e-12,3.50417056784264e-11
UGC02455,6.92,3.52,53.1,3.64,27.22,69.5,0.0,2.5959470716790417e-11,3.559038546482754e-12,2.9057024133808166e-11
UGC02455,6.92,4.03,61.0,3.64,29.76,65.25,0.0,2.992292738467117e-11,3.5711296944328873e-12,2.4241019837162503e-11
UGC02487,69.1,9.93,377.0,10.3,-13.26,255.96,207.88,4.6385570959661447e-10,2.534596185063729e-11,2.062070802762687e-10
UGC02487,69.1,10.05,377.0,19.7,-13.37,257.66,206.72,4.5831713395963993e-10,4.789839543238677e-11,2.0407656560110585e-10
UGC02487,69.1,10.35,378.0,10.8,-13.47,261.62,204.38,4.47396626080163e-10,2.5565521490295027e-11,1.9928062916990567e-10
UGC02487,69.1,15.07,367.0,10.7,-11.85,272.35,172.87,2.896465306675329e-10,1.6889470725572764e-11,1.2504313470493854e-10
UGC02487,69.1,20.09,364.0,6.67,13.97,269.96,151.39,2.1373334630872107e-10,7.832974834500931e-12,8.497586909879394e-11
UGC02487,69.1,25.12,375.0,6.19,27.34,262.34,134.72,1.8142300460912175e-10,5.989378125495806e-12,6.174929289464873e-11
UGC02487,69.1,30.14,383.0,3.82,34.12,253.37,123.32,1.5772616894137509e-10,3.146287025357978e-12,4.721153992849981e-11
UGC02487,69.1,35.17,378.0,2.21,36.15,235.34,114.11,1.3166207221864335e-10,1.5395406328211735e-12,3.512061612953408e-11
UGC02487,69.1,40.19,364.0,4.0,36.15,219.18,106.71,1.0684008279030122e-10,2.3481336876989278e-12,2.685006652746793e-11
UGC02487,69.1,45.21,349.0,3.0,35.84,206.41,100.63,8.731036457279653e-11,1.5010377863518028e-12,2.1272248365521157e-11
UGC02487,69.1,50.24,338.0,3.08,37.87,194.11,95.47,7.369418573711825e-11,1.343065633552214e-12,1.7193190498688878e-11
UGC02487,69.1,55.26,332.0,2.19,41.62,183.23,91.03,6.464199355767566e-11,8.528070234416247e-13,1.426233975723012e-11
UGC02487,69.1,60.28,330.0,1.61,44.55,174.98,87.16,5.854692511952412e-11,5.712760572268716e-13,1.2156421506102976e-11
UGC02487,69.1,65.31,329.0,2.2,46.17,166.27,83.74,5.371079330404954e-11,7.183206399325774e-13,1.0352628338652679e-11
UGC02487,69.1,70.33,330.0,3.53,46.48,159.17,80.69,5.0180700216193856e-11,1.0735628591706927e-12,8.93278584698182e-12
UGC02487,69.1,75.35,332.0,13.4,44.86,152.96,77.96,4.740698824150176e-11,3.826829171301949e-12,7.726789213224645e-12
UGC02487,69.1,80.38,333.0,15.3,42.32,147.51,75.48,4.47084815410794e-11,4.108346952423512e-12,6.716470215279452e-12
UGC02885,80.6,1.7,305.0,10.0,0.0,92.31,265.84,1.7733734905915416e-09,1.162867862682978e-10,1.024280739776699e-09
UGC02885,80.6,3.41,257.0,10.0,0.0,152.76,236.42,6.277132882361022e-10,4.8849283131214185e-11,4.827326101393734e-10
UGC02885,80.6,6.82,256.0,10.0,0.0,220.93,175.44,3.114189318372814e-10,2.432960404978761e-11,2.1835091633057574e-10
UGC02885,80.6,13.67,271.0,10.0,0.0,244.9,123.9,1.7410831879742768e-10,1.2849322420474367e-11,9.656870807673148e-11
UGC02885,80.6,19.49,282.0,10.0,0.0,240.52,103.77,1.3223177640521997e-10,9.378140170582977e-12,6.062981625968892e-11
UGC02885,80.6,23.36,287.0,10.0,28.79,238.85,94.78,1.1427215295044645e-10,7.963216233480589e-12,4.944657739003344e-11
UGC02885,80.6,27.24,283.0,10.0,40.2,232.97,87.77,9.528295613520917e-11,6.733777818742697e-12,4.0624014850471784e-11
UGC02885,80.6,31.22,280.0,10.0,45.05,223.71,81.99,8.13827982999482e-11,5.813057021424871e-12,3.296650720927919e-11
UGC02885,80.6,35.1,280.0,10.0,50.3,214.74,77.32,7.238663712035277e-11,5.170474080025198e-12,2.748807894079269e-11
UGC02885,80.6,38.97,281.0,10.0,59.7,206.96,73.38,6.566465832019926e-11,4.673641161580019e-12,2.390837550690099e-11
UGC02885,80.6,42.85,282.0,10.0,67.17,198.69,69.98,6.014462828792851e-11,4.2655764743211716e-12,2.093362453899137e-11
UGC02885,80.6,46.73,287.0,10.0,65.05,189.07,67.02,5.712384962384826e-11,3.980756071348311e-12,1.7510757326096295e-11
UGC02885,80.6,50.71,292.0,10.0,71.21,184.25,64.33,5.44905946233848e-11,3.7322325084510135e-12,1.5939789602362215e-11
UGC02885,80.6,54.58,298.0,10.0,79.19,180.41,62.01,5.2728868453612575e-11,3.538850231786079e-12,1.498466054510763e-11
UGC02885,80.6,58.46,298.0,10.0,83.33,174.83,59.92,4.922924461509022e-11,3.303976148663773e-12,1.371479270297728e-11
UGC02885,80.6,62.34,298.0,10.0,83.33,168.07,58.02,4.6165249281330994e-11,3.0983388779416773e-12,1.217713493360322e-11
UGC02885,80.6,66.21,298.0,10.0,82.83,162.78,56.3,4.3466872680836345e-11,2.9172397772373386e-12,1.0929006183097693e-11
UGC02885,80.6,70.19,298.0,10.0,85.86,158.17,54.68,4.100216042453589e-11,2.751822847284288e-12,1.0145613345676102e-11
UGC02885,80.6,74.07,298.0,10.0,86.26,152.97,53.23,3.885434913187761e-11,2.6076744383810476e-12,9.242412486592866e-12
UGC02916,65.4,0.37,183.0,47.6,-2.62,11.2,123.59,2.933255611464928e-09,1.525934066729296e-09,9.426048369278244e-10
UGC02916,65.4,0.74,196.0,40.7,-3.79,21.14,191.42,1.6824023943688477e-09,6.987120148042052e-10,1.1337010331686687e-09
UGC02916,65.4,1.11,205.0,14.1,-4.87,30.05,218.87,1.2269707174675624e-09,1.687832889394403e-10,9.929068049253804e-10
UGC02916,65.4,1.48,211.0,7.89,-5.72,38.06,240.05,9.74883342874004e-10,7.290833720640655e-11,8.998374478654628e-10
UGC02916,65.4,1.84,214.0,1.48,-6.31,45.23,258.74,8.06601784453229e-10,1.1156734962530645e-11,8.441026006148008e-10
UGC02916,65.4,2.21,214.0,1.5,-6.65,51.92,273.65,6.715598567393401e-10,9.414390515037477e-12,7.890944376179039e-10
