galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
NGC0801,80.7,45.8,214.0,4.7,58.45,183.36,0.0,3.240496251951838e-11,1.4233955499227697e-12,1.4312390353841416e-11
NGC0801,80.7,52.86,216.0,2.6,58.96,169.7,0.0,2.860419949457365e-11,6.886196174619582e-13,1.0959135118678391e-11
NGC0801,80.7,59.82,216.0,8.8,66.89,158.21,0.0,2.5276128139136794e-11,2.0595363668926278e-12,9.204135065842596e-12
NGC0891,9.91,0.92,234.0,12.0,-5.19,121.44,254.98,1.928827291008866e-09,1.978284401034734e-10,1.8638402672910495e-09
NGC0891,9.91,2.32,192.0,12.0,-10.42,280.89,185.98,5.149486539917116e-10,6.436858174896395e-11,8.907975394027565e-10
NGC0891,9.91,3.24,212.0,6.3,-11.44,325.09,158.37,4.4954809995304796e-10,2.6718424808530207e-11,7.054633130456632e-10
NGC0891,9.91,4.17,223.0,4.41,-11.64,311.44,139.66,3.8647653065894205e-10,1.5285753365075647e-11,4.840680317155404e-10
NGC0891,9.91,5.1,222.0,4.01,-11.54,293.95,126.35,3.131736598058355e-10,1.131375113352613e-11,3.463916386263834e-10
NGC0891,9.91,6.03,224.0,3.85,-11.44,280.55,116.3,2.696672332125381e-10,9.269811141680998e-12,2.6309435156929925e-10
NGC0891,9.91,6.96,224.0,3.23,-9.02,271.7,108.06,2.336341115332765e-10,6.737840895111457e-12,2.103045978138064e-10
NGC0891,9.91,7.89,226.0,3.4,6.44,260.33,101.6,2.0979219643556452e-10,6.312331574167429e-12,1.6903444759703128e-10
NGC0891,9.91,8.8,226.0,3.21,16.24,254.4,96.17,1.8809777612234137e-10,5.343308507546157e-12,1.43984457212737e-10
NGC0891,9.91,9.73,227.0,2.75,25.64,241.26,91.46,1.7162807400388353e-10,4.1583894582438735e-12,1.1862669588994516e-10
NGC0891,9.91,10.64,227.0,2.65,32.27,231.49,87.46,1.5694935714828825e-10,3.664456356325673e-12,1.0109050274641873e-10
NGC0891,9.91,11.58,224.0,2.35,35.44,224.36,83.84,1.4042257480756518e-10,2.946366524980162e-12,8.772241100398268e-11
NGC0891,9.91,12.52,220.0,2.43,42.18,213.5,80.63,1.2528252205200262e-10,2.767604805330603e-12,7.537947853267323e-11
NGC0891,9.91,13.46,218.0,2.3,46.37,208.0,77.76,1.1442406757173402e-10,2.414452801972369e-12,6.745157022133064e-11
NGC0891,9.91,14.4,217.0,2.77,49.33,200.84,75.18,1.0597573330600397e-10,2.7055555876279354e-12,5.977037745494474e-11
NGC0891,9.91,15.33,216.0,4.43,49.33,193.84,72.86,9.863131019459642e-11,4.045710223722797e-12,5.271588880330632e-11
NGC0891,9.91,16.27,210.0,4.47,47.29,188.07,70.73,8.784165129962907e-11,3.739544583898495e-12,4.665650464832799e-11
NGC0891,9.91,17.11,208.0,4.35,45.04,182.56,68.97,8.194568975950966e-11,3.4275360620564134e-12,4.1712449108243965e-11
NGC1003,11.4,1.25,47.0,7.6,2.05,56.98,0.0,5.7271051603060826e-11,1.852170179503244e-11,4.219657192345722e-11
NGC1003,11.4,2.08,59.5,4.5,6.07,64.63,0.0,5.515946576661256e-11,8.34344860335316e-12,3.311458426550046e-11
NGC1003,11.4,2.9,71.6,3.7,10.81,74.91,0.0,5.7289825772737607e-11,5.921015512824836e-12,3.2660463604275486e-11
NGC1003,11.4,3.73,77.6,3.1,14.74,77.71,0.0,5.231955789277346e-11,4.1801708625669516e-12,2.8121707195922073e-11
NGC1003,11.4,4.56,83.4,3.6,17.0,79.57,0.0,4.9432971040543095e-11,4.26759462220516e-12,2.4552402945964507e-11
NGC1003,11.4,5.39,89.7,3.8,19.26,79.39,0.0,4.837773994991728e-11,4.098894354731007e-12,2.117830416221332e-11
NGC1003,11.4,6.22,93.8,2.4,21.62,73.38,0.0,4.584212561321364e-11,2.3458657030215934e-12,1.6463036870384817e-11
NGC1003,11.4,7.04,99.0,3.0,23.59,69.52,0.0,4.511772417023327e-11,2.734407525468683e-12,1.3685862957513856e-11
NGC1003,11.4,7.87,103.0,2.5,27.03,65.95,0.0,4.368669311526718e-11,2.1207132580226786e-12,1.1963796509382436e-11
NGC1003,11.4,8.7,100.0,2.3,28.5,62.8,0.0,3.7250336660280064e-11,1.713515486372883e-12,1.0371126981945195e-11
NGC1003,11.4,9.54,98.3,2.0,29.19,59.81,0.0,3.282525554316464e-11,1.3357174178296903e-12,8.970484376825056e-12
NGC1003,11.4,10.34,98.4,1.7,29.29,56.87,0.0,3.034723396209133e-11,1.0485832873080338e-12,7.757192461665372e-12
NGC1003,11.4,11.21,94.5,1.8,30.27,54.18,0.0,2.5817100133417076e-11,9.835085765111266e-13,6.892102869872347e-12
NGC1003,11.4,11.98,94.9,2.4,31.35,52.09,0.0,2.4362680040508217e-11,1.232253574230131e-12,6.3287348704168925e-12
NGC1003,11.4,12.85,95.3,1.6,32.24,49.97,0.0,2.2905096635696325e-11,7.691113245984075e-13,5.770145861778941e-12
NGC1003,11.4,13.72,96.9,1.8,32.83,48.07,0.0,2.217904783087442e-11,8.239893930975018e-13,5.274938382551395e-12
NGC1003,11.4,14.49,97.2,1.3,33.03,46.57,0.0,2.1130686129733645e-11,5.652241145813527e-13,4.865336433192763e-12
NGC1003,11.4,15.36,100.0,1.8,33.12,45.03,0.0,2.1098823498986755e-11,7.595576459635232e-13,4.453507699448524e-12
NGC1003,11.4,16.13,104.0,2.7,32.83,43.81,0.0,2.1731102786503568e-11,1.1283457216069161e-12,4.093602414437309e-12
NGC1003,11.4,17.0,104.0,3.2,33.52,42.53,0.0,2.061898164390015e-11,1.2688604088553939e-12,3.866041615213338e-12
NGC1003,11.4,17.78,105.0,3.4,32.34,41.49,0.0,2.009538338927116e-11,1.3014153052099418e-12,3.4751537053272353e-12
NGC1003,11.4,18.65,109.0,3.9,31.65,40.42,0.0,2.064541487286247e-11,1.4773783120030025e-12,3.1601693791538445e-12
NGC1003,11.4,19.52,110.0,3.8,29.88,39.42,0.0,2.0088847029854928e-11,1.3879567038808859e-12,2.772232002025904e-12
NGC1003,11.4,20.29,107.0,3.8,29.39,38.61,0.0,1.8286684122645906e-11,1.298867283477653e-12,2.570163425517408e-12
NGC1003,11.4,21.16,106.0,3.8,29.0,37.75,0.0,1.7208599289318e-11,1.2338240999888375e-12,2.379325094756435e-12
NGC1003,11.4,21.93,106.0,4.0,27.91,37.04,0.0,1.66043757848595e-11,1.2531604365931699e-12,2.1648773621588256e-12
NGC1003,11.4,22.8,108.0,3.4,27.03,36.29,0.0,1.6579144575473277e-11,1.0438720658631322e-12,1.9744631891517854e-12
NGC1003,11.4,23.67,109.0,3.2,25.65,35.58,0.0,1.6266877371309043e-11,9.551194052878703e-13,1.7674236778607263e-12
NGC1003,11.4,24.44,110.0,3.3,26.24,34.99,0.0,1.6044774714515883e-11,9.62686482870953e-13,1.7247306048101722e-12
NGC1003,11.4,25.31,110.0,2.7,25.85,34.35,0.0,1.549325539402482e-11,7.605779920703094e-13,1.6110216670547007e-12
NGC1003,11.4,26.08,110.0,2.4,25.26,33.82,0.0,1.503582415731473e-11,6.561086905010065e-13,1.5035374325220107e-12
NGC1003,11.4,26.95,113.0,2.5,26.83,33.25,0.0,1.535492049978297e-11,6.794212610523437e-13,1.530357489143776e-12
NGC1003,11.4,27.73,114.0,2.2,30.76,32.76,0.0,1.5188304235708248e-11,5.862152512027744e-13,1.7329186641867177e-12
NGC1003,11.4,28.6,112.0,1.7,31.75,32.24,0.0,1.4214103289087453e-11,4.3149956413301193e-13,1.731178177638984e-12
NGC1003,11.4,29.47,113.0,1.8,34.6,31.75,0.0,1.4041910670822905e-11,4.4735290632710144e-13,1.8707788837407436e-12
NGC1003,11.4,30.24,115.0,1.6,37.45,31.33,0.0,1.4173050959954275e-11,3.943805484509016e-13,2.0290096350976484e-12
NGC1090,37.0,0.35,20.9,9.81,-0.82,48.76,0.0,4.0445851469205526e-11,3.796878496774222e-11,1.101347544849101e-10
NGC1090,37.0,1.07,61.7,8.19,-2.5,98.26,0.0,1.1530177821675568e-10,3.061009930616626e-11,1.4640337956173737e-10
NGC1090,37.0,1.6,81.3,4.32,-3.73,114.22,0.0,1.3387841538529704e-10,1.422766923651865e-11,1.3240643520264793e-10
NGC1090,37.0,3.7,124.0,3.41,-7.4,144.04,0.0,1.3467627663377448e-10,7.407195214857597e-12,9.134198440048592e-11
NGC1090,37.0,5.09,156.0,7.02,-9.39,154.24,0.0,1.5494617836526145e-10,1.394515605287353e-11,7.629622724322103e-11
NGC1090,37.0,6.61,166.0,6.34,-10.89,166.19,0.0,1.35102744477956e-10,1.0319896385424591e-11,6.82875348659477e-11
NGC1090,37.0,8.17,165.0,12.1,-5.79,171.87,0.0,1.0799292063050533e-10,1.5838961692474112e-11,5.871947982632967e-11
NGC1090,37.0,9.11,174.0,4.84,9.64,169.05,0.0,1.0770343992010714e-10,5.991777577164582e-12,5.116191174746052e-11
NGC1090,37.0,10.37,164.0,5.86,17.85,166.21,0.0,8.405400170578174e-11,6.006785975559524e-12,4.4163054266469453e-11
NGC1090,37.0,11.28,176.0,7.35,22.68,167.76,0.0,8.899501708318144e-11,7.433106540470267e-12,4.1906296343002404e-11
NGC1090,37.0,13.62,174.0,3.28,31.86,164.88,0.0,7.203952552659148e-11,2.7159729164048283e-12,3.475811168169823e-11
NGC1090,37.0,15.04,168.0,2.23,35.59,159.31,0.0,6.081632624021129e-11,1.6145286609008472e-12,3.007306600288373e-11
NGC1090,37.0,16.37,166.0,2.23,38.11,153.0,0.0,5.455278808792237e-11,1.4656953907959864e-12,2.604674319825803e-11
NGC1090,37.0,17.59,167.0,4.59,40.13,146.12,0.0,5.138265696606816e-11,2.824507730230573e-12,2.2635607271490163e-11
NGC1090,37.0,18.8,167.0,5.3,41.74,140.2,0.0,4.8075581703890375e-11,3.0515039883906465e-12,1.9945009997778388e-11
NGC1090,37.0,20.13,165.0,3.48,42.85,134.43,0.0,4.383021170150166e-11,1.8488380208633426e-12,1.7502840310093102e-11
NGC1090,37.0,21.35,165.0,3.12,43.55,129.7,0.0,4.132562817570156e-11,1.5628601200992591e-12,1.5646281283790625e-11
NGC1090,37.0,22.57,165.0,2.39,44.16,125.69,0.0,3.9091810436474454e-11,1.1324779023415024e-12,1.4142108427433766e-11
NGC1090,37.0,23.89,165.0,2.23,45.07,121.68,0.0,3.693186109465167e-11,9.982793968614937e-13,1.2798047813709306e-11
NGC1090,37.0,25.11,163.0,2.23,46.68,118.15,0.0,3.4290826340600293e-11,9.382643280924989e-13,1.182056325386587e-11
NGC1090,37.0,26.33,162.0,2.23,48.39,114.89,0.0,3.230194138707859e-11,8.893003616442624e-13,1.1005415868651969e-11
NGC1090,37.0,27.65,162.0,2.23,50.01,111.67,0.0,3.0759859555941383e-11,8.468455161697442e-13,1.0239332473152909e-11
NGC1090,37.0,28.87,162.0,2.23,51.42,108.99,0.0,2.9459997115406274e-11,8.110591798439012e-13,9.635258285981633e-12
NGC1090,37.0,30.09,160.0,2.23,52.53,106.1,0.0,2.7571934134189346e-11,7.685676639905281e-13,9.034122898124674e-12
NGC1705,5.73,0.22,50.2,7.5,5.62,33.24,0.0,3.7122242911688084e-10,1.109230365887094e-10,8.603284995035996e-11
NGC1705,5.73,0.66,62.2,7.51,13.36,44.88,0.0,1.8997055372990812e-10,4.587391828011608e-11,5.82160235616896e-11
NGC1705,5.73,1.11,72.4,5.35,17.38,43.65,0.0,1.5303952475889993e-10,2.2617719819340184e-11,3.6633233337428995e-11
NGC1705,5.73,1.55,73.2,3.31,17.38,39.37,0.0,1.1203144012820886e-10,1.013180510449102e-11,2.25195030819995e-11
NGC1705,5.73,2.0,72.9,3.21,17.17,35.3,0.0,8.611414931808014e-11,7.583715207435865e-12,1.48728095492787e-11
NGC1705,5.73,2.45,72.6,2.73,16.22,31.81,0.0,6.971987692910931e-11,5.2433957029330144e-12,1.0172428539571112e-11
NGC1705,5.73,2.89,71.5,3.41,15.26,28.94,0.0,5.7327591427203996e-11,5.4681702592102274e-12,7.307221674439648e-12
NGC1705,5.73,3.34,71.1,4.38,14.31,26.66,0.0,4.9050358897580986e-11,6.043335357845421e-12,5.435135203657156e-12
NGC1705,5.73,3.78,71.4,4.6,13.46,24.88,0.0,4.3707310016973004e-11,5.631754231878875e-12,4.20682987515718e-12
NGC1705,5.73,4.22,71.5,5.68,13.36,23.42,0.0,3.925989081152123e-11,6.237655379285051e-12,3.476832430778686e-12
NGC1705,5.73,4.66,71.5,6.2,13.36,22.2,0.0,3.5552948331463425e-11,6.1658260043377124e-12,2.955017664304913e-12
NGC1705,5.73,5.11,71.3,6.43,13.46,21.14,0.0,3.224093398425719e-11,5.815124979488744e-12,2.5661226089745286e-12
NGC1705,5.73,5.56,71.8,9.68,13.46,20.22,0.0,3.0048552201645986e-11,8.102228003117915e-12,2.2475375588790138e-12
NGC1705,5.73,6.0,71.5,10.5,14.31,19.44,0.0,2.7612789870769925e-11,8.110050171834524e-12,2.1266690464881156e-12
NGC2366,3.27,0.12,4.2,3.15,-0.46,3.95,0.0,4.7639455554832175e-12,7.145918333224826e-12,2.163989860785357e-12
NGC2366,3.27,0.36,9.41,1.83,-0.53,11.2,0.0,7.971245794434683e-12,3.1003995332232667e-12,5.6714447760098755e-12
NGC2366,3.27,0.59,15.3,1.37,1.73,15.88,0.0,1.2858203794339517e-11,2.302711006306554e-12,7.09017143660013e-12
NGC2366,3.27,0.83,18.4,1.64,4.19,19.68,0.0,1.321925585824439e-11,2.3564760442957393e-12,8.246701730354976e-12
NGC2366,3.27,1.07,23.4,2.08,6.57,22.21,0.0,1.6584309418020154e-11,2.948321674314694e-12,8.777573471934942e-12
NGC2366,3.27,1.31,28.1,2.46,9.69,23.33,0.0,1.9533982707924925e-11,3.4201848727042927e-12,9.055394149136067e-12
NGC2366,3.27,1.54,33.1,2.01,12.94,22.77,0.0,2.3056040242260655e-11,2.8001595702080916e-12,8.979064086097963e-12
NGC2366,3.27,1.79,37.5,1.62,15.67,22.48,0.0,2.546003282559295e-11,2.199746836131231e-12,9.020303602134403e-12
NGC2366,3.27,2.02,40.5,1.68,17.89,22.28,0.0,2.6315288264906536e-11,2.1831942856811346e-12,9.116718040791272e-12
NGC2366,3.27,2.26,42.3,1.69,19.31,22.0,0.0,2.5657937941636767e-11,2.0502087527832686e-12,8.81715809935541e-12
NGC2366,3.27,2.49,45.2,1.91,20.12,21.29,0.0,2.6590528994001668e-11,2.2472526716169554e-12,8.218387861659305e-12
NGC2366,3.27,2.74,47.4,1.95,21.03,20.52,0.0,2.6573917066978182e-11,2.1864615308273186e-12,7.721051390912602e-12
NGC2366,3.27,2.97,48.1,1.74,22.14,19.83,0.0,2.5245452430476017e-11,1.826490113473109e-12,7.494100785702416e-12
NGC2366,3.27,3.21,48.8,1.08,23.15,19.12,0.0,2.404274589113517e-11,1.0641871132141797e-12,7.25601093732951e-12
NGC2366,3.27,3.44,50.7,1.55,23.96,18.46,0.0,2.4216252196871645e-11,1.4806781422150315e-12,7.013530615077017e-12
NGC2366,3.27,3.69,52.1,2.78,24.56,17.79,0.0,2.3839576452738968e-11,2.544108350810531e-12,6.687384511557204e-12
NGC2366,3.27,3.92,53.0,2.98,25.07,17.2,0.0,2.322282914298271e-11,2.611472862116546e-12,6.41893299930845e-12
NGC2366,3.27,4.16,53.7,2.39,25.27,16.63,0.0,2.246491064706207e-11,1.9996698862747985e-12,6.051932129944461e-12
NGC2366,3.27,4.4,51.2,2.21,25.47,16.1,0.0,1.9307973773911446e-11,1.666821173450949e-12,5.73268740263215e-12
NGC2366,3.27,4.64,51.6,1.45,25.68,15.61,0.0,1.8596485570911615e-11,1.0451513208458079e-12,5.45693068024781e-12
NGC2366,3.27,4.87,51.5,1.84,26.18,15.18,0.0,1.7649603430038636e-11,1.2611755460687803e-12,5.327712053041166e-12
NGC2366,3.27,5.11,50.4,2.53,26.59,14.76,0.0,1.6109780665117415e-11,1.6173708366169466e-12,5.1748262673174695e-12
NGC2366,3.27,5.35,48.5,4.6,26.69,14.37,0.0,1.4248828193636464e-11,2.702870502710422e-12,4.940550157040358e-12
NGC2366,3.27,5.59,50.0,5.91,26.59,14.01,0.0,1.4493646196083923e-11,3.4262979607542394e-12,4.667928917782172e-12
NGC2366,3.27,5.82,49.0,7.42,26.28,13.7,0.0,1.336960665628165e-11,4.0490808730453e-12,4.36827758699811e-12
NGC2366,3.27,6.06,49.4,5.92,26.18,13.37,0.0,1.305060750295124e-11,3.127918883298435e-12,4.1433355193815294e-12
NGC2403,3.16,0.16,24.5,2.83,0.0,23.21,0.0,1.2157986053056128e-10,2.8087429004203133e-11,5.455690907558646e-11
NGC2403,3.16,0.26,35.3,2.46,0.0,35.33,0.0,1.5531933326091265e-10,2.1647907072059213e-11,7.779172215423333e-11
NGC2403,3.16,0.36,43.2,1.12,1.92,46.97,0.0,1.680019983647959e-10,8.711214730026453e-12,9.963387481990204e-11
NGC2403,3.16,0.46,52.0,1.25,2.29,56.68,0.0,1.905014608403818e-10,9.15872407886451e-12,1.1353684869639783e-10
NGC2403,3.16,0.56,60.9,2.93,2.64,63.77,0.0,2.1463276136578847e-10,2.0652676216806576e-11,1.180729351355242e-10
NGC2403,3.16,0.66,65.8,1.25,3.0,67.56,0.0,2.125970854962106e-10,8.077396865357546e-12,1.1250300487720325e-10
NGC2403,3.16,0.76,71.7,1.25,3.34,70.83,0.0,2.1921697159620582e-10,7.643548521485558e-12,1.0744036394372354e-10
NGC2403,3.16,0.86,74.6,1.6,3.68,72.8,0.0,2.0971459616795585e-10,8.9958003718158e-12,1.0036853237364867e-10
NGC2403,3.16,0.96,74.6,1.03,4.02,74.87,0.0,1.878693257337938e-10,5.187812480048462e-12,9.516139403858675e-11
NGC2403,3.16,1.06,76.6,1.12,4.37,77.12,0.0,1.7939119742992622e-10,5.245904467924735e-12,9.150138845109208e-11
NGC2403,3.16,1.16,78.5,1.6,4.75,79.47,0.0,1.7215941531360811e-10,7.017963426796763e-12,8.885051667688638e-11
NGC2403,3.16,1.27,83.4,1.8,5.15,82.18,0.0,1.7749161255502085e-10,7.66150845561241e-12,8.684519639962939e-11
NGC2403,3.16,1.36,86.4,1.6,5.51,85.19,0.0,1.778844688568427e-10,6.588313661364544e-12,8.719193123539655e-11
NGC2403,3.16,1.47,87.4,1.41,5.76,87.94,0.0,1.6840500139480299e-10,5.433662516399822e-12,8.597764086011232e-11
NGC2403,3.16,1.57,90.3,1.41,5.98,90.77,0.0,1.6831596175965226e-10,5.256378872228342e-12,8.577448674987757e-11
NGC2403,3.16,1.67,93.3,1.6,6.21,93.98,0.0,1.6892591155024768e-10,5.7938147584222135e-12,8.644699772726331e-11
NGC2403,3.16,1.77,93.3,1.41,6.42,96.86,0.0,1.593820747394992e-10,4.817336021065249e-12,8.664317174905566e-11
NGC2403,3.16,1.87,95.2,1.25,6.61,99.21,0.0,1.5706584134441635e-10,4.124628186565556e-12,8.60453616113654e-11
NGC2403,3.16,1.97,97.2,1.6,6.81,101.42,0.0,1.5542316853799011e-10,5.1168121329379466e-12,8.536877748430329e-11
NGC2403,3.16,2.08,99.1,2.02,7.01,103.79,0.0,1.5301479641138517e-10,6.237939228072614e-12,8.468595891912608e-11
NGC2403,3.16,2.18,98.2,2.02,7.27,106.07,0.0,1.4335602052817192e-10,5.897742596067358e-12,8.441301446808466e-11
NGC2403,3.16,2.28,98.2,1.6,7.54,106.73,0.0,1.370684757681644e-10,4.466589841732445e-12,8.176568659214519e-11
NGC2403,3.16,2.37,98.2,1.0,7.81,106.19,0.0,1.3186334377696826e-10,2.685607816231533e-12,7.793122673700806e-11
NGC2403,3.16,2.47,97.2,1.12,8.25,105.57,0.0,1.239609886720002e-10,2.856714142235395e-12,7.400752420452908e-11
NGC2403,3.16,2.57,98.2,1.41,8.77,105.08,0.0,1.2160160496164e-10,3.4920216496112506e-12,7.058866335796976e-11
NGC2403,3.16,2.68,98.2,1.12,9.31,104.39,0.0,1.166104943102294e-10,2.659954249031709e-12,6.693554095645435e-11
NGC2403,3.16,2.78,98.2,1.6,9.95,103.8,0.0,1.1241587221273914e-10,3.663246345017976e-12,6.395552609814279e-11
NGC2403,3.16,2.88,99.1,2.69,10.97,103.16,0.0,1.1051068629711151e-10,5.9994701541721485e-12,6.122972764554056e-11
NGC2403,3.16,2.98,100.0,2.69,11.96,102.68,0.0,1.0875098286726059e-10,5.850802878258619e-12,5.888466388653074e-11
NGC2403,3.16,3.08,102.0,3.16,13.06,102.46,0.0,1.0947099911486746e-10,6.782908964764337e-12,5.7024977548091604e-11
NGC2403,3.16,3.19,101.0,3.4,14.06,102.29,0.0,1.0363382298314096e-10,6.977326695894639e-12,5.515730817110745e-11
NGC2403,3.16,3.29,101.0,3.4,15.05,102.51,0.0,1.0048385875872939e-10,6.765249896627325e-12,5.398658138808648e-11
NGC2403,3.16,3.39,103.0,2.93,16.15,102.82,0.0,1.0142014006405684e-10,5.7701167065570205e-12,5.302640221143637e-11
NGC2403,3.16,3.49,107.0,2.46,17.15,103.06,0.0,1.0631427531475225e-10,4.8884694817624396e-12,5.204565529177284e-11
NGC2403,3.16,3.59,110.0,2.46,18.14,102.95,0.0,1.0922960836288808e-10,4.885542483140085e-12,5.080901759098595e-11
NGC2403,3.16,3.69,112.0,3.4,19.24,103.12,0.0,1.1016893064170764e-10,6.688827931817964e-12,4.994703795659152e-11
NGC2403,3.16,3.79,114.0,5.1,20.24,102.93,0.0,1.1112709141324266e-10,9.942950284342764e-12,4.87993813401939e-11
NGC2403,3.16,3.9,118.0,5.1,21.03,102.5,0.0,1.1570413032364959e-10,1.0001543468654456e-11,4.732689402593195e-11
NGC2403,3.16,3.99,118.0,4.85,21.83,101.99,0.0,1.1309426272236425e-10,9.296731766160451e-12,4.611433141950078e-11
NGC2403,3.16,4.47,118.0,5.36,25.72,99.49,0.0,1.0094991236291576e-10,9.17104288585133e-12,4.0677568897344806e-11
NGC2403,3.16,4.97,121.0,2.57,27.81,97.06,0.0,9.546931504377254e-11,4.055473382851164e-12,3.575758430477937e-11
NGC2403,3.16,5.47,124.0,0.22,29.41,94.4,0.0,9.109729863710524e-11,3.232484790348896e-13,3.152281783055892e-11
NGC2403,3.16,5.96,125.0,0.88,30.7,91.13,0.0,8.496170536504733e-11,1.1962608115398665e-12,2.7703380073879095e-11
NGC2403,3.16,6.46,126.0,0.45,31.7,87.9,0.0,7.964491021550888e-11,5.688922158250635e-13,2.4421705038773477e-11
NGC2403,3.16,6.96,126.0,0.55,33.29,84.95,0.0,7.392329310232578e-11,6.45362082639352e-13,2.1961286829676527e-11
NGC2403,3.16,7.45,126.0,0.45,34.99,81.98,0.0,6.906122416002516e-11,4.93294458285894e-13,1.9943452549500388e-11
NGC2403,3.16,7.95,126.0,0.24,36.58,79.11,0.0,6.47177509424135e-11,2.4654381311395624e-13,1.821070295830337e-11
NGC2403,3.16,8.45,127.0,1.45,38.38,76.42,0.0,6.185861438987949e-11,1.4125195411862246e-12,1.6848342092229505e-11
NGC2403,3.16,8.94,128.0,1.12,39.97,74.09,0.0,5.939253677657324e-11,1.0393693935900317e-12,1.5740852706085203e-11
NGC2403,3.16,9.44,128.0,1.68,41.47,71.75,0.0,5.6246745633746276e-11,1.4764770728858398e-12,1.47407125772233e-11
NGC2403,3.16,9.94,127.0,2.56,42.57,69.58,0.0,5.2586045432040416e-11,2.12000435127596e-12,1.3800676351018067e-11
NGC2403,3.16,10.43,127.0,1.24,43.96,67.61,0.0,5.0115560076172736e-11,9.786345589677825e-13,1.3106164005960287e-11
NGC2403,3.16,10.93,128.0,0.21,45.06,65.75,0.0,4.857907399657501e-11,1.5940008655126174e-13,1.2429218339048559e-11
NGC2403,3.16,11.43,130.0,1.13,45.76,64.12,0.0,4.791703411339438e-11,8.330192084328561e-13,1.1765658566908397e-11
NGC2403,3.16,11.92,130.0,2.23,46.15,62.55,0.0,4.59472902614176e-11,1.5763454966609421e-12,1.110911340951533e-11
NGC2403,3.16,12.42,132.0,2.68,46.65,61.06,0.0,4.546484568379921e-11,1.8461482792815438e-12,1.0542668084409153e-11
NGC2403,3.16,12.92,133.0,2.68,46.95,59.67,0.0,4.4370081154010354e-11,1.7881476314698908e-12,9.994635945179262e-12
NGC2403,3.16,13.42,133.0,3.37,46.75,58.37,0.0,4.271694847316049e-11,2.1647536293917423e-12,9.39171788787296e-12
NGC2403,3.16,13.91,133.0,3.81,46.25,57.26,0.0,4.121218177640645e-11,2.361179136362535e-12,8.803028966167512e-12
NGC2403,3.16,14.41,133.0,2.56,45.95,56.12,0.0,3.9782196287981526e-11,1.5314649999583866e-12,8.290029694632736e-12
NGC2403,3.16,14.91,134.0,0.56,45.66,55.05,0.0,3.9028459370397735e-11,3.262080186182497e-13,7.825007983689473e-12
NGC2403,3.16,15.4,134.0,0.79,45.26,54.06,0.0,3.7786644754066895e-11,4.455440202345201e-13,7.385839958109225e-12
NGC2403,3.16,15.9,133.0,0.67,44.76,53.11,0.0,3.6054179151560616e-11,3.632526320533175e-13,6.958082867519929e-12
NGC2403,3.16,16.4,134.0,2.35,44.16,52.26,0.0,3.5482581049550626e-11,1.24453829054394e-12,6.552024581933861e-12
NGC2403,3.16,16.89,134.0,4.13,43.36,51.43,0.0,3.44531870463369e-11,2.1237561567368865e-12,6.145031855396662e-12
NGC2403,3.16,17.39,136.0,3.91,42.67,50.61,0.0,3.4468921068178826e-11,1.9819629614202824e-12,5.779759251255394e-12
NGC2403,3.16,17.89,136.0,6.38,41.87,49.84,0.0,3.350556385554107e-11,3.143610255858118e-12,5.425650914127403e-12
NGC2403,3.16,18.38,135.0,8.39,41.07,49.16,0.0,3.213449540267876e-11,3.99419876190333e-12,5.104664127898813e-12
NGC2403,3.16,18.88,133.0,7.83,40.27,48.46,0.0,3.0363424179545224e-11,3.575121974824648e-12,4.799131870324601e-12
NGC2403,3.16,19.38,134.0,6.26,39.87,47.78,0.0,3.0026539175058324e-11,2.805464705012912e-12,4.5669922944648796e-12
NGC2403,3.16,19.87,136.0,5.6,39.87,47.15,0.0,3.016681114119928e-11,2.4843256233928823e-12,4.40559748647189e-12
NGC2403,3.16,20.37,135.0,5.24,39.87,46.52,0.0,2.8995190255338023e-11,2.250885880562537e-12,4.250515272393881e-12
NGC2403,3.16,20.87,134.0,3.12,39.87,45.97,0.0,2.7882814049479166e-11,1.2984235796175373e-12,4.109186008066191e-12
NGC2683,9.81,2.89,189.0,10.0,7.68,203.92,89.57,4.005670484368241e-10,4.238804745363218e-11,2.967905115948822e-10
NGC2683,9.81,5.77,212.0,5.0,21.36,229.24,63.44,2.524325552595971e-10,1.1907196002811186e-11,1.6596486764385096e-10
NGC2683,9.81,8.66,206.0,5.0,17.89,197.87,51.78,1.588056696615024e-10,7.709013090364193e-12,8.148029571610764e-11
NGC2683,9.81,11.54,200.0,5.0,24.41,185.0,44.86,1.1233203776236967e-10,5.616601888118484e-12,5.3686406590726023e-11
NGC2683,9.81,14.43,172.0,12.0,25.8,159.52,40.12,6.64415900893431e-11,9.2709195473502e-12,3.260023023389912e-11
NGC2683,9.81,17.31,190.0,10.0,25.8,143.29,36.63,6.758644272035909e-11,7.114362391616746e-12,2.2224672526946505e-11
NGC2683,9.81,20.2,169.0,10.0,23.72,130.86,33.91,4.582173132961412e-11,5.422690098179186e-12,1.5930724214095595e-11
NGC2683,9.81,23.08,150.0,10.0,20.53,121.26,31.72,3.1593385620666475e-11,4.212451416088863e-12,1.1904086623922916e-11
NGC2683,9.81,28.85,160.0,10.0,17.48,107.36,28.37,2.8757001667166636e-11,3.5946252083958296e-12,7.449900094313185e-12
