beta,rmse_all,rmse_10,rmse_3
0.999992750000001,7.017316340564685e-11,7.069425612384984e-11,1.171199338818754e-10
0.999993000000001,7.017314085426754e-11,7.069423340175986e-11,1.171198971579608e-10
0.999993250000001,7.017311830291143e-11,7.069421067969325e-11,1.171198604340796e-10
0.999993500000001,7.017309575157849e-11,7.069418795764997e-11,1.171198237102319e-10
0.999993750000001,7.017307320026872e-11,7.069416523563009e-11,1.171197869864176e-10
0.999994000000001,7.017305064898218e-11,7.069414251363355e-11,1.171197502626367e-10
0.999994250000001,7.017302809771882e-11,7.069411979166039e-11,1.171197135388893e-10
0.999994500000001,7.017300554647865e-11,7.069409706971059e-11,1.171196768151753e-10
0.999994750000001,7.017298299526166e-11,7.069407434778414e-11,1.171196400914947e-10
0.999995000000001,7.017296044406787e-11,7.069405162588106e-11,1.171196033678476e-10
0.999995250000001,7.017293789289727e-11,7.069402890400133e-11,1.171195666442339e-10
0.999995500000001,7.017291534174985e-11,7.069400618214497e-11,1.171195299206537e-10
0.999995750000002,7.017289279062563e-11,7.069398346031200e-11,1.171194931971068e-10
0.999996000000002,7.017287023952460e-11,7.069396073850235e-11,1.171194564735935e-10
0.999996250000002,7.017284768844676e-11,7.069393801671609e-11,1.171194197501135e-10
0.999996500000002,7.017282513739209e-11,7.069391529495318e-11,1.171193830266670e-10
0.999996750000002,7.017280258636062e-11,7.069389257321363e-11,1.171193463032539e-10
0.999997000000002,7.017278003535235e-11,7.069386985149743e-11,1.171193095798743e-10
0.999997250000002,7.017275748436728e-11,7.069384712980463e-11,1.171192728565281e-10
0.999997500000002,7.017273493340539e-11,7.069382440813517e-11,1.171192361332153e-10
0.999997750000002,7.017271238246670e-11,7.069380168648908e-11,1.171191994099360e-10
0.999998000000002,7.017268983155117e-11,7.069377896486635e-11,1.171191626866901e-10
0.999998250000002,7.017266728065884e-11,7.069375624326697e-11,1.171191259634776e-10
0.999998500000002,7.017264472978971e-11,7.069373352169097e-11,1.171190892402986e-10
0.999998750000002,7.017262217894379e-11,7.069371080013832e-11,1.171190525171530e-10
0.999999000000002,7.017259962812104e-11,7.069368807860905e-11,1.171190157940408e-10
0.999999250000002,7.017257707732148e-11,7.069366535710314e-11,1.171189790709621e-10
0.999999500000002,7.017255452654512e-11,7.069364263562057e-11,1.171189423479168e-10
0.999999750000002,7.017253197579193e-11,7.069361991416137e-11,1.171189056249050e-10
1,7.017250942506195e-11,7.069359719272555e-11,1.171188689019266e-10
1.00000025,7.017248687435518e-11,7.069357447131310e-11,1.171188321789816e-10
1.0000005,7.017246432367155e-11,7.069355174992399e-11,1.171187954560701e-10
1.00000075,7.017244177301113e-11,7.069352902855825e-11,1.171187587331919e-10
1.000001,7.017241922237392e-11,7.069350630721586e-11,1.171187220103473e-10
1.00000125,7.017239667175989e-11,7.069348358589687e-11,1.171186852875360e-10
1.0000015,7.017237412116905e-11,7.069346086460121e-11,1.171186485647583e-10
1.00000175,7.017235157060138e-11,7.069343814332892e-11,1.171186118420139e-10
1.000002,7.017232902005694e-11,7.069341542208000e-11,1.171185751193030e-10
1.00000225,7.017230646953566e-11,7.069339270085443e-11,1.171185383966255e-10
1.0000025,7.017228391903758e-11,7.069336997965223e-11,1.171185016739814e-10
1.00000275,7.017226136856269e-11,7.069334725847338e-11,1.171184649513708e-10
1.000003,7.017223881811100e-11,7.069332453731792e-11,1.171184282287936e-10
1.00000325,7.017221626768250e-11,7.069330181618581e-11,1.171183915062499e-10
1.0000035,7.017219371727718e-11,7.069327909507707e-11,1.171183547837395e-10
1.00000375,7.017217116689504e-11,7.069325637399167e-11,1.171183180612627e-10
1.000004,7.017214861653611e-11,7.069323365292965e-11,1.171182813388192e-10
1.00000425,7.017212606620036e-11,7.069321093189100e-11,1.171182446164092e-10
1.0000045,7.017210351588782e-11,7.069318821087571e-11,1.171182078940326e-10
1.00000475,7.017208096559847e-11,7.069316548988377e-11,1.171181711716895e-10
1.000005,7.017205841533228e-11,7.069314276891521e-11,1.171181344493798e-10
1.00000525,7.017203586508932e-11,7.069312004797001e-11,1.171180977271036e-10
1.0000055,7.017201331486951e-11,7.069309732704816e-11,1.171180610048607e-10
1.00000575,7.017199076467293e-11,7.069307460614969e-11,1.171180242826514e-10
1.000006,7.017196821449953e-11,7.069305188527457e-11,1.171179875604754e-10
1.00000625,7.017194566434930e-11,7.069302916442283e-11,1.171179508383329e-10
1.0000065,7.017192311422229e-11,7.069300644359443e-11,1.171179141162238e-10
1.00000675,7.017190056411845e-11,7.069298372278941e-11,1.171178773941482e-10
1.000007,7.017187801403781e-11,7.069296100200775e-11,1.171178406721060e-10
1.00000725,7.017185546398037e-11,7.069293828124945e-11,1.171178039500972e-10
1.0000075,7.017183291394611e-11,7.069291556051451e-11,1.171177672281219e-10
1.00000775,7.017181036393504e-11,7.069289283980295e-11,1.171177305061800e-10
1.000008,7.017178781394716e-11,7.069287011911475e-11,1.171176937842715e-10
1.00000825,7.017176526398247e-11,7.069284739844989e-11,1.171176570623965e-10
1.0000085,7.017174271404099e-11,7.069282467780842e-11,1.171176203405549e-10
1.00000875,7.017172016412269e-11,7.069280195719029e-11,1.171175836187467e-10
1.000009,7.017169761422757e-11,7.069277923659555e-11,1.171175468969721e-10
1.00000925,7.017167506435567e-11,7.069275651602417e-11,1.171175101752308e-10
1.0000095,7.017165251450695e-11,7.069273379547616e-11,1.171174734535230e-10
1.00000975,7.017162996468139e-11,7.069271107495148e-11,1.171174367318486e-10
1.00001,7.017160741487905e-11,7.069268835445017e-11,1.171174000102076e-10
1.00001025,7.017158486509989e-11,7.069266563397225e-11,1.171173632886001e-10
1.0000105,7.017156231534393e-11,7.069264291351768e-11,1.171173265670260e-10
1.00001075,7.017153976561117e-11,7.069262019308649e-11,1.171172898454853e-10
1.000011,7.017151721590159e-11,7.069259747267863e-11,1.171172531239781e-10
1.00001125,7.017149466621519e-11,7.069257475229415e-11,1.171172164025043e-10
1.0000115,7.017147211655201e-11,7.069255203193304e-11,1.171171796810640e-10
1.00001175,7.017144956691201e-11,7.069252931159530e-11,1.171171429596571e-10
1.000012,7.017142701729520e-11,7.069250659128091e-11,1.171171062382836e-10
1.00001225,7.017140446770158e-11,7.069248387098989e-11,1.171170695169436e-10
1.0000125,7.017138191813115e-11,7.069246115072223e-11,1.171170327956370e-10
1.00001275,7.017135936858390e-11,7.069243843047792e-11,1.171169960743639e-10
1.000013,7.017133681905985e-11,7.069241571025700e-11,1.171169593531241e-10
1.00001325,7.017131426955902e-11,7.069239299005944e-11,1.171169226319179e-10
1.0000135,7.017129172008135e-11,7.069237026988523e-11,1.171168859107450e-10
1.00001375,7.017126917062688e-11,7.069234754973439e-11,1.171168491896056e-10
1.000014,7.017124662119562e-11,7.069232482960693e-11,1.171168124684996e-10
1.00001425,7.017122407178751e-11,7.069230210950282e-11,1.171167757474271e-10
1.0000145,7.017120152240261e-11,7.069227938942206e-11,1.171167390263880e-10
1.00001475,7.017117897304092e-11,7.069225666936469e-11,1.171167023053823e-10
1.000015,7.017115642370242e-11,7.069223394933066e-11,1.171166655844101e-10
