key,label,A,Z,N,in_domain,magic_any,A_bin,radii_used,R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,sigma_set_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,C3_inf_eq19,C_surf_eq19_MeV_fm,x_eq19_fm5,C3_eff_eq19,E3_vol_eq19_MeV,E3_surf_equiv_eq19_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19,pass_3sigma_eq19
Z3_N6,Li-9,9,3,6,0,0,2<=A<16,published,2.89828253741,0.0882534597301,5.0377685,2.07e-05,0,9.24735598418,4.20958748418,1551.70342727,195.655721197,7.38319859069,2996.26847227,12.0857108274,11.2512449857,9.24735598418,4.20958748418,0.807073459672,0.807073459672,5.21586657786,0
Z4_N5,Be-9,9,4,5,0,0,2<=A<16,published,3.25201501637,0.0624735626877,6.4626693,8.5e-06,0,6.00347446056,-0.459194839443,1551.70342727,195.655721197,13.1311771659,4120.89336582,6.05621473877,10.0274096836,6.00347446056,-0.459194839443,0.218709913313,0.218709913313,-2.09956116066,1
Z4_N6,Be-10,10,4,6,0,0,2<=A<16,published,3.04029192677,0.0849504202914,6.4976306,8.1e-06,0,10.0520489146,3.55441831463,1551.70342727,195.655721197,7.59630510093,3037.96398022,11.1979824657,10.7257091265,10.0520489146,3.55441831463,0.375248911068,0.375248911068,9.47216157008,0
Z5_N5,B-10,10,5,5,0,0,2<=A<16,published,3.1341472232,0.0775448948318,6.4750835,1.5e-06,0,9.16657734365,2.69149384365,1551.70342727,195.655721197,8.84347462187,3281.9798323,9.33071967452,10.4045166177,9.16657734365,2.69149384365,0.859291859369,0.859291859369,3.13222313735,0
Z3_N8,Li-11,11,3,8,0,1,2<=A<16,published,3.20424822176,0.0798225541102,4.1553817,5.59e-05,0,7.38815796893,3.23277626893,1551.70342727,195.655721197,8.16340527554,3148.92037388,9.88689584981,10.1768916168,7.38815796893,3.23277626893,0.652932709424,0.652932709424,4.9511629947,0
Z4_N7,Be-11,11,4,7,0,0,2<=A<16,published,3.17971932724,0.081684135282,5.9525402,2.16e-05,0,9.41088498325,3.45834478325,1551.70342727,195.655721197,7.85569351068,3088.7148066,10.3534276072,10.2553978859,9.41088498325,3.45834478325,0.326712403553,0.326712403553,10.5852876892,0
Z5_N6,B-11,11,5,6,0,0,2<=A<16,published,3.10613264366,0.0876282386639,6.9277323,1.1e-06,0,11.1154154178,4.18768311783,1551.70342727,195.655721197,6.98780193971,2918.90685536,11.9150778485,10.4983561899,11.1154154178,4.18768311783,0.561538016873,0.561538016873,7.45752378645,0
Z4_N8,Be-12,12,4,8,0,1,2<=A<16,preliminary,3.23135910519,0.0849057228055,5.7207223,0.000159,0,9.70898067688,3.98825837688,1551.70342727,195.655721197,7.15466985054,2951.5555168,11.186201712,10.0915081873,9.70898067688,3.98825837688,0.33297974021,0.33297974021,11.977480595,0
Z6_N6,C-12,12,6,6,0,0,2<=A<16,published,3.18901448727,0.0883330365724,7.6801446,2e-07,0,11.4790256261,3.79888102615,1551.70342727,195.655721197,6.69801224362,2862.20784338,12.1075156678,10.225506029,11.4790256261,3.79888102615,0.262302973043,0.262302973043,14.4827982012,0
Z6_N7,C-13,13,6,7,0,0,2<=A<16,published,3.17765373612,0.0967241740338,7.4698495,2e-07,0,12.9643787844,5.49452928436,1551.70342727,195.655721197,5.60624559249,2648.59745187,14.5170635818,10.2620642695,12.9643787844,5.49452928436,0.316295895997,0.316295895997,17.3714845937,0
