Z,N_parent,A_parent,symbol,N_chain_min,N_chain_max,n_chain_isotopes,distance_proton_edge,distance_neutron_edge,edge_class,S_n_obs_MeV,S_n_pred_before_MeV,S_n_pred_after_MeV,resid_before_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
8,19,27,O,3,20,18,16,1,neutron_rich_edge,-1.9394540000000404,0.6039774095731332,11.132503451369814,2.5434314095731736,13.071957451369855,2.5434314095731736,13.071957451369855
8,20,28,O,3,20,18,17,0,neutron_rich_edge,0.6690000000000396,0.5453228916991293,-1.3822923362609458,-0.12367710830091028,-2.0512923362609854,0.12367710830091028,2.0512923362609854
20,14,34,Ca,13,41,29,1,27,proton_rich_edge,24.200999999999993,0.2743553200511002,0.6712985601159147,-23.926644679948893,-23.52970143988408,23.926644679948893,23.52970143988408
20,15,35,Ca,13,41,29,2,26,proton_rich_edge,17.77800000000002,0.23968189424651598,-2.823070899907023,-17.538318105753504,-20.601070899907043,17.538318105753504,20.601070899907043
20,16,36,Ca,13,41,29,3,25,interior,19.711676399999988,0.2073486460973868,1.5881462303993885,-19.5043277539026,-18.1235301696006,19.5043277539026,18.1235301696006
20,17,37,Ca,13,41,29,4,24,interior,14.756221499999981,0.17716609832538666,-1.00937400642772,-14.579055401674594,-15.765595506427701,14.579055401674594,15.765595506427701
20,18,38,Ca,13,41,29,5,23,interior,16.993751300000042,0.1489637333297651,0.7382462097584579,-16.844787566670277,-16.255505090241584,16.844787566670277,16.255505090241584
20,19,39,Ca,13,41,29,6,22,interior,13.295523699999933,-18.246255118102056,-19.337576104498012,-31.54177881810199,-32.633099804497945,31.54177881810199,32.633099804497945
20,20,40,Ca,13,41,29,7,21,interior,15.635011100000042,0.722427696033833,2.571509588975786,-14.91258340396621,-13.063501511024256,14.91258340396621,13.063501511024256
20,21,41,Ca,13,41,29,8,20,interior,8.36282349999999,1.9411288242866362,1.2253139000096809,-6.421694675713354,-7.1375095999903095,6.421694675713354,7.1375095999903095
20,22,42,Ca,13,41,29,9,19,interior,11.480705699999987,-0.21965193863178456,-0.5547128223260813,-11.700357638631772,-12.035418522326069,11.700357638631772,12.035418522326069
20,23,43,Ca,13,41,29,10,18,interior,7.932894700000077,2.8543422542463475,3.8226940164140046,-5.078552445753729,-4.110200683586072,5.078552445753729,4.110200683586072
20,24,44,Ca,13,41,29,11,17,interior,11.131175699999972,0.24335957841027778,-0.5491684745953478,-10.887816121589694,-11.68034417459532,10.887816121589694,11.68034417459532
20,25,45,Ca,13,41,29,12,16,interior,7.414817899999946,3.7108351224313623,4.253736704191525,-3.7039827775685836,-3.1610811958084213,3.7039827775685836,3.1610811958084213
20,26,46,Ca,13,41,29,13,15,interior,10.398699300000033,1.8682033788614092,0.8531292598054847,-8.530495921138623,-9.545570040194548,8.530495921138623,9.545570040194548
20,27,47,Ca,13,41,29,14,14,interior,7.276374799999985,3.3332083165783644,3.5010668066075965,-3.9431664834216207,-3.7753079933923885,3.9431664834216207,3.7753079933923885
20,28,48,Ca,13,41,29,15,13,interior,9.951521200000002,2.0700867023591627,2.384422239171471,-7.881434497640839,-7.567098960828531,7.881434497640839,7.567098960828531
20,29,49,Ca,13,41,29,16,12,interior,5.146453200000053,1.9369548528825504,-0.36063513220264554,-3.2094983471175027,-5.507088332202699,3.2094983471175027,5.507088332202699
20,30,50,Ca,13,41,29,17,11,interior,6.360544999999888,-1.4334046898470092,-1.6708877914089726,-7.793949689846897,-8.03143279140886,7.793949689846897,8.03143279140886
20,31,51,Ca,13,41,29,18,10,interior,4.814393500000051,1.2627936567224367,0.9136035928391095,-3.5515998432776144,-3.9007899071609415,3.5515998432776144,3.9007899071609415
20,32,52,Ca,13,41,29,19,9,interior,6.005280700000071,-0.10322858171589644,0.3465881485255693,-6.108509281715968,-5.658692551474502,6.108509281715968,5.658692551474502
20,33,53,Ca,13,41,29,20,8,interior,3.192754199999854,-0.11425950125510553,-1.668493959575656,-3.3070137012549594,-4.86124815957551,3.3070137012549594,4.86124815957551
20,34,54,Ca,13,41,29,21,7,interior,3.844198400000039,-0.12465465682848276,1.0959241437648188,-3.9688530568285216,-2.74827425623522,3.9688530568285216,2.74827425623522
20,35,55,Ca,13,41,29,22,6,interior,1.5611082000000351,-0.1344524351451497,-0.33725865029562385,-1.6955606351451848,-1.898366850295659,1.6955606351451848,1.898366850295659
20,36,56,Ca,13,41,29,23,5,interior,2.931332399999974,-0.1436884685942914,0.6424608795114324,-3.0750208685942653,-2.2888715204885415,3.0750208685942653,2.2888715204885415
20,37,57,Ca,13,41,29,24,4,interior,1.1267376000000127,-0.1523958698598591,0.36372453890901113,-1.2791334698598718,-0.7630130610910015,1.2791334698598718,0.7630130610910015
20,38,58,Ca,13,41,29,25,3,interior,3.0400000000000205,-0.16060544325098647,-0.5048960141774472,-3.200605443251007,-3.5448960141774677,3.200605443251007,3.5448960141774677
20,39,59,Ca,13,41,29,26,2,neutron_rich_edge,0.7479999999999905,-0.16834587538633627,0.16614853563014265,-0.9163458753863267,-0.5818514643698478,0.9163458753863267,0.5818514643698478
20,40,60,Ca,13,41,29,27,1,neutron_rich_edge,2.848000000000013,-0.17564390754048986,-0.9255025636370391,-3.023643907540503,-3.7735025636370523,3.023643907540503,3.7735025636370523
20,41,61,Ca,13,41,29,28,0,neutron_rich_edge,0.06299999999998818,-0.18252449166595852,4.235308161461305,-0.2455244916659467,4.1723081614613164,0.2455244916659467,4.1723081614613164
50,50,100,Sn,49,90,42,1,40,proton_rich_edge,17.223600000000033,-0.2764437643808435,4.153637036633526,-17.500043764380877,-13.069962963366507,17.500043764380877,13.069962963366507
50,51,101,Sn,49,90,42,2,39,proton_rich_edge,11.22880299999997,-0.27656616498364883,-8.415260293172267,-11.50536916498362,-19.644063293172238,11.50536916498362,19.644063293172238
50,52,102,Sn,49,90,42,3,38,interior,12.700589600000058,-0.2766351136732368,1.063594205204197,-12.977224713673294,-11.63699539479586,12.977224713673294,11.63699539479586
50,53,103,Sn,49,90,42,4,37,interior,10.237007399999925,-0.2766530314578688,0.07559831166803122,-10.513660431457794,-10.161409088331894,10.513660431457794,10.161409088331894
50,54,104,Sn,49,90,42,5,36,interior,12.597785600000066,-0.2766222293840741,-0.31251133741368164,-12.87440782938414,-12.910296937413747,12.87440782938414,12.910296937413747
50,55,105,Sn,49,90,42,6,35,interior,9.78225939999993,-0.27654491413491655,-0.12806003834103308,-10.058804314134846,-9.910319438340963,10.058804314134846,9.910319438340963
50,56,106,Sn,49,90,42,7,34,interior,12.087014800000134,-0.2764231933035717,-0.22129099028958876,-12.363437993303705,-12.308305790289722,12.363437993303705,12.308305790289722
50,57,107,Sn,49,90,42,8,33,interior,9.229862399999888,-0.27625908036502267,-0.21763562649404378,-9.50612148036491,-9.447498026493932,9.50612148036491,9.447498026493932
50,58,108,Sn,49,90,42,9,32,interior,11.629026200000112,-2.8157947203248597,-2.688785025652905,-14.444820920324972,-14.317811225653017,14.444820920324972,14.317811225653017
50,59,109,Sn,49,90,42,10,31,interior,8.631546299999968,0.19983483016858372,0.510760370512017,-8.431711469831384,-8.120785929487951,8.431711469831384,8.120785929487951
50,60,110,Sn,49,90,42,11,30,interior,11.283130299999925,-0.036349301259420486,-0.2920829396995259,-11.319479601259346,-11.575213239699451,11.319479601259346,11.575213239699451
50,61,111,Sn,49,90,42,12,29,interior,8.167915999999991,0.3524595197428084,0.47938039172376534,-7.815456480257183,-7.688535608276226,7.815456480257183,7.688535608276226
50,62,112,Sn,49,90,42,13,28,interior,10.787775799999963,-0.09285934702546683,-0.4015057126672019,-10.88063514702543,-11.189281512667165,10.88063514702543,11.189281512667165
50,63,113,Sn,49,90,42,14,27,interior,7.7444053000000395,0.22505985133877005,0.1642336755947582,-7.519345448661269,-7.580171624405281,7.519345448661269,7.580171624405281
50,64,114,Sn,49,90,42,15,26,interior,10.302927299999965,0.09640887089962291,-0.27640520528008494,-10.206518429100342,-10.57933250528005,10.206518429100342,10.57933250528005
50,65,115,Sn,49,90,42,16,25,interior,7.545423600000163,0.34399630726332475,-0.13690485708757194,-7.201427292736838,-7.682328457087735,7.201427292736838,7.682328457087735
50,66,116,Sn,49,90,42,17,24,interior,9.563452599999891,-0.04611460521309141,0.21941965201621372,-9.609567205212983,-9.344032947983678,9.609567205212983,9.344032947983678
50,67,117,Sn,49,90,42,18,23,interior,6.943078399999877,0.31126270889068053,0.42905900797447316,-6.631815691109196,-6.5140193920254035,6.631815691109196,6.5140193920254035
50,68,118,Sn,49,90,42,19,22,interior,9.32641980000028,0.021882000197393836,0.058647634890348854,-9.304537799802887,-9.267772165109932,9.304537799802887,9.267772165109932
50,69,119,Sn,49,90,42,20,21,interior,6.483454799999777,0.3519724383859568,0.5487518477556961,-6.13148236161382,-5.934702952244081,6.13148236161382,5.934702952244081
50,70,120,Sn,49,90,42,21,20,interior,9.104081399999927,0.08359316586911802,-0.05547413193599482,-9.02048823413081,-9.159555531935922,9.02048823413081,9.159555531935922
50,71,121,Sn,49,90,42,22,19,interior,6.170204400000216,0.32770501615398473,0.6219374836765468,-5.842499383846231,-5.548266916323669,5.842499383846231,5.548266916323669
50,72,122,Sn,49,90,42,23,18,interior,8.814645199999859,0.1684919867479806,-0.10646978795749362,-8.646153213251878,-8.921114987957353,8.646153213251878,8.921114987957353
50,73,123,Sn,49,90,42,24,17,interior,5.94604030000005,0.4370524971607779,0.5398235513527965,-5.508987802839272,-5.406216748647253,5.508987802839272,5.406216748647253
50,74,124,Sn,49,90,42,25,16,interior,8.488112900000033,0.14389116982485461,-0.003996664847292664,-8.344221730175178,-8.492109564847325,8.344221730175178,8.492109564847325
50,75,125,Sn,49,90,42,26,15,interior,5.7334997000000385,0.436766844210112,0.4450054241545871,-5.2967328557899265,-5.288494275845451,5.2967328557899265,5.288494275845451
50,76,126,Sn,49,90,42,27,14,interior,8.192797699999801,0.1491366391984883,-0.05017831131084449,-8.043661060801313,-8.242976011310645,8.043661060801313,8.242976011310645
50,77,127,Sn,49,90,42,28,13,interior,5.525761200000034,0.3992309690405307,0.6061127006511668,-5.126530230959503,-4.919648499348867,5.126530230959503,4.919648499348867
50,78,128,Sn,49,90,42,29,12,interior,7.96316580000007,0.24510798414452495,-0.2286861884974769,-7.718057815855545,-8.191851988497547,7.718057815855545,8.191851988497547
50,79,129,Sn,49,90,42,30,11,interior,5.300489699999844,0.5511707047151617,0.7482758440418706,-4.749318995284682,-4.552213855957973,4.749318995284682,4.552213855957973
50,80,130,Sn,49,90,42,31,10,interior,7.612933099999964,0.0017082557960179656,-0.5931268077391678,-7.611224844203946,-8.206059907739132,7.611224844203946,8.206059907739132
50,81,131,Sn,49,90,42,32,9,interior,5.203687300000183,0.19419492427701357,0.4157287553737774,-5.00949237572317,-4.787958544626406,5.00949237572317,4.787958544626406
50,82,132,Sn,49,90,42,33,8,interior,7.353285900000174,0.525739297336898,1.5597909710416502,-6.827546602663276,-5.793494928958523,6.827546602663276,5.793494928958523
50,83,133,Sn,49,90,42,34,7,interior,2.39865379999992,-9.59908165987872,-11.606767179196865,-11.99773545987864,-14.005420979196785,11.99773545987864,14.005420979196785
50,84,134,Sn,49,90,42,35,6,interior,3.6311975999999504,-0.2612198694646253,-0.29995053248931924,-3.8924174694645757,-3.9311481324892696,3.8924174694645757,3.9311481324892696
50,85,135,Sn,49,90,42,36,5,interior,2.2698049000000537,-0.2604165294692251,0.3533197904755525,-2.530221429469279,-1.9164851095245012,2.530221429469279,1.9164851095245012
50,86,136,Sn,49,90,42,37,4,interior,3.64916049999988,-0.25960316834846253,-0.5284283361579725,-3.9087636683483424,-4.177588836157852,3.9087636683483424,4.177588836157852
50,87,137,Sn,49,90,42,38,3,interior,2.0319999999999254,-0.25878034561728214,0.12604882269936013,-2.2907803456172076,-1.9059511773005653,2.2907803456172076,1.9059511773005653
50,88,138,Sn,49,90,42,39,2,neutron_rich_edge,3.4600000000002638,-0.2579485985271788,-0.6561211181772677,-3.7179485985274425,-4.1161211181775315,3.7179485985274425,4.1161211181775315
50,89,139,Sn,49,90,42,40,1,neutron_rich_edge,1.8630000000000564,-0.2571084429922479,4.27783129806852,-2.1201084429923043,2.4148312980684636,2.1201084429923043,2.4148312980684636
50,90,140,Sn,49,90,42,41,0,neutron_rich_edge,3.1729999999997744,-0.2562603744722338,-1.2243341640146497,-3.4292603744720083,-4.397334164014424,3.4292603744720083,4.397334164014424
82,97,179,Pb,96,138,43,1,41,proton_rich_edge,9.59308679999981,-0.2206334493537767,1.605338612427822,-9.813720249353587,-7.987748187571988,9.813720249353587,7.987748187571988
82,98,180,Pb,96,138,43,2,40,proton_rich_edge,12.0639970000002,-0.21971656236061676,0.04056847674986841,-12.283713562360816,-12.023428523250331,12.283713562360816,12.023428523250331
82,99,181,Pb,96,138,43,3,39,interior,9.240868399999727,-0.21880150825886346,-0.42479593466913457,-9.45966990825859,-9.665664334668861,9.45966990825859,9.665664334668861
82,100,182,Pb,96,138,43,4,38,interior,11.7852448000001,0.1642984521533819,0.47031219333358365,-11.620946347846719,-11.314932606666517,11.620946347846719,11.314932606666517
82,101,183,Pb,96,138,43,5,37,interior,8.826769799999965,-0.1184293438474242,-3.0003213772657347,-8.94519914384739,-11.8270911772657,8.94519914384739,11.8270911772657
82,102,184,Pb,96,138,43,6,36,interior,11.542900600000166,-0.005682049581508863,-0.11646993770521874,-11.548582649581675,-11.659370537705385,11.548582649581675,11.659370537705385
82,103,185,Pb,96,138,43,7,35,interior,8.560947400000032,0.032535555120659865,0.05766227657671408,-8.528411844879372,-8.503285123423318,8.528411844879372,8.503285123423318
82,104,186,Pb,96,138,43,8,34,interior,11.211006999999881,0.09377859122393772,0.07941934484333757,-11.117228408775944,-11.131587655156544,11.117228408775944,11.131587655156544
82,105,187,Pb,96,138,43,9,33,interior,8.377375000000029,0.040388687161012626,0.09837330107137632,-8.336986312839016,-8.279001698928653,8.336986312839016,8.279001698928653
82,106,188,Pb,96,138,43,10,32,interior,10.8953798,-0.007344373424103878,0.000100945217624826,-10.902724173424104,-10.895278854782376,10.902724173424104,10.895278854782376
82,107,189,Pb,96,138,43,11,31,interior,8.10431430000017,0.1172577076096033,0.2517819970851818,-7.987056592390566,-7.852532302914987,7.987056592390566,7.852532302914987
82,108,190,Pb,96,138,43,12,30,interior,10.643904899999825,0.07537182197898318,-0.006804276350472094,-10.568533078020842,-10.650709176350297,10.568533078020842,10.650709176350297
82,109,191,Pb,96,138,43,13,29,interior,7.945950200000198,0.29313686711726206,0.3281986226484932,-7.6528133328829355,-7.617751577351704,7.6528133328829355,7.617751577351704
82,110,192,Pb,96,138,43,14,28,interior,10.33191819999979,-0.07811812477825697,-0.16066211364813654,-10.410036324778048,-10.492580313647927,10.410036324778048,10.492580313647927
82,111,193,Pb,96,138,43,15,27,interior,7.748729800000092,0.27322279409861494,0.39941202955786537,-7.475507005901477,-7.349317770442227,7.475507005901477,7.349317770442227
82,112,194,Pb,96,138,43,16,26,interior,10.049927199999956,-0.02964219295325421,-0.23459999482106753,-10.07956939295321,-10.284527194821024,10.07956939295321,10.284527194821024
82,113,195,Pb,96,138,43,17,25,interior,7.60150509999994,0.23007202851645303,0.30178417457096884,-7.371433071483487,-7.299720925428971,7.371433071483487,7.299720925428971
82,114,196,Pb,96,138,43,18,24,interior,9.681513900000255,0.007599186355250254,-0.18515816386876338,-9.673914713645004,-9.866672063869018,9.673914713645004,9.866672063869018
82,115,197,Pb,96,138,43,19,23,interior,7.468462999999701,0.31524631762708566,0.31196525899013494,-7.153216682372616,-7.1564977410095665,7.153216682372616,7.1564977410095665
82,116,198,Pb,96,138,43,20,22,interior,9.393367600000147,-0.13014284395821107,-0.28349726052768176,-9.523510443958358,-9.676864860527829,9.523510443958358,9.676864860527829
82,117,199,Pb,96,138,43,21,21,interior,7.235622400000011,0.2952344000338485,0.4471632452868377,-6.940387999966163,-6.788459154713173,6.940387999966163,6.788459154713173
82,118,200,Pb,96,138,43,22,20,interior,9.090436599999975,-0.15717394600946477,-0.45364685129488436,-9.24761054600944,-9.54408345129486,9.24761054600944,9.54408345129486
82,119,201,Pb,96,138,43,23,19,interior,7.09149820000016,0.21623748395290932,0.19957144523237247,-6.875260716047251,-6.891926754767788,6.875260716047251,6.891926754767788
82,120,202,Pb,96,138,43,24,18,interior,8.740882799999781,-0.125394438871254,-0.3837529950328289,-8.866277238871035,-9.12463579503261,8.866277238871035,9.12463579503261
82,121,203,Pb,96,138,43,25,17,interior,6.917190000000119,0.1898294105222078,0.13934457869833494,-6.727360589477911,-6.777845421301784,6.727360589477911,6.777845421301784
