q_b,eta_baryon,eta10,tnuc_mev,li7h_pred,li7h_obs,li7h_sigma,z,z_abs,status,be7_prod,destruction_scale,lambda_be7,lambda_li7,survival_factor
0.35,5.4e-10,5.4,0.08,4.004065866626286e-10,1.6e-10,3e-11,8.013552888754285,8.013552888754285,reject,6.027667107962398e-10,0.40430928136377386,0.3234474250910191,0.18193917661369824,0.6642811878806337
0.35,5.4e-10,5.4,0.08199999999999999,3.903779641059393e-10,1.6e-10,3e-11,7.679265470197977,7.679265470197977,reject,5.943213560933568e-10,0.4179403772536137,0.334352301802891,0.18807316976412616,0.6568466034470049
0.35,5.4e-10,5.4,0.08399999999999999,3.8074226442637426e-10,1.6e-10,3e-11,7.358075480879142,7.358075480879142,reject,5.861936215025954e-10,0.43168594878376093,0.3453487590270088,0.19425867695269242,0.6495162186350888
0.35,5.4e-10,5.4,0.086,3.7147741072390513e-10,1.6e-10,3e-11,7.049247024130172,7.049247024130172,reject,5.783644166302583e-10,0.44554419716275834,0.3564353577302067,0.20049488872324125,0.6422895324166984
0.35,5.4e-10,5.4,0.088,3.6256300976080217e-10,1.6e-10,3e-11,6.752100325360073,6.752100325360073,reject,5.708162083493594e-10,0.45951339321890666,0.36761071457512534,0.206781026948508,0.6351659333732531
0.35,5.4e-10,5.4,0.09,3.539801870257827e-10,1.6e-10,3e-11,6.466006234192757,6.466006234192757,reject,5.635328618275335e-10,0.4735918731778911,0.3788734985423129,0.213116342930051,0.6281447116993802
0.35,5.4875e-10,5.4875,0.05,6.411624550421603e-10,1.6e-10,3e-11,16.038748501405344,16.038748501405344,reject,8.142369304693865e-10,0.21595085497118882,0.17276068397695107,0.09717788473703497,0.787439664119075
0.35,5.4875e-10,5.4875,0.052000000000000005,6.198276481404072e-10,1.6e-10,3e-11,15.327588271346908,15.327588271346908,reject,7.96191358385873e-10,0.2276293557082691,0.1821034845666153,0.1024332100687211,0.7784908007504505
0.35,5.4875e-10,5.4875,0.054,5.996978568384386e-10,1.6e-10,3e-11,14.656595227947953,14.656595227947953,reject,7.792045995551104e-10,0.23946291042361603,0.19157032833889284,0.10775830969062722,0.7696282300962265
0.35,5.4875e-10,5.4875,0.056,5.806688321176927e-10,1.6e-10,3e-11,14.022294403923091,14.022294403923091,reject,7.63178649123711e-10,0.25144771947260464,0.20115817557808371,0.1131514737626721,0.7608557089279452
