T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein1_J_per_molK,Cv_einstein2_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein1_1e-8_per_K,alpha_einstein2_1e-8_per_K,residual_1e-8_per_K,z
281.0,244.18187634203488,243.74616860840456,0.5,19.758200032035713,19.219010358941752,12.79211740142233,-636.4115893689197,731.4078690189207,148.74988895840366,-0.43570773363033727,-0.8714154672606745
282.0,245.14630771316288,244.72697917135883,0.5,19.789251145419033,19.253637615238798,12.849148823613037,-637.4117456780932,732.7256604798328,149.41306436961935,-0.4193285418040397,-0.8386570836080794
283.0,246.10423287211353,245.70141220102784,0.5,19.820042480492663,19.28797162284851,12.905871946547878,-638.4035345283543,734.0322919281589,150.07265480122322,-0.4028206710857069,-0.8056413421714138
284.0,247.05570257410363,246.669508554989,0.5,19.85057668086459,19.32201540570869,12.962287709986809,-639.3870410703116,735.3278784443253,150.72867118097528,-0.3861940191146622,-0.7723880382293244
285.0,248.0007673184192,247.6313090215282,0.5,19.88085636089095,19.355771953914203,13.018397077463721,-640.3623495123717,736.6125338208151,151.38112471308474,-0.3694582968910083,-0.7389165937820166
286.0,248.9394773413784,248.58685431249583,0.5,19.910884105968282,19.389244224053655,13.074201035379799,-641.329543130153,737.8863705749815,152.03002686766732,-0.352623028882565,-0.70524605776513
287.0,249.87188260975526,249.53618505643135,0.5,19.94066247282521,19.42243513954569,13.12970059211954,-642.2887042758798,739.1494999618451,152.67538937046606,-0.33569755332391465,-0.6713951066478293
288.0,250.79803281464336,250.47934179196477,0.5,19.970193989812977,19.455347590974828,13.18489677718897,-643.2399143877416,740.402031986876,153.31722419283034,-0.318691022678585,-0.63738204535717
289.0,251.71797736574055,251.41636496145856,0.5,19.99948115719555,19.487984436426622,13.23979064037557,-644.1832539992364,741.6440754187475,153.95554354194738,-0.30161240428199027,-0.6032248085639805
290.0,252.63176538603471,252.3472949049081,0.5,20.028526447438473,19.520348501822003,13.29438325092957,-645.1188027484751,742.8757378020613,154.59035985132195,-0.2844704811266301,-0.5689409622532602
291.0,253.53944570687383,253.27217185407386,0.5,20.05733230549697,19.552442581250755,13.348675696766067,-646.0466393874615,744.0971254700369,155.22168577149844,-0.2672738527999671,-0.5345477055999343
292.0,254.4410668634019,254.1910359268613,0.5,20.085901149102394,19.584269437303796,13.402669083687599,-646.9668417913181,745.3083435571584,155.84953416102096,-0.2500309365405922,-0.5000618730811844
293.0,255.3366770903448,255.10392712191455,0.5,20.114235369047922,19.615831801404383,13.456364534626706,-647.8794869674892,746.5094960117784,156.4739180776254,-0.23274996843025408,-0.46549993686050817
294.0,256.22632431813025,256.01088531343584,0.5,20.14233732947274,19.647132374137932,13.509763188908124,-648.784651064894,747.7006856086697,157.0948507696601,-0.21543900469443583,-0.43087800938887166
295.0,257.110056169326,256.9119502462237,0.5,20.170209368144604,19.6781738255804,13.562866201530113,-649.682409383028,748.8820139615226,157.71234566772907,-0.19810592310233116,-0.3962118462046623
296.0,257.9879199553827,257.8071615309126,0.5,20.197853796741324,19.708958795625264,13.61567474246458,-650.5728363810292,750.0535815353882,158.32641637655354,-0.18075842447011597,-0.36151684894023195
297.0,258.8599626736669,258.6965586394146,0.5,20.225272901130378,19.73948989430865,13.668189995975593,-651.4560056866854,751.2154876590525,158.9370766670475,-0.163404034252354,-0.326808068504708
298.0,259.7262310047707,259.5801809005652,0.5,20.252468941646956,19.769769702133,13.7204131599558,-652.3319901053893,752.367830537353,159.5443404686015,-0.1460501042054847,-0.2921002084109694
299.0,260.5867713100858,260.4580674959474,0.5,20.279444153370516,19.799800770388767,13.772345445280523,-653.2008616290462,753.510707263422,160.14822186157164,-0.12870381413842868,-0.25740762827685737
300.0,261.4416296296297,261.33025745590993,0.5,20.306200746399334,19.82958562147429,13.823988075178999,-654.0626914449181,754.6442138308594,160.74873506996855,-0.11137217371977479,-0.22274434743954957
301.0,262.29085168011136,262.19678965575736,0.5,20.332740906123515,19.859126749213715,13.875342284622445,-654.9175499444162,755.7684451458321,161.34589445434145,-0.09406202435400045,-0.1881240487080009
302.0,263.1344828532268,263.0577028121195,0.5,20.359066793495966,19.88842661917288,13.926409319728629,-655.7655067318302,756.8834950390954,161.93971450485438,-0.07678004110732814,-0.15356008221465628
303.0,263.97256821417204,263.9130354794864,0.5,20.385180545301598,19.91748766897314,13.977190437182488,-656.6066306329984,757.9894562779359,162.53020983454897,-0.05953273468567441,-0.11906546937134882
304.0,264.80515250036456,264.76282604690726,0.5,20.411084274424525,19.94631230860301,14.02768690367251,-657.4409897039145,759.086420578031,163.11739517279074,-0.04232645345727977,-0.08465290691455954
305.0,265.63228012036257,265.6071127348429,0.5,20.436780070113514,19.97490292072761,14.077899995342472,-658.2686512392778,760.1744786152271,163.70128535889353,-0.025167385519680913,-0.05033477103936183
306.0,266.45399515297316,266.4459335921845,0.5,20.462269998245013,20.00326186099591,14.127830997258247,-659.0896817809651,761.25372003723,164.2818953359195,-0.008061560788705704,-0.016123121577411408
307.0,267.27034134653985,267.27932649340573,0.5,20.487556101584605,20.03139145834558,14.17748120288931,-659.9041471264522,762.324233475208,164.85924014465002,0.008985146865860317,0.017970293731720634
308.0,268.0813621184011,268.1073291358683,0.5,20.512640400046134,20.059294015305568,14.226851913604591,-660.7121123371608,763.3861065553059,165.43333491772324,0.025967017467200867,0.051934034934401734
309.0,268.88710055451145,268.9299790372681,0.5,20.537524890948724,20.086971808296276,14.275944438182353,-661.5136417467364,764.4394259100696,166.00419487393484,0.04287848275666948,0.08575696551333896
310.0,269.68759940921757,269.74731353321164,0.5,20.562211549271836,20.114427087927282,14.324760092333882,-662.308798969264,765.4842771897762,166.57183531269945,0.05971412399404496,0.11942824798808992
311.0,270.48290110518104,270.559369774929,0.5,20.586702327908036,20.141662079292686,14.37330019824044,-663.0976469074099,766.5207450736727,167.13627160866614,0.07646866974796121,0.15293733949592242
