T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,B_GPa,gamma_model_dimensionless,residual_1e-8_per_K,z
305.0,265.63228012036257,276.7508999197571,0.5,20.1726,janaf_interp,98.0,0.16212817150422248,11.11861979939454,22.23723959878908
306.0,266.45399515297316,277.56185763963833,0.5,20.19712,janaf_interp,98.0,0.16240584654254625,11.107862486665155,22.21572497333031
307.0,267.27034134653985,278.3670899950514,0.5,20.22164,janaf_interp,98.0,0.1626795022447576,11.096748648511555,22.19349729702311
308.0,268.0813621184011,279.166660289487,0.5,20.24616,janaf_interp,98.0,0.1629491901643955,11.085298171085935,22.17059634217187
309.0,268.88710055451145,279.96063146655695,0.5,20.270680000000002,janaf_interp,98.0,0.16321496139574962,11.073530912045541,22.147061824091082
310.0,269.68759940921757,280.7490661011012,0.5,20.2952,janaf_interp,98.0,0.16347686657145646,11.061466691883666,22.122933383767332
311.0,270.48290110518104,281.5320263907251,0.5,20.31972,janaf_interp,98.0,0.16373495586036263,11.049125285544067,22.098250571088133
312.0,271.2730477334412,282.3095741477557,0.5,20.34424,janaf_interp,98.0,0.16398927896564755,11.03652641431452,22.07305282862904
313.0,272.05808105361103,283.0817707916086,0.5,20.36876,janaf_interp,98.0,0.1642398851231975,11.023689737997573,22.047379475995147
314.0,272.8380424941982,283.8486773415527,0.5,20.39328,janaf_interp,98.0,0.16448682310022242,11.010634847354495,22.02126969470899
315.0,273.6129731530472,284.61035440986575,0.5,20.4178,janaf_interp,98.0,0.16473014119410823,10.997381256818555,21.99476251363711
316.0,274.3829137978943,285.366862195368,0.5,20.44232,janaf_interp,98.0,0.1649698872314966,10.983948397473752,21.967896794947503
317.0,275.14790486703,286.1182604773261,0.5,20.46684,janaf_interp,98.0,0.16520610856758483,10.970355610296084,21.940711220592167
318.0,275.9079864700639,286.86460860971624,0.5,20.49136,janaf_interp,98.0,0.16543885208563802,10.956622139652318,21.913244279304635
319.0,276.6631983887873,287.60596551583797,0.5,20.51588,janaf_interp,98.0,0.16566816419670652,10.94276712705066,21.88553425410132
320.0,277.41358007812505,288.3423896832688,0.5,20.5404,janaf_interp,98.0,0.16589409083954176,10.928809605143732,21.857619210287464
321.0,278.1591706671763,289.0739391591493,0.5,20.56492,janaf_interp,98.0,0.16611667748070266,10.914768491973051,21.829536983946102
322.0,278.900008960336,289.8006715457923,0.5,20.58944,janaf_interp,98.0,0.16633596911484674,10.900662585456299,21.801325170912598
323.0,279.6361334384941,290.5226439966031,0.5,20.61396,janaf_interp,98.0,0.1665520102651982,10.886510558108988,21.773021116217976
324.0,280.3675822603074,291.2399132123058,0.5,20.63848,janaf_interp,98.0,0.16676484498418742,10.872330951998386,21.74466190399677
325.0,281.09439326354124,291.9525354374643,0.5,20.663,janaf_interp,98.0,0.1669745168542546,10.858142173923017,21.716284347846035
326.0,281.81660396647504,292.6605664572902,0.5,20.68752,janaf_interp,98.0,0.16718106898881172,10.843962490815171,21.687924981630342
327.0,282.53425156937,293.36406159472966,0.5,20.712040000000002,janaf_interp,98.0,0.16738454403335634,10.829810025359635,21.65962005071927
328.0,283.2473729559931,294.06307570781945,0.5,20.73656,janaf_interp,98.0,0.16758498416673184,10.815702751826361,21.631405503652722
329.0,283.9560046951965,294.75766318730615,0.5,20.76108,janaf_interp,98.0,0.16778243110252736,10.801658492109633,21.603316984219266
330.0,284.6601830425467,295.44787795451805,0.5,20.7856,janaf_interp,98.0,0.1679769260906124,10.787694911971368,21.575389823942736
