Z,N,A,symbol,parity,is_magic_any,A13,I_asym,radius_rms_obs_fm,sigma_radius_rms_obs_fm,weight,radius_source_merge,n_iaea_measurements,J_from_obs_radius_MeV,J_stored_MeV,J_rel_diff,B_obs_MeV,C_required,radius_pred_a13_fm,radius_pred_a13_i_fm,resid_radius_a13_fm,resid_radius_a13_i_fm,A_band,neutron_skin_proxy_fm,B_pred_from_radius_a13_MeV,B_pred_from_radius_a13_i_MeV,resid_B_from_radius_a13_MeV,resid_B_from_radius_a13_i_MeV
10,10,20,Ne,ee,False,2.7144176165949063,0.0,3.0055,0.0021,226757.3696145125,main,1,1.51577197387216,1.51577197387216,0.0,160.644824,52.991091921834396,2.5861042023544045,2.7239070519832143,0.41939579764559554,0.2815929480167858,A_17_40,0.0,235.60519537650814,207.74803952874828,74.96037137650814,47.10321552874828
11,9,20,Na,oo,False,2.7144176165949063,-0.1,2.9718,0.042,566.8934240362811,main,1,1.5631409767969517,1.5631409767969517,0.0,145.970056,46.69126398922404,2.5861042023544045,2.898487416045089,0.3856957976455955,0.07331258395491114,A_17_40,0.0,207.59535189016418,156.07633375496002,61.62529589016418,10.106277754960018
10,11,21,Ne,eo,False,2.7589241763811203,0.047619047619047616,2.9695000000000005,0.0033,91827.36455463729,main,1,1.5664273229912116,1.5664273229912127,-7.087612737149533e-16,167.4059856,53.435605706980866,2.6285068896165993,2.6854356972418953,0.3409931103834012,0.2840643027581051,A_17_40,0.08313350669613079,228.55844132342472,216.9807642422068,61.15245572342471,49.57477864220678
11,10,21,Na,oe,False,2.7589241763811203,-0.047619047619047616,3.0136,0.0284,1239.8333663955564,main,1,1.504602184443025,1.504602184443025,0.0,163.0767201,54.19263702596839,2.6285068896165993,2.8517027106341573,0.38509311038340055,0.16189728936584258,A_17_40,0.0,231.7964676545869,189.0579450877815,68.71974755458692,25.981224987781502
12,9,21,Mg,eo,False,2.7589241763811203,-0.14285714285714285,3.0626,0.0067,22276.676319893068,preliminary,1,1.438765292085953,2.151681376468212,-0.33132976479651716,149.2056657,34.67187738198195,2.6285068896165993,3.0179697240264187,0.4340931103834009,0.04463027597358149,A_17_40,0.0,148.30093431779756,103.91928683626631,-0.9047313822024421,-45.28637886373369
10,12,22,Ne,ee,False,2.802039330655387,0.09090909090909091,2.9525,0.004,62500.0,main,1,1.59093293423886,1.59093293423886,0.0,177.7702432,55.86981052882958,2.669583944588601,2.6531256642392136,0.2829160554113992,0.29937433576078654,A_17_40,0.15870942187443152,230.17277997578742,233.6580553682784,52.40253677578741,55.8878121682784
11,11,22,Na,oo,False,2.802039330655387,0.0,2.9851999999999994,0.0169,3501.277966457758,main,1,1.5441310755883502,1.5441310755883497,2.8759813002329114e-16,174.14457280000002,56.38918079983816,2.669583944588601,2.811835086113645,0.3156160554113985,0.17336491388635444,A_17_40,0.0,232.31248472837711,204.0142859503263,58.167911928377094,29.869713150326277
12,10,22,Mg,ee,False,2.802039330655387,-0.09090909090909091,3.0688,0.0052,36982.24852071006,preliminary,1,1.430642897865989,2.0726667255786277,-0.3097573863609956,168.58081900000002,40.66761359160074,2.669583944588601,2.9705445079880763,0.39921605541139904,0.09825549201192363,A_17_40,0.0,167.54267800012806,127.28426455087529,-1.0381409998719562,-41.29655444912473
10,13,23,Ne,eo,False,2.8438669798515654,0.13043478260869565,2.9104,0.0071,19837.333862328902,main,1,1.6532833884861655,1.6532833884861655,0.0,182.9708903,55.33561020882751,2.709434356220006,2.6260954438318174,0.20096564377999426,0.28430455616818273,A_17_40,0.22771351834157566,219.82553991110106,237.20701586908262,36.85464961110105,54.23612556908262
11,12,23,Na,oe,False,2.8438669798515654,0.043478260869565216,2.9936,0.0021,226757.3696145125,main,1,1.5323324849471986,1.5323324849471986,0.0,186.5643528,60.87593738066209,2.709434356220006,2.7779044560595345,0.284165643779994,0.2156955439404653,A_17_40,0.07590450611385854,241.83497302725362,227.17795777005156,55.27062022725363,40.61360497005157
12,11,23,Mg,eo,False,2.8438669798515654,-0.043478260869565216,3.0425,0.0039,65746.21959237344,preliminary,1,1.4654160025488296,1.9987855548655693,-0.26684681156434115,181.72582670000003,45.45906044238503,2.709434356220006,2.929713468287251,0.33306564377999415,0.11278653171274877,A_17_40,0.0,180.59008417701526,147.68578228904593,-1.1357425229847706,-34.040044410954096
