T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_basis_low_J_per_molK,contrib_basis_low_1e-8_per_K,Cv_basis_mid_J_per_molK,contrib_basis_mid_1e-8_per_K,Cv_basis_high_J_per_molK,contrib_basis_high_1e-8_per_K
78.0,-47.49389943201553,-46.88166160868578,0.5,0.6122378233297492,1.2244756466594984,3.063376373212281,-99.1308035448269,1.5368019439426437,41.53583075064594,0.23379783374790683,10.713311185495158
79.0,-47.362379183002,-46.78719729054643,0.5,0.5751818924555665,1.150363784911133,3.1102697742346304,-100.6482731463244,1.5758130929230905,42.59020245275549,0.24596557875040959,11.270873403022472
80.0,-47.17952825599982,-46.643236977371366,0.5,0.5362912786284556,1.0725825572569112,3.1564662074689016,-102.14318888291609,1.615028926782766,43.650106264278605,0.25860055712057156,11.849845641266135
81.0,-46.94608362499685,-46.44995759982507,0.5,0.49612602517178406,0.9922520503435681,3.201972337796779,-103.61576643005169,1.6544424144663696,44.71535215375148,0.2717077614690341,12.450456676475145
82.0,-46.66278226398362,-46.20758833657818,0.5,0.45519392740544035,0.9103878548108807,3.2467952918746477,-105.06623640620181,1.694046372534032,45.785745971144706,0.2852914601753512,13.072902098478917
83.0,-46.33036114693441,-45.91640863763575,0.5,0.41395250929865957,0.8279050185973191,3.2909425968160755,-106.49484238862412,1.7338334668519755,46.861089493557486,0.29935519622576917,13.717344257430884
84.0,-45.94955724778184,-45.576746212853166,0.5,0.3728110349286762,0.7456220698573524,3.3344221242926175,-107.90183910446656,1.7737962164312275,47.94118052896824,0.3139017893701501,14.383912362645159
85.0,-45.521107540370274,-45.18897499055531,0.5,0.3321325498149653,0.6642650996299306,3.3772420396477862,-109.28749078409619,1.8139269991344962,49.02581307047687,0.32893334136972274,15.072702723064033
86.0,-45.04574899837457,-44.753513051667106,0.5,0.2922359467074676,0.5844718934149352,3.419410755643131,-110.65206966432328,1.854218058989597,50.114777493968035,0.34445124410284494,15.783779118688132
87.0,-44.5242185951673,-44.270820545094196,0.5,0.2533980500730986,0.5067961001461972,3.460936890478407,-111.99585462993464,1.8946615148661592,51.207860792620345,0.36045619029420145,16.51717329222009
88.0,-43.95725330361309,-43.741397590311784,0.5,0.21585571330130454,0.4317114266026091,3.501829229750793,-113.31912998269469,1.9352493702906184,52.30484684218051,0.3769481866335044,17.272885550202382
89.0,-43.34559009576302,-43.1657821732118,0.5,0.1798079225512195,0.359615845102439,3.542096692039771,-114.62218432767276,1.9759735241923901,53.405516691405005,0.39392656905251777,18.050885463055977
90.0,-42.689965942416706,-42.54454804126817,0.5,0.1454179011485312,0.2908358022970624,3.581748297825635,-115.90530956744657,2.016825782391569,54.50964887254319,0.4113900199337824,18.851112653635205
91.0,-41.99111781251263,-41.878302603987876,0.5,0.11281520852475439,0.22563041704950879,3.620793141469484,-117.16879999537535,2.0577978696554466,55.6170197271942,0.4293365870305039,19.673477664193253
92.0,-41.24978267230061,-41.167684844470735,0.5,0.08209782782987934,0.1641956556597587,3.6592403660019652,-118.412951479764,2.0988814421671846,56.727403743303384,0.4477637038844291,20.517862891989875
93.0,-40.46669748424253,-40.41336324767683,0.5,0.053334236565704796,0.10666847313140959,3.6970991404859785,-119.63806073132073,2.1400681002655997,57.84057389948608,0.46666821153693133,21.38412358415783
94.0,-39.642599205578875,-39.616033750750184,0.5,0.026565454828691434,0.05313090965738287,3.734378639736004,-120.84442464687469,2.18134940132946,58.95630201325722,0.486046381337754,22.272088882867266
95.0,-38.77822478649051,-38.77641772043522,0.5,0.001807066055293608,0.003614132110587216,3.7710880261926176,-122.03233972283569,2.2227168726936406,60.07435909012212,0.505893938665705,23.18156291227836
96.0,-37.87431116777472,-37.8952599623024,0.5,-0.020948794527682314,-0.04189758905536463,3.8072364337662616,-123.20210153237907,2.264162024497367,61.19451567083156,0.5262060873859052,24.11232589924513
97.0,-36.93159527794545,-36.973326766141795,0.5,-0.04173148819634715,-0.0834629763926943,3.8428329534783927,-124.35400426079327,2.3056763623769028,62.31654217443278,0.5469775348787924,25.064135320218714
98.0,-35.95081402965632,-36.011403991518804,0.5,-0.060589961862485164,-0.12117992372497033,3.8778866207415166,-125.48834029386212,2.3472513999262854,63.44020923505132,0.5682025174868482,26.03672706729199
99.0,-34.93270431533442,-35.010295197116285,0.5,-0.07759088178186918,-0.15518176356373836,3.9124064041322137,-126.60539985456015,2.388878670860167,64.56528803062156,0.5898748262358187,27.029816626822303
100.0,-33.87800300190036,-33.97081981710519,0.5,-0.09281681520482579,-0.18563363040965158,3.9464011955227005,-127.70547068371,2.430549740822429,65.69155060204335,0.6119878326979443,28.04310026456147
101.0,-32.78744692443848,-32.89151253095368,0.5,-0.10406560651520921,-0.20813121303041843,3.980115952486208,-128.79647960391213,2.472461148834343,66.82430889699843,0.6346305794522262,29.080658175960018
102.0,-31.661772878667538,-31.77506911873752,0.5,-0.1132962400699797,-0.2265924801399594,4.013319766485691,-129.87095441912075,2.5144029132413,67.95788764776545,0.6577050216016732,30.13799765261779
103.0,-30.501717612048825,-30.622347768448908,0.5,-0.12063015640008296,-0.2412603128001659,4.0460212610141175,-130.92917418541097,2.556366710752258,69.09206189704958,0.6812034299523856,31.21476451991248
104.0,-29.308017813354557,-29.434216459965256,0.5,-0.1261986466106988,-0.2523972932213976,4.078228958521152,-131.97141468909845,2.598344288318253,70.22660858601989,0.7051177488342786,32.31058964311329
105.0,-28.081410100504645,-28.211551380594297,0.5,-0.13014128008965237,-0.26028256017930473,4.109951275271739,-132.9979482803632,2.6403274727643073,71.36130681463533,0.729439621366854,33.42509008513358
106.0,-26.82263100646448,-26.955235399203612,0.5,-0.13260439273913519,-0.26520878547827037,4.141196516991309,-134.00904373232865,2.682308179909422,72.49593808813468,0.7541604143039331,34.55787024499035
107.0,-25.53241696298056,-25.666156599916825,0.5,-0.13373963693626542,-0.26747927387253084,4.171972875221714,-135.00496612313964,2.72427842316269,73.63028654936765,0.7792712423893654,35.70852297385514
108.0,-24.21150428191423,-24.34520687608141,0.5,-0.13370259416718247,-0.26740518833436494,4.202288424318815,-135.98597673880454,2.766230321588088,74.76413919676556,0.8047629921639415,36.876630665957556
109.0,-22.86062913391679,-22.993280584925785,0.5,-0.13265145100899176,-0.2653029020179835,4.232151119028199,-136.95233299474538,2.8081561074345474,75.89728608785991,0.8306263451715389,38.06176632195968
110.0,-21.48052752417128,-21.611273263072054,0.5,-0.13074573890077323,-0.26149147780154647,4.261568792581168,-137.9042883741842,2.8500481331315703,77.02952052835604,0.8568518005198575,39.26349458275612
111.0,-20.07193526490828,-20.200080402833592,0.5,-0.1281451379253144,-0.2562902758506288,4.290549155258084,-138.84209238165283,2.89189887775374,78.16063924685228,0.8834296967579425,40.48137273196696
112.0,-18.635587944384035,-18.76059628900638,0.5,-0.12500834462234398,-0.25001668924468795,4.319099793370817,-139.76599051006497,2.933700952960334,79.29044255537262,0.9103502330391096,41.71495166568596
113.0,-17.172220891989664,-17.293712895665756,0.5,-0.12149200367609145,-0.2429840073521829,4.347228168620292,-140.6762242199264,2.9754471084185736,80.41873449594314,0.937603489543825,42.96377682831753
114.0,-15.682569139140362,-15.800318842294777,0.5,-0.11774970315441563,-0.23549940630883126,4.374941617789005,-141.57303092938483,3.0171302367211967,81.54532297350158,0.96517944714259,44.22738911358847
115.0,-14.167367375572635,-14.28129840841035,0.5,-0.11393103283771579,-0.22786206567543157,4.4022473527320045,-142.45664401393807,3.058743377810754,82.67001987547474,0.9930680062839552,45.505325730052974
116.0,-12.62734990065664,-12.73753060570636,0.5,-0.11018070504971862,-0.22036141009943724,4.429152460633148,-143.3272928147264,3.100279722924487,83.79264117839834,1.0212590050974315,46.79712103062172
117.0,-11.063250569308558,-11.169888306598915,0.5,-0.1066377372903577,-0.2132754745807154,4.455663904496415,-144.18520265443163,3.1417326180750016,84.91300704199091,1.0497422367053304,48.102307305841784
118.0,-9.475802732065834,-9.579237427950675,0.5,-0.10343469588484222,-0.20686939176968444,4.48178852384485,-145.0305948598946,3.183095567082746,86.03094189111378,1.0785074657414089,49.42041554083011
119.0,-7.865739168864852,-7.966436168647727,0.5,-0.10069699978287508,-0.20139399956575016,4.507533035602322,-145.8636867906492,3.224362234177307,87.14627448607759,1.1075444440777078,50.7509761359239
