T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv1_J_per_molK,Cv2_J_per_molK,alpha1_1e-8_per_K,alpha2_1e-8_per_K,residual_1e-8_per_K,z
354.0,300.31339060811337,303.3517470642307,0.5,21.478971538740357,21.92064106480491,3430.9948110493997,-3127.6430639851687,3.038356456117399,6.076712912234798
355.0,300.9171386014959,303.9367447968458,0.5,21.496482990931153,21.936145912430195,3433.792044682872,-3129.8552998860264,3.0196061953499216,6.039212390699843
356.0,301.5172720445864,304.51783146699574,0.5,21.51386725133255,21.951535774140883,3436.5689610321274,-3132.0511295651318,3.0005594224093466,6.001118844818693
357.0,302.1138194648871,305.0950386632727,0.5,21.53112549184387,21.966811740540045,3439.325747293303,-3134.23070863003,2.981219198385585,5.96243839677117
358.0,302.7068091329911,305.6683977034955,0.5,21.54825887168535,21.98197488993367,3442.0625886372113,-3136.394190933716,2.961588570504399,5.923177141008798
359.0,303.2962690647301,306.2379396365614,0.5,21.565268537549155,21.99702628848677,3444.7796682334642,-3138.541728596903,2.941670571831318,5.883341143662636
360.0,303.8822270233196,306.80369524434434,0.5,21.58215562374828,22.01196699037674,3447.477167274256,-3140.673472029912,2.921468221024689,5.842936442049378
361.0,304.46471052150133,307.36569504358124,0.5,21.598921252363994,22.02679803794525,3450.155264997917,-3142.789569954336,2.9009845220799133,5.801969044159827
362.0,305.04374682368086,307.9239692877229,0.5,21.615566533390997,22.041520461847767,3452.814138712103,-3144.89016942438,2.8802224640420504,5.760444928084101
363.0,305.6193629480609,308.47854796886224,0.5,21.63209256488137,22.05613528120119,3455.4539638167844,-3146.9754158479222,2.859185020801383,5.718370041602766
364.0,306.19158566876916,309.02946081963717,0.5,21.64850043308649,22.07064350372941,3458.07491382692,-3149.0454530072825,2.837875150867983,5.675750301735966
365.0,306.76044151798,309.5767373150995,0.5,21.664791212597144,22.085046125907063,3460.6771603948337,-3151.1004230797344,2.816295797119505,5.63259159423901
366.0,307.3259567880295,310.1204066746475,0.5,21.68096596648213,22.099344133101155,3463.260873332359,-3153.1404666577114,2.794449886618016,5.588899773236032
367.0,307.8881575335232,310.66049786393626,0.5,21.697025746425243,22.113538499711048,3465.826220632719,-3155.165722768783,2.7723403304130194,5.544680660826039
368.0,308.44706957343635,311.1970395967904,0.5,21.71297159286026,22.127630189306167,3468.3733684920876,-3157.176328895297,2.7499700233540456,5.499940046708091
369.0,309.00271849320575,311.7300603370955,0.5,21.72880453510451,22.14162015476229,3470.902481330925,-3159.1724209938297,2.727341843889739,5.454683687779478
370.0,309.55512964681265,312.2595883007469,0.5,21.74452559149091,22.155509338395696,3473.4137218150736,-3161.154133514327,2.7044586539342372,5.4089173078684745
371.0,310.1043281588568,312.78565145752196,0.5,21.760135769498,22.16929867209564,3475.9072508765225,-3163.121599419,2.6813232986651965,5.362646597330393
372.0,310.6503389266209,313.30827753302896,0.5,21.775636065878846,22.182989077454987,3478.383227734004,-3165.074950200975,2.657938606408086,5.315877212816172
373.0,311.1931866221248,313.82749401059226,0.5,21.791027466788034,22.19658146589919,3480.8418099132737,-3167.0143159026816,2.634307388467418,5.268614776934836
374.0,311.7328956941695,314.3433281331881,0.5,21.80631094790723,22.210076738813306,3483.2831532671753,-3168.939825133987,2.610432439018622,5.220864878037244
375.0,312.26949037037036,314.85580690532333,0.5,21.821487474569224,22.22347578766766,3485.707411995445,-3170.8516050901217,2.5863165349529984,5.172633069905997
376.0,312.8029946591796,315.3649570949521,0.5,21.83655800188017,22.236779494141302,3488.114738664246,-3172.749781569294,2.561962435772515,5.12392487154503
377.0,313.3334323518966,315.87080523536656,0.5,21.85152347484084,22.249988730244507,3490.5052842255336,-3174.634478990167,2.5373728834699927,5.074745766939985
378.0,313.86082702466757,316.37337762711456,0.5,21.866384828465925,22.263104358438863,3492.879198036112,-3176.505820408998,2.5125506024469897,5.025101204893979
379.0,314.38520204047256,316.8727003398733,0.5,21.881142987901963,22.2761272317562,3495.236627876473,-3178.3639275366,2.4874982994007198,4.9749965988014395
380.0,314.9065805511007,317.368799214337,0.5,21.89579886854405,22.289058193916,3497.5777199694376,-3180.2089207551003,2.4622186632362566,4.924437326472513
381.0,315.424985499113,317.8616998640875,0.5,21.910353376150653,22.30189807944085,3499.9026189984984,-3182.0409191344106,2.436714364974464,4.873428729948928
382.0,315.940439619792,318.35142767750756,0.5,21.924807406957434,22.314647713770437,3502.211468125998,-3183.8600404484905,2.410988057715529,4.821976115431058
383.0,316.45296544307956,318.83800781959707,0.5,21.93916184778955,22.327307913374558,3504.5044090110714,-3185.666401191474,2.385042376517541,4.770084753035082
384.0,316.9625852955006,319.32146523387587,0.5,21.95341757617225,22.339879485863612,3506.7815818273098,-3187.460116593434,2.35887993837523,4.71775987675046
385.0,317.4693213020746,319.8018246442218,0.5,21.967575460440607,22.352363230098533,3509.0431252802887,-3189.241300636067,2.3325033421472074,4.665006684294415
386.0,317.97319538821296,320.279110556711,0.5,21.981636359847368,22.36475993629869,3511.2891766247994,-3191.0100660680887,2.3059151684980286,4.611830336996057
387.0,318.47422928160364,320.75334726149447,0.5,21.995601124670074,22.377070386148592,3513.5198716819536,-3192.766524420459,2.279117979890824,4.558235959781648
388.0,318.9724445140812,321.22455883457707,0.5,22.00947059631609,22.38929535290308,3515.7353448559666,-3194.51078602139,2.2521143204959033,4.504228640991807
389.0,319.4678624234843,321.6927691396708,0.5,22.023245607426897,22.40143560149104,3517.935729150815,-3196.242960011144,2.2249067161865224,4.449813432373045
390.0,319.96050415549826,322.1580018300372,0.5,22.03692698198107,22.413491888617806,3520.1211561866826,-3197.963154356645,2.197497674538966,4.394995349077932
