T_K,k_RRR50_W_mK,k_RRR100_W_mK,k_RRR150_W_mK,k_RRR300_W_mK,k_RRR500_W_mK
8.283659541532105,644.5684596301651,1282.622520895403,1909.9286243119361,3742.6504308071917,6066.065514080427
8.343582420275181,649.2701098991628,1291.8097700381923,1923.1836649831105,3764.7836345719625,6099.150802358629
8.403938773061808,654.0047455132293,1301.0537377801177,1936.5056928983947,3786.940589743762,6132.151566581957
8.464731735584904,658.77237919605,1310.3540663658166,1949.8936774550446,3809.118438754295,6165.059146705713
8.525964466220561,663.5730174421043,1319.7103747735086,1963.3465436913627,3831.3142490381188,6197.8647367065005
8.58764014619215,668.40666035914,1329.1222582301857,1976.8631715345111,3853.52501193133,6230.5593861005855
8.649761979735576,673.2733015082154,1338.5892877239653,1990.4423950517007,3875.7476415761057,6263.134001619009
8.712333194265755,678.1729277412866,1348.1110095136767,2004.0830017053127,3897.978973832188,6295.579349043826
8.775357040544295,683.1055190363134,1357.6869446359826,2017.7837316128534,3920.21576519692,6327.8860552061715
8.83883679284837,688.0710483298468,1367.3165884101304,2031.5432768122203,3942.454691734837,6360.044610151777
8.90277574914084,693.0694813470891,1376.999409940622,2045.3602805331484,3964.6923480185733,6392.045369473205
8.967177231241577,698.1007764293817,1386.734851618097,2059.2333364754854,3986.925246082378,6423.878556814479
9.032044585000058,703.1648843590983,1396.52232861837,2073.1609880951796,4009.149814389662,6455.53426654741
9.097381180469183,708.2617481818947,1406.3612284002493,2087.141727898485,4031.3623968167344,6487.002466623834
9.163190412080358,713.3913030263118,1416.2509102020913,2101.1739967456624,4053.5592516536367,6518.273001604838
9.229475698819856,718.5534759206747,1426.1907045374057,2115.2561831645194,4075.7365506244482,6549.335595868504
9.29624048440643,723.7481856072807,1436.1799126899227,2129.3866226747214,4097.890377928708,6580.179856997958
9.363488237470234,728.9753423538098,1446.2178062081744,2143.563597124099,4120.016729305555,6610.795279351506
9.431222451733024,734.234847761962,1456.3036263999843,2157.7853340373163,4142.111511123072,6641.171247814719
9.499446646189678,739.5265945732655,1466.4365838272124,2172.0500059780597,4164.170539494401,6671.297041737279
9.568164365290999,744.850466471999,1476.6158578009022,2186.3557299257095,4186.1895394230905,6701.161839053043
9.63737917912787,750.206337885272,1486.8405958772444,2200.700566667261,4208.164143979518,6730.754720585261
9.707094683616738,755.5940737801238,1497.1099133546684,2215.082520205406,4230.089893510936,6760.064674537309
9.777314500686426,761.0135294576835,1507.4228927722988,2229.4995371840987,4251.962234887551,6789.080601167462
9.848042278466293,766.4645503443186,1517.7785834102917,2243.94950633203,4273.776520786523,6817.791317648473
9.919281691475788,771.9469717797513,1528.1760007920936,2258.430257925439,4295.5280090170745,6846.18556311136
9.99103644081533,777.4606188021077,1538.614126189357,2272.9395632711876,4317.211861888825,6874.252003872286
10.063310254358603,783.0053059298248,1549.0919061295378,2287.475134210824,4338.823145626199,6901.979238840618
10.136106886946228,788.5808369404477,1559.6082519067515,2302.0346226472298,4360.356829831453,6929.355805108639
10.20943012058084,794.1870046462087,1570.1620390962225,2316.6156200942487,4381.807786999507,6956.3701837193685
10.283283764623576,799.8235906663987,1580.7521070726054,2331.215657250978,4403.1707920871295,6983.010805610938
10.357671655991963,805.4903651964926,1591.3772585328643,2345.83220360135,4424.440522139592,7009.266057736204
10.432597659359294,811.1870867739362,1602.036259023735,2360.4626670403322,4445.611555977747,7035.1242893533545
10.508065667355366,816.913502040638,1612.727836474561,2375.1043935277894,4466.67837394903,7060.573818485916
10.584079600768757,822.6693455020783,1623.450680735756,2389.7546667710803,4487.635357745018,7085.602938548066
10.660643408750493,828.454339282997,1634.203443123232,2404.4107079376417,4508.476790289376,7110.1999251323
10.737761069019234,834.268192879661,1644.9847359696323,2419.0696753984853,4529.196855699323,7134.3530429547545
10.815436588067902,840.1106029086491,1655.7931321823307,2433.728664504011,4549.789639323931,7158.050552955327
10.893674001371874,845.9812528521102,1666.6271648091304,2448.3847073930724,4570.249127863155,7181.280719546522
10.972477373598604,851.8798127995105,1677.4853266119148,2463.0347728365964,4590.569209570823,7204.031818007506
11.051850798818792,857.8059391857795,1688.3660696487705,2477.675766116871,4610.743674545287,7226.292142016747
11.131798400719113,863.7592745258471,1699.2678048651467,2492.3045289435986,4630.766215111961,7248.050011320338
11.212324332816424,869.7394471455923,1710.1889016946698,2506.9178394081846,4650.630426300595,7269.293779526662
11.293432778673578,875.7460709090782,1721.1276876699005,2521.512411976954,4670.329806422088,7290.01184202443
11.375127952116738,881.7787449421407,1732.0824480439126,2536.0848975251206,4689.8577577481765,7310.192644016853
11.45741409745434,887.8370533522573,1743.0514254229938,2550.6318834120125,4709.207587298036,7329.824688663321
11.540295489697554,893.9205649446766,1754.0328194112208,2565.149893599408,4728.372507736086,7348.896545325311
11.623776434782426,900.0288329348633,1765.024786267401,2579.6353888136537,4747.345638384624,7367.396857905312
11.707861269793558,906.1613946571035,1776.0254385751205,2594.0847667531075,4766.120006355655,7385.314353274781
11.792554363189431,912.3177712694335,1787.032844926385,2608.4943623418585,4784.688547806103,7402.6378497799415
