Z,N,A,symbol,parity,is_magic_any,B_obs_MeV,B_pred_before_MeV,resid_before_MeV,delta_n_3pt_MeV,delta_p_3pt_MeV,pairing_correction_MeV,B_pred_after_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
4,2,6,Be,ee,True,26.923486800000003,48.72012909495933,21.79664229495933,8.078066350000002,1.3026863000000048,-9.601669426620663,58.32179852157999,31.39831172157999,21.79664229495933,31.39831172157999
5,1,6,B,oo,False,-2.802,48.72012909495933,51.52212909495933,nan,nan,0.0,48.72012909495933,51.52212909495933,51.52212909495933,51.52212909495933
1,6,7,H,oe,False,6.58,53.79999760193616,47.219997601936164,nan,nan,0.0,53.79999760193616,47.219997601936164,47.219997601936164,47.219997601936164
2,5,7,He,eo,True,28.8614046,53.79999760193616,24.938593001936162,1.472239100000003,5.3376365,7.401808973770226,46.39818862816594,17.53678402816594,24.938593001936162,17.53678402816594
3,4,7,Li,oe,False,39.245080699999995,30.372947810919797,-8.872132889080198,2.6092374999999954,3.640221400000005,2.675547760050093,27.697400050869703,-11.547680649130292,8.872132889080198,11.547680649130292
4,3,7,Be,eo,False,37.6008409,25.256932649473086,-12.343908250526916,4.110644899999999,2.7352269000000007,-1.1673981894365548,26.42433083890964,-11.176510061090362,12.343908250526916,11.176510061090362
5,2,7,B,oe,True,24.9109385,53.79999760193616,28.889059101936162,7.443318099999999,0.9569016999999995,-9.283995787677942,63.08399338961411,38.17305488961411,28.889059101936162,38.17305488961411
2,6,8,He,ee,True,31.396168000000003,56.97544488227716,25.579276882277156,1.894794700000002,5.436209750000002,6.954160007522204,50.021284874754954,18.62511687475495,25.579276882277156,18.62511687475495
3,5,8,Li,oo,False,41.2776992,39.00076865823465,-2.2769305417653527,1.0147993999999976,2.23501495,2.5106151085153665,36.49015354971928,-4.78754565028072,2.2769305417653527,4.78754565028072
4,4,8,Be,ee,False,56.4994848,58.19907367808076,1.6995888780807604,8.617052499999996,8.7201236,2.911414832452646,55.287658845628116,-1.2118259543718821,1.6995888780807604,1.2118259543718821
5,3,8,B,oo,False,37.7372408,58.19907367808076,20.461832878080756,2.875049299999997,0.5815844999999982,-3.2056687978861316,61.40474247596689,23.66750167596689,20.461832878080756,23.66750167596689
6,2,8,C,ee,True,24.812193599999997,58.19907367808076,33.386880078080765,nan,nan,0.0,58.19907367808076,33.386880078080765,33.386880078080765,33.386880078080765
2,7,9,He,eo,True,30.141342,62.047948666213706,31.906606666213705,0.5324120000000008,nan,-0.78689175944728,62.834840425660985,32.693498425660984,31.906606666213705,32.693498425660984
3,6,9,Li,oe,False,45.3399165,48.56711657217492,3.2272000721749166,2.0443108999999993,2.8463205000000045,2.0859363270694535,46.48118024510546,1.1412637451054621,3.2272000721749166,1.1412637451054621
4,5,9,Be,eo,False,58.1640237,37.81666517541868,-20.347358524581324,2.5738717000000015,5.1497566000000035,5.436495540267581,32.3801696351511,-25.783854064848903,20.347358524581324,25.783854064848903
5,4,9,B,oe,False,56.3136417,62.047948666213706,5.734306966213708,5.069603799999999,2.0963136999999996,-3.731168029606766,65.77911669582048,9.465474995820479,5.734306966213708,9.465474995820479
6,3,9,C,eo,False,39.0368097,62.047948666213706,23.011138966213707,3.529500099999998,1.949827299999999,-1.717784971467101,63.76573363768081,24.72892393768081,23.011138966213707,24.72892393768081
2,8,10,He,ee,True,29.951340000000002,65.44250210457197,35.49116210457197,nan,nan,0.0,65.44250210457197,35.49116210457197,35.49116210457197,35.49116210457197
3,7,10,Li,oo,False,45.313512,65.44250210457197,20.12899010457197,0.21104559999999495,2.4961300999999985,4.167082829824901,61.27541927474707,15.96190727474707,20.12899010457197,15.96190727474707
4,6,10,Be,ee,False,64.97630600000001,49.416567921459034,-15.559738078540974,3.155323050000007,4.203820100000009,2.8797564069038817,46.536811514555154,-18.439494485444854,15.559738078540974,18.439494485444854
5,5,10,B,oo,False,64.750835,46.242598384629325,-18.50823661537067,1.508513500000003,1.0516865000000024,-0.34242162976892665,46.58502001439825,-18.16581498560174,18.50823661537067,18.16581498560174
6,4,10,C,ee,False,60.320426,65.44250210457197,5.122076104571974,4.081511500000001,2.6923925000000004,-1.2012008857252372,66.64370299029721,6.323276990297217,5.122076104571974,6.323276990297217
7,3,10,N,oo,False,36.436724,65.44250210457197,29.005778104571974,nan,0.4750854500000017,0.8524832729952487,64.59001883157673,28.15329483157673,29.005778104571974,28.15329483157673
3,8,11,Li,oe,True,45.709198699999995,48.89519521974181,3.1859965197418134,0.30284329999999215,3.5908051000000114,5.995669744704024,42.899525475037784,-2.8096732249622107,3.1859965197418134,2.8096732249622107
4,7,11,Be,eo,False,65.4779422,49.75089970064115,-15.727042499358852,1.334544600000008,3.033844000000002,3.4714415507744953,46.279458149866656,-19.198484050133345,15.727042499358852,19.198484050133345
5,6,11,B,oe,False,76.2050553,52.40891908243416,-23.796136217565838,4.042295600000003,2.363965300000004,-1.7325635703074873,54.141482652741644,-22.063572647258354,23.796136217565838,22.063572647258354
6,5,11,C,eo,False,73.4410193,68.45549756807542,-4.985521731924578,2.800061300000003,4.044941800000004,3.1197366233486825,65.33576094472673,-8.105258355273264,4.985521731924578,8.105258355273264
7,4,11,N,oe,False,58.9424253,68.45549756807542,9.513072268075419,3.703403300000005,0.5096406999999985,-4.559049940656605,73.01454750873202,14.072122208732026,9.513072268075419,14.072122208732026
8,3,11,O,eo,True,34.7868092,68.45549756807542,33.668688368075415,nan,nan,0.0,68.45549756807542,33.668688368075415,33.668688368075415,33.668688368075415
