T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,Cv_debye_J_per_molK,A_eff_alpha_over_Cv_mol_per_J,residual_1e-8_per_K,rel_residual
264.0,226.74085414753603,275.7561256676366,19.187875684861087,1.1816881549135258e-07,49.01527152010056,0.21617309198371126
265.0,227.82385941414725,276.2720806672121,19.223777264080287,1.1851149557368058e-07,48.44822125306484,0.21265648548685914
266.0,228.89946601961975,276.78358803812756,19.259369364967455,1.1885096634367735e-07,47.88412201850784,0.20919280787838765
267.0,229.96772742578705,277.2906935599108,19.294655172989035,1.1918726992733374e-07,47.32296613412377,0.20578090092835039
268.0,231.02869705382648,277.7934425211384,19.32963783944974,1.1952044780803985e-07,46.76474546731188,0.20241963904776877
269.0,232.08242826515897,278.2918797234152,19.364320481769447,1.198505408354779e-07,46.20945145825621,0.1991079281774015
270.0,233.128974343342,278.7860494853894,19.398706183762545,1.201775892345232e-07,45.657075142047425,0.1958447047204253
271.0,234.16838847691133,279.2759956468073,19.43279799592012,1.205016326141375e-07,45.107607169895964,0.19262893451710927
272.0,235.20072374313054,279.7617615725955,19.46659893569398,1.208227099762487e-07,44.56103782946499,0.1894596118595765
273.0,236.22603309260796,280.2433901569708,19.50011198778265,1.211408597246057e-07,44.01735706436282,0.18633575854489604
274.0,237.24436933474325,280.7209238275751,19.533340104419068,1.2145611967359896e-07,43.47655449283189,0.1832564229648293
275.0,238.25578512396697,281.1944045496284,19.566286205659576,1.2176852705704117e-07,42.93861942566143,0.18022067923060092
276.0,239.2603329467382,281.6638738301033,19.5989531796744,1.220781185368968e-07,42.40354088336509,0.17722762633120864
277.0,240.25806510926708,282.1293727219068,19.631343883038618,1.223849302119601e-07,41.87130761263971,0.17427638732375972
278.0,241.2490337259306,282.5909418280795,19.663461141024353,1.2268899762646918e-07,41.34190810214894,0.17136610855451198
279.0,242.23329070835004,283.04862130600185,19.695307747893462,1.2299035577865416e-07,40.815330597651766,0.1684959589092715
280.0,243.21088775510202,283.5024508716035,19.726886467190436,1.2328903912921485e-07,40.29156311650148,0.16566512909188724
281.0,244.18187634203488,283.9524698035788,19.758200032035713,1.2358508160972217e-07,39.7705934615439,0.1628728309296621
282.0,245.14630771316288,284.3987169476025,19.789251145419033,1.2387851663093942e-07,39.25240923443962,0.16011829670454383
283.0,246.10423287211353,284.8412307205439,19.820042480492663,1.241693770910607e-07,38.73699784843034,0.15740077850899772
284.0,247.05570257410363,285.2800491146804,19.85057668086459,1.2445769538386183e-07,38.22434654057677,0.15471954762554604
285.0,248.0007673184192,285.7152097019002,19.88085636089095,1.2474350340676432e-07,37.714442383480986,0.15207389392895604
286.0,248.9394773413784,286.14674963790225,19.910884105968282,1.2502683256880533e-07,37.20727229652387,0.14946312531017483
287.0,249.87188260975526,286.57470566638824,19.94066247282521,1.2530771379851415e-07,36.70282305663298,0.14688656712109818
288.0,250.79803281464336,286.99911412323786,19.970193989812977,1.2558617755169443e-07,36.20108130859453,0.14434356163929551
289.0,251.71797736574055,287.4200109406782,19.99948115719555,1.2586225381910758e-07,35.70203357493763,0.14183346755191575
290.0,252.63176538603471,287.8374316514346,20.028526447438473,1.2613597213405823e-07,35.20566626539989,0.13935565945796155
291.0,253.53944570687383,288.25141139287155,20.05733230549697,1.2640736157987874e-07,34.711965685997704,0.13690952738821346
292.0,254.4410668634019,288.661984911109,20.085901149102394,1.2667645079731583e-07,34.22091804770711,0.13449447634205527
293.0,255.3366770903448,289.06918656512835,20.114235369047922,1.269432679918127e-07,33.732509474783555,0.13210992584057207
294.0,256.22632431813025,289.47305033085655,20.14233732947274,1.2720784094069058e-07,33.246726012726334,0.12975530949523845
295.0,257.110056169326,289.873609805227,20.170209368144604,1.2747019700022914e-07,32.76355363590096,0.12743007459157388
296.0,257.9879199553827,290.27089821022435,20.197853796741324,1.2773036311264213e-07,32.28297825484165,0.1251336816872076
297.0,258.8599626736669,290.6649483969038,20.225272901130378,1.2798836581295247e-07,31.804985723236875,0.12286560422374773
298.0,259.7262310047707,291.0557928493863,20.252468941646956,1.282442312357643e-07,31.32956184461564,0.12062532815193462
299.0,260.5867713100858,291.4434636888332,20.279444153370516,1.2849798512193213e-07,30.856692378747454,0.118412351569564
300.0,261.4416296296297,291.82799267739205,20.306200746399334,1.2874965282512936e-07,30.386363047762384,0.11622618437166686
