trajectory_id,collapse_time_s,collapse_state,final_expect_z,final_p0,final_p1,final_coherence_abs,final_pointer,final_pointer_mean,final_env,pointer_majority_sign,final_pointer_ch0,final_pointer_ch1,final_pointer_ch2
273,0.05,-1,-0.9996051983165092,0.0001974008417452433,0.9998025991582548,0.014048554183726115,-1.7344241214729623,-1.9189453461971178,0.493754184436642,-1,-1.7344241214729623,-2.044498217926195,-1.9779136991921957
274,0.0296,1,0.9998031443488538,0.9999015721744269,9.842782557310957e-05,0.009920591592050474,1.8236855828010377,1.849596259865142,0.2985777823269063,1,1.8236855828010377,1.7774897809428567,1.947613415851532
275,0.0228,1,0.9997459259630529,0.9998729629815266,0.00012703701847335228,0.011270354034780349,2.173355524594211,2.133756271484513,0.24351461925226747,1,2.173355524594211,1.9958726000385643,2.232040689820763
276,0.019200000000000002,1,0.9998953869053605,0.9999476934526802,5.230654731976997e-05,0.0072321373980917605,2.0272569048070648,2.089542161704754,-0.33828318421081066,1,2.0272569048070648,2.2700350855679985,1.9713344947391982
277,0.014400000000000001,1,0.9995910361379479,0.999795518068974,0.00020448193102595407,0.014298255773549371,2.068541165353038,1.9838140042108414,0.5061693915788366,1,2.068541165353038,1.789255376034236,2.093645471245251
278,0.0292,1,0.9993819883076827,0.9996909941538414,0.00030900584615857696,0.017575845969557673,1.745607832967619,1.8351364182122236,-0.1220982134733464,1,1.745607832967619,1.9233351974071091,1.8364662242619427
279,0.022000000000000002,1,0.9998787471059392,0.9999393735529695,6.062644703051389e-05,0.00778606264195417,2.3145835390404117,2.1691472045713724,0.18516226262055935,1,2.3145835390404117,2.042781459456762,2.150076615216945
280,0.06520000000000001,1,0.9963543905749113,0.9981771952874557,0.0018228047125443082,0.042655387649442766,1.6991269409721972,1.8406122488595604,-0.11873111729819566,1,1.6991269409721972,1.9924806876122176,1.8302291179942658
281,0.0528,-1,-0.9991863305121981,0.0004068347439010189,0.999593165256099,0.020166041490392483,-1.8815169768250506,-1.9349563262084803,0.5049738662649601,-1,-1.8815169768250506,-2.1050808690347447,-1.8182711327656456
282,0.0332,-1,-0.9997543630607267,0.0001228184696366874,0.9998771815303633,0.011081668884247168,-2.1861679157911156,-2.0173671473567634,0.16615100100675742,-1,-2.1861679157911156,-1.9787902545742222,-1.8871432717049523
283,0.048400000000000006,-1,-0.9995513261419758,0.00022433692901213664,0.9997756630709879,0.0149762011856905,-2.134430004860651,-2.1726924818145243,0.10992321479242478,-1,-2.134430004860651,-2.179410758487598,-2.2042366820953236
284,0.04,1,0.9792897444615783,0.9896448722307891,0.010355127769210833,0.10123190750990595,2.197498313511365,2.1816354560582205,-0.16045218796050825,1,2.197498313511365,2.2939533222763453,2.0534547323869514
285,0.038400000000000004,-1,-0.9988235986850953,0.0005882006574525755,0.9994117993425474,0.024245714620087348,-2.0261229677063763,-2.1780775909582997,0.12904353441291275,-1,-2.0261229677063763,-2.3210388956783015,-2.187070909490222
286,0.0332,-1,-0.9991714979846701,0.0004142510076650119,0.999585748992335,0.02034894109695814,-1.6891493123657562,-1.9229200402036153,0.3106182240493645,-1,-1.6891493123657562,-2.1383058416050873,-1.941304966640002
287,0.01,-1,-0.9999467318606705,2.6634069664743798e-05,0.9999733659303353,0.005160751911398109,-2.1234860910907902,-2.086286196039296,-0.24439293359903935,-1,-2.1234860910907902,-1.9918973929970147,-2.1434751040300837
288,0.052000000000000005,1,0.9996747464127652,0.9998373732063827,0.00016262679361739207,0.012751484076114034,2.1510892150431338,2.13507687520664,-0.09558605585012787,1,2.1510892150431338,2.2201457292102655,2.0339956813665196
289,0.1124,1,0.9993638471506813,0.9996819235753406,0.000318076424659449,0.017831860588495098,1.7438171762495709,1.9224803179539878,-0.18787721300392926,1,1.7438171762495709,2.03902667770974,1.9845970999026523
