T_K,B_1e11_dyn_cm2,B_GPa,model
452,9.761173333333335,97.61173333333335,linear_Cij_shifted
453,9.760426666666667,97.60426666666667,linear_Cij_shifted
454,9.759680000000001,97.59680000000002,linear_Cij_shifted
455,9.758933333333335,97.58933333333334,linear_Cij_shifted
456,9.758186666666669,97.58186666666668,linear_Cij_shifted
457,9.757440000000003,97.57440000000003,linear_Cij_shifted
458,9.756693333333335,97.56693333333334,linear_Cij_shifted
459,9.755946666666668,97.55946666666668,linear_Cij_shifted
460,9.755200000000002,97.55200000000002,linear_Cij_shifted
461,9.754453333333334,97.54453333333333,linear_Cij_shifted
462,9.753706666666668,97.53706666666668,linear_Cij_shifted
463,9.752960000000002,97.52960000000002,linear_Cij_shifted
464,9.752213333333334,97.52213333333333,linear_Cij_shifted
465,9.751466666666667,97.51466666666667,linear_Cij_shifted
466,9.750720000000001,97.50720000000001,linear_Cij_shifted
467,9.749973333333333,97.49973333333332,linear_Cij_shifted
468,9.749226666666669,97.4922666666667,linear_Cij_shifted
469,9.74848,97.4848,linear_Cij_shifted
470,9.747733333333336,97.47733333333336,linear_Cij_shifted
471,9.746986666666668,97.46986666666669,linear_Cij_shifted
472,9.746240000000002,97.46240000000002,linear_Cij_shifted
473,9.745493333333336,97.45493333333336,linear_Cij_shifted
474,9.744746666666668,97.44746666666668,linear_Cij_shifted
475,9.744000000000002,97.44000000000001,linear_Cij_shifted
476,9.743253333333335,97.43253333333335,linear_Cij_shifted
477,9.742506666666667,97.42506666666668,linear_Cij_shifted
478,9.741760000000001,97.41760000000001,linear_Cij_shifted
479,9.741013333333335,97.41013333333335,linear_Cij_shifted
480,9.740266666666667,97.40266666666668,linear_Cij_shifted
481,9.739520000000002,97.39520000000002,linear_Cij_shifted
482,9.738773333333334,97.38773333333334,linear_Cij_shifted
483,9.738026666666668,97.38026666666669,linear_Cij_shifted
484,9.737280000000002,97.37280000000001,linear_Cij_shifted
485,9.736533333333336,97.36533333333335,linear_Cij_shifted
486,9.73578666666667,97.3578666666667,linear_Cij_shifted
487,9.735040000000001,97.35040000000001,linear_Cij_shifted
488,9.734293333333335,97.34293333333335,linear_Cij_shifted
489,9.733546666666669,97.33546666666669,linear_Cij_shifted
