T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
358.0,302.7068091329911,304.7098116358164,0.5,2.0030025028252982,4.0060050056505965,8.018130909169754,3.601047446154796,9.330981037640093,-112.33401689653293,60.99699451895712,356.04683401339224
359.0,303.2962690647301,305.29312537496236,0.5,1.9968563102322654,3.993712620464531,8.019737530404464,3.603873786579013,9.345603278126312,-112.35652566060409,61.044868998241974,356.60478203732447
360.0,303.8822270233196,305.87266820447854,0.5,1.9904411811589302,3.9808823623178604,8.021331234720765,3.606679355451537,9.360131171925048,-112.37885345864376,61.092391634835565,357.15913002828677
361.0,304.46471052150133,306.44846928697814,0.5,1.9837587654767777,3.9675175309535553,8.022912158974746,3.609464348002651,9.374565446888736,-112.40100220800574,61.13956573568142,357.70990575930244
362.0,305.04374682368086,307.02055755076145,0.5,1.9768107270805577,3.9536214541611154,8.024480438231693,3.6122289572825284,9.388906825039404,-112.42297380095478,61.18639457079488,358.25713678092137
363.0,305.6193629480609,307.5889616911886,0.5,1.969598743127736,3.939197486255472,8.026036205793877,3.614973374188594,9.4031560226027,-112.44477010505574,61.232881373726556,358.8008504225178
364.0,306.19158566876916,308.15371017206417,0.5,1.9621245032950088,3.9242490065900175,8.027579593227799,3.617697787492416,9.417313750042242,-112.46639296355531,61.27902934201786,359.34107379360165
365.0,306.76044151798,308.7148312270355,0.5,1.954389709055574,3.908779418111148,8.02911073039098,3.6204023838663386,9.431380712094285,-112.48784419575743,61.32484163765209,359.87783378514087
366.0,307.3259567880295,309.2723528610016,0.5,1.9463960729721115,3.892792145944223,8.030629745458311,3.623087347909689,9.445357607802679,-112.5091255973924,61.370321387498414,360.41115707089557
367.0,307.8881575335232,309.82630285153414,0.5,1.9381453180108992,3.8762906360217984,8.032136764947836,3.6257528621746995,9.459245130554073,-112.53023894097801,61.41547168375087,360.94107010876127
368.0,308.44706957343635,310.37670875030625,0.5,1.9296391768699028,3.8592783537398057,8.0336319137462,3.628399107192015,9.473043968113378,-112.55118597617621,61.4602955843605,361.46759914212197
369.0,309.00271849320575,310.9235978845334,0.5,1.9208793913276627,3.8417587826553254,8.035115315133545,3.631026261495945,9.486754802659458,-112.57196843014185,61.50479611346305,361.99077020121223
370.0,309.55512964681265,311.4669973584197,0.5,1.9118677116070453,3.8237354232140905,8.036587090808032,3.633634501649327,9.500378310821002,-112.59258800786621,61.54897626180013,362.5106091044858
371.0,310.1043281588568,312.00693405461334,0.5,1.902605895756569,3.805211791513138,8.0380473609099,3.6362240022680523,9.513915163712614,-112.61304639251408,61.592838987134634,363.0271414599928
372.0,310.6503389266209,312.54343463566784,0.5,1.8930957090469367,3.7861914180938734,8.039496244045127,3.6387949360453162,9.527366026971027,-112.63334524575525,61.63638721466155,363.54039266676153
373.0,311.1931866221248,313.0765255455108,0.5,1.8833389233859472,3.7666778467718944,8.040933857308662,3.6413474737755016,9.540731560791526,-112.65348620808999,61.679623837412464,364.0503879161883
374.0,311.7328956941695,313.60623301091636,0.5,1.873337316746833,3.746674633493666,8.042360316307231,3.6438817843777733,9.554012419964437,-112.67347089916859,61.72255171665526,364.55715219342966
375.0,312.26949037037036,314.13258304298347,0.5,1.8630926726131143,3.7261853452262286,8.043775735181821,3.6463980349193386,9.567209253911793,-112.6933009181063,61.76517368228808,365.06071027880165
376.0,312.8029946591796,314.6556014386183,0.5,1.8526067794387011,3.7052135588774022,8.045180226629641,3.6488963906384115,9.580322706724058,-112.71297784379105,61.80749253322836,365.561086749181
377.0,313.3334323518966,315.1753137820192,0.5,1.8418814301226054,3.683762860245211,8.046573901925884,3.6513770149668723,9.59335341719697,-112.73250323518836,61.8495110377966,366.058305979411
378.0,313.86082702466757,315.69174544616567,0.5,1.8309184214980947,3.6618368429961894,8.047956870944912,3.6538400695526163,9.606302018868428,-112.75187863163808,61.891231934094975,366.55239214370874
379.0,314.38520204047256,316.20492159430864,0.5,1.819719553836078,3.639439107672156,8.049329242181255,3.6562857142816227,9.619169140055453,-112.7711055531486,61.93265793038109,367.04336921707613
380.0,314.9065805511007,316.71486718146383,0.5,1.808286630363101,3.616573260726202,8.050691122770111,3.65871410729971,9.6319554038912,-112.79018550068409,61.97379170543654,367.5312609767114
381.0,315.424985499113,317.22160695590514,0.5,1.7966214567921321,3.5932429135842643,8.052042618507596,3.6611254050340243,9.644661428361983,-112.80911995644816,62.014635908930885,368.0160910034224
382.0,315.940439619792,317.7251654606596,0.5,1.7847258408675792,3.5694516817351585,8.053383833870557,3.6635197622142064,9.657287826344344,-112.82791038416148,62.055193161780174,368.49788268304087
383.0,316.45296544307956,318.22556703500175,0.5,1.7726015919222056,3.545203183844411,8.054714872036152,3.6658973318933357,9.669835205642102,-112.8465582293361,62.09546605650173,368.9766592078361
384.0,316.9625852955006,318.72283581594934,0.5,1.760250520448702,3.520501040897404,8.056035834900968,3.668258265468534,9.682304169023416,-112.86506491954317,62.1354571575631,369.4524435779294
385.0,317.4693213020746,319.2169957397571,0.5,1.7476744376825228,3.4953488753650457,8.057346823099932,3.670602712701344,9.694695314257848,-112.88343186467813,62.17516900172733,369.9252586027079
386.0,317.97319538821296,319.70807054340935,0.5,1.7348751551963675,3.469750310392735,8.058647936024839,3.672930821737783,9.707009234153361,-112.90166045722002,62.21460409839256,370.39512690223677
387.0,318.47422928160364,320.19608376611285,0.5,1.7218544845092345,3.443708969018469,8.059939271842545,3.675242739128221,9.719246516593318,-112.91975207248655,62.25376492992879,370.86207090867066
388.0,318.9724445140812,320.68105875078555,0.5,1.708614236704366,3.417228473408732,8.061220927512947,3.677538609846868,9.731407744573422,-112.93770806888588,62.29265395200793,371.3261128676635
389.0,319.4678624234843,321.1630186455452,0.5,1.6951562220609153,3.3903124441218306,8.062492998806524,3.6798185773111363,9.743493496238608,-112.95552978816248,62.3312735939318,371.7872748397759
390.0,319.96050415549826,321.6419864051932,0.5,1.6814822496949755,3.362964499389951,8.063755580321732,3.6820827834006318,9.755504344919856,-112.97321855564076,62.369626258953815,372.24557870188016
391.0,320.45039066548446,322.11798479269834,0.5,1.667594127213904,3.335188254427808,8.065008765501965,3.6843313684759718,9.767440859170964,-112.99077568046266,62.407714324597706,372.7010461485633
392.0,320.93754272029514,322.5910363806742,0.5,1.6534936603790351,3.3069873207580702,8.066252646652336,3.6865644713973156,9.779303602805202,-113.0082024558229,62.44554014297145,373.15369869352566
393.0,321.42198090007463,323.06116355285553,0.5,1.6391826527808844,3.2783653055617687,8.067487314956116,3.688782229542664,9.791093134931915,-113.02550015919913,62.48310604107719,373.6035576709774
394.0,321.90372560004596,323.5283885055688,0.5,1.6246629055228246,3.249325811045649,8.06871286049096,3.6909847788258916,9.802810009993006,-113.04267005257928,62.52041432111672,374.05064423703135
395.0,322.3827970322835,323.9927332492002,0.5,1.6099362169167044,3.219872433833409,8.069929372244772,3.69317225371458,9.814454777799336,-113.05971338268395,62.55746726079352,374.4949793710906
396.0,322.85921522747117,324.454219609658,0.5,1.5950043821868953,3.1900087643737907,8.071136938131412,3.695344787247579,9.826027983566998,-113.07663138118639,62.594267113610265,374.93658387723417
397.0,323.3330000366466,324.91286922983124,0.5,1.5798691931846711,3.1597383863693422,8.07233564500603,3.697502511052361,9.837530167953483,-113.0934252649272,62.63081610916272,375.3754783855957
398.0,323.80417113293043,325.368703571042,0.5,1.5645324381115264,3.129064876223053,8.073525578680272,3.6996455553621193,9.848961867093735,-113.11009623612765,62.667116453429436,375.8116833537402
399.0,324.2727480132421,325.8217439144943,0.5,1.5489959012521899,3.0979918025043798,8.074706823937115,3.701774049032673,9.860323612636058,-113.1266454825972,62.70317032905806,376.2452190680334
400.0,324.73875000000004,326.27201136271515,0.5,1.5332613627150944,3.066522725430189,8.075879464545576,3.7038881195591036,9.871615931777903,-113.14307417793987,62.73897989564709,376.6761056450079
401.0,325.20219624280884,326.71952684099386,0.5,1.5173305981850438,3.0346611963700876,8.077043583274996,3.705987893092221,9.882839347301518,-113.15938348175415,62.774547290024906,377.10436303272314
402.0,325.66310572013083,327.16431109881046,0.5,1.5012053786796473,3.0024107573592946,8.078199261909363,3.708073494454786,9.893994377609442,-113.17557453983373,62.809874626524454,377.53001101211976
