key,label,A,Z,N,in_domain,magic_Z,magic_N,doubly_magic,magic_any,A_bin,radii_used,r_charge_fm,sigma_r_charge_fm,R_sharp_fm,sigma_R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,sigma_set_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,C3_frozen_eq19,C3_est_from_radii_eq19,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19
Z11_N17,Na-28,28,11,17,1,0,0,0,0,16<=A<40,published,3.04,0.0581,3.92462312416,0.0750067774716,0.110579735498,7.7992644,0.0003659,18.8980762564,11.0988118564,0,18.8980762564,11.0988118564,2008.63140164,2157.41839908,2.42672717873,2.42672717873,4.57357215662
Z12_N16,Mg-28,28,12,16,1,0,0,0,0,16<=A<40,preliminary,3.0691,0.0034,3.96219106262,0.0043893811257,0.107464044105,8.2724531,9.3e-06,19.044866913,10.772413813,0,19.044866913,10.772413813,2008.63140164,2222.0772155,2.2834784913,2.2834784913,4.7175455578
Z14_N14,Si-28,28,14,14,1,0,0,0,0,16<=A<40,published,3.1224,0.0024,4.03100106673,0.00309838667697,0.10205415304,8.4477445,2e-07,18.701086981,10.253342481,0,18.701086981,10.253342481,2008.63140164,2328.81381064,2.05936279365,2.05936279365,4.97889080671
Z11_N18,Na-29,29,11,18,1,0,0,0,0,16<=A<40,published,3.0922,0.0723,3.99201303438,0.0933388986436,0.108826218033,7.6821522,0.000253,18.6606079597,10.9784557597,0,18.6606079597,10.9784557597,2008.63140164,2181.97638896,2.35931492557,2.35931492557,4.65323880281
Z12_N17,Mg-29,29,12,17,1,0,0,0,0,16<=A<40,preliminary,3.0756,0.004,3.97058252653,0.00516397779494,0.110597855863,8.1135317,1.19e-05,19.0563372594,10.9428055594,0,19.0563372594,10.9428055594,2008.63140164,2163.30661127,2.41858242046,2.41858242046,4.52447080851
Z14_N15,Si-29,29,14,15,1,0,0,0,0,16<=A<40,published,3.1176,0.0052,4.02480429338,0.00671317113343,0.106187913119,8.4486361,2e-07,18.986511338,10.537875238,0,18.986511338,10.537875238,2008.63140164,2250.34903694,2.22967751503,2.22967751503,4.72618805499
Z11_N19,Na-30,30,11,19,1,0,0,0,0,16<=A<40,published,3.118,0.0884,4.02532069116,0.114123909268,0.109807293785,7.5019685,0.0001576,18.5082975517,11.0063290517,0,18.5082975517,11.0063290517,2008.63140164,2159.21560199,2.40400418478,2.40400418478,4.57833190197
Z12_N18,Mg-30,30,12,18,1,0,0,0,0,16<=A<40,preliminary,3.1107,0.0056,4.01589643168,0.00722956891292,0.110582176461,8.054425,4.32e-05,18.9199407419,10.8655157419,0,18.9199407419,10.8655157419,2008.63140164,2159.15389626,2.41793338975,2.41793338975,4.49372004538
Z14_N16,Si-30,30,14,16,1,0,0,0,0,16<=A<40,published,3.1336,0.004,4.04546020456,0.00516397779494,0.108175483595,8.5206549,8e-07,19.0857356528,10.5650807528,0,19.0857356528,10.5650807528,2008.63140164,2213.59642376,2.31382635155,2.31382635155,4.56606466848
Z11_N20,Na-31,31,11,20,1,0,1,0,1,16<=A<40,published,3.1704,0.0893,4.09296880027,0.115285804272,0.10793387821,7.3986778,0.0004507,18.2464489147,10.8477711147,0,18.2464489147,10.8477711147,2008.63140164,2185.4612967,2.32958524701,2.32958524701,4.65652464471
