Z,symbol,n_sn_points,N_chain_min,N_chain_max,rms_resid_before_MeV,rms_resid_after_MeV,median_abs_resid_before_MeV,median_abs_resid_after_MeV,rms_resid_neutron_edge_before_MeV,rms_resid_neutron_edge_after_MeV,rms_resid_proton_edge_before_MeV,rms_resid_proton_edge_after_MeV
33,As,32,27,59,10.316023154625555,10.349042366487144,8.646986013812032,8.407532427820286,3.0432212746960547,2.844073057827783,17.786138908640986,17.83579006039553
34,Se,32,29,61,10.332438749546666,10.486137320885701,7.549251711731728,7.31706416749735,3.0850454140545107,2.5610045643461214,16.451654416745395,16.830853040071233
35,Br,33,30,63,9.868938680294546,9.929271867324486,8.542109333432634,8.047320831159311,3.1699202696400994,2.9552551292591978,16.317591924092167,16.36931182779607
36,Kr,34,31,65,11.168406613149589,11.369853672967121,6.659377375590324,6.776785490523935,3.269567613501322,2.9390116449596344,16.687993506343364,15.695105933996937
37,Rb,33,34,67,9.518850231440238,9.579816022223545,7.411015820179188,7.14402703490596,3.3781530886334896,3.302647526224872,15.204663062307654,15.796534502449473
38,Sr,34,35,69,9.689900821144557,9.786653224979785,7.089597491879481,7.270383081057041,3.2926180741949707,2.7466354852145054,15.713221621341154,16.466710008781874
39,Y,34,36,70,9.270590779806348,9.301507502816914,7.478137615780319,7.693698229372465,3.953920391833575,4.012948211206768,15.640821027093827,15.745649864832059
40,Zr,36,37,73,9.295154216422432,9.400861855706133,7.318226307711463,7.576781008202879,3.1464873262074717,3.1669341085248384,16.003770107936713,16.53047967939041
41,Nb,37,38,75,9.154354382694308,9.208746072782429,7.915445874566856,8.000057639259268,3.4151645223020783,3.204032324911487,15.706141944833774,15.844429500811517
42,Mo,38,39,77,9.385891791482003,9.49897271354672,7.037095285858399,7.335222540241354,3.6455649752214336,3.1564338787434294,15.854358844806399,16.59088977462526
43,Tc,39,40,79,8.990050389350227,9.025431135353728,7.321292380364909,7.6688982146030185,3.8043925858670598,3.7124336760017536,15.641135925635952,15.736628304428944
44,Ru,40,41,81,9.283179269841026,9.345356333264379,6.945263056705471,7.222424354192995,4.006298603633991,3.689815407857944,15.939234983495336,16.240976750825794
45,Rh,40,43,83,8.890991043235184,8.916846347392939,7.122796596134833,7.408103865394445,3.7357061617223284,3.4505492935665867,15.806071024375344,16.01935126124303
46,Pd,41,44,85,8.950267962399561,9.020313030915096,7.214674201746718,7.490250154276069,2.2446666382836558,2.296708265492711,15.902724025740369,16.289121442966437
47,Ag,41,45,86,9.048015505175437,9.072608957897746,6.802995635699375,7.484513243661837,2.744006968869,2.5789893646428377,15.842902330284724,15.819493595586126
48,Cd,41,46,87,8.965669761218455,8.997221541981139,7.879715793575258,8.017540751280308,2.600951959719976,2.6191106966041886,15.943374376704778,16.368543268648278
49,In,41,47,88,9.064970666807126,9.056760267231699,7.735921335714863,7.699622550602555,2.9935727189772865,3.0120992280334384,16.296114105984895,16.302963621666457
50,Sn,41,49,90,8.730765322430027,8.937980820411914,7.815456480257183,8.191851988497547,3.166376915196259,3.746572255971517,14.809204086948796,16.68402161545485
51,Sb,40,51,91,8.490272119996174,8.483950696650169,8.249498222758248,8.33851014054401,2.90685440446873,2.7249746890643123,12.546293566196308,12.297438141159665
52,Te,41,52,93,8.922778730579683,9.008572814950718,9.125319592009276,9.041778289125205,2.931945238195409,2.5973000542644638,12.693046241493578,12.882318376685781
53,I,41,53,94,8.646036169903457,8.65718626395062,8.311783201746536,8.415264916745699,3.6446408930332836,3.634158566671248,13.138080261021024,13.098336931895728
