Z,N_parent,A_parent,symbol,N_chain_min,N_chain_max,n_chain_isotopes,distance_proton_edge,distance_neutron_edge,edge_class,S_n_obs_MeV,S_n_pred_before_MeV,S_n_pred_after_MeV,resid_before_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
83,137,220,Bi,101,141,41,36,4,interior,3.519999999999982,-0.18519257402123657,0.07886951526227648,-3.7051925740212184,-3.4411304847377053,3.7051925740212184,3.4411304847377053
83,138,221,Bi,101,141,41,37,3,interior,4.807999999999993,-0.18439414703357926,-0.279763482721755,-4.992394147033572,-5.087763482721748,4.992394147033572,5.087763482721748
83,139,222,Bi,101,141,41,38,2,neutron_rich_edge,3.2280000000000655,-0.18359914845228786,1.5284900144702078,-3.4115991484523533,-1.6995099855298577,3.4115991484523533,1.6995099855298577
83,140,223,Bi,101,141,41,39,1,neutron_rich_edge,4.97199999999998,-0.1828075846397681,-0.12960047559612065,-5.154807584639748,-5.101600475596101,5.154807584639748,5.101600475596101
83,141,224,Bi,101,141,41,40,0,neutron_rich_edge,3.155999999999949,-0.18201946109785183,-1.5240209891966572,-3.338019461097801,-4.680020989196606,3.338019461097801,4.680020989196606
84,103,187,Po,102,143,42,1,40,proton_rich_edge,9.34904749999987,-0.21335441266496247,1.3314662598145546,-9.562401912664832,-8.017581240185315,9.562401912664832,8.017581240185315
84,104,188,Po,102,143,42,2,39,proton_rich_edge,11.439502900000207,-0.21245448330114414,0.08322022980683386,-11.651957383301351,-11.356282670193373,11.651957383301351,11.356282670193373
84,105,189,Po,102,143,42,3,38,interior,8.948939699999983,-0.2115570012477619,-0.37965880257260665,-9.160496701247745,-9.32859850257259,9.160496701247745,9.32859850257259
84,106,190,Po,102,143,42,4,37,interior,11.212027099999887,-0.21066202877796059,-2.5600269418536143,-11.422689128777847,-13.772054041853501,11.422689128777847,13.772054041853501
84,107,191,Po,102,143,42,5,36,interior,8.577342099999896,-0.20976962531328525,0.09492472170028776,-8.787111725313181,-8.482417378299608,8.787111725313181,8.482417378299608
84,108,192,Po,102,143,42,6,35,interior,11.069070300000021,-2.352982538139898,-2.492388322973831,-13.42205283813992,-13.561458622973852,13.42205283813992,13.561458622973852
84,109,193,Po,102,143,42,7,34,interior,8.33013660000006,1.9361099411795308,2.0836326650123027,-6.394026658820529,-6.246503934987757,6.394026658820529,6.246503934987757
84,110,194,Po,102,143,42,8,33,interior,10.750628800000186,-1.0417628510290058,-1.1618826248608798,-11.792391651029192,-11.912511424861066,11.792391651029192,11.912511424861066
84,111,195,Po,102,143,42,9,32,interior,8.183350699999892,0.6284276727978977,0.7071434659264781,-7.554923027201994,-7.476207234073414,7.554923027201994,7.476207234073414
84,112,196,Po,102,143,42,10,31,interior,10.42339949999996,0.15287350957925838,0.05873153727536362,-10.270525990420701,-10.364667962724596,10.270525990420701,10.364667962724596
84,113,197,Po,102,143,42,11,30,interior,7.995657199999869,-0.5626936921246113,-0.32553560032417295,-8.55835089212448,-8.321192800324042,8.55835089212448,8.321192800324042
84,114,198,Po,102,143,42,12,29,interior,10.151518600000145,1.1213629670488032,0.9088722265915621,-9.030155632951342,-9.242646373408583,9.030155632951342,9.242646373408583
84,115,199,Po,102,143,42,13,28,interior,7.836883999999827,-1.52769128678149,-1.5194014192022394,-9.364575286781317,-9.356285419202067,9.364575286781317,9.356285419202067
