T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,A_eff_model_mol_per_J,residual_1e-8_per_K,z
237.0,194.51093195280367,192.96296327559142,0.5,17.5489,janaf_interp,1.0995729833527538e-07,-1.547968677212252,-3.095937354424504
238.0,195.81331416185233,194.57362861258352,0.5,17.6006,janaf_interp,1.1054942934478569e-07,-1.2396855492688366,-2.479371098537673
239.0,197.10694664501014,196.1785858103491,0.5,17.6523,janaf_interp,1.11134858239634e-07,-0.9283608346610435,-1.856721669322087
240.0,198.39187092339478,197.7778034492265,0.5,17.704,janaf_interp,1.1171362598804029e-07,-0.6140674741682574,-1.2281349483365147
241.0,199.66812986896076,199.37125224369203,0.5,17.7557,janaf_interp,1.1228577428301449e-07,-0.2968776252687332,-0.5937552505374664
242.0,200.93576750878654,200.95890500466143,0.5,17.8074,janaf_interp,1.128513455106649e-07,0.023137495874907953,0.046274991749815905
243.0,202.19482888694844,202.54073660159966,0.5,17.859099999999998,janaf_interp,1.1341038271894982e-07,0.34590771465122877,0.6918154293024575
244.0,203.44535996095092,204.11672392447448,0.5,17.910800000000002,janaf_interp,1.1396292958688304e-07,0.6713639635235644,1.3427279270471288
245.0,204.68740751882626,205.6868458455884,0.5,17.9625,janaf_interp,1.1450903039420372e-07,0.9994383267621293,1.9988766535242586
246.0,205.9210191087768,207.25108318132297,0.5,18.0142,janaf_interp,1.1504872999151945e-07,1.330064072546184,2.660128145092368
247.0,207.14624297672322,208.8094186538263,0.5,18.0659,janaf_interp,1.1558207377093104e-07,1.6631756771030772,3.3263513542061545
248.0,208.36312800916946,210.36183685267738,0.5,18.1176,janaf_interp,1.1610910763714697e-07,1.99870884350793,3.99741768701586
249.0,209.57172367995594,211.9083241965552,0.5,18.1693,janaf_interp,1.1662987797909398e-07,2.336600516599293,4.673201033198586
250.0,210.77208000010972,213.44886889494322,0.5,18.221,janaf_interp,1.171444316420302e-07,2.6767888948335,5.353577789667
251.0,211.9642474703438,214.8098881870746,0.5,18.257947040498443,janaf_interp,1.1765281590016611e-07,2.8456407167307822,5.6912814334615645
252.0,213.14827703593286,216.1634645005036,0.5,18.294894080996883,janaf_interp,1.1815507842979812e-07,3.015187464570747,6.030374929141494
253.0,214.32422004379038,217.50961806952728,0.5,18.331841121495327,janaf_interp,1.1865126728295857e-07,3.185398025736926,6.370796051473852
254.0,215.49212820161281,218.84837048133002,0.5,18.36878816199377,janaf_interp,1.1914143086158601e-07,3.3562422797172182,6.7124845594344364
255.0,216.6520535389865,220.17974463586748,0.5,18.405735202492213,janaf_interp,1.1962561789221776e-07,3.527691096880981,7.055382193761962
256.0,217.80404837036156,221.50376470615774,0.5,18.442682242990653,janaf_interp,1.201038774012076e-07,3.6997163357961846,7.399432671592369
257.0,218.9481652598093,222.82045609899575,0.5,18.479629283489096,janaf_interp,1.2057625869046954e-07,3.872290839186479,7.744581678372958
258.0,220.08445698748176,224.1298454161057,0.5,18.51657632398754,janaf_interp,1.2104281131374906e-07,4.045388428623941,8.090776857247882
259.0,221.2129765176993,225.43196041574703,0.5,18.553523364485983,janaf_interp,1.2150358505342176e-07,4.218983898047746,8.437967796095492
260.0,222.33377696859355,226.72682997478697,0.5,18.590470404984423,janaf_interp,1.2195862989781992e-07,4.393053006193432,8.786106012386863
261.0,223.446911583237,228.0144840512513,0.5,18.627417445482866,janaf_interp,1.2240799601908564e-07,4.5675724680142755,9.135144936028551
262.0,224.55243370219443,229.2949536473661,0.5,18.66436448598131,janaf_interp,1.2285173375155e-07,4.742519945171653,9.485039890343305
263.0,225.65039673743382,230.5682707731004,0.5,18.701311526479753,janaf_interp,1.2328989357063638e-07,4.9178740356665935,9.835748071333187
264.0,226.74085414753603,231.83446841021976,0.5,18.738258566978192,janaf_interp,1.2372252607228609e-07,5.093614262683724,10.187228525367448
265.0,227.82385941414725,233.0935804768601,0.5,18.775205607476636,janaf_interp,1.2414968195290382e-07,5.269721062712856,10.539442125425712
266.0,228.89946601961975,234.34564179262858,0.5,18.81215264797508,janaf_interp,1.2457141198981996e-07,5.446175773008834,10.892351546017668
267.0,229.96772742578705,235.59068804424092,0.5,18.84909968847352,janaf_interp,1.2498776702226676e-07,5.622960618453885,11.24592123690777
268.0,231.02869705382648,236.82875575169996,0.5,18.886046728971962,janaf_interp,1.2539879793286491e-07,5.800058697873463,11.600117395746926
269.0,232.08242826515897,238.05988223502177,0.5,18.922993769470406,janaf_interp,1.2580455562961606e-07,5.977453969862802,11.954907939725604
270.0,233.128974343342,239.28410558151504,0.5,18.95994080996885,janaf_interp,1.2620509102839768e-07,6.155131238173018,12.310262476346036
271.0,234.16838847691133,240.50146461361726,0.5,18.99688785046729,janaf_interp,1.2660045503595545e-07,6.333076136705916,12.666152273411832
272.0,235.20072374313054,241.71199885729175,0.5,19.033834890965732,janaf_interp,1.2699069853338834e-07,6.511275114161227,13.022550228322453
273.0,236.22603309260796,242.91574851098883,0.5,19.070781931464175,janaf_interp,1.273758723601213e-07,6.689715418380847,13.379430836761694
274.0,237.24436933474325,244.11275441517307,0.5,19.10772897196262,janaf_interp,1.2775602729836054e-07,6.868385080429838,13.736770160859676
275.0,238.25578512396697,245.3030580224189,0.5,19.14467601246106,janaf_interp,1.2813121405802523e-07,7.0472728984519275,14.094545796903855
276.0,239.2603329467382,246.48670136807553,0.5,19.1816230529595,janaf_interp,1.2850148326215048e-07,7.226368421337322,14.452736842674645
277.0,240.25806510926708,247.66372704150191,0.5,19.218570093457945,janaf_interp,1.2886688543275513e-07,7.4056619322348265,14.811323864469653
278.0,241.2490337259306,248.83417815787243,0.5,19.25551713395639,janaf_interp,1.2922747097716874e-07,7.5851444319418695,15.170288863883739
279.0,242.23329070835004,249.99809833055158,0.5,19.292464174454828,janaf_interp,1.295832901748105e-07,7.764807622201519,15.529615244403038
280.0,243.21088775510202,251.15553164403872,0.5,19.32941121495327,janaf_interp,1.299343931644148e-07,7.944643888936695,15.88928777787339
281.0,244.18187634203488,252.3065226274798,0.5,19.366358255451715,janaf_interp,1.302808299316958e-07,8.124646285444909,16.249292570889818
282.0,245.14630771316288,253.4511162287457,0.5,19.403305295950155,janaf_interp,1.3062265029744485e-07,8.304808515582794,16.609617031165588
283.0,246.10423287211353,254.58935778907397,0.5,19.440252336448598,janaf_interp,1.3095990390605346e-07,8.485124916960427,16.970249833920853
284.0,247.05570257410363,255.72129301827192,0.5,19.47719937694704,janaf_interp,1.3129264021445522e-07,8.665590444168286,17.331180888336572
285.0,248.0007673184192,256.8469679704783,0.5,19.514146417445485,janaf_interp,1.316209084814795e-07,8.84620065205908,17.69240130411816
286.0,248.9394773413784,257.9664290204792,0.5,19.551093457943924,janaf_interp,1.3194475775760935e-07,9.026951679100824,18.053903358201648
287.0,249.87188260975526,259.0797228405765,0.5,19.588040498442368,janaf_interp,1.3226423687513738e-07,9.207840230821256,18.415680461642513
288.0,250.79803281464336,260.186896378002,0.5,19.62498753894081,janaf_interp,1.325793944387109e-07,9.38886356335866,18.77772712671732
289.0,251.71797736574055,261.2879968328758,0.5,19.661934579439254,janaf_interp,1.328902788162606e-07,9.570019467135266,19.14003893427053
290.0,252.63176538603471,262.38307163670277,0.5,19.698881619937694,janaf_interp,1.331969381303042e-07,9.751306250668035,19.50261250133607
291.0,253.53944570687383,263.472168431402,0.5,19.735828660436137,janaf_interp,1.3349942024961803e-07,9.93272272452815,19.8654454490563
292.0,254.4410668634019,264.5553350488656,0.5,19.77277570093458,janaf_interp,1.3379777278126972e-07,10.114268185463708,20.228536370927415
293.0,255.3366770903448,265.63261949104,0.5,19.809722741433024,janaf_interp,1.3409204306300364e-07,10.295942400695148,20.591884801390297
294.0,256.22632431813025,266.70406991052425,0.5,19.846669781931464,janaf_interp,1.3438227815597222e-07,10.477745592394005,20.95549118478801
295.0,257.110056169326,267.7697345916816,0.5,19.883616822429907,janaf_interp,1.3466852483780584e-07,10.659678422355586,21.319356844711173
296.0,257.9879199553827,268.829661932255,0.5,19.92056386292835,janaf_interp,1.3495082959601359e-07,10.841741976872292,21.683483953744584
297.0,258.8599626736669,269.88390042548343,0.5,19.957510903426794,janaf_interp,1.3522923862170767e-07,11.023937751816502,22.047875503633005
298.0,259.7262310047707,270.932498642711,0.5,19.994457943925234,janaf_interp,1.3550379780364408e-07,11.206267637940286,22.412535275880572
299.0,260.5867713100858,271.86101995815596,0.5,20.022972972972973,janaf_interp,1.3577455272257233e-07,11.274248648070174,22.548497296140347
300.0,261.4416296296297,272.763305035003,0.5,20.05,janaf_interp,1.3604154864588679e-07,11.321675405373327,22.643350810746654
301.0,262.29085168011136,273.6254046421993,0.5,20.07452,janaf_interp,1.3630483052257258e-07,11.334552962087994,22.669105924175987
302.0,263.1344828532268,274.4814202001362,0.5,20.099040000000002,janaf_interp,1.3656444297843885e-07,11.346937346909364,22.693874693818728
303.0,263.97256821417204,275.3314138601947,0.5,20.12356,janaf_interp,1.3682043031163208e-07,11.358845646022658,22.717691292045316
304.0,264.80515250036456,276.1754475395657,0.5,20.14808,janaf_interp,1.3707283648842258e-07,11.370295039201169,22.740590078402338
305.0,265.63228012036257,277.0135829092183,0.5,20.1726,janaf_interp,1.3732170513925738e-07,11.381302788855747,22.762605577711494
306.0,266.45399515297316,277.84588138233346,0.5,20.19712,janaf_interp,1.3756707955507194e-07,11.391886229360312,22.783772458720623
307.0,267.27034134653985,278.67240410319437,0.5,20.22164,janaf_interp,1.378090026838547e-07,11.402062756654482,22.804125513308964
308.0,268.0813621184011,279.4932119365229,0.5,20.24616,janaf_interp,1.3804751712745674e-07,11.411849818121832,22.823699636243663
309.0,268.88710055451145,280.3083654572547,0.5,20.270680000000002,janaf_interp,1.3828266513864097e-07,11.421264902743259,22.842529805486517
310.0,269.68759940921757,281.1179249407402,0.5,20.2952,janaf_interp,1.3851448861836305e-07,11.430325531522623,22.860651063045246
311.0,270.48290110518104,281.9219503533667,0.5,20.31972,janaf_interp,1.3874302911327847e-07,11.439049248185665,22.87809849637133
312.0,271.2730477334412,282.7205013435886,0.5,20.34424,janaf_interp,1.3896832781346887e-07,11.447453610147358,22.894907220294716
313.0,272.05808105361103,283.5136372333586,0.5,20.36876,janaf_interp,1.3919042555038136e-07,11.455556179747578,22.911112359495156
314.0,272.8380424941982,284.3014170099499,0.5,20.39328,janaf_interp,1.3940936279497456e-07,11.463374515751683,22.926749031503366
315.0,273.6129731530472,285.0838993181613,0.5,20.4178,janaf_interp,1.3962517965606545e-07,11.470926165114086,22.941852330228173
316.0,274.3829137978943,285.861142452895,0.5,20.44232,janaf_interp,1.3983791587887042e-07,11.478228655000734,22.95645731000147
317.0,275.14790486703,286.633204352099,0.5,20.46684,janaf_interp,1.4004761084373505e-07,11.485299485069033,22.970598970138067
318.0,275.9079864700639,287.40014259006574,0.5,20.49136,janaf_interp,1.402543035650468e-07,11.492156120001848,22.984312240003696
319.0,276.6631983887873,288.16201437107685,0.5,20.51588,janaf_interp,1.404580326903242e-07,11.498815982289557,22.997631964579114
320.0,277.41358007812505,288.9188765233871,0.5,20.5404,janaf_interp,1.4065883649947765e-07,11.505296445262012,23.010592890524023
321.0,278.1591706671763,289.67078549353755,0.5,20.56492,janaf_interp,1.4085675290423573e-07,11.511614826361285,23.02322965272257
322.0,278.900008960336,290.41779734099106,0.5,20.58944,janaf_interp,1.4105181944773197e-07,11.51778838065508,23.03557676131016
323.0,279.6361334384941,291.15996773307944,0.5,20.61396,janaf_interp,1.41244073304246e-07,11.523834294585345,23.04766858917069
324.0,280.3675822603074,291.8973519402577,0.5,20.63848,janaf_interp,1.41433551279095e-07,11.529769679950306,23.05953935990061
325.0,281.09439326354124,292.6300048316529,0.5,20.663,janaf_interp,1.4162028980866906e-07,11.535611568111648,23.071223136223296
326.0,281.81660396647504,293.35798087090376,0.5,20.68752,janaf_interp,1.418043249606061e-07,11.541376904428718,23.082753808857436
327.0,282.53425156937,294.08133411228016,0.5,20.712040000000002,janaf_interp,1.4198569243410122e-07,11.547082542910175,23.09416508582035
328.0,283.2473729559931,294.8001181970767,0.5,20.73656,janaf_interp,1.4216442756034593e-07,11.552745241083601,23.105490482167202
329.0,283.9560046951965,295.51438635027097,0.5,20.76108,janaf_interp,1.4234056530309163e-07,11.558381655074458,23.116763310148915
330.0,284.6601830425467,296.2241913774412,0.5,20.7856,janaf_interp,1.4251414025933397e-07,11.564008334894499,23.128016669788998
331.0,285.3599439420014,296.9295856619339,0.5,20.81012,janaf_interp,1.4268518666011244e-07,11.569641719932552,23.139283439865103
332.0,286.055323027631,297.6306211622747,0.5,20.83464,janaf_interp,1.428537383714212e-07,11.57529813464367,23.15059626928734
333.0,286.7463556253817,298.3273494098166,0.5,20.85916,janaf_interp,1.4301982889522711e-07,11.580993784434886,23.161987568869773
334.0,287.4330767548771,299.0198215066166,0.5,20.883680000000002,janaf_interp,1.4318349137059015e-07,11.586744751739504,23.173489503479008
335.0,288.1155211312562,299.70808812353533,0.5,20.9082,janaf_interp,1.4334475857488228e-07,11.592566992279185,23.18513398455837
336.0,288.7937231670446,300.392199498552,0.5,20.93272,janaf_interp,1.43503662925101e-07,11.598476331507394,23.196952663014788
337.0,289.4677169740572,301.0722054352884,0.5,20.95724,janaf_interp,1.4366023647927325e-07,11.604488461231208,23.208976922462416
338.0,290.1375363653296,301.7481553017359,0.5,20.98176,janaf_interp,1.4381451093794604e-07,11.610618936406274,23.221237872812548
339.0,290.80321485707555,302.4200980291775,0.5,21.00628,janaf_interp,1.4396651764576e-07,11.61688317210198,23.23376634420396
340.0,291.4647856706697,303.08808211130105,0.5,21.0308,janaf_interp,1.4411628759310205e-07,11.623296440631364,23.24659288126273
341.0,292.12228173465223,303.7521556034947,0.5,21.05532,janaf_interp,1.4426385141783396e-07,11.62987386884251,23.25974773768502
342.0,292.77573568675405,304.4123661223214,0.5,21.07984,janaf_interp,1.4440923940709293e-07,11.636630435567339,23.273260871134678
343.0,293.4251798759402,305.0687608451634,0.5,21.10436,janaf_interp,1.4455248149916105e-07,11.64358096922322,23.28716193844644
344.0,294.0706463644711,305.72138651003485,0.5,21.12888,janaf_interp,1.446936072854003e-07,11.650740145563779,23.301480291127557
345.0,294.71216692997757,306.3702894155528,0.5,21.1534,janaf_interp,1.4483264601224995e-07,11.658122485575225,23.31624497115045
346.0,295.34977306755087,307.01551542106375,0.5,21.17792,janaf_interp,1.4496962658328285e-07,11.665742353512906,23.331484707025812
347.0,295.98349599184326,307.6571099469196,0.5,21.20244,janaf_interp,1.4510457756131825e-07,11.673613955076368,23.347227910152736
348.0,296.61336663918013,308.29511797489755,0.5,21.22696,janaf_interp,1.452375271705876e-07,11.68175133571745,23.3635026714349
349.0,297.23941566968097,308.9295840487585,0.5,21.25148,janaf_interp,1.453685032989507e-07,11.690168379077551,23.380336758155103
350.0,297.86167346938777,309.5605522749394,0.5,21.276,janaf_interp,1.4549753350015953e-07,11.698878805551654,23.39775761110331
351.0,298.4801701524004,310.08321657897784,0.5,21.29332,janaf_interp,1.456246449961668e-07,11.603046426577501,23.206092853155003
352.0,299.0949355630165,310.6022896233044,0.5,21.31064,janaf_interp,1.4574986467947673e-07,11.507354060287836,23.014708120575673
353.0,299.7059992778772,311.11781823673783,0.5,21.32796,janaf_interp,1.4587321911553558e-07,11.411818958860628,22.823637917721257
354.0,300.31339060811337,311.6298487392098,0.5,21.34528,janaf_interp,1.4599473454515932e-07,11.316458131096462,22.632916262192925
355.0,300.9171386014959,312.138426944214,0.5,21.3626,janaf_interp,1.46114436886996e-07,11.221288342718179,22.442576685436357
356.0,301.5172720445864,312.6435981613505,0.5,21.37992,janaf_interp,1.4623235174002077e-07,11.126326116764108,22.252652233528217
357.0,302.1138194648871,313.1454071989602,0.5,21.39724,janaf_interp,1.4634850438606108e-07,11.031587734073035,22.06317546814607
358.0,302.7068091329911,313.6438983668458,0.5,21.414559999999998,janaf_interp,1.4646291979234962e-07,10.937089233854724,21.87417846770945
359.0,303.2962690647301,314.13911547907554,0.5,21.43188,janaf_interp,1.4657562261410363e-07,10.842846414345436,21.685692828690872
360.0,303.8822270233196,314.63110185686327,0.5,21.4492,janaf_interp,1.4668663719712776e-07,10.748874833543656,21.497749667087312
361.0,304.46471052150133,315.119900331524,0.5,21.46652,janaf_interp,1.4679598758043877e-07,10.655189810022662,21.310379620045325
362.0,305.04374682368086,315.60555324749936,0.5,21.48384,janaf_interp,1.469036974989105e-07,10.561806423818458,21.123612847636917
363.0,305.6193629480609,316.0881024654484,0.5,21.50116,janaf_interp,1.4700979038593658e-07,10.468739517387526,20.937479034775052
364.0,306.19158566876916,316.56758936540314,0.5,21.51848,janaf_interp,1.471142893761098e-07,10.37600369663397,20.75200739326794
365.0,306.76044151798,317.0440548499811,0.5,21.5358,janaf_interp,1.4721721730791573e-07,10.283613332001137,20.567226664002273
366.0,307.3259567880295,317.51753934765577,0.5,21.55312,janaf_interp,1.473185967264395e-07,10.191582559626285,20.38316511925257
367.0,307.8881575335232,317.98808281607756,0.5,21.57044,janaf_interp,1.4741844988608372e-07,10.09992528255435,20.1998505651087
368.0,308.44706957343635,318.4557247454457,0.5,21.58776,janaf_interp,1.475167987532962e-07,10.008655172009375,20.01731034401875
369.0,309.00271849320575,318.9205041619257,0.5,21.60508,janaf_interp,1.47613665009306e-07,9.917785668719906,19.835571337439813
370.0,309.55512964681265,319.3824596311089,0.5,21.6224,janaf_interp,1.4770907005286598e-07,9.827329984296231,19.654659968592462
371.0,310.1043281588568,319.841629261514,0.5,21.63972,janaf_interp,1.4780303500300097e-07,9.737301102657241,19.474602205314483
372.0,310.6503389266209,320.2980507081243,0.5,21.65704,janaf_interp,1.4789558070175997e-07,9.647711781503432,19.295423563006864
373.0,311.1931866221248,320.7517611759606,0.5,21.67436,janaf_interp,1.4798672771697093e-07,9.558574553835788,19.117149107671576
374.0,311.7328956941695,321.2027974236846,0.5,21.691679999999998,janaf_interp,1.480764963449971e-07,9.469901729515144,18.939803459030287
375.0,312.26949037037036,321.6511957672338,0.5,21.709,janaf_interp,1.4816490661349385e-07,9.381705396863445,18.76341079372689
376.0,312.8029946591796,322.0969920834802,0.5,21.72632,janaf_interp,1.4825197828416417e-07,9.293997424300565,18.58799484860113
377.0,313.3334323518966,322.540221813916,0.5,21.74364,janaf_interp,1.4833773085551271e-07,9.206789462019428,18.413578924038855
378.0,313.86082702466757,322.98091996836024,0.5,21.76096,janaf_interp,1.484221835655965e-07,9.120092943692665,18.24018588738533
379.0,314.38520204047256,323.41912112868465,0.5,21.77828,janaf_interp,1.485053553947716e-07,9.033919088212073,18.067838176424146
380.0,314.9065805511007,323.8548594525577,0.5,21.7956,janaf_interp,1.4858726506843477e-07,8.94827890145697,17.89655780291394
