T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
451.0,345.4934592539236,346.0064383468154,0.5,0.5129790928917766,1.0259581857835531,8.132415604492444,3.807102549410692,10.43215728994851,-112.54168830239564,59.78756133320655,398.7605653160045
452.0,345.8483908608862,346.33476371819603,0.5,0.486372857309855,0.97274571461971,8.133225824303144,3.8086002350812307,10.440424774489763,-112.55290065427569,59.81108131269831,399.0765830597734
453.0,346.2015614232179,346.66121098020693,0.5,0.4596495569890139,0.9192991139780278,8.134030757360906,3.8100886707794026,10.448645011247791,-112.56403984460934,59.834456028624665,399.3907947961916
454.0,346.55298298233845,346.9857936304014,0.5,0.4328106480629574,0.8656212961259148,8.134830449128433,3.8115679305340695,10.456818339383137,-112.57510650253928,59.85768664355086,399.70321348938984
455.0,346.9026674779152,347.30852505382654,0.5,0.40585757591133265,0.8117151518226653,8.135624944584332,3.813038087654768,10.46494509523329,-112.5861012505089,59.8807743087457,400.01385199558973
456.0,347.25062674885123,347.6294185240251,0.5,0.37879177517383233,0.7575835503476647,8.136414288229235,3.8144992147397896,10.473025612337786,-112.59702470434702,59.90372016430845,400.3227230640636
457.0,347.5968725342621,347.94848720403616,0.5,0.35161466977403893,0.7032293395480779,8.137198524091863,3.815951383684254,10.481060221463272,-112.60787747335193,59.926525339295594,400.6298393380925
458.0,347.94141647444263,348.26574414738354,0.5,0.3243276729408969,0.6486553458817939,8.137977695734998,3.8173946656879822,10.489049250628282,-112.61866016037389,59.949190951844535,400.9352133559129
459.0,348.284270111824,348.581202299056,0.5,0.2969321872319638,0.5938643744639276,8.138751846261291,3.8188291312632985,10.496993025127791,-112.62937336189559,59.97171810929604,401.2388575516555
460.0,348.6254448919208,348.8948744964795,0.5,0.2694296045586942,0.5388592091173884,8.139521018319094,3.820254850242794,10.504891867557564,-112.64001766811285,59.994107908316224,401.5407842562761
461.0,348.96495216426797,349.20677347048445,0.5,0.24182130621646683,0.48364261243293366,8.140285254108127,3.821671891786889,10.512746097838402,-112.65059366301298,60.016361435015256,401.8410056984822
462.0,349.30280318334866,349.51691184625855,0.5,0.21410866290986888,0.42821732581973776,8.141044595385118,3.8230803243913902,10.520556033240013,-112.66110192445292,60.03847976506611,402.1395340056454
463.0,349.639009109512,349.825302144294,0.5,0.186293034782003,0.372586069564006,8.141799083469289,3.8244802158948943,10.528321988404741,-112.67154302423509,60.06046396382076,402.43638120470837
464.0,349.9735810098815,350.1319567813303,0.5,0.15837577144879228,0.31675154289758456,8.142548759247882,3.8258716334861402,10.5360442753712,-112.68191752818392,60.08231508642569,402.73155922308854
