T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
152.0,53.24665471215816,51.31166833820385,0.5,-1.9349863739543094,-3.869972747908619,6.843688299412503,1.9853328427682075,2.9761605810262917,-95.88007565853184,33.62892095174801,113.56282304498768
153.0,55.203244713283254,53.25563333881646,0.5,-1.9476113744668004,-3.895222748933601,6.860392072071771,2.0029486863623283,3.025419471106073,-96.11409551979452,33.92731011801951,115.44241874059148
154.0,57.15850861094442,55.19975045666455,0.5,-1.9587581542798662,-3.9175163085597324,6.8768273480183355,2.0204096131655893,3.0746525357040344,-96.34435374201087,34.223075198091614,117.3210290005838
155.0,59.11188704748257,57.143607810352016,0.5,-1.9682792371305513,-3.9365584742611026,6.892999498632994,2.037715993748337,3.1238507882409787,-96.57092557822784,34.51622246893744,119.19831091964242
156.0,61.06283486448858,59.086806161359725,0.5,-1.9760287031288597,-3.9520574062577194,6.908913772630513,2.0548682553130426,3.173005503293564,-96.79388456294137,34.806759166803644,121.07393155749745
157.0,63.01082203649547,61.028958706240275,0.5,-1.9818633302551956,-3.963726660510391,6.924575298979582,2.071866878622767,3.222108213583907,-97.01330255300466,35.09469343518265,122.94756782406229
158.0,64.95533465319981,62.96969086494222,0.5,-1.9856437882575892,-3.9712875765151785,6.939989089762508,2.0887123950480637,3.2711507067930636,-97.22924976769278,35.38003427479108,124.81890635784391
159.0,66.89587595210833,64.90864006585335,0.5,-1.987235886254986,-3.974471772509972,6.955160042974916,2.1054053837289795,3.320125022215388,-97.44179482792623,35.662791495497814,126.68764339828176
160.0,68.83196740356846,66.84545552811078,0.5,-1.9865118754576763,-3.9730237509153525,6.970092945265525,2.1219464688487695,3.369023447269686,-97.65100479465542,35.94297567014429,128.55348465262193
161.0,70.76314985019738,68.77979804169561,0.5,-1.9833518085017692,-3.9667036170035384,6.984792474616526,2.138336317016038,3.4178385138823506,-97.8569452064126,36.220598090201435,130.41614515790678
162.0,72.68898470276429,70.71133974579648,0.5,-1.9776449569678063,-3.9552899139356126,6.999263202964924,2.1545756347519704,3.466562994756817,-98.05968011603693,36.49567072320665,132.27534913862675
163.0,74.60905519456449,72.63976390589215,0.5,-1.9692912886723337,-3.9385825773446674,7.013509598765474,2.1706651660794223,3.5151898995427793,-98.25927212658121,36.76820617192623,134.13082986054715
164.0,76.52296769619488,74.56476468998179,0.5,-1.958203006213095,-3.91640601242619,7.027536029495634,2.18660569021062,3.5637124709180035,-98.45578242640629,37.03821763518799,135.98232948120008
165.0,78.4303530922744,76.48604694434925,0.5,-1.944306147925146,-3.888612295850292,7.041346764103574,2.2023980193303268,3.6121241805946545,-98.64927082347764,37.30571887033106,137.82959889749583
166.0,80.33086822087914,78.40332596923909,0.5,-1.9275422516400584,-3.855084503280117,7.054945975399479,2.2180429964713526,3.6604187252614793,-98.8397957788675,37.57072415721982,139.67239759088676
167.0,82.22419737500137,80.316327294776,0.5,-1.907870080225368,-3.815740160450736,7.068337742391361,2.233541493479298,3.708590022472399,-99.02741443947968,37.83324826376932,141.51049347048635
168.0,84.11005386284715,82.22478645745102,0.5,-1.8852674053961398,-3.7705348107922796,7.081526052566015,2.2488944090636114,3.7566322064914868,-99.2121826700057,38.09330641293278,143.34366271452393
169.0,85.98818161983992,84.12844877746669,0.5,-1.859732842373243,-3.719465684746486,7.094514804115895,2.264102666931942,3.804539624103628,-99.39415508412327,38.350914251099994,145.17168961048995
