candidate_id,before_mix,sat_scale_mev,sat_scale_multiplier,branch_pivot_mev,branch_gain,sign_blend,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,holdout_max_abs_z_qbeta,train_p95_abs_z_qbeta,overfit_gap_qbeta,overfit_guard_pass,n_holdout_q_rows,n_holdout_logft_rows,split_rows_holdout,mapping_delta_abs_median_mev,mapping_delta_abs_p95_mev,is_pareto_front,norm_holdout_p95_abs_z_qbeta,norm_overfit_gap_qbeta,score_weighted,rank_weighted
cand_0016,0.6,7.65601947180433,0.85,3.0,2.0,0.0,7008.346597938096,10.869012649534138,291714.9643136761,3866.310202911167,3142.0363950269293,False,1269,36,1269,1.2210901070198252,3.447728741461067,False,0.4830861869463318,0.43100094134713035,0.46746061326657135,124
cand_0017,0.6,7.65601947180433,0.85,3.0,2.0,0.05,7023.304015125221,15.505307249478095,293038.4600006237,3902.5321479859813,3120.7718671392395,False,1269,50,1269,1.1947597078220975,3.5409538078285054,False,0.4931222179830785,0.41874861642884,0.4708101375168069,127
cand_0018,0.6,9.007081731534507,1.0,1.0,1.2,0.0,6935.281921354017,10.650161445415161,292851.9175193448,3787.9564777001883,3147.3254436538286,False,1269,35,1269,0.5203898792773347,3.1304620097562093,False,0.43406172284841993,0.4340484175303624,0.4340577312530026,88
cand_0019,0.6,9.007081731534507,1.0,1.0,1.2,0.05,6942.326817568771,10.341530586161529,294295.8340793243,3803.768196574785,3138.5586209939856,False,1269,36,1269,0.5230053442274782,3.2585176573130132,False,0.43878866174284287,0.42899709636787325,0.43585119213035195,91
cand_0020,0.6,9.007081731534507,1.0,1.0,1.6,0.0,6935.266053292933,10.651049391390192,292852.67474468064,3789.6848088670795,3145.5812444258536,False,1269,35,1269,0.5787881025605852,3.1304620097562093,False,0.43405107579943153,0.43304343421842373,0.4337487833251291,87
cand_0021,0.6,9.007081731534507,1.0,1.0,1.6,0.05,6942.310590503604,10.341741769917991,294296.6052724764,3803.489938505397,3138.820651998207,False,1269,36,1269,0.587515799297901,3.2585176573130132,False,0.43877777381161676,0.4291480749844379,0.43588886416346306,93
cand_0022,0.6,9.007081731534507,1.0,1.0,2.0,0.0,6935.249894416767,10.652100324681584,292853.3528830816,3791.2351150742334,3144.014779342534,False,1269,35,1269,0.6796319110497808,3.1154211794540356,False,0.43404023362122063,0.43214085884617204,0.43347042118870605,86
cand_0023,0.6,9.007081731534507,1.0,1.0,2.0,0.05,6942.2940240272865,10.342003989484034,294297.28698741883,3803.485808148511,3138.8082158787756,False,1269,36,1269,0.6892722462810834,3.2480092262475484,False,0.43876665814449267,0.4291409094655607,0.4358789335408131,92
cand_0024,0.6,9.007081731534507,1.0,2.0,1.2,0.0,6947.9646076316,10.650134543242507,292851.9414239162,3799.3515096793976,3148.6130979522027,False,1269,35,1269,0.560332584149676,3.1227413046974903,False,0.4425714696528826,0.43479034601000877,0.4402371325600204,99
cand_0025,0.6,9.007081731534507,1.0,2.0,1.2,0.05,6956.41878407427,10.34152068294185,294295.8627434171,3803.7683246179868,3152.650459456283,False,1269,36,1269,0.5539559341679294,3.2516977182000297,False,0.4482439982791349,0.4371166174994043,0.44490578404521575,107
cand_0026,0.6,9.007081731534507,1.0,2.0,1.6,0.0,6973.314966465023,10.65097329790274,292852.74420309893,3799.5214298613473,3173.7935366036754,False,1269,35,1269,0.7506891995923094,3.103443086631537,False,0.45958088945190356,0.4492989641920058,0.45649631187393425,117
cand_0027,0.6,9.007081731534507,1.0,2.0,1.6,0.05,6984.587373081019,10.341713740129686,294296.6883181981,3803.4904843979702,3181.0968886830487,False,1269,36,1269,0.7518746552930107,3.2273001048414858,False,0.46714437593099634,0.4535070539808676,0.4630531793459577,122
cand_0028,0.6,9.007081731534507,1.0,2.0,2.0,0.0,6998.665785238378,10.651981187285182,292853.4648874463,3795.275482959051,3203.390302279327,False,1269,35,1269,0.9220575287052366,3.103443086631537,False,0.47659061785844553,0.46635220852001724,0.473519095056917,129
cand_0029,0.6,9.007081731534507,1.0,2.0,2.0,0.05,7012.756356861989,10.341960072350423,294297.42048504134,3803.48666562725,3209.2696912347387,False,1269,36,1269,0.9189803187000656,3.2046917619453175,False,0.4860450184659109,0.46973983058165797,0.48115346210063503,131
cand_0030,0.6,9.007081731534507,1.0,3.0,1.2,0.0,6947.964525006907,10.650182845872202,292851.9156363062,3802.336140844273,3145.628384162634,False,1269,35,1269,0.5221493622777699,3.020502844358254,False,0.4425714142139003,0.4330705954784643,0.4397211685932695,97
cand_0031,0.6,9.007081731534507,1.0,3.0,1.2,0.05,6956.41868709082,10.34153633526391,294295.83261504344,3819.31004690881,3137.10864018201,False,1269,36,1269,0.5104204606339713,3.2046917619453175,False,0.44824393320580697,0.4281616376110438,0.442219244527378,103
cand_0032,0.6,9.007081731534507,1.0,3.0,1.6,0.0,6973.314559205728,10.651124070731488,292852.6640073594,3853.2446971424447,3120.0698620632834,False,1269,35,1269,0.77917709503037,3.0399815425355414,False,0.4595806161916962,0.4183441308775815,0.44720967059746175,110
cand_0033,0.6,9.007081731534507,1.0,3.0,1.6,0.05,6984.586893243802,10.341762770964952,294296.59429481055,3875.876713778517,3108.7101794652845,False,1269,36,1269,0.7693252711109675,3.187632826651186,False,0.4671440539729239,0.41179883991723504,0.4505404897562172,113
cand_0034,0.6,9.007081731534507,1.0,3.0,2.0,0.0,6998.664823003255,10.652242275961186,292853.3265070699,3874.0383217217113,3124.626501281544,False,1269,35,1269,1.190371007211123,3.2709264529020756,False,0.47658997222414684,0.4209696029563607,0.45990386144381096,119
cand_0035,0.6,9.007081731534507,1.0,3.0,2.0,0.05,7012.75521935041,10.560020724788433,294297.25771652994,3898.6429317979228,3114.112287552487,False,1269,37,1269,1.162055671898561,3.308228005234682,False,0.4860442552257492,0.41491145938744894,0.4647044164742591,123
cand_0036,0.6,10.358143991264683,1.15,1.0,1.2,0.0,6931.324198928457,10.495514758970398,293946.597592989,3827.2015151679525,3104.1226837605045,False,1269,35,1269,0.5155416757816182,2.852189509489656,False,0.4314061958546326,0.4091555887605158,0.42473101372639754,81
cand_0037,0.6,10.358143991264683,1.15,1.0,1.2,0.05,6938.084883617751,9.966045207287957,295507.6358775547,3830.9356725619236,3107.1492110558274,False,1269,36,1269,0.5183657584953476,2.9820473236592555,False,0.43594243633803764,0.41089943165193676,0.42842953493220737,83
cand_0038,0.6,10.358143991264683,1.15,1.0,1.6,0.0,6931.308968690535,10.496271166886368,293947.3633395436,3838.3948999274107,3092.9140687631243,False,1269,35,1269,0.5700158282032046,2.8539528202428253,False,0.4313959767681038,0.40269734084844117,0.42278638599220497,79
cand_0039,0.6,10.358143991264683,1.15,1.0,1.6,0.05,6938.069321454326,9.96619960419818,295508.41768099257,3843.3738916936213,3094.695429760705,False,1269,36,1269,0.5783353330558958,2.9761344962040166,False,0.4359319945382819,0.40372373625465013,0.4262695170531923,82
cand_0040,0.6,10.358143991264683,1.15,1.0,2.0,0.0,6931.293492507619,10.497167867138533,293948.0504407123,3843.965387309673,3087.3281051979457,False,1269,35,1269,0.6739085997227496,2.8425628297736854,False,0.4313855926589936,0.3994787864115039,0.4218135507847467,78
cand_0041,0.6,10.358143991264683,1.15,1.0,2.0,0.05,6938.053470702844,9.96639537454817,295509.11051129625,3855.8122986682606,3082.241172034583,False,1269,36,1269,0.6844495084372442,2.9761344962040166,False,0.43592135910357793,0.39654776634445477,0.42410928127584097,80
cand_0042,0.6,10.358143991264683,1.15,2.0,1.2,0.0,6943.495230526885,10.495490089244841,293946.62229380786,3822.025971487178,3121.469259039707,False,1269,35,1269,0.5513731223376392,2.8400685911594077,False,0.4395726359119573,0.41915044393260786,0.43344597831815246,84
cand_0043,0.6,10.358143991264683,1.15,2.0,1.2,0.05,6951.608345903997,9.966036543226679,295507.6655460382,3841.2695543659397,3110.3387915380576,False,1269,36,1269,0.5483915016224405,2.948137883623091,False,0.445016321590491,0.4127372235195825,0.4353325921692184,89
cand_0044,0.6,10.358143991264683,1.15,2.0,1.6,0.0,6967.822899081547,10.496201139792113,293947.4351951495,3843.8892191570767,3123.93367992447,False,1269,35,1269,0.7383800378148919,2.8301421493799666,False,0.455895857602694,0.42057040893606407,0.445298223002705,108
cand_0045,0.6,10.358143991264683,1.15,2.0,1.6,0.05,6978.640577396521,9.966174976826727,295508.50375135004,3843.373683430796,3135.2668939657246,False,1269,36,1269,0.743555947357208,2.91450042858354,False,0.4631542334276375,0.4271004490825169,0.4523380981241013,114
cand_0046,0.6,10.358143991264683,1.15,2.0,2.0,0.0,6992.1510931551875,10.497057789172501,293948.16645449627,3843.975005600948,3148.1760875542395,False,1269,35,1269,0.9137250792878167,2.8414286366727444,False,0.4722194319027561,0.43453854670288117,0.4609151663427936,120
cand_0047,0.6,10.358143991264683,1.15,2.0,2.0,0.05,7005.673288008468,9.9663566031481,295509.2490691161,3855.0806995501393,3150.592588458329,False,1269,36,1269,0.910648604453437,2.907753582386752,False,0.48129246674123627,0.4359309008806283,0.46768399698305385,125
