T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_pred_mol_per_J,residual_1e-8_per_K,z
74.0,-47.49193419122941,-21.480153189218942,0.5,3.0334096099043015,-7.08119111876111e-08,26.011781002010473,52.023562004020945
75.0,-47.57310637523066,-21.711975267436983,0.5,3.1411690060884396,-6.912068476848355e-08,25.86113110779368,51.72226221558736
76.0,-47.60000000070899,-21.920008742948507,0.5,3.2503809410599014,-6.743827612956873e-08,25.67999125776048,51.35998251552096
77.0,-47.57335202910934,-22.103422674046115,0.5,3.360987815848569,-6.576466171587573e-08,25.469929355063226,50.93985871012645
78.0,-47.49389943201553,-22.261426780699402,0.5,3.4729313568846547,-6.409981797241369e-08,25.232472651316126,50.46494530263225
79.0,-47.362379183002,-22.393272453473386,0.5,3.586152774278297,-6.244372134419167e-08,24.96910672952861,49.93821345905722
80.0,-47.17952825599982,-22.498253561020153,0.5,3.7005929137064024,-6.079634827621874e-08,24.681274694979667,49.362549389959334
81.0,-46.94608362499685,-22.575707064312702,0.5,3.8161924015498334,-5.915767521350404e-08,24.37037656068415,48.7407531213683
82.0,-46.66278226398362,-22.625013446549826,0.5,3.932891783005867,-5.7527678601056684e-08,24.037768817433793,48.07553763486759
83.0,-46.33036114693441,-22.64559696825505,0.5,4.050631652976118,-5.590633488388574e-08,23.68476417867936,47.36952835735872
84.0,-45.94955724778184,-22.636925757534893,0.5,4.169352779598889,-5.4293620507000293e-08,23.312631490246947,46.62526298049389
85.0,-45.521107540370274,-22.598511745764416,0.5,4.28899622035696,-5.2689511915409454e-08,22.922595794605854,45.84519158921171
86.0,-45.04574899837457,-22.52991045914788,0.5,4.4095034307477565,-5.1093985554122356e-08,22.51583853922669,45.03167707845338
87.0,-44.5242185951673,-22.430720676669925,0.5,4.530816365552377,-4.950701786814807e-08,22.09349791849737,44.18699583699474
88.0,-43.95725330361309,-22.300583964924378,0.5,4.652877572783934,-4.792858530249567e-08,21.65666933868871,43.31333867737742
89.0,-43.34559009576302,-22.139184100192892,0.5,4.7756302804338,-4.6358664302174276e-08,21.206405995570126,42.41281199114025
90.0,-42.689965942416706,-21.946246387957974,0.5,4.899018476167431,-4.4797231312193016e-08,20.743719554458732,41.487439108917464
91.0,-41.99111781251263,-21.721536889786677,0.5,5.022986980149835,-4.324426277756095e-08,20.26958092272595,40.5391618454519
92.0,-41.24978267230061,-21.464861567218115,0.5,5.1474815112041625,-4.169973514328717e-08,19.784921105082496,39.56984221016499
93.0,-40.46669748424253,-21.176065351944345,0.5,5.272448746526572,-4.016362485438079e-08,19.290632132298185,38.58126426459637
94.0,-39.642599205578875,-20.85503115119611,0.5,5.397836375196255,-3.863590835585093e-08,18.787568054382767,37.575136108765534
95.0,-38.77822478649051,-20.50167879684052,0.5,5.5235931457318515,-3.7116562092706664e-08,18.276545989649993,36.553091979299985
96.0,-37.87431116777472,-20.115963946272714,0.5,5.649668907954283,-3.560556250995707e-08,17.758347221502007,35.51669444300401
97.0,-36.93159527794545,-19.697876942748284,0.5,5.776014649422906,-3.4102886052611275e-08,17.233718335197167,34.467436670394335
98.0,-35.95081402965632,-19.24744164235603,0.5,5.902582526715032,-3.26085091656784e-08,16.703372387300295,33.40674477460059
99.0,-34.93270431533442,-18.76471421438545,0.5,6.029325891821183,-3.1122408294167505e-08,16.16799010094897,32.33598020189794
100.0,-33.87800300190036,-18.249781921394074,0.5,6.156199313927287,-2.964455988308768e-08,15.628221080506288,31.256442161012576
101.0,-32.78744692443848,-17.702761884839912,0.5,6.283158596853561,-2.8174940377448036e-08,15.084685039598563,30.169370079197126
102.0,-31.661772878667538,-17.1237998417091,0.5,6.41016079241592,-2.6713526222257724e-08,14.537973036958437,29.075946073916874
103.0,-30.501717612048825,-16.513068897145505,0.5,6.5371642099710625,-2.5260293862525752e-08,13.98864871490332,27.97729742980664
104.0,-29.308017813354557,-15.870768277677312,0.5,6.664128422400173,-2.3815219743261262e-08,13.437249535677244,26.87449907135449
105.0,-28.081410100504645,-15.197122089238823,0.5,6.791014268779832,-2.2378280309473344e-08,12.884288011265822,25.768576022531644
106.0,-26.82263100646448,-14.492378083803299,0.5,6.917783853980647,-2.094945200617111e-08,12.33025292266118,24.66050584532236
107.0,-25.53241696298056,-13.756806438078112,0.5,7.044400545426458,-1.9528711278363706e-08,11.775610524902447,23.551221049804894
108.0,-24.21150428191423,-12.990698547363984,0.5,7.170828967237829,-1.811603457106012e-08,11.220805734550245,22.44161146910049
109.0,-22.86062913391679,-12.19436583735139,0.5,7.2970349919751065,-1.6711398329269504e-08,10.666263296565402,21.332526593130805
110.0,-21.48052752417128,-11.368138596312429,0.5,7.422985730186686,-1.5314778998001016e-08,10.11238892785885,20.2247778557177
111.0,-20.07193526490828,-10.512364829853473,0.5,7.548649517959074,-1.392615302226364e-08,9.559570435054807,19.119140870109614
112.0,-18.635587944384035,-9.627409140116871,0.5,7.67399590265571,-1.2545496847066534e-08,9.008178804267166,18.01635760853433
113.0,-17.172220891989664,-8.713651631060047,0.5,7.798995627022241,-1.1172786917418794e-08,8.458569260929616,16.917138521859233
114.0,-15.682569139140362,-7.771486841199942,0.5,7.923620611826497,-9.807999678329518e-09,7.91108229794042,15.82216459588084
115.0,-14.167367375572635,-6.80132270498519,0.5,8.04784393719216,-8.451111574807857e-09,7.366044670587445,14.73208934117489
116.0,-12.62734990065664,-5.80357954375025,0.5,8.171639822776118,-7.102099051862792e-09,6.82377035690639,13.64754071381278
117.0,-11.063250569308558,-4.778689087014094,0.5,8.29498360693059,-5.760938554503499e-09,6.284561482294465,12.56912296458893
118.0,-9.475802732065834,-3.727093524707138,0.5,8.417851724982247,-4.427606527739117e-09,5.748709207358695,11.49741841471739
119.0,-7.865739168864852,-2.6492445907493765,0.5,8.540221686752615,-3.102079416578636e-09,5.2164945781154755,10.432989156230951
120.0,-6.233792016037186,-1.5456026782532684,0.5,8.662072053435358,-1.7843336660311963e-09,4.688189337783918,9.376378675567835
121.0,-4.580692686016328,-0.4166359864888727,0.5,8.783382413938492,-4.74345721105922e-10,4.164056699527456,8.328113399054912
122.0,-2.907171779221993,0.7371803003730155,0.5,8.90413336079221,8.279079731881147e-10,3.644352079595009,7.288704159190018
123.0,-1.2139589875638004,1.91536480283552,0.5,9.024306465715343,2.122450971841737e-09,3.12932379039932,6.25864758079864
124.0,0.4982170110198722,3.1174307041643012,0.5,9.143884254926792,3.409306829845978e-09,2.619213693144429,5.238427386288858
125.0,2.2286286675985836,4.342886477274096,0.5,9.262850184281772,4.688499102191662e-09,2.1142578096755122,4.2285156193510245
126.0,3.976549687500006,5.591236580779044,0.5,9.381188614306199,5.960051343869663e-09,1.6146868932790377,3.2293737865580754
127.0,5.74125516643895,6.86198212464107,0.5,9.49888478519675,7.2239871098709596e-09,1.120726958202119,2.241453916404238
128.0,7.522021738219501,8.154621505913038,0.5,9.61592479184823,8.480329955186431e-09,0.6325997676935367,1.2651995353870733
129.0,9.318127734732666,9.468651015128188,0.5,9.732295558964891,9.729103434806965e-09,0.15052328039552276,0.3010465607910455
130.0,11.128853359002111,10.803565413932814,0.5,9.847984816306928,1.0970331103723449e-08,-0.32528794506929637,-0.6505758901385927
131.0,12.953480872060279,12.158858484599463,0.5,9.962981074118687,1.2204036516926757e-08,-0.7946223874608156,-1.5892447749216312
132.0,14.791294794467797,13.534023552091869,0.5,10.07727359878095,1.3430243229407887e-08,-1.2572712423759285,-2.514542484751857
133.0,16.64158212332076,14.928553979379364,0.5,10.19085238872485,1.4648974796157684e-08,-1.7130281439413968,-3.4260562878827936
134.0,18.503632565621775,16.34194363672293,0.5,10.303708150641592,1.5860254772167e-08,-2.161688928898845,-4.32337785779769
135.0,20.376738788923472,17.77368734567132,0.5,10.415832276018136,1.706410671242684e-08,-2.6030514432521534,-5.206102886504307
136.0,22.26019669018624,19.223281298518593,0.5,10.527216818025456,1.8260554171928055e-08,-3.0369153916676495,-6.073830783335299
137.0,24.153305683825135,20.6902234539861,0.5,10.637854468783255,1.9449620705661547e-08,-3.4630822298390362,-6.9261644596780725
138.0,26.055369009955758,22.174013909894608,0.5,10.747738537021275,2.0631329868618216e-08,-3.881355100061151,-7.762710200122302
139.0,27.965694063883113,23.674155253597124,0.5,10.856862926155364,2.1805705215788908e-08,-4.291538810285991,-8.583077620571983
140.0,29.883592747913255,25.19015289094081,0.5,10.965222112792917,2.2972770302164637e-08,-4.693439856972445,-9.38687971394489
141.0,31.80838184660322,26.721515354524392,0.5,11.07281112568115,2.4132548682736246e-08,-5.086866492078829,-10.173732984157658
142.0,33.73938342660163,28.267754592011073,0.5,11.179625525107957,2.5285063912494606e-08,-5.471628834590553,-10.943257669181106
143.0,35.67592526226912,29.828386235250797,0.5,11.285661382764568,2.6430339546430687e-08,-5.847539027018322,-11.695078054036644
144.0,37.61734128830585,31.40292985095377,0.5,11.390915262076057,2.7568399139535354e-08,-6.214411437352083,-12.428822874704165
145.0,39.562972080651484,32.99090917364926,0.5,11.495384199004853,2.869926624679953e-08,-6.572062907002224,-13.144125814004449
146.0,41.512165366962165,34.59185232164919,0.5,11.599065683330604,2.982296442321408e-08,-6.920313045312973,-13.840626090625946
147.0,43.464276568008046,36.205291996722515,0.5,11.701957640407883,3.093951722376987e-08,-7.258984571285532,-14.517969142571063
148.0,45.418669371375756,37.830765668173676,0.5,11.80405841340276,3.2048948203457924e-08,-7.587903703202082,-15.175807406404164
149.0,47.37471633890064,39.46781574199922,0.5,11.90536674600702,3.315128091726906e-08,-7.906900596901424,-15.813801193802847
150.0,49.33179954929422,41.11598971578499,0.5,12.005881765628622,3.4246538920194155e-08,-8.21580983350923,-16.43161966701846
151.0,51.289311277475726,42.77484031998618,0.5,12.105602967055523,3.53347457672242e-08,-8.514470957489547,-17.028941914979093
152.0,53.24665471215816,44.44392564621558,0.5,12.204530196589126,3.641592501335004e-08,-8.802729065942579,-17.605458131885158
153.0,55.203244713283254,46.122809263150025,0.5,12.302663636643047,3.7490100213562595e-08,-9.080435450133233,-18.160870900266467
154.0,57.15850861094442,47.8110603206437,0.5,12.400003790801803,3.855729492285274e-08,-9.347448290300722,-18.694896580601444
155.0,59.11188704748257,49.50825364262248,0.5,12.496551469333925,3.9617532696211353e-08,-9.603633404860094,-19.20726680972019
156.0,61.06283486448858,51.21396980931251,0.5,12.592307775152891,4.0670837088629436e-08,-9.848865055176075,-19.69773011035215
157.0,63.01082203649547,52.92779522933846,0.5,12.68727409021896,4.17172316550978e-08,-10.08302680715701,-20.16605361431402
158.0,64.95533465319981,54.6493222022128,0.5,12.781452062375143,4.275673995060736e-08,-10.30601245098701,-20.61202490197402
159.0,66.89587595210833,56.37814897171133,0.5,12.874843592608732,4.378938553014907e-08,-10.517726980396999,-21.035453960793998
160.0,68.83196740356846,58.11387977062176,0.5,12.967450822731475,4.4815191948713786e-08,-10.7180876329467,-21.4361752658934
161.0,70.76314985019738,59.856124857326556,0.5,13.059276123469106,4.583418276129243e-08,-10.907024992870822,-21.814049985741644
162.0,72.68898470276429,61.604500544670465,0.5,13.150322082952746,4.6846381522875914e-08,-11.084484158093828,-22.168968316187655
163.0,74.60905519456449,63.35862922153999,0.5,13.240591495602722,4.785181178845505e-08,-11.250425973024496,-22.500851946048993
164.0,76.52296769619488,65.11813936757095,0.5,13.330087351396475,4.8850497113020864e-08,-11.404828328623934,-22.809656657247867
165.0,78.4303530922744,66.88266556137826,0.5,13.418812825511411,4.98424610515642e-08,-11.547687530896148,-23.095375061792296
166.0,80.33086822087914,68.65184848269334,0.5,13.506771268334145,5.08277271590759e-08,-11.679019738185803,-23.358039476371605
167.0,82.22419737500137,70.42533490876905,0.5,13.593966195826313,5.180631899054698e-08,-11.798862466232332,-23.597724932464665
168.0,84.11005386284715,72.20277770540645,0.5,13.680401280238824,5.2778260100968314e-08,-11.907276157440705,-23.81455231488141
169.0,85.98818161983992,73.98383581293733,0.5,13.766080341164997,5.3743574045330766e-08,-12.004345806902599,-24.008691613805198
170.0,87.85835685941744,75.76817422748123,0.5,13.851007336923466,5.4702284378625256e-08,-12.090182631936205,-24.18036526387241
171.0,89.72038974190255,77.5554639777872,0.5,13.935186356262466,5.5654414655842625e-08,-12.164925764115353,-24.329851528230705
172.0,91.57412603112664,79.34538209794911,0.5,14.01862161037583,5.659998843197389e-08,-12.228743933177523,-24.457487866355045
173.0,93.41944869805428,81.13761159627744,0.5,14.101317425222623,5.7539029262009885e-08,-12.281837101776837,-24.563674203553674
174.0,95.25627942130959,82.93184142059357,0.5,14.18327823414131,5.8471560700941483e-08,-12.324438000716006,-24.64887600143201
175.0,97.08457992918034,84.72776642019872,0.5,14.26450857074955,5.939760630375966e-08,-12.356813508981618,-24.713627017963237
176.0,98.90435312991718,86.52508730476447,0.5,14.345013062121984,6.031718962545529e-08,-12.379265825152709,-24.758531650305418
177.0,100.71564399005533,88.32351060037129,0.5,14.424796422236653,6.123033422101925e-08,-12.392133389684027,-24.784266779368053
178.0,102.51854014485055,90.12274860291832,0.5,14.503863445682548,6.213706364544248e-08,-12.39579154193223,-24.79158308386446
179.0,104.31317225665215,91.92251932911051,0.5,14.582219001619723,6.303740145371579e-08,-12.390652927541643,-24.781305855083286
180.0,106.09971416450212,93.72254646522535,0.5,14.6598680279844,6.393137120083022e-08,-12.377167699276777,-24.754335398553554
181.0,107.87838287057245,95.52255931384421,0.5,14.73681552593104,6.48189964417766e-08,-12.355823556728229,-24.711647113456458
182.0,109.64943835696987,97.3222927387294,0.5,14.81306655450367,6.570030073154579e-08,-12.327145618240468,-24.654291236480937
183.0,111.41318308730922,99.12148710801752,0.5,14.888626225529334,6.657530762512877e-08,-12.291695979291699,-24.583391958583398
184.0,113.16996079560849,100.9198882358882,0.5,14.963499698726016,6.744404067751641e-08,-12.250072559720298,-24.500145119440596
185.0,114.92015379677153,102.71724732286263,0.5,15.037692177018116,6.830652344369962e-08,-12.2029064739089,-24.4058129478178
186.0,116.66417760359774,104.51332089487553,0.5,15.111208902052415,6.916277947866929e-08,-12.150856708722202,-24.301713417444404
187.0,118.40247119292495,106.30787074125698,0.5,15.184055149907701,7.001283233741626e-08,-12.09460045166797,-24.18920090333594
188.0,120.1354809717221,108.10066385175469,0.5,15.256236226991579,7.085670557493155e-08,-12.034817119967412,-24.069634239934825
189.0,121.86363653632174,109.8914723527163,0.5,15.327757466117772,7.169442274620603e-08,-11.972164183605427,-23.944328367210854
190.0,123.58731688045648,111.68007344255001,0.5,15.398624222757906,7.25260074062305e-08,-11.90724343790646,-23.81448687581292
191.0,125.30680692054233,113.46624932656897,0.5,15.468841871461267,7.335148310999599e-08,-11.840557593973351,-23.681115187946702
192.0,127.02224607687698,115.24978715132522,0.5,15.538415802437143,7.417087341249338e-08,-11.772458925551776,-23.544917851103552
193.0,128.73357300378984,117.03047893852546,0.5,15.607351418293268,7.498420186871352e-08,-11.703094065264386,-23.406188130528772
194.0,130.44047302300353,118.80812151862372,0.5,15.675654130925318,7.579149203364733e-08,-11.632351504379828,-23.264703008759657
195.0,132.1423368325509,120.58251646417276,0.5,15.743329358551724,7.659276746228569e-08,-11.559820368378148,-23.119640736756295
196.0,133.83824001134406,122.35347002301702,0.5,15.810382522888624,7.738805170961956e-08,-11.484769988327036,-22.969539976654072
197.0,135.5269521622708,124.12079305139841,0.5,15.876819046459524,7.817736833063984e-08,-11.406159110872387,-22.812318221744775
198.0,137.20698192505446,125.88430094704933,0.5,15.942644350035074,7.896074088033733e-08,-11.322680978005126,-22.64536195601025
199.0,138.87665962715084,127.64381358233811,0.5,16.007863850197985,7.973819291370311e-08,-11.23284604481273,-22.46569208962546
200.0,140.53425357267417,129.39915523752268,0.5,16.072482957027955,8.050974798572786e-08,-11.135098335151493,-22.270196670302987
201.0,142.1781098594132,131.15015453418167,0.5,16.13650707190304,8.127542965140263e-08,-11.027955325231552,-22.055910650463105
202.0,143.8068003740621,132.896644368863,0.5,16.199941585411914,8.203526146571836e-08,-10.910156005199097,-21.820312010398194
203.0,145.4192604402082,134.6384618470104,0.5,16.262791875373697,8.27892669836658e-08,-10.780798593197819,-21.561597186395637
204.0,147.014897362076,136.3754482172078,0.5,16.325063304960533,8.353746976023594e-08,-10.6394491448682,-21.2788982897364
205.0,148.59365413668067,138.1074488057893,0.5,16.38676122091954,8.427989335041976e-08,-10.48620533089137,-20.97241066178274
206.0,150.1560185292327,139.8343129518504,0.5,16.44789095188977,8.501656130920797e-08,-10.321705577382332,-20.643411154764664
207.0,151.7029755123632,141.55589394270172,0.5,16.508457806810778,8.574749719159169e-08,-10.147081569661484,-20.29416313932297
208.0,153.23590932033562,143.2720489497929,0.5,16.568467073418788,8.647272455256159e-08,-9.963860370542728,-19.927720741085455
209.0,154.7564685204667,144.98263896514862,0.5,16.62792401682776,8.719226694710871e-08,-9.773829555318095,-19.54765911063619
210.0,156.26641225659642,146.6875287383324,0.5,16.686833878190907,8.790614793022405e-08,-9.578883518264025,-19.15776703652805
211.0,157.76745740535785,148.38658671397468,0.5,16.745201873440326,8.861439105689828e-08,-9.380870691383175,-18.76174138276635
212.0,159.2611447135789,150.07968496988659,0.5,16.803033192101186,8.93170198821225e-08,-9.181459743692292,-18.362919487384584
213.0,160.74873761551171,151.76669915577764,0.5,16.860332996177412,9.001405796088743e-08,-8.982038459734078,-17.964076919468155
214.0,162.2311613993941,153.4475084326038,0.5,16.917106419106208,9.070552884818408e-08,-8.783652966790292,-17.567305933580585
215.0,163.7089839478392,155.12199541255657,0.5,16.97335856477813,9.13914560990035e-08,-8.58698853528263,-17.17397707056526
216.0,165.18243357833472,156.7900460997158,0.5,17.029094506620712,9.207186326833624e-08,-8.392387478618923,-16.784774957237847
217.0,166.65144540931266,158.4515498313767,0.5,17.08431928674207,9.274677391117346e-08,-8.19989557793596,-16.39979115587192
218.0,168.11572558622947,160.10639922006453,0.5,17.139037915132867,9.341621158250606e-08,-8.009326366164931,-16.018652732329862
219.0,169.5748225874366,161.75449009624924,0.5,17.193255368923634,9.408019983732477e-08,-7.820332491187368,-15.640664982374735
220.0,171.02819630382405,163.39572145176908,0.5,17.246976591695194,9.473876223062064e-08,-7.63247485205496,-15.26494970410992
221.0,172.47527805825632,165.02999538397086,0.5,17.30020649284002,9.539192231738464e-08,-7.445282674285473,-14.890565348570947
222.0,173.91551756778549,166.65721704057563,0.5,17.352949946972373,9.603970365260743e-08,-7.258300527209856,-14.516601054419713
223.0,175.3484155119761,168.27729456527672,0.5,17.405211793384986,9.668212979128015e-08,-7.0711209466993745,-14.142241893398749
224.0,176.77354248515132,169.89013904406818,0.5,17.45699683555016,9.731922428839351e-08,-6.883403441083161,-13.766806882166321
225.0,178.19054650594055,171.49566445231818,0.5,17.508309840663713,9.795101069893851e-08,-6.6948820536223534,-13.389764107244707
226.0,179.59915193420113,173.09378760258156,0.5,17.5591555392296,9.857751257790611e-08,-6.505364331619581,-13.010728663239162
227.0,180.99915272464804,174.68442809315474,0.5,17.609538624683257,9.919875348028705e-08,-6.3147246314933145,-12.629449262986629
228.0,182.3904026109114,176.26750825738003,0.5,17.659463753052467,9.981475696107245e-08,-6.12289435353136,-12.24578870706272
229.0,183.77280425365674,177.8429531136892,0.5,17.7089355426534,1.0042554657525297e-07,-5.9298511399675675,-11.859702279935135
230.0,185.14629876309638,179.4106903163961,0.5,17.75795857382074,1.0103114587781963e-07,-5.735608446700273,-11.471216893400547
231.0,186.51085643326024,180.9706501072305,0.5,17.806537388670137,1.0163157842376346e-07,-5.540206326029714,-11.080412652059428
232.0,187.86646906602422,182.52276526761105,0.5,17.85467649089136,1.022268677680751e-07,-5.343703798413177,-10.687407596826354
233.0,189.21314393805832,184.06697107166158,0.5,17.90238034557115,1.0281703746574555e-07,-5.146172866396745,-10.29234573279349
234.0,190.55089926504044,185.60320523995836,0.5,17.94965337904378,1.0340211107176592e-07,-4.947694025082097,-9.895388050164193
235.0,191.87976092011905,187.13140789400873,0.5,17.996499978768455,1.0398211214112679e-07,-4.748353026110314,-9.496706052220627
236.0,193.19976013784583,188.6515215114619,0.5,18.042924493232245,1.0455706422881921e-07,-4.548238626383942,-9.096477252767883
237.0,194.51093195280367,190.16349088203884,0.5,18.088931231877165,1.0512699088983421e-07,-4.347441070764839,-8.694882141529678
238.0,195.81331416185233,191.667263064178,0.5,18.134524465050074,1.0569191567916241e-07,-4.146051097674339,-8.292102195348678
239.0,197.10694664501014,193.16278734240097,0.5,18.179708423974915,1.0625186215179505e-07,-3.9441593026091573,-7.8883186052183145
240.0,198.39187092339478,194.65001518537483,0.5,18.2244873007453,1.0680685386272268e-07,-3.7418557380199347,-7.483711476039869
241.0,199.66812986896076,196.12890020468296,0.5,18.268865248337136,1.0735691436693639e-07,-3.5392296642777854,-7.078459328555571
242.0,200.93576750878654,197.5993981142874,0.5,18.312846380640128,1.0790206721942713e-07,-3.3363693944991333,-6.672738788998267
243.0,202.19482888694844,199.06146669067462,0.5,18.356434772506642,1.0844233597518568e-07,-3.1333621962737976,-6.266724392547595
244.0,203.44535996095092,200.5150657336885,0.5,18.39963445981794,1.0897774418920306e-07,-2.9302942272624497,-5.860588454524899
245.0,204.68740751882626,201.960157028032,0.5,18.442449439566246,1.0950831541646996e-07,-2.727250490794259,-5.454500981588518
246.0,205.9210191087768,203.39670430543615,0.5,18.484883669951785,1.1003407321197749e-07,-2.524314803340615,-5.04862960668123
247.0,207.14624297672322,204.82467320748802,0.5,18.526941070494487,1.1055504113071656e-07,-2.3215697692352157,-4.6431395384704315
248.0,208.36312800916946,206.24403124910725,0.5,18.56862552215895,1.1107124272767795e-07,-2.1190967600622015,-4.238193520124403
249.0,209.57172367995594,207.65474778266895,0.5,18.609940867492416,1.1158270155785254e-07,-1.9169758972869804,-3.8339517945739607
250.0,210.77208000010972,209.05679396275906,0.5,18.6508909107747,1.1208944117623146e-07,-1.71528603735065,-3.4305720747013
251.0,211.9642474703438,210.4501427115568,0.5,18.691479418179643,1.1259148513780536e-07,-1.514104758787009,-3.028209517574018
252.0,213.14827703593286,211.83476868483848,0.5,18.731710117947276,1.130888569975652e-07,-1.3135083510943641,-2.6270167021887283
253.0,214.32422004379038,213.21064823858734,0.5,18.771586700565862,1.1358158031050203e-07,-1.1135718052030226,-2.227143610406045
254.0,215.49212820161281,214.5777593962109,0.5,18.81111281896393,1.140696786316065e-07,-0.9143688054019233,-1.8287376108038467
255.0,216.6520535389865,215.93608181634883,0.5,18.85029208871069,1.1455317551586983e-07,-0.7159717226376753,-1.4319434452753506
256.0,217.80404837036156,217.28559676126724,0.5,18.88912808822524,1.1503209451828259e-07,-0.518451609094309,-1.036903218188618
257.0,218.9481652598093,218.6262870658313,0.5,18.9276243589933,1.1550645919383585e-07,-0.3218781939779743,-0.6437563879559486
258.0,220.08445698748176,219.95813710704633,0.5,18.96578440579152,1.1597629309752062e-07,-0.12631988043543516,-0.2526397608708703
259.0,221.2129765176993,221.28113277415773,0.5,19.00361169691845,1.1644161978432752e-07,0.06815625645843898,0.13631251291687796
260.0,222.33377696859355,222.59526143930646,0.5,19.041109664431954,1.1690246280924775e-07,0.2614844707129194,0.5229689414258388
261.0,223.446911583237,223.9005119287226,0.5,19.078281704392424,1.1735884572727197e-07,0.4536003454855812,0.9072006909711624
262.0,224.55243370219443,225.19687449446323,0.5,19.11513117711192,1.1781079209339119e-07,0.6444407922687702,1.2888815845375403
263.0,225.65039673743382,226.48434078666654,0.5,19.151661407407683,1.1825832546259643e-07,0.833944049232722,1.667888098465444
264.0,226.74085414753603,227.76290382633292,0.5,19.187875684861087,1.1870146938987833e-07,1.0220496787968645,2.044099357593729
265.0,227.82385941414725,229.03255797861155,0.5,19.223777264080287,1.1914024743022793e-07,1.2086985644643284,2.417397128928657
266.0,228.89946601961975,230.29329892659416,0.5,19.259369364967455,1.1957468313863626e-07,1.3938329069744273,2.7876658139488546
267.0,229.96772742578705,231.54512364559542,0.5,19.294655172989035,1.20004800070094e-07,1.5773962198083857,3.1547924396167715
268.0,231.02869705382648,232.7880303779263,0.5,19.32963783944974,1.2043062177959208e-07,1.759333324099814,3.518666648199628
269.0,232.08242826515897,234.02201860814301,0.5,19.364320481769447,1.2085217182212162e-07,1.939590342984025,3.87918068596805
270.0,233.128974343342,235.2470890387612,0.5,19.398706183762545,1.2126947375267323e-07,2.1181146954191834,4.236229390838367
271.0,234.16838847691133,236.46324356644064,0.5,19.43279799592012,1.2168255112623806e-07,2.294855089529303,4.589710179058606
272.0,235.20072374313054,237.67048525861654,0.5,19.46659893569398,1.2209142749780684e-07,2.4697615154859944,4.939523030971989
273.0,236.22603309260796,238.8688183305806,0.5,19.50011198778265,1.224961264223705e-07,2.642785237972624,5.285570475945248
274.0,237.24436933474325,240.05824812300048,0.5,19.533340104419068,1.228966714549201e-07,2.813878788257231,5.627757576514462
275.0,238.25578512396697,241.2387810798674,0.5,19.566286205659576,1.2329308615044625e-07,2.9829959559004533,5.965991911800907
276.0,239.2603329467382,242.41042472687423,0.5,19.5989531796744,1.2368539406394023e-07,3.1500917801360377,6.3001835602720755
277.0,240.25806510926708,243.5731876501984,0.5,19.631343883038618,1.2407361875039254e-07,3.315122540931337,6.630245081862674
278.0,241.2490337259306,244.72707947570441,0.5,19.663461141024353,1.244577837647943e-07,3.4780457497738384,6.956091499547677
279.0,242.23329070835004,245.87211084854246,0.5,19.695307747893462,1.248379126621365e-07,3.638820140192397,7.277640280384794
280.0,243.21088775510202,247.00829341313943,0.5,19.726886467190436,1.252140289974098e-07,3.7974056580374067,7.594811316074813
281.0,244.18187634203488,248.13563979358148,0.5,19.758200032035713,1.2558615632560522e-07,3.953763451546586,7.907526903093172
282.0,245.14630771316288,249.2541635743738,0.5,19.789251145419033,1.2595431820171378e-07,4.107855861210905,8.21571172242181
283.0,246.10423287211353,250.36387928157276,0.5,19.820042480492663,1.263185381807262e-07,4.25964640945921,8.51929281891842
284.0,247.05570257410363,251.46480236428962,0.5,19.85057668086459,1.2667883981763348e-07,4.409099790185968,8.818199580371935
285.0,248.0007673184192,252.5569491765457,0.5,19.88085636089095,1.270352466674265e-07,4.5561818581264735,9.112363716252947
286.0,248.9394773413784,253.64033695948686,0.5,19.910884105968282,1.2738778228509613e-07,4.700859618108462,9.401719236216923
287.0,249.87188260975526,254.71498382394424,0.5,19.94066247282521,1.277364702256334e-07,4.843101214188996,9.686202428377992
288.0,250.79803281464336,255.78090873332945,0.5,19.970193989812977,1.2808133404402892e-07,4.982875918686115,9.96575183737223
289.0,251.71797736574055,256.83813148687096,0.5,19.99948115719555,1.2842239729527383e-07,5.120154121130424,10.240308242260848
290.0,252.63176538603471,257.88667270317205,0.5,20.028526447438473,1.2875968353435916e-07,5.254907317137335,10.50981463427467
291.0,253.53944570687383,258.92655380409394,0.5,20.05733230549697,1.2909321631627542e-07,5.3871080972201275,10.774216194440255
292.0,254.4410668634019,259.95779699895166,0.5,20.085901149102394,1.294230191960139e-07,5.516730135549781,11.033460271099562
293.0,255.3366770903448,260.9804252690198,0.5,20.114235369047922,1.297491157285652e-07,5.643748178674994,11.287496357349989
294.0,256.22632431813025,261.9944623523448,0.5,20.14233732947274,1.3007152946892034e-07,5.768138034214509,11.536276068429018
295.0,257.110056169326,262.99993272884893,0.5,20.170209368144604,1.3039028397207038e-07,5.889876559522916,11.779753119045832
296.0,257.9879199553827,263.9968616057319,0.5,20.197853796741324,1.3070540279300594e-07,6.008941650349184,12.017883300698369
297.0,258.8599626736669,264.98527490315695,0.5,20.225272901130378,1.3101690948671802e-07,6.125312229490017,12.250624458980035
298.0,259.7262310047707,265.96519924021646,0.5,20.252468941646956,1.313248276081977e-07,6.238968235445753,12.477936470891507
