T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_pred_mol_per_J,residual_1e-8_per_K,z
300.0,261.4416296296297,267.89969092198396,0.5,20.306200746399334,1.3192999235442285e-07,6.458061292354263,12.916122584708527
301.0,262.29085168011136,268.8543148770564,0.5,20.332740906123515,1.3222728608915034e-07,6.56346319694506,13.12692639389012
302.0,263.1344828532268,269.800563066307,0.5,20.359066793495966,1.3252108547160874e-07,6.666080213080183,13.332160426160366
303.0,263.97256821417204,270.73846540244546,0.5,20.385180545301598,1.328114140567892e-07,6.765897188273383,13.531794376546767
304.0,264.80515250036456,271.6680524185168,0.5,20.411084274424525,1.3309829539968245e-07,6.862899918152289,13.725799836304578
305.0,265.63228012036257,272.5893552556937,0.5,20.436780070113514,1.3338175305527943e-07,6.957075135331145,13.91415027066229
306.0,266.45399515297316,273.5024056513007,0.5,20.462269998245013,1.336618105785713e-07,7.048410498327559,14.096820996655119
307.0,267.27034134653985,274.40723592708025,0.5,20.487556101584605,1.3393849152454855e-07,7.1368945805404,14.2737891610808
308.0,268.0813621184011,275.3038789776893,0.5,20.512640400046134,1.3421181944820236e-07,7.222516859288214,14.445033718576427
309.0,268.88710055451145,276.1923682594185,0.5,20.537524890948724,1.344818179045235e-07,7.305267704907111,14.610535409814222
310.0,269.68759940921757,277.07273777913827,0.5,20.562211549271836,1.347485104485029e-07,7.385138369920725,14.77027673984145
311.0,270.48290110518104,277.9450220834599,0.5,20.586702327908036,1.350119206351316e-07,7.4621209782788736,14.924241956557747
312.0,271.2730477334412,278.8092562481105,0.5,20.61099915791373,1.3527207201940028e-07,7.536208514669271,15.072417029338542
313.0,272.05808105361103,279.6654758675178,0.5,20.63510394875754,1.355289881562999e-07,7.60739481390675,15.2147896278135
314.0,272.8380424941982,280.5137170446028,0.5,20.659018588566845,1.3578269260082145e-07,7.6756745504045965,15.351349100809193
315.0,273.6129731530472,281.35401638076644,0.5,20.68274494437156,1.3603320890795587e-07,7.741043227719241,15.482086455438482
316.0,274.3829137978943,282.18641096608025,0.5,20.706284862346205,1.3628056063269382e-07,7.803497168185967,15.606994336371933
317.0,275.14790486703,283.0109383696676,0.5,20.729640168049393,1.3652477133002654e-07,7.863033502637619,15.726067005275238
318.0,275.9079864700639,283.82763663027396,0.5,20.752812666661313,1.367658645549446e-07,7.919650160210059,15.839300320420119
319.0,276.6631983887873,284.63654424702816,0.5,20.775804143219055,1.370038638624391e-07,7.973345858240872,15.946691716481745
320.0,277.41358007812505,285.4377001703732,0.5,20.798616362849,1.372387928075009e-07,8.024120092248118,16.048240184496237
321.0,278.1591706671763,286.231143793192,0.5,20.82125107099802,1.3747067494512093e-07,8.071973126015731,16.143946252031462
322.0,278.900008960336,287.0169149420931,0.5,20.84370999366139,1.3769953383029004e-07,8.116905981757087,16.233811963514174
323.0,279.6361334384941,287.79505386887837,0.5,20.86599483760916,1.379253930179991e-07,8.158920430384258,16.317840860768516
324.0,280.3675822603074,288.5656012421744,0.5,20.888107290609952,1.3814827606323924e-07,8.198018981866989,16.396037963733978
325.0,281.09439326354124,289.32859813922744,0.5,20.910049021652544,1.38368206521001e-07,8.234204875686174,16.46840975137235
326.0,281.81660396647504,290.0840860378626,0.5,20.931821681165125,1.3858520794627549e-07,8.267482071387619,16.534964142775237
327.0,282.53425156937,290.8321068086,0.5,20.953426901232426,1.3879930389405372e-07,8.29785523922995,16.5957104784599
328.0,283.2473729559931,291.5727027069247,0.5,20.974866295810557,1.390105179193263e-07,8.325329750931584,16.650659501863167
329.0,283.9560046951965,292.30591636571324,0.5,20.996141460939636,1.3921887357708427e-07,8.349911670516752,16.699823341033504
330.0,284.6601830425467,293.03179078780306,0.5,21.017253974953984,1.3942439442231873e-07,8.37160774525637,16.74321549051274
331.0,285.3599439420014,293.7503693387108,0.5,21.03820539869036,1.3962710401002026e-07,8.39042539670946,16.78085079341892
332.0,286.055323027631,294.46169573949584,0.5,21.058997275693795,1.3982702589517987e-07,8.406372711864856,16.812745423729712
