scope,rank,group_key,n_rows,n_qbeta_gt3,n_logft_gt3,frac_qbeta_gt3,frac_logft_gt3,share_fail_qbeta,share_fail_logft,p95_abs_z_qbeta,max_abs_z_qbeta,p95_abs_z_logft,max_abs_z_logft,priority_score
nuclide,4,42sc,2,2,0,1.0,nan,0.001607717041800643,0.0,123355.9936122746,128594.38901975319,nan,nan,66.10717771290172
nuclide,5,115in,2,2,0,1.0,nan,0.001607717041800643,0.0,117137.65361210544,123124.27181765447,nan,nan,62.77473398290753
nuclide,6,34cl,2,2,1,1.0,1.0,0.001607717041800643,0.022727272727272728,108700.71614366147,109136.47380559007,5.566994137672067,5.566994137672067,58.268092236004044
nuclide,7,28si,2,2,0,1.0,nan,0.001607717041800643,0.0,83157.40023536963,86952.85973627797,nan,nan,44.564523170080186
nuclide,8,87rb,2,2,0,1.0,nan,0.001607717041800643,0.0,81171.77827001191,84456.24799094452,nan,nan,43.50041707932043
nuclide,9,23na,2,2,0,1.0,nan,0.001607717041800643,0.0,73365.07364847648,74972.39963781438,nan,nan,39.316759725871634
nuclide,10,9li,2,2,1,1.0,1.0,0.001607717041800643,0.022727272727272728,62803.83617639632,66091.75535355735,8.315389459344015,8.315389459344015,33.67898095155823
nuclide,11,46v,2,2,1,1.0,1.0,0.001607717041800643,0.022727272727272728,58557.32614231378,61607.8334375045,6.219109282747812,6.219109282747812,31.397693782917525
nuclide,12,25mg,2,2,0,1.0,nan,0.001607717041800643,0.0,55414.57276874024,58160.35765811145,nan,nan,29.696984334801844
nuclide,13,11b,2,2,0,1.0,nan,0.001607717041800643,0.0,50377.528169976606,52745.73993575404,nan,nan,26.997603520887786
nuclide,14,36k,2,2,1,1.0,1.0,0.001607717041800643,0.022727272727272728,33351.67374967881,35093.549276246646,7.60456864904521,7.60456864904521,17.893515048971608
nuclide,15,36ar,2,2,0,1.0,nan,0.001607717041800643,0.0,32773.52525435818,34168.05274111218,nan,nan,17.563518357105135
nuclide,16,124sb,2,2,0,1.0,nan,0.001607717041800643,0.0,27273.06024732587,28649.042154460043,nan,nan,14.615787913893822
nuclide,17,40k,2,2,0,1.0,nan,0.001607717041800643,0.0,25946.66885091404,26584.545141981827,nan,nan,13.90496722985747
nuclide,18,62zn,2,2,0,1.0,nan,0.001607717041800643,0.0,21223.50988841332,22270.70644081665,nan,nan,11.37379951147552
nuclide,19,37k,2,2,1,1.0,1.0,0.001607717041800643,0.022727272727272728,20844.204220439904,21037.371933321407,5.828355501960305,5.828355501960305,11.185981422246572
nuclide,20,22mg,2,2,1,1.0,1.0,0.001607717041800643,0.022727272727272728,19803.366290013364,20843.311687725276,5.094909933338927,5.094909933338927,10.626245720708807
