T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_low_J_per_molK,Cv_high_J_per_molK,contrib_low_1e-8_per_K,contrib_high_1e-8_per_K
387.0,318.47422928160364,320.2008643747481,0.5,1.7266350931444798,3.4532701862889597,11.735182010970751,9.719246511924085,-110.60734653977836,430.8082109145265
388.0,318.9724445140812,320.7061948917974,0.5,1.7337503777162486,3.4675007554324973,11.738759537359828,9.73140773992275,-110.64106571862891,431.3472606104263
389.0,319.4678624234843,321.2084201289169,0.5,1.7405577054325985,3.481115410865197,11.742311576117656,9.743493491606388,-110.67454466948307,431.88296479839994
390.0,319.96050415549826,321.70756327028505,0.5,1.747059114786822,3.494118229573644,11.745838363722362,9.755504340306002,-110.70778562121276,432.41534889149784
391.0,320.45039066548446,322.20364731353465,0.5,1.75325664805019,3.50651329610038,11.749340133977945,9.767440854575398,-110.74079077748557,432.94443809102023
392.0,320.93754272029514,322.6966950710423,0.5,1.7591523507471738,3.5183047014943476,11.752817118049656,9.779303598227822,-110.77356231709814,433.47025738814045
393.0,321.42198090007463,323.18672917122626,0.5,1.7647482711516278,3.5294965423032556,11.756269544498778,9.791093130372612,-110.80610239430392,433.9928315655302
394.0,321.90372560004596,323.67377205984127,0.5,1.7700464597953427,3.5400929195906854,11.75969763931685,9.802810005451711,-110.83841313913595,434.5121851989772
395.0,322.3827970322835,324.1578460012702,0.5,1.7750489689866762,3.5500979379733524,11.763101625959345,9.814454773275946,-110.870496657724,435.0283426589942
396.0,322.85921522747117,324.63897307982234,0.5,1.7797578523511641,3.5595157047023283,11.766481725378991,9.82602797906142,-110.90235503260888,435.54132811243124
397.0,323.3330000366466,325.11717520102724,0.5,1.7841751643806454,3.5683503287612908,11.769838156058418,9.837530163465635,-110.93399032304995,436.0511655240772
398.0,323.80417113293043,325.59247409292766,0.5,1.7883029599972098,3.5766059199944196,11.773171134042393,9.848961862623518,-110.96540456532915,436.5578786582568
399.0,324.2727480132421,326.06489130737225,0.5,1.792143294130189,3.584286588260378,11.776480872969804,9.860323608183391,-110.99659977305222,437.0614910804245
400.0,324.73875000000004,326.53444822130643,0.5,1.7956982213064039,3.5913964426128078,11.779767584104677,9.87161592734268,-111.02757793744125,437.5620261587477
401.0,325.20219624280884,327.0011660380641,0.5,1.7989697952552794,3.597939590510559,11.783031476367231,9.882839342883662,-111.05834102762726,438.0595070656914
402.0,325.66310572013083,327.4650657886513,0.5,1.8019600685205215,3.603920137041043,11.786272756364154,9.893994373208873,-111.08889099093562,438.55395677958694
403.0,326.121497240944,327.9261683330315,0.5,1.8046710920875488,3.6093421841750977,11.78949162841863,9.905081532376476,-111.11922975316905,439.0453980862006
404.0,326.5773894463851,328.3844943614112,0.5,1.8071049150261311,3.6142098300522623,11.792688294599797,9.916101330135538,-111.14935921888521,439.5338535802964
405.0,327.0308008113789,328.8400643955142,0.5,1.8092635841353115,3.618527168270623,11.795862954751891,9.92705427196097,-111.17928127167147,440.0193456671857
406.0,327.4817496462524,329.2928987898614,0.5,1.8111491436089568,3.6222982872179137,11.799015806522748,9.937940859088462,-111.20899777441352,440.5018965642749
407.0,327.9302540983353,329.7430177330419,0.5,1.8127636347065574,3.625527269413115,11.802147045392168,9.948761588549198,-111.23851056956276,440.98152830260466
