T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_obs_alpha_over_Cv_mol_per_J,A_eff_model_mol_per_J,residual_1e-8_per_K,rel_residual
53.0,-32.785282943173925,-8.840032081992833,0.5,1.1915818733921801,-2.7514083316693295e-07,-7.418736621787592e-08,23.94525086118109,-0.7303658444151577
54.0,-33.97744650673043,-9.22560470446173,0.5,1.2585780716347905,-2.6996693548455433e-07,-7.33018071137885e-08,24.7518418022687,-0.7284785746735184
55.0,-35.147901529178526,-9.614430003468355,0.5,1.3277743931954757,-2.6471290385854e-07,-7.241011765809007e-08,25.53347152571017,-0.7264579225167453
56.0,-36.28160563772687,-10.005763178222654,0.5,1.3991661398770863,-2.5930877401674495e-07,-7.151233075938815e-08,26.27584245950421,-0.7242193943087701
57.0,-37.3687325204642,-10.398827610105743,0.5,1.4727448386607593,-2.537352808137862e-07,-7.060848109684716e-08,26.96990491035845,-0.7217238341061997
58.0,-38.40518380186532,-10.792817002823517,0.5,1.5484982780571956,-2.48015670059704e-07,-6.969860513093106e-08,27.6123667990418,-0.7189749941439073
59.0,-39.39057708632551,-11.186897691009303,0.5,1.6264105660733972,-2.421933176530278e-07,-6.878274111325749e-08,28.2036793953162,-0.7160006651719542
60.0,-40.325512945819106,-11.580211092439612,0.5,1.706462208340293,-2.3631061238115403e-07,-6.786092909553818e-08,28.745301853379495,-0.7128316480933882
61.0,-41.20970843881951,-11.971876278628253,0.5,1.7886302047861835,-2.3039814674127013e-07,-6.693321093758112e-08,29.23783216019126,-0.7094889352007461
62.0,-42.04154377632751,-12.360992638633501,0.5,1.8728881631249936,-2.2447439523660294e-07,-6.599963031433046e-08,29.680551137694007,-0.7059814762179678
63.0,-42.81861843428044,-12.746642611388742,0.5,1.9592064273532765,-2.1855082668407126e-07,-6.506023272192091e-08,30.071975822891698,-0.7023107452438535
64.0,-43.538579731641384,-13.127894462688806,0.5,2.047552219411878,-2.1263721295541388e-07,-6.411506548272334e-08,30.41068526895258,-0.6984767407755336
65.0,-44.19969727735163,-13.50380508407313,0.5,2.1378897921630813,-2.0674450778227964e-07,-6.316417774936006e-08,30.695892193278503,-0.6944819554003457
66.0,-44.80103857773052,-13.873422792180664,0.5,2.230180591856996,-2.008852500165747e-07,-6.220762050766809e-08,30.927615785549857,-0.6903325629804307
67.0,-45.34235992474759,-14.235790108662517,0.5,2.3243834283084652,-1.9507263462872305e-07,-6.124544657858966e-08,31.10656981608507,-0.6860377330979478
68.0,-45.82389059404059,-14.589946502370355,0.5,2.4204546510727356,-1.8931935193965164e-07,-6.027771061897049e-08,31.23394409167024,-0.6816082983519566
69.0,-46.24613360616911,-14.934931077253111,0.5,2.518348329991619,-1.8363676325237747e-07,-5.930446912124668e-08,31.311202528916002,-0.6770555738899472
70.0,-46.60972930414598,-15.269785191148662,0.5,2.6180164385775524,-1.780345173442473e-07,-5.8325780412002296e-08,31.33994411299732,-0.6723906055856368
71.0,-46.91537870663838,-15.593554992416827,0.5,2.71940903880772,-1.7252049264059095e-07,-5.7341704649380605e-08,31.32182371422155,-0.667623806472431
72.0,-47.163806689398015,-15.905293863100379,0.5,2.822474466011756,-1.6710091537530166e-07,-5.6352303819332873e-08,31.258512826297633,-0.6627648406786524
73.0,-47.355746534351695,-16.204064758991997,0.5,2.9271595126510968,-1.6178054639551264e-07,-5.5357641730689795e-08,31.151681775359698,-0.6578226309400989
74.0,-47.49193419122941,-16.48894243861296,0.5,3.0334096099043015,-1.5656287906573784e-07,-5.4357784009041746e-08,31.002991752616456,-0.6528054138157621
75.0,-47.57310637523066,-16.759015574656416,0.5,3.1411690060884396,-1.5145032401319712e-07,-5.335279808941476e-08,30.81409080057424,-0.6477208059009125
76.0,-47.60000000070899,-17.013388742901167,0.5,3.2503809410599014,-1.4644437333301411e-07,-5.234275320773125e-08,30.58661125780782,-0.6425758667510976
77.0,-47.57335202910934,-17.251184284958264,0.5,3.360987815848569,-1.4154574379823573e-07,-5.132772039104448e-08,30.322167744151077,-0.6373771544539777
78.0,-47.49389943201553,-17.47154404246003,0.5,3.4729313568846547,-1.3675450088544014e-07,-5.030777244653819e-08,30.0223553895555,-0.6321307736066308
79.0,-47.362379183002,-17.673630961443507,0.5,3.586152774278297,-1.3207016589674863e-07,-4.9282983949283294e-08,29.688748221558487,-0.6268424165695957
80.0,-47.17952825599982,-17.856630566711416,0.5,3.7005929137064024,-1.2749180835658637e-07,-4.825343122874532e-08,29.322897689288407,-0.6215173990333279
81.0,-46.94608362499685,-18.019752306879727,0.5,3.8161924015498334,-1.2301812562157792e-07,-4.721919235403734e-08,28.92633131811712,-0.6161606908294912
82.0,-46.66278226398362,-18.162230771640616,0.5,3.932891783005867,-1.1864751139508791e-07,-4.6180347117914896e-08,28.500551492343003,-0.6107769427701052
83.0,-46.33036114693441,-18.283326783488455,0.5,4.050631652976118,-1.1437811461551715e-07,-4.513697701951043e-08,28.047034363445952,-0.6053705101606309
84.0,-45.94955724778184,-18.38232836677979,0.5,4.169352779598889,-1.1020788999342578e-07,-4.408916524580646e-08,27.56722888100205,-0.5999454735188514
85.0,-45.521107540370274,-18.45855159752919,0.5,4.28899622035696,-1.0613464130444417e-07,-4.303699665184816e-08,27.06255594284108,-0.5945056569381737
86.0,-45.04574899837457,-18.51134133779005,0.5,4.4095034307477565,-1.021560583993826e-07,-4.198055773969752e-08,26.53440766058452,-0.5890546444580594
87.0,-44.5242185951673,-18.54007185883557,0.5,4.530816365552377,-9.826974876687394e-08,-4.091993663613256e-08,25.984146736331727,-0.5835957947424162
88.0,-43.95725330361309,-18.544147357650274,0.5,4.652877572783934,-9.447326437457145e-08,-3.9855223069097093e-08,25.41310594596282,-0.5781322543161261
89.0,-43.34559009576302,-18.523002371468714,0.5,4.7756302804338,-9.076412442008738e-08,-3.8786508342907475e-08,24.82258772429431,-0.5726669695683918
90.0,-42.689965942416706,-18.476102095264917,0.5,4.899018476167431,-8.71398345405173e-08,-3.7713885312224883e-08,24.21386384715179,-0.567202697697468
91.0,-41.99111781251263,-18.402942607208693,0.5,5.022986980149835,-8.359790295785327e-08,-3.66374483548029e-08,23.588175205303934,-0.5617420167432424
92.0,-41.24978267230061,-18.303051007166825,0.5,5.1474815112041625,-8.013585397541516e-08,-3.555729334302193e-08,22.946731665133786,-0.5562873348310415
93.0,-40.46669748424253,-18.17598547334739,0.5,5.272448746526572,-7.675123918634871e-08,-3.4473517614223404e-08,22.29071201089514,-0.5508408987309874
94.0,-39.642599205578875,-18.021335242167115,0.5,5.397836375196255,-7.344164670819156e-08,-3.338621993985857e-08,21.62126396341176,-0.5454048018215975
95.0,-38.77822478649051,-17.83872051636991,0.5,5.5235931457318515,-7.020470871656238e-08,-3.2295500493467935e-08,20.9395042701206,-0.5399809915335646
96.0,-37.87431116777472,-17.627792306343586,0.5,5.649668907954283,-6.70381075153815e-08,-3.120146081750926e-08,20.24651886143113,-0.5345712763393526
97.0,-36.93159527794545,-17.3882322094785,0.5,5.776014649422906,-6.393958034998295e-08,-3.01042037890534e-08,19.54336306846695,-0.5291773323460446
98.0,-35.95081402965632,-17.119752132284756,0.5,5.902582526715032,-6.090692314244364e-08,-2.9003833584369082e-08,18.831061897371566,-0.5238007095426981
99.0,-34.93270431533442,-16.822093959844413,0.5,6.029325891821183,-5.7937993304891415e-08,-2.7900455642418806e-08,18.110610355490007,-0.518442837749037
100.0,-33.87800300190036,-16.495029177017024,0.5,6.156199313927287,-5.503071176603641e-08,-2.6794176627290162e-08,17.38297382488334,-0.5131050323098517
101.0,-32.78744692443848,-16.13835844565201,0.5,6.283158596853561,-5.21830643282784e-08,-2.5685104389587866e-08,16.649088478786467,-0.5077884995789925
102.0,-31.661772878667538,-15.751911141885564,0.5,6.41016079241592,-4.9393102457160924e-08,-2.4573347926813613e-08,15.909861736781973,-0.5024943422388521
