T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,z,alpha_contrib_D_1e-8_per_K,alpha_contrib_E1_1e-8_per_K,alpha_contrib_E2_1e-8_per_K,alpha_contrib_E3_1e-8_per_K
313.0,272.05808105361103,272.84498517610234,0.5,1.5738082449825725,266.0792038443918,-162.16000488963843,-434.96706980224735,603.8928560235963
314.0,272.8380424941982,273.64114593188486,0.5,1.6062068753732888,266.38757100050054,-162.20060216776545,-435.94385679386556,605.3980338930154
315.0,273.6129731530472,274.4320493457091,0.5,1.6381523853237845,266.6935103298261,-162.24082542932277,-436.9139257663441,606.8932902115498
316.0,274.3829137978943,275.2177335690531,0.5,1.6696395423176744,266.99704563785315,-162.2806792165313,-437.8773290912244,608.3786962389556
317.0,275.14790486703,275.99823654145354,0.5,1.7006633488471017,267.2982004642344,-162.32016800346491,-438.8341187830147,609.8543228636987
318.0,275.9079864700639,276.7735959887873,0.5,1.731219037446754,267.59699808585316,-162.35929619726295,-439.7843464986095,611.3202405988065
319.0,276.6631983887873,277.5438494216814,0.5,1.7613020657881868,267.8934615198578,-162.39806813931693,-440.7280635368385,612.776519577979
320.0,277.41358007812505,278.30903413402507,0.5,1.7909081117999823,268.1876135266581,-162.4364881064335,-441.665320838141,614.2232295519415
321.0,278.1591706671763,279.0691872016132,0.5,1.8200330688738817,268.47947661290647,-162.47456031197348,-442.5961689843606,615.6604398850408
322.0,278.900008960336,279.8243454808828,0.5,1.8486730410937027,268.76907303443704,-162.51228890696817,-443.52065819865726,617.0882195520712
323.0,279.6361334384941,280.57454560776745,0.5,1.876824338546673,269.0564247991844,-162.54967798121254,-444.43883834552776,618.5066371353233
324.0,280.3675822603074,281.3198239966454,0.5,1.9044834726760147,269.34155367006906,-162.58673156433642,-445.35075893093625,619.9157608218491
325.0,281.09439326354124,282.0602168393921,0.5,1.9316471517017157,269.62448116785527,-162.62345362685448,-446.2564691025436,621.3156584009349
326.0,281.81660396647504,282.7957601045203,0.5,1.9583122760905964,269.9052285739778,-162.65984808119458,-447.15601765004027,622.7063972617774
327.0,282.53425156937,283.5264895364214,0.5,1.9844759341028648,270.18381693334186,-162.69591878270595,-448.0494530055673,624.0880443913528
328.0,283.2473729559931,284.25244065468775,0.5,2.010135397389324,270.4602670570931,-162.73166953064685,-448.93682324423327,625.4606663724747
329.0,283.9560046951965,284.9736487535242,0.5,2.0352881166553267,270.73459952535984,-162.76710406915274,-449.8181760847151,626.8243293820321
330.0,284.6601830425467,285.6901489012408,0.5,2.05993171738817,271.00683468996294,-162.80222608818514,-450.6935588899414,628.1790991894044
331.0,285.3599439420014,286.4019759398242,0.5,2.084063995645648,271.276992677101,-162.8370392244616,-451.5630186678587,629.5250411550435
332.0,286.055323027631,287.10916448458715,0.5,2.107682913912369,271.54509339000475,-162.8715470623674,-452.42660207227004,630.8622202292199
333.0,286.7463556253817,287.8117489238928,0.5,2.1307865970223046,271.811156511563,-162.90575313484908,-453.2843554037483,632.1907009509272
334.0,287.4330767548771,288.509763418946,0.5,2.153373328137841,272.075201506921,-162.9396609242905,-454.13632461061974,633.5105474469352
335.0,288.1155211312562,289.2032419036576,0.5,2.175441544802862,272.337247626049,-162.9732738633718,-454.98255529001244,634.8218234309928
336.0,288.7937231670446,289.89221808457233,0.5,2.1969898350554566,272.59731390628536,-163.0065953359112,-455.8230926889704,636.1245922031685
337.0,289.4677169740572,290.57672544086273,0.5,2.2180169336110227,272.85541917484795,-163.0396286776904,-456.6579817056257,637.4189166493309
338.0,290.1375363653296,291.25679722437945,0.5,2.2385217180996584,273.11158205132097,-163.07237717726454,-457.4872668904316,638.7048592407547
339.0,290.80321485707555,291.93246645976546,0.5,2.258503205379794,273.3658209501113,-163.10484407675554,-458.310992447449,639.9824820338587
340.0,291.4647856706697,292.6037659446254,0.5,2.2779605479114493,273.61815408288055,-163.13703257263052,-459.1292022356857,641.2518466700611
341.0,292.12228173465223,293.2707282497477,0.5,2.296893030191069,273.86859946094654,-163.16894581646514,-459.9419397704862,642.5130143757525
342.0,292.77573568675405,293.9333857193828,0.5,2.315300065257517,274.1171748976607,-163.2005869156921,-460.74924822496934,643.7660459623835
343.0,293.4251798759402,294.59177047156606,0.5,2.3331811912516787,274.3638980107544,-163.23195893433532,-461.55117043151097,645.011001826658
344.0,294.0706463644711,295.24591439849416,0.5,2.35053606804612,274.6087862246621,-163.26306489373016,-462.3477488832693,646.2479419508314
345.0,294.71216692997757,295.8958491669477,0.5,2.3673644739402993,274.85185677281834,-163.29390777322934,-463.1390257357524,647.4769259031111
346.0,295.34977306755087,296.54160621875326,0.5,2.383666302404832,275.093126699923,-163.3244905108961,-463.92504280842263,648.698012838149
347.0,295.98349599184326,297.183216771296,0.5,2.3994415589054525,275.33261286418787,-163.35481600418387,-464.70584158633926,649.9112614976312
348.0,296.61336663918013,297.8207118180657,0.5,2.4146903577711942,275.5703319395505,-163.38488711060253,-465.48146322183555,651.1167302109533
349.0,297.23941566968097,298.4541221292474,0.5,2.429412919132961,275.8063004178665,-163.41470664837283,-466.25194853622787,652.3144768959817
350.0,297.86167346938777,299.08347825234785,0.5,2.443609565920201,276.04053461107475,-163.44427739706805,-467.01733802155667,653.5045590598978
351.0,298.4801701524004,299.7088105128571,0.5,2.457280720913485,276.273050653336,-163.47360209824342,-467.7776718423562,654.6870338001207
352.0,299.0949355630165,300.33014901494823,0.5,2.47042690386341,276.50386450315125,-163.5026834560543,-468.5329898374517,655.861957805303
353.0,299.7059992778772,300.9475236422056,0.5,2.4830487286568514,276.7329919454474,-163.5315241378617,-469.28333152178266,657.0293873564026
354.0,300.31339060811337,301.56096405838673,0.5,2.495146900546739,276.96044859364514,-163.5601267748278,-470.02873608825,658.1893783278194
355.0,300.9171386014959,302.1704997082164,0.5,2.5067222134411296,277.186249891698,-163.58849396249906,-470.76924240958573,659.3419861886032
356.0,301.5172720445864,302.77615981820577,0.5,2.5177755472387813,277.41041111611025,-163.61662826137967,-471.5048890402451,660.4872660037202
357.0,302.1138194648871,303.3779733975032,0.5,2.528307865232063,277.63294737792944,-163.64453219749325,-472.2357142183159,661.6252724353828
358.0,302.7068091329911,303.97596923876705,0.5,2.5383202115518833,277.8538736247129,-163.672208262935,-472.9617558674492,662.7560597444384
359.0,303.2962690647301,304.57017591906674,0.5,2.547813708673343,278.0732046424746,-163.69965891641314,-473.6830515988051,663.8796817918104
360.0,303.8822270233196,305.16062180080763,0.5,2.5567895549760298,278.2909550576057,-163.72688658378053,-474.3996387130134,664.9961920399959
361.0,304.46471052150133,305.7473350326763,0.5,2.5652490223498803,278.5071393387752,-163.7538936585565,-475.11155420215266,666.1056435546102
362.0,305.04374682368086,306.3303435506084,0.5,2.5731934538550782,278.721771798802,-163.7806825024391,-475.8188347517375,667.208089005983
363.0,305.6193629480609,306.90967507877934,0.5,2.580624261436932,278.93486659651103,-163.8072554458083,-476.5215167427217,668.3035806707983
364.0,306.19158566876916,307.485357130611,0.5,2.587542923683693,279.1464377385631,-163.83361478821922,-477.21963625351106,669.3921704337781
365.0,306.76044151798,308.0574170097994,0.5,2.593950983638839,279.3564990812617,-163.8597627988869,-477.91322906198525,670.4739097894098
366.0,307.3259567880295,308.6258818113553,0.5,2.5998500466516425,279.5650643323398,-163.88570171716273,-478.6023306475316,671.5488498437098
367.0,307.8881575335232,309.19077842267154,0.5,2.6052417782966053,279.7721470527269,-163.91143375300106,-479.28697619308247,672.6170413160281
368.0,308.44706957343635,309.75213352459315,0.5,2.6101279023135575,279.97776065828907,-163.9369610874185,-479.9672005871638,673.6785345408864
369.0,309.00271849320575,310.3099735925106,0.5,2.614510198609593,280.1819184215514,-163.96228587294422,-480.6430384259465,674.7333794698499
370.0,309.55512964681265,310.8643248974653,0.5,2.618390501305216,280.38463347340064,-163.98741023406268,-481.31452401530566,675.7816256734329
371.0,310.1043281588568,311.4152135072657,0.5,2.621770696817848,280.5859188047617,-164.01233626764764,-481.98169137288147,676.8233223430332
372.0,310.6503389266209,311.96266528761856,0.5,2.624652721995303,280.7857872682601,-164.03706604338942,-482.64457423014636,677.8585182928942
373.0,311.1931866221248,312.50670590327013,0.5,2.627038562290602,280.98425157985923,-164.06160160421388,-483.30320603447234,678.8872619620972
374.0,311.7328956941695,313.04736081915854,0.5,2.628930249978037,281.1813243204795,-164.0859449666937,-483.9576199512021,679.9096014165748
375.0,312.26949037037036,313.58465530157616,0.5,2.6303298624116707,281.37701793759794,-164.11009812145332,-484.6078488657204,680.925584351152
376.0,312.8029946591796,314.1186144193385,0.5,2.631239520317719,281.5713447468241,-164.1340630335654,-485.25392538552705,681.9352580916068
377.0,313.3334323518966,314.64926304496737,0.5,2.6316613861415656,281.76431693346376,-164.15784164294143,-485.8958818423082,682.9386695967531
378.0,313.86082702466757,315.1766258558786,0.5,2.6315976624220507,281.9559465540575,-164.18143586471487,-486.53375029400775,683.9358654605437
379.0,314.38520204047256,315.7007273355745,0.5,2.6310505902039645,282.1462455379008,-164.20484758961746,-487.1675625268984,684.9268919141896
380.0,314.9065805511007,316.2215917748497,0.5,2.6300224474978844,282.3352256885494,-164.22807868434924,-487.7973500576488,685.9117948282984
381.0,315.424985499113,316.73924327299534,0.5,2.628515547764665,282.5228986852994,-164.2511309919421,-488.4231441353889,686.8906197150269
382.0,315.940439619792,317.25370573901483,0.5,2.626532238445582,282.70927608465547,-164.27400633211636,-489.0449757437732,687.8634117302488
383.0,316.45296544307956,317.76500289284303,0.5,2.62407489952695,282.89436932177824,-164.29670650163197,-489.662875603039,688.8302156757358
384.0,316.9625852955006,318.27315826656684,0.5,2.6211459421324372,283.078189711911,-164.31923327463315,-490.2768741720621,689.791076001351
385.0,317.4693213020746,318.7781952056559,0.5,2.617747807162563,283.26074845179426,-164.34158840298699,-490.8870016504047,690.7460368072534
386.0,317.97319538821296,319.2801368701878,0.5,2.6138829639496093,283.4420566210566,-164.36377361661636,-491.4932879803641,691.6951418461116
387.0,318.47422928160364,319.779006236088,0.5,2.6095539089686883,283.6221251835958,-164.38579062382703,-492.09576284900925,692.6384345253284
388.0,318.9724445140812,320.2748260963609,0.5,2.604763164559489,283.80096498893323,-164.40764111162923,-492.6944556902163,693.5759579092731
389.0,319.4678624234843,320.76761906232895,0.5,2.59951327768935,283.9785867735588,-164.42932674605314,-493.2893956866955,694.5077547215188
390.0,319.96050415549826,321.2574075648748,0.5,2.5938068187531043,284.15500116225826,-164.45084917246012,-493.88061177201286,695.4338673470895
391.0,320.45039066548446,321.7442138556796,0.5,2.5876463803903618,284.3302186694203,-164.47221001584725,-494.46813263260333,696.3543378347099
392.0,320.93754272029514,322.2280600084654,0.5,2.5810345763404086,284.50424970032907,-164.49341088114775,-495.0519867097772,697.2692078990613
393.0,321.42198090007463,322.7089679202401,0.5,2.573974040330984,284.6771045524444,-164.51445335352548,-495.6322022017201,698.1785189230412
394.0,321.90372560004596,323.18695931253586,0.5,2.566467424979848,284.8487934166582,-164.53533899866505,-496.20880706548246,699.0823119600251
395.0,322.3827970322835,323.662055732655,0.5,2.5585174007430194,285.0193263785441,-164.55606936305676,-496.7818290189634,699.980627736131
396.0,322.85921522747117,324.1342785549094,0.5,2.5501266548764003,285.1887134195827,-164.57664597427666,-497.35129554288335,700.8735066524866
397.0,323.3330000366466,324.60364898186424,0.5,2.541297890435343,285.3569644183806,-164.59707034126185,-497.91723388274994,701.7609887874954
398.0,323.80417113293043,325.07018804557225,0.5,2.532033825283624,285.5240891518636,-164.6173439545813,-498.4796710508146,702.6431138991046
399.0,324.2727480132421,325.53391660882,0.5,2.5223371911557755,285.6900972964682,-164.63746828670202,-499.0386338280178,703.5199214270716
400.0,324.73875000000004,325.99485536635507,0.5,2.5122107327100216,285.85499842930307,-164.65744479225094,-499.5941487659269,704.3914504952298
401.0,325.20219624280884,326.45302484612785,0.5,2.501657206637959,286.0188020293099,-164.67727490827198,-500.1462421886638,705.2577399137538
