T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,z,alpha_contrib_D_1e-8_per_K,alpha_contrib_E1_1e-8_per_K,alpha_contrib_E2_1e-8_per_K
306.0,266.45399515297316,267.32834467874824,0.5,1.748699051550157,202.2296614463889,-147.0289141942986,212.12759742665796
307.0,267.27034134653985,268.1606956103759,0.5,1.780708527672083,202.47956529958324,-147.06828956593523,212.7494198767279
308.0,268.0813621184011,268.9875048932296,0.5,1.8122855496569135,202.7274747048413,-147.10729449026385,213.3673246786521
309.0,268.88710055451145,269.8088125458078,0.5,1.843423982592818,202.97340940177025,-147.14593355931686,213.98133670335443
310.0,269.68759940921757,270.6246583806647,0.5,1.874117942894247,203.21738890919312,-147.18421129484196,214.59148076631354
311.0,270.48290110518104,271.4350820019057,0.5,1.9043617934493633,203.45943252764707,-147.22213214957688,215.19778162383548
312.0,271.2730477334412,272.2401228028362,0.5,1.9341501387900066,203.69955934186143,-147.25970050849725,215.800263969472
313.0,272.05808105361103,273.0398199637528,0.5,1.9634778202835108,203.9377882232122,-147.29692069003835,216.39895243057896
314.0,272.8380424941982,273.83421244987954,0.5,1.9923399113626377,204.17413783215895,-147.33379694729166,216.99387156501226
315.0,273.6129731530472,274.62333900943315,0.5,2.020731712771944,204.40862662065388,-147.37033346917656,217.58504585795583
316.0,274.3829137978943,275.40723817182516,0.5,2.0486487478618356,204.64127283453416,-147.40653438158802,218.17249971887907
317.0,275.14790486703,276.18594824598875,0.5,2.076086757917519,204.87209451588907,-147.44240374852018,218.75625747861986
318.0,275.9079864700639,276.95950731882766,0.5,2.103041697527511,205.1011095054067,-147.4779455731676,219.3363433865886
319.0,276.6631983887873,277.7279532537872,0.5,2.1295097299997483,205.32833544470003,-147.5131637990033,219.91278160809046
320.0,277.41358007812505,278.491323689531,0.5,2.1554872228118382,205.55378977860337,-147.5480623108351,220.48559622176273
321.0,278.1591706671763,279.24965603874006,0.5,2.1809707431275407,205.77748975745746,-147.58264493584016,221.05481121712276
322.0,278.900008960336,280.00298748700715,0.5,2.2059570533423076,205.9994524393619,-147.61691544457912,221.6204504922244
323.0,279.6361334384941,280.7513549918421,0.5,2.2304431066959927,206.21969469241253,-147.650877551989,222.18253785141857
324.0,280.3675822603074,281.49479528177284,0.5,2.254426042930873,206.4382331969129,-147.6845349183562,222.7410970032161
325.0,281.09439326354124,282.23334485554335,0.5,2.2779031840042254,206.65508444756452,-147.71789115027036,223.29615155824922
326.0,281.81660396647504,282.96703998140293,0.5,2.300872029855784,206.87026475563374,-147.75094980155825,223.84772502732744
327.0,282.53425156937,283.6959166964858,0.5,2.323330254231617,207.08379025109727,-147.78371437419977,224.3958408195883
328.0,283.2473729559931,284.4200108062773,0.5,2.3452757005683917,207.29567688476612,-147.8161883192249,224.94052224073607
329.0,283.9560046951965,285.1393578841621,0.5,2.36670637793126,207.50594043038637,-147.84837503759323,225.481792491369
330.0,284.6601830425467,285.8539932710519,0.5,2.387620457010354,207.71459648671689,-147.88027788105583,226.0196746653908
331.0,285.3599439420014,286.56395207509087,0.5,2.4080162661789535,207.92166047958716,-147.91190015299998,226.55419174850365
332.0,286.055323027631,287.26926917143606,0.5,2.427892287610175,208.12714766393185,-147.9432451092773,227.08536661678153
333.0,286.7463556253817,287.969979202108,0.5,2.44724715345262,208.33107312580333,-147.97431595901537,227.61322203532
334.0,287.4330767548771,288.66611657591045,0.5,2.466079642066667,208.53345178436325,-148.00511586541356,228.13778065696076
335.0,288.1155211312562,289.3577154684166,0.5,2.484388674320822,208.73429839385133,-148.03564794652308,228.65906502108837
336.0,288.7937231670446,290.04480982202074,0.5,2.50217330995227,208.93362754553453,-148.06591527601196,229.17709755249814
337.0,289.4677169740572,290.72743334604735,0.5,2.5194327439802007,209.13145366963178,-148.0959208839144,229.69190056032994
338.0,290.1375363653296,291.4056195169229,0.5,2.5361663031865547,209.32779103722007,-148.1256677573668,230.20349623706963
339.0,290.80321485707555,292.0794015784024,0.5,2.5523734426536913,209.5226537621173,-148.15515884132816,230.71190665761324
340.0,291.4647856706697,292.7488125418513,0.5,2.568053742363214,209.71605580274607,-148.18439703928738,231.2171537783926
341.0,292.12228173465223,293.4138851865801,0.5,2.583206903855779,209.90801096397462,-148.2133852139564,231.71925943656188
342.0,292.77573568675405,294.0746520602282,0.5,2.5978327469482507,210.0985328989386,-148.24212618795028,232.21824534923985
343.0,293.4251798759402,294.73114547919647,0.5,2.61193120651252,210.28763511083974,-148.27062274445396,232.71413311281069
344.0,294.0706463644711,295.38339752912606,0.5,2.6255023293098887,210.47533095472642,-148.29887762787658,233.20694420227622
345.0,294.71216692997757,296.0314400654241,0.5,2.6385462708929586,210.66163363925406,-148.3268935444926,233.6966999706626
346.0,295.34977306755087,296.6753047138263,0.5,2.651063292550812,210.84655622842146,-148.3546731630715,234.1834216484763
347.0,295.98349599184326,297.3150228710076,0.5,2.6630537583287226,211.0301116432926,-148.38221911549508,234.6671303432101
348.0,296.61336663918013,297.95062570522606,0.5,2.674518132091917,211.21231266369355,-148.40953399736267,235.14784703889518
349.0,297.23941566968097,298.58214415700746,0.5,2.685456974653033,211.39317192989273,-148.43662036858566,235.62559259570043
350.0,297.86167346938777,299.2096089398653,0.5,2.695870940955054,211.57270194426044,-148.4634807539703,236.10038774957508
351.0,298.4801701524004,299.8330505410531,0.5,2.7057607773054975,211.75091507290807,-148.49011764378926,236.5722531119343
352.0,299.0949355630165,300.45249922235433,0.5,2.7151273186756457,211.9278235473116,-148.5165334943434,237.0412091693862
353.0,299.7059992778772,301.0679850208969,0.5,2.723971486039425,212.10343946591016,-148.54273072851177,237.50727628349856
354.0,300.31339060811337,301.6795377500038,0.5,2.732294283780975,212.2777747956913,-148.56871173629224,237.97047469060476
355.0,300.9171386014959,302.28718700006823,0.5,2.740096797144743,212.4508413737534,-148.5944788753316,238.4308245016464
356.0,301.5172720445864,302.8909621394576,0.5,2.747380189742409,212.62265090885245,-148.6200344714461,238.88834570205123
357.0,302.1138194648871,303.49089231544536,0.5,2.7541457011164834,212.79321498292953,-148.6453808191319,239.34305815164777
358.0,302.7068091329911,304.0870064551619,0.5,2.76039464434159,212.96254505261734,-148.6705201820664,239.79498158461095
359.0,303.2962690647301,304.6793332665754,0.5,2.7661284036905567,213.13065245073344,-148.69545479360033,240.24413560944222
360.0,303.8822270233196,305.2679012394898,0.5,2.771348432340307,213.2975483877511,-148.7201868572403,240.69053970897897
361.0,304.46471052150133,305.8527386465697,0.5,2.7760562501367967,213.4632439532569,-148.7447185471231,241.13421324043597
362.0,305.04374682368086,306.43387354437795,0.5,2.7802534413940823,213.6277501173853,-148.76905200848086,241.57517543547348
