T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein_1e-8_per_K,residual_1e-8_per_K,z
311.0,270.48290110518104,274.15280697657874,0.5,20.586702327908036,18.483208405168433,-399.10456939944237,673.257376376021,3.669905871397696,7.339811742795392
312.0,271.2730477334412,274.9380234683915,0.5,20.61099915791373,18.517696679365095,-399.57560044281877,674.5136239112103,3.6649757349502914,7.329951469900583
313.0,272.05808105361103,275.71769215183326,0.5,20.63510394875754,18.551930439072475,-400.04290851464816,675.7606006664814,3.659611098222223,7.319222196444446
314.0,272.8380424941982,276.4918578346979,0.5,20.659018588566845,18.5859119193278,-400.50653021915485,676.9983880538528,3.6538153404997162,7.3076306809994325
315.0,273.6129731530472,277.2605650007406,0.5,20.68274494437156,18.619643335043694,-400.9665017515562,678.2270667522968,3.6475918476933846,7.295183695386769
316.0,274.3829137978943,278.02385780945485,0.5,20.706284862346205,18.653126881130923,-401.4228589027564,679.4467167122112,3.640944011560573,7.281888023121146
317.0,275.14790486703,278.7817800959673,0.5,20.729640168049393,18.68636473262294,-401.87563706398845,680.6574171599558,3.6338752289373075,7.267750457874615
318.0,275.9079864700639,279.53437537104224,0.5,20.752812666661313,18.719359044802438,-402.3248712314191,681.8592466024613,3.6263889009783394,7.252777801956679
319.0,276.6631983887873,280.2816868211899,0.5,20.775804143219055,18.752111953329525,-402.77059601071005,683.0522828318999,3.618488432402608,7.236976864805216
320.0,277.41358007812505,281.0237573088872,0.5,20.798616362849,18.784625574371503,-403.2128456215237,684.2366029304109,3.6101772307621225,7.220354461524245
321.0,278.1591706671763,281.7606293728764,0.5,20.82125107099802,18.816902004734114,-403.65165390200536,685.4122832748818,3.6014587057001326,7.202917411400265
322.0,278.900008960336,282.4923452285782,0.5,20.84370999366139,18.848943321994163,-404.0870543132013,686.5793995417795,3.592336268242203,7.184672536484406
323.0,279.6361334384941,283.21894676857573,0.5,20.86599483760916,18.88075158463331,-404.5190799434477,687.7380267120235,3.582813330081658,7.165626660163316
324.0,280.3675822603074,283.9404755631955,0.5,20.888107290609952,18.912328832173095,-404.9477635127089,688.8882390759044,3.5728933028881027,7.145786605776205
325.0,281.09439326354124,284.6569728611613,0.5,20.910049021652544,18.943677085310874,-405.3731373768737,690.0301102380349,3.56257959762006,7.12515919524012
326.0,281.81660396647504,285.36847959033395,0.5,20.931821681165125,18.97479834605677,-405.7952335320052,691.1637131223392,3.5518756238589466,7.103751247717893
327.0,282.53425156937,286.07503635851896,0.5,20.953426901232426,19.00569459787144,-406.2140836185513,692.2891199770703,3.5407847891489785,7.081569578297957
328.0,283.2473729559931,286.77668345434694,0.5,20.974866295810557,19.036367805804577,-406.62971892550814,693.4064023798551,3.529310498353853,7.058620996707706
329.0,283.9560046951965,287.47346084822084,0.5,20.996141460939636,19.066819916634078,-407.04217039454363,694.5156312427645,3.5174561530243094,7.034912306048619
330.0,284.6601830425467,288.16540819332994,0.5,21.017253974953984,19.097052859005768,-407.4514686240718,695.6168768174017,3.5052251507832675,7.010450301566535
331.0,285.3599439420014,288.85256482672287,0.5,21.03820539869036,19.12706854357366,-407.85764387328965,696.7102087000126,3.492620884721513,6.985241769443026
332.0,286.055323027631,289.5349697704392,0.5,21.058997275693795,19.1568688631406,-408.26072606616776,697.7956958366069,3.479646742808205,6.95929348561641
333.0,286.7463556253817,290.2126617326976,0.5,21.079631132421273,19.186455692799267,-408.6607447953989,698.8734065280964,3.466306107315909,6.932612214631818
334.0,287.4330767548771,290.8856791091356,0.5,21.1001084784432,19.215830890073455,-409.0577293263039,699.9434084354394,3.452602354258464,6.905204708516928
335.0,288.1155211312562,291.55405998410146,0.5,21.120430806642656,19.244996295059572,-409.4517086006942,701.0057685847956,3.4385388528452823,6.8770777056905645
336.0,288.7937231670446,292.21784213199055,0.5,21.140599593412563,19.273953730568266,-409.84271124069454,702.0605533726851,3.4241189649459804,6.848237929891961
337.0,289.4677169740572,292.8770630186305,0.5,21.16061629885049,19.302705002266144,-410.23076555251936,703.1078285711499,3.409346044573268,6.818692089146536
338.0,290.1375363653296,293.5317598027055,0.5,21.18048236695149,19.331251898817506,-410.6158995302115,704.147659332917,3.3942234373759113,6.7884468747518225
339.0,290.80321485707555,294.1819693372269,0.5,21.200199225798617,19.359596192026093,-410.9981408593351,705.1801101965619,3.3787544801513527,6.757508960302705
340.0,291.4647856706697,294.8277281710338,0.5,21.219768287751513,19.38773963697669,-411.37751692063233,706.2052450916661,3.3629425003641282,6.7258850007282565
341.0,292.12228173465223,295.46907255033756,0.5,21.239190949632675,19.415683972176634,-411.7540547936342,707.2231273439718,3.346790815685338,6.693581631370676
342.0,292.77573568675405,296.1060384202948,0.5,21.258468592911797,19.443430919697125,-412.12778126023386,708.2338196805287,3.3303027335407505,6.660605467081501
343.0,293.4251798759402,296.7386614266189,0.5,21.277602583887756,19.470982185314323,-412.49872280821563,709.2373842348345,3.3134815506786937,6.626963101357387
344.0,294.0706463644711,297.3669769172152,0.5,21.29659427386878,19.49833945865013,-412.8669056347468,710.233882551962,3.296330552744077,6.592661105488154
345.0,294.71216692997757,297.9910199438469,0.5,21.31544499935058,19.52550441331272,-413.23235564983156,711.2233755936785,3.2788530138692784,6.557706027738557
346.0,295.34977306755087,298.61082526383296,0.5,21.33415608219201,19.55247870703667,-413.5950984797166,712.2059237435496,3.2610521962821353,6.5221043925642705
347.0,295.98349599184326,299.2264273417607,0.5,21.352728829789317,19.579263981822677,-413.9551594702687,713.1815868120294,3.2429313499174546,6.485862699834909
348.0,296.61336663918013,299.83786035123217,0.5,21.37116453524783,19.605861864076918,-414.3125636903035,714.1504240415356,3.2244937120520234,6.448987424104047
349.0,297.23941566968097,300.44515817662483,0.5,21.389464477551957,19.63227396474985,-414.6673359348812,715.112494111506,3.205742506943861,6.411485013887722
350.0,297.86167346938777,301.04835441487717,0.5,21.407629921733125,19.658501879474596,-415.0195007285619,716.0678551434391,3.1866809454894227,6.373361890978845
351.0,298.4801701524004,301.6474823772928,0.5,21.42566211903563,19.684547188704766,-415.3690823286216,717.0165647059143,3.167312224892452,6.334624449784904
352.0,299.0949355630165,302.24257509135475,0.5,21.4435623070809,19.710411457851684,-415.7161047282359,717.9586798195907,3.147639528338214,6.295279056676428
353.0,299.7059992778772,302.8336653025704,0.5,21.461331710029274,19.736096237421137,-416.06059165961693,718.8942569621873,3.1276660246932186,6.255332049386437
354.0,300.31339060811337,303.4207854763151,0.5,21.478971538740357,19.761603063149337,-416.4025665971218,719.8233520734368,3.1073948682017325,6.214789736403465
355.0,300.9171386014959,304.0039677997025,0.5,21.496482990931153,19.786933456138428,-416.74205276031813,720.7460205600206,3.0868291982066363,6.1736583964132725
356.0,301.5172720445864,304.5832441834588,0.5,21.51386725133255,19.812088922991226,-417.079073117018,721.6623173004768,3.065972138872447,6.131944277744894
357.0,302.1138194648871,305.15864626380886,0.5,21.53112549184387,19.83707095594526,-417.4136503862743,722.5722966500831,3.044826798921719,6.089653597843438
358.0,302.7068091329911,305.7302054043808,0.5,21.54825887168535,19.86188103300621,-417.74580704133604,723.4760124457168,3.023396271389705,6.04679254277941
359.0,303.2962690647301,306.29795269810796,0.5,21.565268537549155,19.88652061808049,-418.075565312577,724.373518010685,3.001683633377906,6.003367266755812
360.0,303.8822270233196,306.861918969148,0.5,21.58215562374828,19.910991161107194,-418.40294719038155,725.2648661595296,2.979691945828385,5.95938389165677
361.0,304.46471052150133,307.4221347747998,0.5,21.598921252363994,19.93529409818919,-418.7279744280035,726.1501092028034,2.9574242532984947,5.914848506596989
362.0,305.04374682368086,307.9786304074404,0.5,21.615566533390997,19.959430851723543,-419.05066854438013,727.0292989518206,2.9348835837595404,5.869767167519081
363.0,305.6193629480609,308.53143589645094,0.5,21.63209256488137,19.983402830531023,-419.37105082692307,727.902486723374,2.9120729483900587,5.824145896780117
364.0,306.19158566876916,309.0805810101572,0.5,21.64850043308649,20.0072114299849,-419.6891423342691,728.7697233444263,2.8889953413879916,5.777990682775983
365.0,306.76044151798,309.62609525777333,0.5,21.664791212597144,20.03085803213886,-420.00496389899666,729.63105915677,2.865653739793357,5.731307479586714
366.0,307.3259567880295,310.16800789134413,0.5,21.68096596648213,20.05434400585413,-420.31853613031313,730.4865440216573,2.8420511033146503,5.6841022066293005
367.0,307.8881575335232,310.7063479076887,0.5,21.697025746425243,20.077670706925716,-420.62987941671,731.3362273243988,2.8181903741654954,5.636380748330991
368.0,308.44706957343635,311.24114405035067,0.5,21.71297159286026,20.100839478207796,-420.9390139285803,732.180157978931,2.7940744769143366,5.588148953828673
369.0,309.00271849320575,311.7724248115452,0.5,21.72880453510451,20.123851649738267,-421.24595962080764,733.0183844323528,2.7697063183394284,5.539412636678857
370.0,309.55512964681265,312.300218434104,0.5,21.74452559149091,20.146708538862413,-421.5507362353261,733.85095466943,2.745088787291318,5.490177574582636
371.0,310.1043281588568,312.8245529134263,0.5,21.760135769498,20.16941145035566,-421.85336330364106,734.6779162170674,2.7202247545695606,5.440449509139121
372.0,310.6503389266209,313.3454559994174,0.5,21.775636065878846,20.19196167654542,-422.15386014932847,735.4993161487458,2.6951170727965126,5.390234145593025
373.0,311.1931866221248,313.862955198437,0.5,21.791027466788034,20.21436049743216,-422.45224589049633,736.3152010889333,2.6697685763121695,5.339537152624339
374.0,311.7328956941695,314.37707777523565,0.5,21.80631094790723,20.236609180809396,-422.7485394422194,737.125617217455,2.64418208106613,5.28836416213226
375.0,312.26949037037036,314.88785075489204,0.5,21.821487474569224,20.258708982382878,-423.0427595189435,737.9306102738356,2.618360384521668,5.236720769043336
376.0,312.8029946591796,315.39530092475013,0.5,21.83655800188017,20.280661145888867,-423.3349246368558,738.730225561606,2.5923062655705196,5.184612531141039
