Z,N,A,symbol,A_group,B_obs_MeV,sigma_B_obs_MeV,Delta_B_P_minus_SEMF_MeV,Delta_B_P_minus_Yukawa_MeV,abs_Delta_B_P_minus_SEMF_MeV,abs_Delta_B_P_minus_Yukawa_MeV,required_sigma_3sigma_SEMF_MeV,required_sigma_3sigma_Yukawa_MeV,required_relative_precision_SEMF,required_relative_precision_Yukawa,resolvable_now_SEMF_sigma_le_req,resolvable_now_Yukawa_sigma_le_req,precision_ratio_obs_over_req_SEMF,precision_ratio_obs_over_req_Yukawa
11,13,24,Na,light_A_le_40,193.523717,1.68e-05,-10.416082,114.342996,10.416082,114.342996,3.4720273,38.114332,0.017941095,0.19694915,1,1,4.8386716e-06,4.4077907e-07
12,12,24,Mg,light_A_le_40,198.257047,1.44e-05,-21.272396,111.848574,21.272396,111.848574,7.0907987,37.282858,0.035765683,0.18805313,1,1,2.0308009e-06,3.8623648e-07
13,11,24,Al,light_A_le_40,183.589934,0.000228,24.350377,120.805097,24.350377,120.805097,8.1167923,40.268366,0.044211532,0.21933864,1,1,2.8089914e-05,5.6620128e-06
14,10,24,Si,light_A_le_40,172.013590,0.0194712,38.044840,120.805038,38.044840,120.805038,12.681613,40.268346,0.073724485,0.23409979,1,1,0.0015353882,0.00048353613
15,9,24,P,light_A_le_40,147.960000,0.504,69.260700,120.804964,69.260700,120.804964,23.0869,40.268321,0.15603474,0.27215681,1,1,0.021830562,0.012516042
7,18,25,N,light_A_le_40,140.325000,0.5,101.654124,128.800017,101.654124,128.800017,33.884708,42.933339,0.24147307,0.30595645,1,1,0.014755919,0.011645961
8,17,25,O,light_A_le_40,168.195145,0.165085,67.138341,128.800014,67.138341,128.800014,22.379447,42.933338,0.13305644,0.25525908,1,1,0.0073766345,0.0038451471
9,16,25,F,light_A_le_40,183.407663,0.0964425,40.692928,128.800064,40.692928,128.800064,13.564309,42.933355,0.073957157,0.23408703,1,1,0.0071100192,0.0022463304
10,15,25,Ne,light_A_le_40,195.994985,0.029045,6.149604,124.291323,6.149604,124.291323,2.049868,41.430441,0.010458778,0.21138521,1,1,0.014169205,0.00070105457
11,14,25,Na,light_A_le_40,202.534948,0.0012,-8.712489,122.888043,8.712489,122.888043,2.904163,40.962681,0.014339071,0.20224994,1,1,0.00041319995,2.9294958e-05
