r_rg,N_metric_bar,N_phi_bar,N_total_bar,P0_linear,deltaP0,P0_full,delta_u,d_deltaP0_dr
11.454784240150094,7.989614226740515e-07,8.57492657837678e-10,7.998189153318893e-07,1.0906252353645403,2.5623130480682857e-05,1.090650858495021,2.3493706783853097e-05,6.335353066797848e-06
11.621575984990619,7.531364460212703e-07,7.657478582550697e-10,7.539021938795254e-07,1.0892696444816967,2.459240946537466e-05,1.089294236891162,2.257671641084369e-05,6.02715044871543e-06
11.81219512195122,7.047144329761369e-07,6.741528173066148e-10,7.053885857934434e-07,1.0877692422140686,2.3475305666728485e-05,1.0877927175197353,2.1580912060531476e-05,5.69742935989836e-06
11.978986866791745,6.654991023182343e-07,6.040305192549924e-10,6.661031328374894e-07,1.0864971825510268,2.2547784910072393e-05,1.0865197303359369,2.0752516721941894e-05,5.427137233818021e-06
12.14577861163227,6.289737645119369e-07,5.420072971511365e-10,6.29515771809088e-07,1.0852614863789658,2.166401865259895e-05,1.0852831503976184,1.996182735541918e-05,5.172581306540868e-06
12.336397748592871,5.90245178738022e-07,4.79731256300457e-10,5.907249099943226e-07,1.0838918218565212,2.070433785038179e-05,1.0839125261943716,1.9101666503845705e-05,4.899519344433052e-06
12.503189493433396,5.587747604455336e-07,4.3178820153856396e-10,5.592065486470723e-07,1.0827289827379134,1.9906032285290095e-05,1.0827488887701986,1.8384886354791408e-05,4.675087808286481e-06
12.669981238273921,5.293739088832839e-07,3.891681679621014e-10,5.297630770512459e-07,1.0815979579792276,1.9144100139408726e-05,1.081617102079367,1.7699673502957758e-05,4.463221801556744e-06
12.836772983114447,5.018814440603649e-07,3.5122256815608737e-10,5.022326666285209e-07,1.0804974601830686,1.8416517058276685e-05,1.0805158767001268,1.7044334474358713e-05,4.263075699444177e-06
13.027392120075048,4.726106723678397e-07,3.1286157426777546e-10,4.7292353394210745e-07,1.07927556774343,1.7624636267278088e-05,1.0792931923796973,1.6329928046121545e-05,4.047691686908134e-06
13.194183864915573,4.4873014254350876e-07,2.831317144378949e-10,4.4901327425794656e-07,1.0782364623567076,1.6964457219607155e-05,1.0782534268139272,1.57333983388519e-05,3.870113897011571e-06
13.360975609756098,4.2633895858664615e-07,2.5654241464071506e-10,4.2659550100128686e-07,1.0772242633737505,1.6333098452677384e-05,1.0772405964722032,1.516209315578776e-05,3.7020047998429147e-06
13.551594746716699,4.024319524584813e-07,2.2953505755927716e-10,4.0266148751604056e-07,1.0760990906522223,1.564487997013369e-05,1.0761147355321925,1.4538406714170726e-05,3.5206991011156857e-06
13.718386491557224,3.8287353938658e-07,2.0850744451060756e-10,3.830820468310906e-07,1.0751411421863555,1.5070257674814977e-05,1.0751562124440304,1.4016905748120978e-05,3.370897306336025e-06
13.88517823639775,3.644889323344477e-07,1.896221863213722e-10,3.646785545207692e-07,1.07420703000937,1.4519971220611963e-05,1.0742215499805907,1.3516829329277003e-05,3.228807320111322e-06
14.075797373358348,3.448084398482376e-07,1.7035610337982686e-10,3.449787959516174e-07,1.0731675357091668,1.3919276485934162e-05,1.0731814549856526,1.2970189420646872e-05,3.075252737507174e-06
14.242589118198875,3.2866663445645463e-07,1.5529144494428071e-10,3.2882192590139896e-07,1.0722815980182572,1.341704015296032e-05,1.07229501505841,1.2512530511862852e-05,2.948129043813029e-06
14.4093808630394,3.134583902075927e-07,1.4170894702253867e-10,3.1360009915461527e-07,1.0714168762226859,1.2935473964316947e-05,1.0714298116966503,1.2073167938234097e-05,2.8273331611758723e-06
14.6,2.971387556412687e-07,1.2779628546917191e-10,2.972665519267379e-07,1.0704536373210518,1.2409112736963156e-05,1.0704660464337887,1.1592319722433797e-05,2.696546366146523e-06
14.766791744840525,2.8372181963206634e-07,1.1687427157753802e-10,2.8383869390364387e-07,1.0696318882482319,1.1968470587171525e-05,1.0696438567188191,1.1189273393621968e-05,2.5880734274204503e-06
14.93358348968105,2.7105364746665033e-07,1.0699118164055441e-10,2.711606386482909e-07,1.0688291050014191,1.1545480578378476e-05,1.0688406504819976,1.0801930980186558e-05,2.4848285690602894e-06
15.100375234521577,2.590846530161746e-07,9.803836908140622e-11,2.59182691385256e-07,1.0680446387014217,1.1139296134249763e-05,1.068055777997556,1.0429562250141577e-05,2.3865103800666855e-06
15.290994371482176,2.462033506127234e-07,8.882269960800155e-11,2.462921733123314e-07,1.0671697411287127,1.0694641984079466e-05,1.0671804357706967,1.0021450181738056e-05,2.27981967075991e-06
15.457786116322701,2.3558280597411548e-07,8.155298707366192e-11,2.3566435896118913e-07,1.0664224743147954,1.0321840227019254e-05,1.0664327961550224,9.6788941753162e-06,2.1911360591547297e-06
15.624577861163226,2.2552878353749607e-07,7.494580351551006e-11,2.2560372934101158e-07,1.0656916681441637,9.963484671287173e-06,1.065701631628835,9.349269018008033e-06,2.1065569638475633e-06
15.815196998123827,2.1468627074214856e-07,6.812114422165091e-11,2.1475439188637025e-07,1.064875928171657,9.570772716466544e-06,1.0648854989443737,8.987647719393976e-06,2.014630767014517e-06
15.981988742964353,2.0572876601762792e-07,6.27192973734935e-11,2.0579148531500142e-07,1.0641786135321474,9.241179261754568e-06,1.0641878547114092,8.683823392037493e-06,1.9381019505355317e-06
16.148780487804878,1.9723357974005638e-07,5.7794579940786634e-11,1.9729137431999716e-07,1.063496145762018,8.92406074735718e-06,1.0635050698227653,8.391213584577062e-06,1.8650126609571365e-06
16.339399624765477,1.8805463955702362e-07,5.269132113571257e-11,1.8810733087815935e-07,1.0627337616616854,8.57620041129528e-06,1.0627423378620968,8.069909996501201e-06,1.7854577803916973e-06
16.506191369606004,1.804572741008103e-07,4.8639159490697135e-11,1.80505913260301e-07,1.0620815542328752,8.283972535873301e-06,1.0620898382054111,7.79972140239893e-06,1.7191329482657785e-06
16.672983114446527,1.7323971101917507e-07,4.493421312170465e-11,1.7328464523229676e-07,1.061442784088829,8.002563296951515e-06,1.0614507866521259,7.53929768995687e-06,1.6557061000174594e-06
16.839774859287054,1.6637939320332847e-07,4.154373887510543e-11,1.664209369422036e-07,1.0608170403092214,7.731502037617549e-06,1.0608247718112591,7.288225555852901e-06,1.5950264652008397e-06
17.030393996247653,1.5894958843201287e-07,3.801643193692253e-11,1.589876048639498e-07,1.0601173500819667,7.433817306385287e-06,1.0601247838992731,7.012234298407749e-06,1.528860979666689e-06
17.19718574108818,1.527858757409898e-07,3.520471989782209e-11,1.5282108046088763e-07,1.0595182122373976,7.1834568153605545e-06,1.059525395694213,6.7799046593736145e-06,1.4736022727887793e-06
17.363977485928704,1.4691804454597996e-07,3.262479828769651e-11,1.4695066934426767e-07,1.0589309134577547,6.94211706283501e-06,1.0589378555748175,6.555757527837436e-06,1.4206736506689914e-06
17.554596622889306,1.4055265238532684e-07,2.9933252155444023e-11,1.405825856374823e-07,1.0582737666554374,6.67686094758589e-06,1.058280443516385,6.3091801907264045e-06,1.3628875096675746e-06
17.72138836772983,1.3526343272407258e-07,2.778184422034956e-11,1.3529121456829296e-07,1.0577106847462407,6.453599968079572e-06,1.0577171383462087,6.101460799136371e-06,1.3145675178126342e-06
17.888180112570357,1.3022068159753954e-07,2.5802833711031744e-11,1.3024648443125057e-07,1.0571583945875551,6.238231420652751e-06,1.0571646328189759,5.900925582252858e-06,1.2682330758274877e-06
18.078799249530956,1.2474186095774504e-07,2.3732759239214272e-11,1.2476559371698425e-07,1.0565400266483496,6.001346491677017e-06,1.0565460279948413,5.680172351321677e-06,1.2175868001528773e-06
18.24559099437148,1.2018239777714746e-07,2.2073814485488728e-11,1.2020447159163298e-07,1.0560098419258954,5.801822640256027e-06,1.0560156437485357,5.494083930031313e-06,1.1751882080791097e-06
18.412382739212006,1.1582935386189263e-07,2.054418877092594e-11,1.1584989805066355e-07,1.0554895215913636,5.609227670279646e-06,1.055495130819034,5.314323497283835e-06,1.1344890240993124e-06
18.57917448405253,1.1167161626644493e-07,1.9132778130303817e-11,1.1169074904457525e-07,1.0549787929454806,5.423284925107689e-06,1.0549842162304057,5.1406445530713385e-06,1.0954085749471854e-06
18.769793621013132,1.071457282799866e-07,1.765162381616122e-11,1.0716337990380278e-07,1.0544065113837002,5.218586967107532e-06,1.0544117299706672,4.949299910898819e-06,1.0526297601833287e-06
18.936585365853656,1.0337223518476884e-07,1.646083599199844e-11,1.0338869602076083e-07,1.0539154637905535,5.046027256133796e-06,1.0539205098178095,4.787874691603022e-06,1.0167667535404277e-06
19.103377110694183,9.976340373978435e-08,1.5359659762290577e-11,9.977876339954662e-08,1.0534332135958018,4.879332136864736e-06,1.0534380929279386,4.631827413163758e-06,9.822967065881384e-07
19.293996247654782,9.582971084392242e-08,1.4201400790276583e-11,9.584391224471268e-08,1.0528925427036897,4.695713904425585e-06,1.052897238417594,4.4598126047387665e-06,9.445261806451789e-07
19.46078799249531,9.254560088280356e-08,1.3268087900726046e-11,9.25588689707043e-08,1.0524283657759392,4.540834816011903e-06,1.0524329066107552,4.314616716565023e-06,9.128301452243943e-07
19.627579737335832,8.940097308185245e-08,1.240321319270185e-11,8.941337629504514e-08,1.0519722772754305,4.391141263108907e-06,1.0519766684166936,4.1741899413014205e-06,8.823373840739346e-07
19.818198874296435,8.596888431370241e-08,1.1491514770423963e-11,8.598037582847284e-08,1.0514606689961727,4.226161318161285e-06,1.051464895157491,4.019316128235639e-06,8.48892928408739e-07
19.98499061913696,8.309993893727161e-08,1.0755292986561514e-11,8.311069423025817e-08,1.0510212164127783,4.086930278835102e-06,1.0510253033430572,3.888525054472625e-06,8.208007846481536e-07
20.151782363977485,8.034967548162266e-08,1.0071709931858857e-11,8.035974719155452e-08,1.050589217451552,3.952297142355757e-06,1.0505931697486945,3.761974368840515e-06,7.937518284074616e-07
20.31857410881801,7.771225103173655e-08,9.436617017694728e-12,7.772168764875425e-08,1.050164484110032,3.8220917492023975e-06,1.050168306201781,3.6395106211076222e-06,7.677004576580873e-07
20.50919324577861,7.482916799535597e-08,8.765323225863783e-12,7.483793331858184e-08,1.049687738403581,3.6784988633943546e-06,1.0496914169024443,3.504368283356596e-06,7.390935727300754e-07
20.675984990619135,7.241538560960778e-08,8.221783302610224e-12,7.24236073929104e-08,1.0492779699845938,3.557242468932128e-06,1.0492815272270628,3.3901754739468215e-06,7.150369298792419e-07
20.842776735459662,7.009814782412972e-08,7.715868034035199e-12,7.010586369216376e-08,1.0488749159435529,3.4399255599346864e-06,1.0488783558691128,3.2796283587557817e-06,6.91849030711336e-07
21.03339587242026,6.756220885135122e-08,7.180077625924531e-12,6.756938892897713e-08,1.0484222947413104,3.310491325587076e-06,1.048425605232636,3.157588421710822e-06,6.663651756688002e-07
21.200187617260788,6.543669741372389e-08,6.745422877531259e-12,6.544344283660142e-08,1.0480330843094687,3.2011463459131867e-06,1.0480362854558147,3.054427865967213e-06,6.44917160521834e-07
21.36697936210131,6.33941161411176e-08,6.3401458232501465e-12,6.340045628694084e-08,1.0476500913880418,3.0953149848708616e-06,1.0476531867030265,2.95452693376691e-06,6.24228105188275e-07
