q_B,exponent_mismatch_abs_2_minus_4q,closure_flag
0.30500000000000005,0.7799999999999998,mismatch
0.30600000000000005,0.7759999999999998,mismatch
0.30700000000000005,0.7719999999999998,mismatch
0.30800000000000005,0.7679999999999998,mismatch
0.30900000000000005,0.7639999999999998,mismatch
0.31000000000000005,0.7599999999999998,mismatch
0.31100000000000005,0.7559999999999998,mismatch
0.31200000000000006,0.7519999999999998,mismatch
0.31300000000000006,0.7479999999999998,mismatch
0.31400000000000006,0.7439999999999998,mismatch
0.31500000000000006,0.7399999999999998,mismatch
0.31600000000000006,0.7359999999999998,mismatch
0.31700000000000006,0.7319999999999998,mismatch
0.31800000000000006,0.7279999999999998,mismatch
0.31900000000000006,0.7239999999999998,mismatch
0.32000000000000006,0.7199999999999998,mismatch
0.32100000000000006,0.7159999999999997,mismatch
0.32200000000000006,0.7119999999999997,mismatch
0.32300000000000006,0.7079999999999997,mismatch
0.32400000000000007,0.7039999999999997,mismatch
0.32500000000000007,0.6999999999999997,mismatch
0.32600000000000007,0.6959999999999997,mismatch
0.32700000000000007,0.6919999999999997,mismatch
0.32800000000000007,0.6879999999999997,mismatch
0.32900000000000007,0.6839999999999997,mismatch
0.33000000000000007,0.6799999999999997,mismatch
0.33100000000000007,0.6759999999999997,mismatch
0.3320000000000001,0.6719999999999997,mismatch
0.3330000000000001,0.6679999999999997,mismatch
0.3340000000000001,0.6639999999999997,mismatch
0.3350000000000001,0.6599999999999997,mismatch
0.3360000000000001,0.6559999999999997,mismatch
0.3370000000000001,0.6519999999999997,mismatch
0.3380000000000001,0.6479999999999997,mismatch
0.3390000000000001,0.6439999999999997,mismatch
0.3400000000000001,0.6399999999999997,mismatch
0.3410000000000001,0.6359999999999997,mismatch
0.3420000000000001,0.6319999999999997,mismatch
0.3430000000000001,0.6279999999999997,mismatch
0.3440000000000001,0.6239999999999997,mismatch
0.3450000000000001,0.6199999999999997,mismatch
0.3460000000000001,0.6159999999999997,mismatch
0.3470000000000001,0.6119999999999997,mismatch
0.3480000000000001,0.6079999999999997,mismatch
0.3490000000000001,0.6039999999999996,mismatch
0.35000000000000003,0.5999999999999999,mismatch
0.35100000000000003,0.5959999999999999,mismatch
0.35200000000000004,0.5919999999999999,mismatch
0.35300000000000004,0.5879999999999999,mismatch
0.35400000000000004,0.5839999999999999,mismatch
0.35500000000000004,0.5799999999999998,mismatch
0.35600000000000004,0.5759999999999998,mismatch
0.35700000000000004,0.5719999999999998,mismatch
0.35800000000000004,0.5679999999999998,mismatch
0.35900000000000004,0.5639999999999998,mismatch
0.36000000000000004,0.5599999999999998,mismatch
0.36100000000000004,0.5559999999999998,mismatch
0.36200000000000004,0.5519999999999998,mismatch
0.36300000000000004,0.5479999999999998,mismatch
0.36400000000000005,0.5439999999999998,mismatch
0.36500000000000005,0.5399999999999998,mismatch
0.36600000000000005,0.5359999999999998,mismatch
0.36700000000000005,0.5319999999999998,mismatch
0.36800000000000005,0.5279999999999998,mismatch
0.36900000000000005,0.5239999999999998,mismatch
0.37000000000000005,0.5199999999999998,mismatch
0.37100000000000005,0.5159999999999998,mismatch
0.37200000000000005,0.5119999999999998,mismatch
0.37300000000000005,0.5079999999999998,mismatch
0.37400000000000005,0.5039999999999998,mismatch
0.37500000000000006,0.4999999999999998,mismatch
0.37600000000000006,0.4959999999999998,mismatch
0.37700000000000006,0.49199999999999977,mismatch
0.37800000000000006,0.48799999999999977,mismatch
0.37900000000000006,0.48399999999999976,mismatch
0.38000000000000006,0.47999999999999976,mismatch
0.38100000000000006,0.47599999999999976,mismatch
0.38200000000000006,0.47199999999999975,mismatch
0.38300000000000006,0.46799999999999975,mismatch
0.38400000000000006,0.46399999999999975,mismatch
0.38500000000000006,0.45999999999999974,mismatch
0.38600000000000007,0.45599999999999974,mismatch
0.38700000000000007,0.45199999999999974,mismatch
0.38800000000000007,0.44799999999999973,mismatch
0.38900000000000007,0.44399999999999973,mismatch
0.39000000000000007,0.4399999999999997,mismatch
0.39100000000000007,0.4359999999999997,mismatch
0.39200000000000007,0.4319999999999997,mismatch
0.393,0.42799999999999994,mismatch
0.394,0.42399999999999993,mismatch
0.395,0.41999999999999993,mismatch
0.396,0.4159999999999999,mismatch
0.397,0.4119999999999999,mismatch
0.398,0.4079999999999999,mismatch
0.399,0.4039999999999999,mismatch
0.4,0.3999999999999999,mismatch
0.401,0.3959999999999999,mismatch
0.402,0.3919999999999999,mismatch
0.403,0.3879999999999999,mismatch
0.404,0.3839999999999999,mismatch
0.405,0.3799999999999999,mismatch
0.406,0.3759999999999999,mismatch
0.40700000000000003,0.3719999999999999,mismatch
0.40800000000000003,0.3679999999999999,mismatch
0.40900000000000003,0.3639999999999999,mismatch
0.41000000000000003,0.3599999999999999,mismatch
0.41100000000000003,0.35599999999999987,mismatch
0.41200000000000003,0.35199999999999987,mismatch
0.41300000000000003,0.34799999999999986,mismatch
0.41400000000000003,0.34399999999999986,mismatch
0.41500000000000004,0.33999999999999986,mismatch
0.41600000000000004,0.33599999999999985,mismatch
0.41700000000000004,0.33199999999999985,mismatch
0.41800000000000004,0.32799999999999985,mismatch
0.41900000000000004,0.32399999999999984,mismatch
0.42000000000000004,0.31999999999999984,mismatch
0.42100000000000004,0.31599999999999984,mismatch
0.42200000000000004,0.31199999999999983,mismatch
0.42300000000000004,0.30799999999999983,mismatch
0.42400000000000004,0.3039999999999998,mismatch
0.42500000000000004,0.2999999999999998,mismatch
0.42600000000000005,0.2959999999999998,mismatch
0.42700000000000005,0.2919999999999998,mismatch
0.42800000000000005,0.2879999999999998,mismatch
0.42900000000000005,0.2839999999999998,mismatch
0.43000000000000005,0.2799999999999998,mismatch
0.43100000000000005,0.2759999999999998,mismatch
0.43200000000000005,0.2719999999999998,mismatch
0.43300000000000005,0.2679999999999998,mismatch
0.43400000000000005,0.2639999999999998,mismatch
0.43500000000000005,0.2599999999999998,mismatch
0.43600000000000005,0.2559999999999998,mismatch
0.43700000000000006,0.2519999999999998,mismatch
0.43800000000000006,0.24799999999999978,mismatch
0.43900000000000006,0.24399999999999977,mismatch
0.44000000000000006,0.23999999999999977,mismatch
0.44100000000000006,0.23599999999999977,mismatch
0.44200000000000006,0.23199999999999976,mismatch
0.44300000000000006,0.22799999999999976,mismatch
0.44400000000000006,0.22399999999999975,mismatch
0.44500000000000006,0.21999999999999975,mismatch
0.44600000000000006,0.21599999999999975,mismatch
0.44700000000000006,0.21199999999999974,mismatch
0.44800000000000006,0.20799999999999974,mismatch
0.44900000000000007,0.20399999999999974,mismatch
0.45000000000000007,0.19999999999999973,mismatch
0.45100000000000007,0.19599999999999973,mismatch
0.45200000000000007,0.19199999999999973,mismatch
0.45300000000000007,0.18799999999999972,mismatch
0.45400000000000007,0.18399999999999972,mismatch
0.45500000000000007,0.17999999999999972,mismatch
0.45600000000000007,0.1759999999999997,mismatch
0.4570000000000001,0.1719999999999997,mismatch
0.4580000000000001,0.1679999999999997,mismatch
0.4590000000000001,0.1639999999999997,mismatch
0.4600000000000001,0.1599999999999997,mismatch
0.4610000000000001,0.1559999999999997,mismatch
0.4620000000000001,0.1519999999999997,mismatch
0.4630000000000001,0.1479999999999997,mismatch
0.4640000000000001,0.14399999999999968,mismatch
0.4650000000000001,0.13999999999999968,mismatch
0.4660000000000001,0.13599999999999968,mismatch
0.4670000000000001,0.13199999999999967,mismatch
0.4680000000000001,0.12799999999999967,mismatch
0.4690000000000001,0.12399999999999967,mismatch
0.4700000000000001,0.11999999999999966,mismatch
0.4710000000000001,0.11599999999999966,mismatch
0.4720000000000001,0.11199999999999966,mismatch
0.4730000000000001,0.10799999999999965,mismatch
0.4740000000000001,0.10399999999999965,mismatch
0.4750000000000001,0.09999999999999964,mismatch
0.4760000000000001,0.09599999999999964,mismatch
0.4770000000000001,0.09199999999999964,mismatch
0.4780000000000001,0.08799999999999963,mismatch
0.4790000000000001,0.08399999999999963,mismatch
0.4800000000000001,0.07999999999999963,mismatch
