is_baseline,compactness_c,core_radius_m,event_horizon_formed,event_horizon_gr_proxy,gtt_min,compactness_max_2gm_over_rc2,central_density_kg_m3,curvature_kretschmann_center_m4,central_quantity_finite,numerical_stability_pass
0,12.92874326,7.4240418e+11,1,1,2.6358344e-14,13.6820671,7540.88941457,2.6411449e-44,1,1
0,13.57090915,7.0727413e+11,1,1,5.577636e-15,14.3616503,8721.28475608,3.5327103e-44,1,1
0,14.24497117,6.7380642e+11,1,1,1.0926514e-15,15.07498814,10086.45,4.7252394e-44,1,1
0,14.9525136,6.4192237e+11,1,1,1.9740065e-16,15.82375721,11665.309,6.3203278e-44,1,1
0,15.69519941,6.1154706e+11,1,1,3.2757018e-17,16.60971736,13491.311,8.4538667e-44,1,1
0,16.47477414,5.8260908e+11,1,1,4.9718228e-18,17.43471586,15603.141,1.1307619e-43,1,1
0,17.29307006,5.5504043e+11,1,1,6.8716019e-19,18.30069173,18045.542,1.5124707e-43,1,1
0,18.15201043,5.287763e+11,1,1,8.6081812e-20,19.2096803,20870.259,2.023032e-43,1,1
0,19.05361406,5.0375498e+11,1,1,9.7264761e-21,20.16381799,24137.136,2.7059424e-43,1,1
0,20,4.7991765e+11,1,1,9.8619932e-22,21.16534735,27915.385,3.6193813e-43,1,1
