run_label,fit_mode,weight_scheme,min_orth_std,decontaminated_kappa_est,decontaminated_kappa_sigma,decontaminated_abs_z,kappa_minus_1_status,decontamination_shift_status,kappa_shift_decont_minus_base,abs_z_shift,max_abs_corr_before,max_abs_corr_after,nuisance_orth_kept_count,nuisance_orth_dropped_count,projection_rows
station_target|inv_station|1.0e-08,station_target,inv_station,1e-08,1.0007855881470924,0.0007924505690332091,0.9913402523653567,pass,reject,-0.5692050812593124,26.647774406322124,0.9992841923469673,3.77667717798046e-15,17,0,17
station_target|inv_station|1.0e-06,station_target,inv_station,1e-06,1.0007855881470924,0.0007924505690332091,0.9913402523653567,pass,reject,-0.5692050812593124,26.647774406322124,0.9992841923469673,3.77667717798046e-15,17,0,17
station_target|inv_station|1.0e-04,station_target,inv_station,0.0001,1.0007855881470924,0.0007924505690332091,0.9913402523653567,pass,reject,-0.5692050812593124,26.647774406322124,0.9992841923469673,3.77667717798046e-15,17,0,17
station_target|inv_station_target|1.0e-08,station_target,inv_station_target,1e-08,1.0006742979447485,0.0009711179137264287,0.6943522874180507,pass,reject,-0.48230972839763186,18.544302412886527,0.9992751816245602,2.6667583831371214e-15,17,0,17
station_target|inv_station_target|1.0e-06,station_target,inv_station_target,1e-06,1.0006742979447485,0.0009711179137264287,0.6943522874180507,pass,reject,-0.48230972839763186,18.544302412886527,0.9992751816245602,2.6667583831371214e-15,17,0,17
station_target|inv_station_target|1.0e-04,station_target,inv_station_target,0.0001,1.0006742979447485,0.0009711179137264287,0.6943522874180507,pass,reject,-0.48230972839763186,18.544302412886527,0.9992751816245602,2.6667583831371214e-15,17,0,17
station_target|inv_target|1.0e-08,station_target,inv_target,1e-08,1.0007860854678488,0.0009532345259833446,0.8246506462173369,pass,reject,-0.49869462624331584,20.73808586997338,0.9992028049794435,1.8303394863066635e-15,17,0,17
station_target|inv_target|1.0e-06,station_target,inv_target,1e-06,1.0007860854678488,0.0009532345259833446,0.8246506462173369,pass,reject,-0.49869462624331584,20.73808586997338,0.9992028049794435,1.8303394863066635e-15,17,0,17
station_target|inv_target|1.0e-04,station_target,inv_target,0.0001,1.0007860854678488,0.0009532345259833446,0.8246506462173369,pass,reject,-0.49869462624331584,20.73808586997338,0.9992028049794435,1.8303394863066635e-15,17,0,17
station_target|station_cap_p95|1.0e-08,station_target,station_cap_p95,1e-08,1.0010193872715767,0.0007560023996373946,1.3483915819126011,pass,reject,-0.6454898127145283,33.87708596038059,0.9992042833091441,1.2243222642665238e-15,17,0,17
