station,target,metric,value_auto,value_tx,delta_rms_ns,abs_delta_rms_ns
GRSM,apollo11,rms_sr_iau_no_shapiro_ns,667.782454811032,667.782454811032,0.0,0.0
GRSM,apollo11,rms_sr_iau_ns,667.7137718970978,667.7137718970978,0.0,0.0
GRSM,apollo11,rms_sr_no_shapiro_ns,9.627539892903002,9.627539892903002,0.0,0.0
GRSM,apollo11,rms_sr_ns,8.90108644368114,8.90108644368114,0.0,0.0
GRSM,apollo11,rms_sr_tropo_earth_shapiro_ns,4.629765187401678,4.629765187401678,0.0,0.0
GRSM,apollo11,rms_sr_tropo_moon_tide_ns,4.427983139950741,4.427983139950741,0.0,0.0
GRSM,apollo11,rms_sr_tropo_no_shapiro_ns,5.771131422780953,5.771131422780953,0.0,0.0
GRSM,apollo11,rms_sr_tropo_ns,4.63078261920914,4.63078261920914,0.0,0.0
GRSM,apollo11,rms_sr_tropo_station_tide_ns,4.500380735641189,4.500380735641189,0.0,0.0
GRSM,apollo11,rms_sr_tropo_tide_no_ocean_ns,4.300523603598078,4.300523603598078,0.0,0.0
GRSM,apollo11,rms_sr_tropo_tide_ns,4.294917440730688,4.294917440730688,0.0,0.0
GRSM,apollo14,n,1482.0,1482.0,0.0,0.0
GRSM,apollo14,n_inlier,1482.0,1482.0,0.0,0.0
GRSM,apollo14,n_outlier,0.0,0.0,0.0,0.0
GRSM,apollo14,rms_gc_ns,7303034.688880107,7303034.688880107,0.0,0.0
GRSM,apollo14,rms_sm_ns,295514.2213649422,295514.2213649422,0.0,0.0
GRSM,apollo14,rms_sr_iau_no_shapiro_ns,651.640450961644,651.640450961644,0.0,0.0
GRSM,apollo14,rms_sr_iau_ns,651.640110532127,651.640110532127,0.0,0.0
GRSM,apollo14,rms_sr_no_shapiro_ns,9.351920668237826,9.351920668237826,0.0,0.0
GRSM,apollo14,rms_sr_ns,8.584060890103345,8.584060890103345,0.0,0.0
GRSM,apollo14,rms_sr_tropo_earth_shapiro_ns,4.57351432650051,4.57351432650051,0.0,0.0
GRSM,apollo14,rms_sr_tropo_moon_tide_ns,4.474871023851851,4.474871023851851,0.0,0.0
GRSM,apollo14,rms_sr_tropo_no_shapiro_ns,5.712150870530942,5.712150870530942,0.0,0.0
GRSM,apollo14,rms_sr_tropo_ns,4.574349162313794,4.574349162313794,0.0,0.0
GRSM,apollo14,rms_sr_tropo_station_tide_ns,4.456391677508978,4.456391677508978,0.0,0.0
GRSM,apollo14,rms_sr_tropo_tide_no_ocean_ns,4.3595529438764,4.3595529438764,0.0,0.0
GRSM,apollo14,rms_sr_tropo_tide_ns,4.35417001177271,4.35417001177271,0.0,0.0
GRSM,apollo15,n,4476.0,4476.0,0.0,0.0
GRSM,apollo15,n_inlier,4471.0,4471.0,0.0,0.0
GRSM,apollo15,n_outlier,5.0,5.0,0.0,0.0
GRSM,apollo15,rms_gc_ns,7601374.562322802,7601374.562322802,0.0,0.0
GRSM,apollo15,rms_sm_ns,417095.4210894681,417095.4210894681,0.0,0.0
GRSM,apollo15,rms_sr_iau_no_shapiro_ns,583.1476435986496,583.1476435986496,0.0,0.0
GRSM,apollo15,rms_sr_iau_ns,583.1598058388604,583.1598058388604,0.0,0.0
GRSM,apollo15,rms_sr_no_shapiro_ns,10.13589746700518,10.13589746700518,0.0,0.0
GRSM,apollo15,rms_sr_ns,9.537747522284166,9.537747522284166,0.0,0.0
GRSM,apollo15,rms_sr_tropo_earth_shapiro_ns,4.733380280881176,4.733380280881176,0.0,0.0
GRSM,apollo15,rms_sr_tropo_moon_tide_ns,4.62084648152234,4.62084648152234,0.0,0.0
GRSM,apollo15,rms_sr_tropo_no_shapiro_ns,5.738183206950958,5.738183206950958,0.0,0.0
GRSM,apollo15,rms_sr_tropo_ns,4.734332453520426,4.734332453520426,0.0,0.0
GRSM,apollo15,rms_sr_tropo_station_tide_ns,4.611434596864215,4.611434596864215,0.0,0.0
GRSM,apollo15,rms_sr_tropo_tide_no_ocean_ns,4.502306360335395,4.502306360335395,0.0,0.0
GRSM,apollo15,rms_sr_tropo_tide_ns,4.496386275455791,4.496386275455791,0.0,0.0
GRSM,luna17,n,1687.0,1687.0,0.0,0.0
GRSM,luna17,n_inlier,1685.0,1685.0,0.0,0.0
GRSM,luna17,n_outlier,2.0,2.0,0.0,0.0
GRSM,luna17,rms_gc_ns,7811861.151079644,7811861.151079644,0.0,0.0
GRSM,luna17,rms_sm_ns,841563.3910662286,841563.3910662286,0.0,0.0
GRSM,luna17,rms_sr_iau_no_shapiro_ns,459.7909549838211,459.7909549838211,0.0,0.0
GRSM,luna17,rms_sr_iau_ns,459.80345916928974,459.80345916928974,0.0,0.0
GRSM,luna17,rms_sr_no_shapiro_ns,10.356454633686784,10.356454633686784,0.0,0.0
GRSM,luna17,rms_sr_ns,9.634249224698548,9.634249224698548,0.0,0.0
GRSM,luna17,rms_sr_tropo_earth_shapiro_ns,3.609763830772494,3.609763830772494,0.0,0.0
GRSM,luna17,rms_sr_tropo_moon_tide_ns,3.609891154590577,3.609891154590577,0.0,0.0
GRSM,luna17,rms_sr_tropo_no_shapiro_ns,4.793483025171687,4.793483025171687,0.0,0.0
GRSM,luna17,rms_sr_tropo_ns,3.611350425237312,3.611350425237312,0.0,0.0
GRSM,luna17,rms_sr_tropo_station_tide_ns,3.5004110469884613,3.5004110469884613,0.0,0.0
GRSM,luna17,rms_sr_tropo_tide_no_ocean_ns,3.5037892389620016,3.5037892389620016,0.0,0.0
GRSM,luna17,rms_sr_tropo_tide_ns,3.499731221722897,3.499731221722897,0.0,0.0
GRSM,luna21,n,1520.0,1520.0,0.0,0.0
GRSM,luna21,n_inlier,1520.0,1520.0,0.0,0.0
GRSM,luna21,n_outlier,0.0,0.0,0.0,0.0
GRSM,luna21,rms_gc_ns,7753100.755658621,7753100.755658621,0.0,0.0
GRSM,luna21,rms_sm_ns,573374.7276566193,573374.7276566193,0.0,0.0
GRSM,luna21,rms_sr_iau_no_shapiro_ns,618.9678848033404,618.9678848033404,0.0,0.0
GRSM,luna21,rms_sr_iau_ns,619.1139442094882,619.1139442094882,0.0,0.0
GRSM,luna21,rms_sr_no_shapiro_ns,10.49646578205539,10.49646578205539,0.0,0.0
GRSM,luna21,rms_sr_ns,9.565629790485218,9.565629790485218,0.0,0.0
GRSM,luna21,rms_sr_tropo_earth_shapiro_ns,3.874333346235455,3.874333346235455,0.0,0.0
GRSM,luna21,rms_sr_tropo_moon_tide_ns,3.733397717340941,3.733397717340941,0.0,0.0
GRSM,luna21,rms_sr_tropo_no_shapiro_ns,5.193862028141747,5.193862028141747,0.0,0.0
GRSM,luna21,rms_sr_tropo_ns,3.87625940528984,3.87625940528984,0.0,0.0
GRSM,luna21,rms_sr_tropo_station_tide_ns,3.7440376880131137,3.7440376880131137,0.0,0.0
GRSM,luna21,rms_sr_tropo_tide_no_ocean_ns,3.605312926963029,3.605312926963029,0.0,0.0
GRSM,luna21,rms_sr_tropo_tide_ns,3.6011570199011707,3.6011570199011707,0.0,0.0
MATM,apollo11,n,55.0,55.0,0.0,0.0
MATM,apollo11,n_inlier,55.0,55.0,0.0,0.0
MATM,apollo11,n_outlier,0.0,0.0,0.0,0.0
MATM,apollo11,rms_gc_ns,6393663.5428465735,6393663.5428465735,0.0,0.0
MATM,apollo11,rms_sm_ns,349186.58949381544,349186.58949381544,0.0,0.0
MATM,apollo11,rms_sr_iau_no_shapiro_ns,589.6251672277587,589.6251672277587,0.0,0.0
MATM,apollo11,rms_sr_iau_ns,589.807344532432,589.807344532432,0.0,0.0
MATM,apollo11,rms_sr_no_shapiro_ns,6.58825177948734,6.58825177948734,0.0,0.0
MATM,apollo11,rms_sr_ns,6.094261689277266,6.094261689277266,0.0,0.0
MATM,apollo11,rms_sr_tropo_earth_shapiro_ns,1.5376038845457396,1.5376038845457396,0.0,0.0
MATM,apollo11,rms_sr_tropo_moon_tide_ns,1.379910423575759,1.379910423575759,0.0,0.0
MATM,apollo11,rms_sr_tropo_no_shapiro_ns,2.155735727052259,2.155735727052259,0.0,0.0
MATM,apollo11,rms_sr_tropo_ns,1.5387878458510844,1.5387878458510844,0.0,0.0
MATM,apollo11,rms_sr_tropo_station_tide_ns,1.4708843438752408,1.4708843438752408,0.0,0.0
MATM,apollo11,rms_sr_tropo_tide_no_ocean_ns,1.3281816544862808,1.3281816544862808,0.0,0.0
MATM,apollo11,rms_sr_tropo_tide_ns,1.3276284598961894,1.3276284598961894,0.0,0.0
MATM,apollo14,n,22.0,22.0,0.0,0.0
MATM,apollo14,n_inlier,22.0,22.0,0.0,0.0
MATM,apollo14,n_outlier,0.0,0.0,0.0,0.0
MATM,apollo14,rms_gc_ns,7667087.357347362,7667087.357347362,0.0,0.0
MATM,apollo14,rms_sm_ns,293579.6651533552,293579.6651533552,0.0,0.0
MATM,apollo14,rms_sr_iau_no_shapiro_ns,680.478415602492,680.478415602492,0.0,0.0
MATM,apollo14,rms_sr_iau_ns,679.7357932974865,679.7357932974865,0.0,0.0
MATM,apollo14,rms_sr_no_shapiro_ns,9.344699717290991,9.344699717290991,0.0,0.0
MATM,apollo14,rms_sr_ns,9.484839856445436,9.484839856445436,0.0,0.0
MATM,apollo14,rms_sr_tropo_earth_shapiro_ns,5.162333507615603,5.162333507615603,0.0,0.0
MATM,apollo14,rms_sr_tropo_moon_tide_ns,5.182523079033917,5.182523079033917,0.0,0.0
MATM,apollo14,rms_sr_tropo_no_shapiro_ns,5.95214046130295,5.95214046130295,0.0,0.0
MATM,apollo14,rms_sr_tropo_ns,5.162543350520916,5.162543350520916,0.0,0.0
MATM,apollo14,rms_sr_tropo_station_tide_ns,5.148927434301076,5.148927434301076,0.0,0.0
MATM,apollo14,rms_sr_tropo_tide_no_ocean_ns,5.164729572694823,5.164729572694823,0.0,0.0
MATM,apollo14,rms_sr_tropo_tide_ns,5.1597585645753306,5.1597585645753306,0.0,0.0
MATM,apollo15,n,290.0,290.0,0.0,0.0
MATM,apollo15,n_inlier,290.0,290.0,0.0,0.0
MATM,apollo15,n_outlier,0.0,0.0,0.0,0.0
MATM,apollo15,rms_gc_ns,6654723.43836845,6654723.43836845,0.0,0.0
MATM,apollo15,rms_sm_ns,391705.5502165881,391705.5502165881,0.0,0.0
MATM,apollo15,rms_sr_iau_no_shapiro_ns,658.1673998643221,658.1673998643221,0.0,0.0
MATM,apollo15,rms_sr_iau_ns,658.1317739564283,658.1317739564283,0.0,0.0
